"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Campanula.type","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Juglans.cinerea","Larix","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Dalea","Castanea.dentata","Myrica.gale","Acer.spicatum","Corylus.cornuta","Caryophyllaceae","Fabaceae.undiff.","Brassicaceae","Nemopanthus.mucronatus","Viburnum.nudum","Myosotis.type","Thalictrum","Liliaceae","Amaranthaceae","Acer.nigrum","Salix","Galium","Acer.saccharinum","Urticaceae","Carya.cordiformis","Ranunculaceae.undiff.","Pinus.resinosa.type","Mentha.type","Sambucus","Populus.deltoides.type","Viburnum.opulus","Populus.balsamifera.type","Cornus","Onagraceae.undiff.","Shepherdia.canadensis","Elaeagnus.commutata","Potentilla.palustris.type","Epilobium","Asteraceae.subf..Cichorioideae","Ephedra"
215,5585,0,0.03690036900369,0.0055350553505535,0.38929889298893,0.0018450184501845,0,0.003690036900369,0.0092250922509225,0.0018450184501845,0.0092250922509225,0.0018450184501845,0.0166051660516605,0.022140221402214,0.0129151291512915,0.007380073800738,0,0.011070110701107,0,0.0092250922509225,0.0018450184501845,0.0092250922509225,0,0,0,0.273062730627306,0,0.149446494464945,0.003690036900369,0,0,0.0018450184501845,0.0018450184501845,0.0018450184501845,0.0018450184501845,0.0018450184501845,0,0,0.0055350553505535,0,0.0018450184501845,0,0,0,0,0,0,0,0,0.003690036900369,0,0,0.0018450184501845,0.0018450184501845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5845,0.00251889168765743,0.035264483627204,0.0075566750629723,0.345088161209068,0.0075566750629723,0,0.017632241813602,0.0151133501259446,0.0075566750629723,0.00251889168765743,0.00251889168765743,0.00503778337531486,0.0503778337531486,0.0100755667506297,0.00251889168765743,0,0.0226700251889169,0.00503778337531486,0.0100755667506297,0.00251889168765743,0.00503778337531486,0,0,0.00251889168765743,0.201511335012594,0.00503778337531486,0.204030226700252,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00251889168765743,0,0.00251889168765743,0.00251889168765743,0,0,0.00503778337531486,0,0,0,0,0,0,0.00251889168765743,0,0,0,0.00251889168765743,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5964,0.00896860986547085,0.0134529147982063,0.00896860986547085,0.2847533632287,0.00896860986547085,0,0.00448430493273543,0.00672645739910314,0.00224215246636771,0.00896860986547085,0.00224215246636771,0.015695067264574,0.0650224215246637,0.0358744394618834,0,0,0.0246636771300448,0.015695067264574,0.00672645739910314,0.00672645739910314,0.0134529147982063,0,0,0.0448430493273543,0.226457399103139,0.00896860986547085,0.143497757847534,0.00672645739910314,0,0,0.00896860986547085,0.00672645739910314,0.00448430493273543,0,0,0,0,0.00448430493273543,0,0.00224215246636771,0.00224215246636771,0,0,0,0,0,0,0,0,0,0.00448430493273543,0,0,0,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6072,0,0.0143112701252236,0.00894454382826476,0.239713774597496,0.0161001788908766,0.00178890876565295,0.00536672629695885,0.0071556350626118,0.00536672629695885,0,0,0.00536672629695885,0.0411449016100179,0.0196779964221825,0.0071556350626118,0,0.0143112701252236,0,0,0.0035778175313059,0.0143112701252236,0,0,0.0035778175313059,0.468694096601073,0,0.0983899821109123,0,0,0.0035778175313059,0.0035778175313059,0.0035778175313059,0.00178890876565295,0,0,0,0.00178890876565295,0.0035778175313059,0,0.0035778175313059,0,0,0,0,0,0,0,0,0,0,0.00178890876565295,0,0,0,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,6252,0,0.0229007633587786,0.0114503816793893,0.309160305343511,0.00763358778625954,0.00190839694656489,0.0114503816793893,0.0305343511450382,0.00190839694656489,0.00190839694656489,0,0.0133587786259542,0.0324427480916031,0.0782442748091603,0.0286259541984733,0.00190839694656489,0.0190839694656489,0,0,0.00190839694656489,0.00763358778625954,0,0,0.00190839694656489,0.362595419847328,0,0.0267175572519084,0.00381679389312977,0,0.00190839694656489,0,0.00190839694656489,0,0.00190839694656489,0,0,0,0.00381679389312977,0,0.00954198473282443,0.00190839694656489,0,0,0,0,0,0,0,0.00190839694656489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6433,0.00471698113207547,0.0141509433962264,0.0283018867924528,0.153301886792453,0.0070754716981132,0.00235849056603774,0.0141509433962264,0.0212264150943396,0.00235849056603774,0.00943396226415094,0,0.0212264150943396,0.0919811320754717,0.0283018867924528,0.0117924528301887,0.0117924528301887,0.0165094339622642,0.00471698113207547,0.0117924528301887,0.0117924528301887,0.0117924528301887,0,0,0.00471698113207547,0.438679245283019,0.00235849056603774,0.0070754716981132,0.00943396226415094,0,0.00235849056603774,0,0.00943396226415094,0.00471698113207547,0.00235849056603774,0,0,0.00235849056603774,0.0283018867924528,0,0,0,0,0,0,0,0,0.00235849056603774,0,0.00235849056603774,0,0.00235849056603774,0,0,0.00235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,6541,0,0.0259319286871961,0.00324149108589951,0.309562398703404,0.00810372771474878,0.00486223662884927,0.00648298217179903,0.0145867098865478,0.00972447325769854,0.00162074554294976,0,0.00972447325769854,0.059967585089141,0.0307941653160454,0,0.00324149108589951,0.0129659643435981,0,0.00162074554294976,0.00162074554294976,0.0129659643435981,0,0,0.00972447325769854,0.367909238249595,0.00162074554294976,0.0761750405186386,0.00324149108589951,0,0.00972447325769854,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00324149108589951,0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0,0,0.00324149108589951,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,6656,0,0.0163339382940109,0.00907441016333938,0.248638838475499,0.00907441016333938,0.00181488203266788,0.0108892921960073,0.00544464609800363,0,0.0072595281306715,0,0.0127041742286751,0.0943738656987296,0.0780399274047187,0,0,0.014519056261343,0.00181488203266788,0.0072595281306715,0.0072595281306715,0.0072595281306715,0,0,0.00181488203266788,0.368421052631579,0,0.0526315789473684,0.00544464609800363,0,0.00181488203266788,0.00181488203266788,0.00181488203266788,0.0108892921960073,0,0.0072595281306715,0,0,0.00544464609800363,0,0.00544464609800363,0,0,0,0.00181488203266788,0,0,0,0,0,0,0,0,0,0.00181488203266788,0,0,0.00181488203266788,0,0,0,0,0,0,0,0,0,0,0,0,0
335,6900,0,0.011611030478955,0.00870827285921625,0.283018867924528,0,0,0.00725689404934688,0.0159651669085631,0.0058055152394775,0.00725689404934688,0,0.0203193033381713,0.0566037735849057,0.04644412191582,0.0246734397677794,0.00145137880986938,0.0246734397677794,0.00435413642960813,0.00145137880986938,0.0101596516690856,0.011611030478955,0,0,0.00435413642960813,0.397677793904209,0,0.0377358490566038,0.00290275761973875,0.00145137880986938,0,0,0.00725689404934688,0.00145137880986938,0.00145137880986938,0,0,0.00145137880986938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145137880986938,0,0,0,0.00145137880986938,0,0,0,0,0,0,0,0,0,0,0,0
350,7266,0.00221238938053097,0.0132743362831858,0.0132743362831858,0.139380530973451,0.0110619469026549,0,0.00442477876106195,0.0154867256637168,0,0.0110619469026549,0,0.0176991150442478,0.0752212389380531,0.0575221238938053,0.0199115044247788,0,0.0110619469026549,0.00221238938053097,0,0.00442477876106195,0.0088495575221239,0,0.00221238938053097,0,0.559734513274336,0,0.00442477876106195,0.00442477876106195,0,0.00221238938053097,0,0.00221238938053097,0.00221238938053097,0,0,0,0,0.00442477876106195,0,0.00442477876106195,0,0,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
