"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Heteranthera","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum.persicaria","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
100,3012,3,0,17,1,0,2,0,2,0,27,0,0,0,0,0,0,0,0,4,35,3,3,0,4,0,4,0,3,0,0,0,0,0,0,7,4,28,0,0,1,0,0,0,0,12,0,0,0,0,0,6,0,1,16,0,39,1,0,0
110,3452,1,0,15,0,0,0,0,1,0,31,0,3,0,0,0,1,1,0,0,33,2,3,0,7,0,1,0,0,0,0,0,0,0,0,9,2,27,0,1,3,0,0,0,2,22,0,0,0,0,0,0,0,1,7,0,39,0,0,0
120,3892,1,0,23,1,0,0,0,2,0,31,0,0,0,0,1,2,0,0,1,18,3,3,0,2,0,4,1,2,0,0,0,1,0,0,4,1,35,0,1,1,0,1,0,1,26,0,0,0,0,0,5,0,2,2,0,41,0,0,0
130,4333,1,0,15,1,0,4,0,0,0,31,0,4,0,0,0,2,2,0,1,32,1,1,0,2,0,3,0,0,0,0,0,1,0,0,1,2,27,0,1,0,0,0,0,0,23,0,0,0,0,0,2,0,1,11,0,44,0,0,0
140,4773,1,0,15,2,0,3,0,1,0,31,0,3,0,0,2,2,0,0,1,20,4,3,0,7,0,2,0,1,1,0,0,0,0,0,6,4,48,0,1,0,0,0,0,1,18,0,0,0,0,0,2,0,2,5,0,35,0,0,0
150,5213,0,0,24,1,0,0,0,2,0,32,0,4,0,0,0,2,0,0,3,20,1,0,0,5,0,0,0,2,0,0,0,0,0,0,10,7,37,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,6,0,29,0,0,0
160,5362,0,0,3,0,1,1,0,0,1,13,0,4,0,0,1,2,0,0,0,10,0,0,1,2,0,1,0,3,0,0,0,0,0,0,5,0,24,0,2,0,0,0,0,2,22,0,0,0,0,0,0,0,1,75,0,36,0,0,0
170,5511,1,0,5,2,0,0,0,3,0,6,0,0,0,0,0,4,2,0,0,7,1,1,0,4,0,0,1,3,0,0,0,0,0,0,3,0,54,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,102,0,5,0,0,0
180,5660,0,0,5,0,0,0,0,2,0,6,0,2,0,0,1,5,1,0,0,18,1,3,0,5,0,1,0,0,1,0,0,0,0,0,2,1,57,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,1,67,0,26,0,0,0
190,5808,0,0,12,1,0,0,0,1,0,9,0,1,0,0,0,9,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,0,0,0,8,1,54,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,60,0,23,0,0,0
200,5957,0,0,7,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,1,52,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,111,0,11,0,0,0
210,6106,0,0,8,1,0,0,0,1,0,5,0,1,0,0,1,2,0,0,0,13,2,2,0,1,0,2,0,2,0,0,0,0,0,0,4,1,58,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,73,0,20,0,0,0
220,6255,1,0,6,0,0,0,0,2,0,6,0,1,0,0,0,3,2,0,0,9,1,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,51,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,78,0,31,0,0,0
230,6404,0,0,9,1,0,1,0,1,1,1,0,3,1,0,0,3,0,0,0,5,1,4,0,7,0,0,0,2,0,0,0,0,0,0,4,2,56,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,74,0,28,0,0,0
240,6552,0,0,6,1,0,2,0,0,0,2,0,6,0,0,3,3,0,0,0,7,4,2,0,3,0,1,0,2,0,0,0,0,0,0,5,0,76,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,57,0,16,0,0,0
250,6701,0,0,3,1,0,2,1,0,0,3,0,3,0,0,1,2,0,0,0,3,1,2,0,3,1,0,0,0,0,0,0,0,0,0,11,0,79,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,3,33,0,31,0,0,0
260,6850,1,0,1,0,0,2,0,0,1,2,0,1,0,0,4,4,2,0,0,2,0,5,0,4,0,0,0,0,0,0,0,0,0,0,10,0,96,0,0,1,0,0,0,3,16,0,0,0,0,0,0,0,0,43,0,15,0,0,0
270,6999,1,0,2,0,1,2,0,1,0,2,0,3,0,2,5,4,2,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,12,0,95,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,1,19,0,17,0,0,0
280,7148,3,0,4,1,1,2,0,0,0,4,0,2,0,0,1,4,1,0,0,2,1,9,0,6,0,0,0,2,0,0,0,0,0,0,16,0,89,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,3,12,0,22,0,0,0
290,7296,4,0,4,0,0,4,0,3,1,9,0,2,0,1,2,5,1,0,0,0,3,2,0,5,0,2,0,0,0,0,0,0,0,0,9,0,102,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,1,14,0,17,0,0,0
300,7445,2,0,6,0,0,1,0,0,0,5,0,0,0,0,1,4,0,0,0,4,1,3,0,3,0,1,0,0,0,0,0,0,0,0,10,0,108,0,2,0,0,0,0,1,27,0,0,0,0,0,0,0,0,14,0,16,0,0,0
310,7594,2,0,4,0,1,1,0,1,1,7,0,2,0,1,4,6,2,0,0,1,0,2,0,2,0,0,0,1,0,0,0,1,1,0,8,1,121,0,0,2,0,0,0,2,17,0,0,0,0,0,0,0,0,12,0,13,0,0,0
320,7743,5,0,8,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,1,1,3,0,2,0,1,1,3,0,0,0,0,0,0,10,2,115,0,2,0,0,0,0,1,21,0,0,0,0,0,0,0,0,6,1,17,1,0,0
330,7892,2,0,1,0,0,1,0,0,0,14,0,1,0,0,2,8,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,2,0,7,0,122,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,4,2,14,0,0,0
340,8169,5,0,4,1,0,1,0,0,2,12,1,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,9,1,133,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,1,11,2,0,0
350,8576,4,0,3,0,0,0,0,0,4,13,0,1,0,0,0,15,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,1,0,7,3,143,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,3,0,8,0,0,0
360,8983,5,0,0,0,0,2,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,2,0,5,4,129,0,0,1,0,1,0,0,16,0,0,0,0,0,1,0,0,2,0,11,1,0,0
370,9390,2,0,6,0,0,0,0,0,2,13,0,0,0,1,2,4,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,3,0,138,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,1,1,0,9,0,0,0
380,9797,4,0,0,0,0,2,0,0,1,22,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,1,0,0,0,0,0,0,7,2,124,0,0,2,0,1,0,0,22,0,0,1,0,0,0,0,0,1,0,7,1,0,0
390,10204,5,0,1,3,0,2,0,1,0,18,0,0,0,0,2,6,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,4,1,134,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,8,1,0,0
400,10611,8,0,1,0,0,0,0,1,2,35,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,5,6,108,0,0,0,0,1,0,3,15,0,0,0,0,0,0,0,0,1,0,12,1,0,0
410,11018,6,0,7,0,2,0,0,0,0,11,0,1,0,0,0,7,0,0,0,0,0,2,0,7,0,0,0,1,1,0,0,2,0,0,7,2,143,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0
420,11425,8,0,0,0,0,0,0,0,0,46,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,6,4,90,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,8,0,0,0
430,11610,11,1,0,1,1,1,0,1,1,35,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,100,0,0,2,0,2,0,3,28,0,0,0,0,0,0,0,0,0,1,9,0,0,0
440,11796,9,0,2,1,0,0,0,0,0,43,0,1,0,0,0,3,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,11,13,87,0,0,0,0,1,0,2,21,0,0,1,0,0,0,0,0,1,0,4,1,0,0
450,11981,9,0,1,0,0,0,0,2,2,8,0,0,0,0,0,2,1,1,0,0,0,0,0,7,0,1,0,3,0,0,0,0,0,0,4,44,100,0,0,2,0,0,0,1,17,0,0,0,0,0,0,0,0,1,0,9,0,0,0
460,12166,1,0,1,2,0,1,0,0,2,4,0,2,0,0,1,7,1,0,0,0,0,2,0,6,0,3,0,1,0,0,0,0,0,0,8,61,76,0,0,1,0,5,0,2,19,0,0,1,0,0,0,1,0,0,1,1,0,0,0
470,12352,1,0,1,0,0,0,0,3,0,3,0,1,0,0,0,3,1,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,76,93,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,1,0,9,0,0,0
480,12537,2,0,0,0,2,1,0,3,0,6,0,1,0,0,0,7,1,0,0,0,0,1,0,7,0,0,0,3,0,0,0,0,0,0,1,80,64,0,0,0,0,7,0,1,9,0,0,1,0,0,1,2,0,1,0,9,0,0,0
490,12723,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,130,38,0,0,4,0,0,1,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0
500,NA,0,0,0,0,0,1,0,9,0,13,0,0,0,0,0,42,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,3,95,22,0,0,2,0,0,0,0,8,1,0,2,0,1,0,0,0,0,0,1,2,0,0
510,NA,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,64,2,0,0,0,1,0,0,2,0,0,0,0,0,0,13,0,0,0,1,15,9,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
520,NA,1,0,0,1,0,2,0,2,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,29,32,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0
530,NA,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,16,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,22,34,0,0,11,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,3,116,0,0
540,NA,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,39,36,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0
550,NA,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,58,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,0,0
560,NA,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,4,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,26,40,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,5,42,0,0
