"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Fagus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Pinus","Populus","Fraxinus.undiff.","Salix","Alnus","Poaceae","Acer.saccharum","Fraxinus.nigra","Artemisia","Platanus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.americana.type","Asteraceae.subf..Cichorioideae","Thalictrum","Apiaceae","Ambrosia","Sanguisorba","Urtica","Amaranthaceae.undiff.","Cupressaceae","Shepherdia.canadensis","Arceuthobium","Carya","Caryophyllaceae","Rosaceae.undiff.","Dryas","Celtis","Sarcobatus.vermiculatus","Iva.annua"
220,13920,0.0146341463414634,0.0536585365853659,0.0780487804878049,0,0,0.0048780487804878,0.0634146341463415,0.414634146341463,0.0780487804878049,0.0097560975609756,0.0048780487804878,0.141463414634146,0,0.0195121951219512,0,0.0097560975609756,0.024390243902439,0,0.0048780487804878,0.0195121951219512,0,0.0195121951219512,0.0146341463414634,0,0,0,0.0048780487804878,0.0048780487804878,0,0,0.0097560975609756,0.0048780487804878,0,0,0,0,0,0,0,0
230,14003,0.0099009900990099,0.0247524752475248,0.0841584158415842,0,0,0,0.0445544554455446,0.440594059405941,0.0693069306930693,0,0.0346534653465347,0.148514851485149,0,0.0099009900990099,0.00495049504950495,0.00495049504950495,0.0445544554455446,0,0.0099009900990099,0.0346534653465347,0,0.0148514851485149,0,0,0,0,0.00495049504950495,0,0,0,0,0,0.00495049504950495,0.0099009900990099,0,0,0,0,0,0
240,14085,0.00490196078431373,0.00980392156862745,0.0784313725490196,0,0,0,0.0441176470588235,0.455882352941176,0.0588235294117647,0.00490196078431373,0.00980392156862745,0.156862745098039,0,0.0196078431372549,0.0147058823529412,0,0.0441176470588235,0,0.00980392156862745,0.0147058823529412,0,0.0392156862745098,0.00980392156862745,0,0.00490196078431373,0,0.00490196078431373,0,0,0,0,0,0,0,0.00490196078431373,0.00980392156862745,0,0,0,0
250,14167,0.00483091787439614,0.0193236714975845,0.0531400966183575,0.00483091787439614,0,0,0.0531400966183575,0.51207729468599,0.0434782608695652,0,0.0193236714975845,0.135265700483092,0,0.0338164251207729,0,0,0.0241545893719807,0,0.0144927536231884,0.00966183574879227,0,0.00966183574879227,0.0193236714975845,0,0,0,0.0193236714975845,0,0,0.00483091787439614,0,0.00483091787439614,0,0.00483091787439614,0.00966183574879227,0,0,0,0,0
260,14250,0.0149253731343284,0.0199004975124378,0.0646766169154229,0,0,0,0.0447761194029851,0.587064676616915,0.0447761194029851,0,0.0099502487562189,0.109452736318408,0,0.00497512437810945,0,0.00497512437810945,0.0298507462686567,0,0.00497512437810945,0.0149253731343284,0,0.0248756218905473,0,0,0,0,0.0149253731343284,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0
270,14332,0,0.0198019801980198,0.0841584158415842,0.00495049504950495,0,0,0.0841584158415842,0.5,0.0891089108910891,0,0.0148514851485149,0.103960396039604,0,0.0148514851485149,0,0.00495049504950495,0.0148514851485149,0.00495049504950495,0.0148514851485149,0.0148514851485149,0,0.0198019801980198,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0.00495049504950495,0,0,0
280,14414,0.0148514851485149,0.0198019801980198,0.0495049504950495,0,0,0,0.0099009900990099,0.653465346534653,0.0594059405940594,0,0.0099009900990099,0.0891089108910891,0,0.0099009900990099,0,0,0.0148514851485149,0.00495049504950495,0.00495049504950495,0.0396039603960396,0,0.00495049504950495,0.00495049504950495,0,0,0,0.00495049504950495,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0
290,NA,0.00497512437810945,0.0099502487562189,0.0646766169154229,0,0,0,0.0796019900497512,0.577114427860697,0.0696517412935323,0,0.0149253731343284,0.0845771144278607,0,0.00497512437810945,0,0.00497512437810945,0.0099502487562189,0,0,0.0348258706467662,0,0.0298507462686567,0.00497512437810945,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0
300,NA,0.0148514851485149,0.0297029702970297,0.0594059405940594,0.00495049504950495,0,0,0.0297029702970297,0.623762376237624,0.0643564356435644,0.00495049504950495,0.00495049504950495,0.0693069306930693,0,0.0099009900990099,0,0,0.0297029702970297,0,0.0099009900990099,0.0148514851485149,0,0.0198019801980198,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0
310,NA,0,0.00970873786407767,0.0970873786407767,0,0,0,0.0485436893203883,0.524271844660194,0.0485436893203883,0,0.00970873786407767,0.0679611650485437,0,0.0242718446601942,0,0.00485436893203883,0.029126213592233,0,0.0194174757281553,0.0631067961165049,0,0.00970873786407767,0.00485436893203883,0,0,0,0.0145631067961165,0,0,0,0.00970873786407767,0,0,0,0,0.00485436893203883,0,0.00485436893203883,0.00485436893203883,0
320,NA,0,0.0149253731343284,0.0895522388059701,0,0.00497512437810945,0,0.0696517412935323,0.522388059701492,0.119402985074627,0,0,0.0398009950248756,0,0.00497512437810945,0.00497512437810945,0.0149253731343284,0.0447761194029851,0,0,0.0149253731343284,0.00497512437810945,0.0149253731343284,0.00497512437810945,0,0,0,0.0149253731343284,0,0,0.00497512437810945,0.00497512437810945,0,0,0,0,0,0,0,0,0.00497512437810945
330,NA,0.00483091787439614,0.0193236714975845,0.072463768115942,0,0,0,0.0869565217391304,0.48792270531401,0.0483091787439614,0,0.00966183574879227,0.120772946859903,0,0.0386473429951691,0,0.00483091787439614,0.0193236714975845,0,0.0386473429951691,0.0193236714975845,0,0.00966183574879227,0,0,0,0,0.00483091787439614,0,0,0,0.00483091787439614,0.00483091787439614,0,0,0,0,0,0,0,0.00483091787439614
