"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Cornus.canadensis","Cornus.sericea.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Cyperaceae","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Equisetum","Lycopodium","Matteuccia.struthiopteris","Osmunda","Polypodiaceae","Pteridium","Sphagnum","Nymphaea","Sparganium","Typha","Indeterminable"
5,126,24,1,23,108,0,0,0,1,10,0,46,2,0,2,0,0,0,69,0,32,0,0,0,0,2,17,0,9,0,0,1,0,0,0,6,6,0,0,0,0,0,7,0,0,1,0,161,0,0,0,11
6,160,16,0,28,73,1,0,0,0,5,0,52,0,6,0,0,1,2,78,0,38,0,2,0,0,0,33,0,8,0,0,0,0,0,0,3,7,0,0,0,2,0,9,0,1,1,1,198,0,0,2,20
7,194,24,1,25,82,0,0,0,0,1,0,31,1,1,0,2,0,2,58,0,39,2,7,1,0,0,36,0,9,0,0,1,0,0,0,4,3,0,0,0,1,1,3,0,1,0,3,169,0,0,1,14
8,228,12,2,13,72,0,0,0,0,0,0,39,1,0,0,0,2,6,121,0,27,0,1,1,0,0,34,0,7,0,0,1,0,0,0,4,4,0,0,0,0,0,1,0,1,1,1,108,0,0,0,10
9,262,6,0,21,85,0,0,0,0,2,0,42,1,2,2,0,1,0,76,0,70,0,3,1,0,0,18,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,4,0,1,0,0,95,0,0,0,8
10,296,7,1,5,99,0,2,0,0,2,0,38,3,2,0,0,0,0,95,1,26,0,3,1,1,3,18,0,4,0,0,1,0,0,0,9,3,0,0,0,0,0,7,0,0,5,0,125,0,0,0,12
11.5,346,26,4,16,91,0,0,0,0,4,0,40,4,0,0,1,0,0,64,2,30,0,7,2,0,0,35,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,6,1,127,0,0,0,7
13,397,46,1,24,105,0,0,0,0,0,0,42,3,0,1,1,0,0,46,0,28,0,4,0,0,0,54,0,3,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0,0,2,0,31,0,0,0,7
15,465,17,0,20,74,0,0,0,0,4,0,27,8,1,1,0,4,0,67,0,74,0,1,0,0,0,42,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,2,1,0,61,0,0,2,12
16.5,516,29,0,7,107,0,0,0,0,0,1,40,1,4,1,0,0,3,66,1,29,0,7,1,0,0,47,1,3,0,0,1,0,0,0,9,0,0,0,0,0,0,5,0,1,3,0,66,0,0,0,4
18,566,34,0,7,140,0,0,0,0,2,0,37,9,1,0,2,0,0,40,0,22,0,4,0,0,0,65,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,2,0,0,1,0,38,0,0,0,7
20,634,26,0,10,146,0,0,0,0,13,0,41,4,1,2,0,0,0,31,0,42,0,3,1,0,0,50,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,0,1,2,0,40,0,0,1,13
21.5,760,34,0,16,180,0,0,0,0,1,0,52,10,1,1,1,0,0,30,2,44,0,5,1,0,0,71,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,70,0,0,0,7
23,886,32,0,15,214,0,0,0,0,2,0,42,15,0,0,0,0,3,28,0,50,0,3,0,0,1,95,0,2,0,1,0,0,0,0,5,1,2,0,0,2,0,4,0,1,0,0,45,0,0,0,5
25,1054,12,2,22,200,0,0,0,0,1,0,42,13,2,9,0,1,0,38,0,56,0,3,1,0,0,56,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,40,0,0,0,28
26.5,1179,34,0,5,163,3,1,0,0,3,0,39,14,0,0,0,1,0,16,0,43,0,3,2,0,1,62,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0,9
28,1305,48,0,14,205,1,0,0,0,1,0,71,24,0,0,0,0,0,22,1,82,0,0,2,0,0,90,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,10
30,1473,6,0,16,176,0,0,0,0,0,0,33,6,5,0,0,1,3,16,0,42,1,1,1,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,23
31.5,1599,16,1,11,196,0,0,0,0,1,0,53,7,0,1,1,0,0,22,0,36,0,4,1,0,2,62,0,0,0,0,0,0,0,0,10,0,0,2,0,1,0,3,0,0,3,0,108,0,0,0,2
33,1725,22,2,7,163,0,0,0,0,1,0,12,16,1,0,0,0,0,8,0,64,0,3,0,0,0,51,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,2,0,1,0,0,30,0,0,0,1
35,1893,16,1,8,174,0,0,0,0,4,0,24,13,6,1,0,0,0,10,0,58,0,0,0,0,0,31,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,6
40,2080,12,0,6,121,1,0,0,0,1,0,13,14,4,0,3,1,0,10,0,53,0,5,0,0,0,61,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,568,0,0,1,6
45,2209,26,1,10,123,1,0,0,0,11,0,30,17,4,1,2,1,0,18,3,38,0,6,0,0,0,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,1,1,34,0,0,0,6
50,2339,16,0,3,57,0,0,0,0,2,0,14,26,0,0,3,0,1,22,0,98,1,0,0,0,0,75,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,3,0,71,0,0,0,4
60,2598,20,1,8,75,1,1,0,1,4,0,14,12,2,0,2,0,0,14,1,72,0,0,0,0,0,76,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,214,0,0,0,5
75,2986,22,0,6,121,0,0,0,0,0,0,25,19,1,0,0,0,0,6,0,63,0,3,0,0,0,80,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,178,0,0,0,10
85,NA,8,1,5,93,0,0,0,0,1,0,55,18,4,0,0,1,1,4,1,130,0,3,0,0,0,40,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,119,0,0,0,5
93,NA,2,0,0,33,0,0,0,0,2,0,2,4,0,0,0,1,0,1,0,35,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,3
