"sample.depths","sample.ages","Betula","Cyperaceae","Picea","Quercus","Salix","Tsuga","Alnus","Ambrosia","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Carya","Ulmus","Acer.saccharum","Larix","Myrica.gale","Corylus","Fagus","Fraxinus.nigra","Ostrya","Ericaceae","Populus","Rosaceae","Cupressaceae","Fraxinus.americana","Asteraceae.subf..Asteroideae.undiff.","Ranunculus","Juglans.cinerea","Platanus","Thalictrum","Shepherdia.canadensis"
220,8033,0.107142857142857,0.0446428571428571,0.0133928571428571,0.0267857142857143,0.00446428571428571,0.00446428571428571,0.0178571428571429,0.00892857142857143,0,0.00446428571428571,0.00446428571428571,0.491071428571429,0.200892857142857,0.00892857142857143,0,0.00446428571428571,0,0.00892857142857143,0.0133928571428571,0,0,0.00892857142857143,0.0133928571428571,0,0,0,0.00446428571428571,0,0.00892857142857143,0,0,0,0,0
230,8420,0.178743961352657,0,0.0386473429951691,0.0483091787439614,0,0,0.00966183574879227,0.00966183574879227,0,0,0.00483091787439614,0.111111111111111,0.541062801932367,0,0,0.00483091787439614,0.00483091787439614,0.0144927536231884,0.00483091787439614,0,0,0,0.0144927536231884,0,0.00483091787439614,0,0,0,0.00966183574879227,0,0,0,0,0
240,8806,0.245454545454545,0,0.0318181818181818,0.0227272727272727,0,0,0.0318181818181818,0.0181818181818182,0,0,0.0136363636363636,0.172727272727273,0.381818181818182,0.00454545454545455,0,0.0136363636363636,0,0.00454545454545455,0.0363636363636364,0,0,0.00454545454545455,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0
250,9193,0.205357142857143,0,0.03125,0.0401785714285714,0.00446428571428571,0,0.0357142857142857,0.0133928571428571,0,0,0.00892857142857143,0,0.584821428571429,0.00892857142857143,0.00446428571428571,0.00446428571428571,0,0.00446428571428571,0.0446428571428571,0,0,0,0.00446428571428571,0,0,0,0,0.00446428571428571,0,0,0,0,0,0
260,9579,0.258064516129032,0.00921658986175115,0.0552995391705069,0.032258064516129,0.00460829493087558,0,0.00460829493087558,0.0138248847926267,0,0.00460829493087558,0,0.0230414746543779,0.497695852534562,0,0,0.00460829493087558,0,0.0138248847926267,0.0138248847926267,0.00460829493087558,0,0.00921658986175115,0.0184331797235023,0,0.00460829493087558,0,0.00460829493087558,0,0.0184331797235023,0.00460829493087558,0,0,0,0
270,9966,0.219827586206897,0.0301724137931034,0.107758620689655,0.0560344827586207,0.0129310344827586,0,0.0301724137931034,0.0129310344827586,0.00862068965517241,0,0,0,0.400862068965517,0.0172413793103448,0,0.021551724137931,0.00431034482758621,0.0129310344827586,0.0172413793103448,0,0,0,0.0387931034482759,0,0,0,0.00431034482758621,0,0.00431034482758621,0,0,0,0,0
280,10352,0.139013452914798,0.00448430493273543,0.130044843049327,0.0448430493273543,0.0134529147982063,0.00448430493273543,0.0269058295964126,0,0.00448430493273543,0.00896860986547085,0,0.0134529147982063,0.47085201793722,0.0179372197309417,0.00448430493273543,0.0134529147982063,0.00448430493273543,0.0179372197309417,0.0224215246636771,0.00448430493273543,0,0.00896860986547085,0.0224215246636771,0,0,0,0.00896860986547085,0,0,0.00896860986547085,0.00448430493273543,0,0,0
290,10739,0.196428571428571,0.00446428571428571,0.0446428571428571,0.0357142857142857,0,0,0.0223214285714286,0.0223214285714286,0.00446428571428571,0.00446428571428571,0,0.0580357142857143,0.450892857142857,0.00446428571428571,0,0.0267857142857143,0,0.00892857142857143,0.0401785714285714,0,0,0.0178571428571429,0.0357142857142857,0,0.00892857142857143,0,0,0,0,0,0,0.00892857142857143,0.00446428571428571,0
300,11125,0.241525423728814,0,0.0677966101694915,0.0635593220338983,0.0211864406779661,0.00423728813559322,0.0127118644067797,0.0127118644067797,0,0.00423728813559322,0,0.0127118644067797,0.398305084745763,0.00847457627118644,0.00423728813559322,0.0169491525423729,0,0.00423728813559322,0.0677966101694915,0,0,0.00847457627118644,0.0127118644067797,0,0.00847457627118644,0,0.00423728813559322,0,0.00847457627118644,0.0169491525423729,0,0,0,0
310,NA,0.227678571428571,0,0.178571428571429,0.0535714285714286,0.00446428571428571,0,0.0133928571428571,0.00446428571428571,0.0178571428571429,0,0,0,0.379464285714286,0.0178571428571429,0.00446428571428571,0.00446428571428571,0,0.00446428571428571,0.0357142857142857,0,0,0.0133928571428571,0.0133928571428571,0,0,0,0.0133928571428571,0,0.00446428571428571,0.00892857142857143,0,0,0,0
320,NA,0.209090909090909,0.0136363636363636,0.163636363636364,0.0681818181818182,0.0227272727272727,0,0.0181818181818182,0.00909090909090909,0,0,0.00454545454545455,0.0181818181818182,0.372727272727273,0.0227272727272727,0,0.0136363636363636,0,0.0272727272727273,0,0,0,0,0.0136363636363636,0,0.0136363636363636,0,0,0,0.00454545454545455,0,0.00454545454545455,0,0,0
330,NA,0.104072398190045,0.00904977375565611,0.425339366515837,0.085972850678733,0.0135746606334842,0,0.0316742081447964,0.0316742081447964,0,0,0,0.0135746606334842,0.221719457013575,0.00452488687782805,0,0.0180995475113122,0,0.00904977375565611,0.00452488687782805,0,0,0.00452488687782805,0.0135746606334842,0,0.00904977375565611,0,0,0,0,0,0,0,0,0
335,NA,0.111111111111111,0.0185185185185185,0.486111111111111,0.0740740740740741,0.00462962962962963,0,0.0185185185185185,0.00925925925925926,0.00925925925925926,0.00462962962962963,0,0.0185185185185185,0.148148148148148,0.00462962962962963,0.00462962962962963,0.0231481481481481,0,0,0,0,0,0,0.0185185185185185,0,0.0231481481481481,0,0.0138888888888889,0.00462962962962963,0.00462962962962963,0,0,0,0,0
340,NA,0.0432900432900433,0.051948051948052,0.411255411255411,0.0779220779220779,0.012987012987013,0,0.0173160173160173,0.00432900432900433,0,0,0,0.012987012987013,0.203463203463203,0.025974025974026,0.00432900432900433,0.051948051948052,0,0.00432900432900433,0.0173160173160173,0,0,0.00865800865800866,0.038961038961039,0,0.00865800865800866,0,0,0,0.00432900432900433,0,0,0,0,0
345,NA,0.0372093023255814,0.0232558139534884,0.497674418604651,0.0790697674418605,0.013953488372093,0.00465116279069767,0,0,0.00465116279069767,0,0,0.0232558139534884,0.162790697674419,0.0232558139534884,0.00930232558139535,0.0372093023255814,0.00465116279069767,0,0,0,0,0,0.013953488372093,0.00465116279069767,0.0186046511627907,0,0.0372093023255814,0,0,0,0,0.00465116279069767,0,0
350,NA,0.0336134453781513,0.0630252100840336,0.235294117647059,0.105042016806723,0.00420168067226891,0,0.00840336134453781,0.00840336134453781,0.00420168067226891,0.00840336134453781,0.00420168067226891,0.0126050420168067,0.247899159663866,0.046218487394958,0.00420168067226891,0.0294117647058824,0,0,0.00420168067226891,0,0,0,0.0126050420168067,0,0.0756302521008403,0,0.0756302521008403,0.00420168067226891,0.00840336134453781,0,0,0,0,0.00420168067226891
355,NA,0.150442477876106,0,0.119469026548673,0.0663716814159292,0.0176991150442478,0,0.00442477876106195,0.0088495575221239,0,0.0309734513274336,0.00442477876106195,0.0088495575221239,0.252212389380531,0.0442477876106195,0.00442477876106195,0.0442477876106195,0.00442477876106195,0,0,0,0,0,0.0176991150442478,0.00442477876106195,0.106194690265487,0,0.088495575221239,0.00442477876106195,0.00442477876106195,0,0,0.0132743362831858,0,0
370,NA,0.130434782608696,0.0173913043478261,0.130434782608696,0.0608695652173913,0.00869565217391304,0,0.0173913043478261,0.0260869565217391,0,0.0173913043478261,0,0.0173913043478261,0.339130434782609,0.0260869565217391,0,0.0956521739130435,0,0,0,0,0,0,0,0.00869565217391304,0.0782608695652174,0,0.0173913043478261,0,0,0,0,0,0,0.00869565217391304
