"sample.depths","sample.ages","Abies","Acer.saccharum.type","Artemisia","Betula","Chamaedaphne.calyculata","Cupressaceae","Cyperaceae","Empetrum","Fagus","Gaultheria","Picea","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Alnus","Fraxinus","Myrica","Pinus","Amaranthaceae","Poaceae","Plantago","Ericaceae.undiff.","Acer.rubrum","Ambrosia.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Cornus","Ledum","Salix","Tilia","Pyrus.type","Carya","Cephalanthus","Gaylussacia","Ilex","Rhododendron","Rosaceae.undiff.","Juglans","Corylus","Ranunculaceae.undiff.","Populus","Sanguisorba","Brassicaceae","Caryophyllaceae","Polygonum"
135,1945,0.0489913544668588,0.00288184438040346,0,0.170028818443804,0.00288184438040346,0,0.00288184438040346,0.135446685878963,0.0144092219020173,0,0.262247838616715,0,0,0.0345821325648415,0,0.00576368876080692,0,0.00576368876080692,0,0.0230547550432277,0.239193083573487,0,0,0,0.0144092219020173,0.00288184438040346,0,0,0,0,0,0.0259365994236311,0,0,0,0,0.00864553314121038,0,0,0,0,0,0,0,0,0,0,0,0
140,2028,0.062937062937063,0.00524475524475524,0,0.236013986013986,0,0.00174825174825175,0.00174825174825175,0.0034965034965035,0.0314685314685315,0,0.236013986013986,0.0227272727272727,0,0.122377622377622,0,0,0,0.0297202797202797,0.00174825174825175,0.00524475524475524,0.20979020979021,0,0,0,0.006993006993007,0,0,0.013986013986014,0,0,0,0.00524475524475524,0,0,0,0.00174825174825175,0,0,0,0.00174825174825175,0,0,0,0,0,0,0,0,0
145,2113,0.0347682119205298,0.0033112582781457,0,0.162251655629139,0.00496688741721854,0.0033112582781457,0,0.104304635761589,0.00993377483443709,0,0.0678807947019868,0.0033112582781457,0,0.145695364238411,0,0,0,0.0115894039735099,0.0033112582781457,0.0562913907284768,0.336092715231788,0,0,0,0.0298013245033113,0,0,0.0033112582781457,0,0.00165562913907285,0.00165562913907285,0.0149006622516556,0,0,0,0.00165562913907285,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2200,0.0521739130434783,0,0,0.104347826086957,0,0,0,0,0,0,0.165217391304348,0,0,0.156521739130435,0,0.00869565217391304,0,0.0260869565217391,0,0.0173913043478261,0.443478260869565,0,0,0,0,0,0,0,0,0,0,0.0173913043478261,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2288,0.0706896551724138,0.00172413793103448,0,0.15,0,0,0,0.0275862068965517,0.0189655172413793,0.00172413793103448,0.28448275862069,0.0103448275862069,0,0.0568965517241379,0.00172413793103448,0,0,0.0103448275862069,0,0.0155172413793103,0.296551724137931,0.00172413793103448,0,0,0.0155172413793103,0.00172413793103448,0.00344827586206897,0.00344827586206897,0,0.0137931034482759,0,0.0103448275862069,0,0,0,0.00172413793103448,0,0,0,0.00172413793103448,0,0,0,0,0,0,0,0,0
160,2378,0.0203488372093023,0,0,0.0901162790697674,0.00290697674418605,0,0,0.00581395348837209,0.00872093023255814,0,0.188953488372093,0.00290697674418605,0,0.116279069767442,0,0,0,0.00290697674418605,0,0.0232558139534884,0.494186046511628,0,0,0,0.0174418604651163,0,0,0.00290697674418605,0,0,0,0.0116279069767442,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0
165,2469,0.0072992700729927,0.0364963503649635,0,0.18978102189781,0,0,0,0.0072992700729927,0,0,0.167883211678832,0.0145985401459854,0,0.182481751824818,0,0,0,0.0291970802919708,0,0,0.343065693430657,0,0,0,0.0145985401459854,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2561,0.0598705501618123,0.00485436893203883,0,0.134304207119741,0.00161812297734628,0,0,0.0129449838187702,0.0129449838187702,0.00161812297734628,0.20873786407767,0.00970873786407767,0,0.228155339805825,0,0.00485436893203883,0.00161812297734628,0.0080906148867314,0.00323624595469256,0.00323624595469256,0.266990291262136,0,0,0,0.0129449838187702,0.00323624595469256,0,0.00647249190938511,0,0.00323624595469256,0,0.00970873786407767,0,0,0,0.00161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2655,0.0752688172043011,0.010752688172043,0,0.279569892473118,0,0,0,0,0,0,0.064516129032258,0.010752688172043,0,0.129032258064516,0,0,0,0.032258064516129,0.010752688172043,0,0.268817204301075,0,0,0,0.032258064516129,0,0,0,0,0.010752688172043,0,0.0752688172043011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2751,0.0676923076923077,0,0,0.209230769230769,0,0,0,0.0123076923076923,0.00307692307692308,0,0.0738461538461539,0.00307692307692308,0,0.116923076923077,0,0.00307692307692308,0,0.00615384615384615,0,0.0184615384615385,0.464615384615385,0,0,0,0.0123076923076923,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0
185,2848,0.0476190476190476,0.00352733686067019,0,0.0529100529100529,0.0123456790123457,0,0,0.0599647266313933,0.00529100529100529,0,0.135802469135802,0,0,0.08994708994709,0,0.0017636684303351,0,0,0,0.00705467372134039,0.557319223985891,0,0,0,0.0158730158730159,0,0,0.00529100529100529,0,0,0,0.00352733686067019,0,0,0,0,0.0017636684303351,0,0,0,0,0,0,0,0,0,0,0,0
190,2947,0.072487644151565,0.00329489291598023,0,0.200988467874794,0,0,0,0.131795716639209,0.0181219110378913,0,0.103789126853377,0.00329489291598023,0,0.098846787479407,0.00164744645799012,0,0,0.0115321252059308,0,0,0.341021416803954,0,0,0,0.00329489291598023,0,0,0.00823723228995058,0,0,0,0.00164744645799012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3047,0.0259067357512953,0,0.00259067357512953,0.0544041450777202,0,0,0,0.038860103626943,0.00518134715025907,0,0.173575129533679,0.00518134715025907,0,0.103626943005181,0,0,0,0,0,0.00259067357512953,0.569948186528497,0,0,0,0.00518134715025907,0,0,0.00259067357512953,0,0,0,0.0077720207253886,0,0,0,0,0.00259067357512953,0,0,0,0,0,0,0,0,0,0,0,0
200,3149,0.025531914893617,0.00212765957446809,0.00212765957446809,0.193617021276596,0.0340425531914894,0,0,0.0106382978723404,0,0,0.0851063829787234,0.00212765957446809,0,0.0468085106382979,0,0,0,0.0148936170212766,0,0.00212765957446809,0.493617021276596,0,0,0,0.025531914893617,0,0,0.00212765957446809,0,0.00212765957446809,0,0.0553191489361702,0,0,0,0.00212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3252,0.0409556313993174,0,0,0.18259385665529,0.00853242320819113,0,0,0.0290102389078498,0.00170648464163823,0,0.133105802047782,0,0,0.0477815699658703,0.00170648464163823,0,0.0068259385665529,0.0170648464163823,0.00170648464163823,0,0.496587030716724,0,0,0.00170648464163823,0.0119453924914676,0,0,0,0,0.00170648464163823,0,0.0102389078498294,0,0,0,0,0,0,0,0.00170648464163823,0,0,0.00341296928327645,0.00170648464163823,0,0,0,0,0
210,3357,0.0350877192982456,0.00584795321637427,0.0116959064327485,0.324561403508772,0.00292397660818713,0,0,0.0350877192982456,0.00292397660818713,0,0.131578947368421,0,0,0.0204678362573099,0,0,0,0.0146198830409357,0,0,0.400584795321637,0,0,0,0.00292397660818713,0,0,0.00584795321637427,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,3463,0.0303605313092979,0,0,0.0740037950664137,0.00189753320683112,0,0,0.0170777988614801,0.00189753320683112,0,0.117647058823529,0,0,0.062618595825427,0,0,0,0,0,0.00189753320683112,0.669829222011385,0,0,0,0.0208728652751423,0,0,0.00189753320683112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3571,0.0246913580246914,0,0,0.0740740740740741,0,0,0,0.0123456790123457,0,0,0.0864197530864197,0,0,0.0411522633744856,0,0,0,0.00411522633744856,0.00411522633744856,0,0.711934156378601,0,0,0,0.0329218106995885,0,0.00411522633744856,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3680,0.0357142857142857,0,0,0.0824175824175824,0.021978021978022,0,0,0.0494505494505494,0.00274725274725275,0,0.0769230769230769,0,0,0.0494505494505494,0,0,0,0,0,0,0.648351648351648,0,0,0,0.0164835164835165,0,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0.00549450549450549,0,0,0,0,0,0
230,3791,0.0184873949579832,0.00672268907563025,0,0.223529411764706,0.00168067226890756,0,0,0.0756302521008403,0.00672268907563025,0,0.134453781512605,0,0,0.0403361344537815,0,0,0.00336134453781513,0.0184873949579832,0.00168067226890756,0,0.452100840336134,0,0,0,0.00336134453781513,0,0,0.00672268907563025,0,0.00336134453781513,0,0.00336134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3903,0.032258064516129,0,0,0.204301075268817,0,0,0.010752688172043,0.021505376344086,0,0,0.204301075268817,0,0,0,0,0,0,0.021505376344086,0.010752688172043,0,0.462365591397849,0,0,0,0.010752688172043,0,0,0,0,0,0,0.021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4017,0.037037037037037,0.0017636684303351,0.0017636684303351,0.188712522045855,0,0,0,0.017636684303351,0.0017636684303351,0,0.121693121693122,0.00352733686067019,0,0.0141093474426808,0,0.0017636684303351,0,0.037037037037037,0,0,0.530864197530864,0,0,0,0.0017636684303351,0,0,0.00352733686067019,0,0.00529100529100529,0,0.0299823633156966,0,0,0,0,0,0,0,0.0017636684303351,0,0,0,0,0,0,0,0,0
250,4249,0.154559505409583,0,0.00154559505409583,0.154559505409583,0.00772797527047913,0,0,0.0510046367851623,0,0,0.108191653786708,0.0108191653786708,0,0,0,0.00927357032457496,0.00618238021638331,0.0231839258114374,0.00463678516228748,0,0.434312210200927,0,0,0,0.00927357032457496,0.00154559505409583,0,0.00463678516228748,0,0.00927357032457496,0,0.00618238021638331,0,0.00154559505409583,0,0,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0,0
255,4368,0.0441767068273092,0.00401606425702811,0,0.0923694779116466,0.00401606425702811,0,0,0.00803212851405622,0,0,0.321285140562249,0,0,0.0281124497991968,0,0.00803212851405622,0,0.0160642570281124,0.00401606425702811,0,0.413654618473896,0,0,0,0.0120481927710843,0,0,0,0,0,0,0.0441767068273092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4488,0.0323275862068966,0.0021551724137931,0,0.0129310344827586,0,0,0.0021551724137931,0.0517241379310345,0,0,0.0926724137931035,0,0,0.228448275862069,0,0.00431034482758621,0.0021551724137931,0.0021551724137931,0.00431034482758621,0,0.506465517241379,0,0,0,0.0172413793103448,0,0,0.0021551724137931,0,0.00862068965517241,0,0.0301724137931034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4609,0.053125,0,0,0.121875,0.003125,0,0,0,0,0,0.134375,0.003125,0,0.3,0,0,0.003125,0.00625,0.003125,0,0.359375,0,0.003125,0,0.003125,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4856,0.0178890876565295,0,0,0.144901610017889,0.0071556350626118,0,0,0.0572450805008945,0.00178890876565295,0,0.0840787119856887,0.00178890876565295,0,0.45438282647585,0,0,0.00178890876565295,0.0071556350626118,0.00536672629695885,0,0.189624329159213,0,0,0,0.0107334525939177,0,0,0,0,0.0125223613595707,0,0.00178890876565295,0,0,0,0,0,0,0,0,0.00178890876565295,0,0,0,0,0,0,0,0
280,4982,0.0319148936170213,0.00398936170212766,0,0.11968085106383,0.0212765957446809,0,0,0.107712765957447,0,0,0.111702127659574,0.00398936170212766,0,0.0638297872340425,0,0.00265957446808511,0.00797872340425532,0.00265957446808511,0.00930851063829787,0,0.481382978723404,0,0,0,0.0146276595744681,0,0.00132978723404255,0,0,0.00797872340425532,0,0.00531914893617021,0,0,0,0,0,0,0,0.00132978723404255,0.00132978723404255,0,0,0,0,0,0,0,0
285,5110,0.0268817204301075,0,0,0.198924731182796,0,0,0,0.0483870967741935,0,0,0.0806451612903226,0.00537634408602151,0,0.102150537634409,0,0.00537634408602151,0.00537634408602151,0.0161290322580645,0,0,0.424731182795699,0,0,0,0.0161290322580645,0,0,0,0,0.021505376344086,0,0.043010752688172,0,0,0,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0
290,5239,0.0195121951219512,0.0048780487804878,0,0.1,0,0,0.0048780487804878,0.0390243902439024,0,0,0.051219512195122,0.0048780487804878,0,0.102439024390244,0,0.0024390243902439,0,0.0341463414634146,0,0,0.607317073170732,0,0.0024390243902439,0,0.0195121951219512,0,0,0.0024390243902439,0,0.0024390243902439,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,5369,0.0225806451612903,0,0,0.0774193548387097,0.0064516129032258,0,0,0.0129032258064516,0,0.0032258064516129,0.106451612903226,0.0032258064516129,0,0.241935483870968,0,0,0,0.0064516129032258,0,0,0.490322580645161,0,0,0,0.0290322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5501,0.0194805194805195,0.00324675324675325,0,0.172077922077922,0.00324675324675325,0,0.00324675324675325,0,0,0.00324675324675325,0.107142857142857,0,0,0.25,0.00324675324675325,0,0.00974025974025974,0.0064935064935065,0,0,0.412337662337662,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0
305,5635,0.0369458128078818,0,0,0.123152709359606,0.00492610837438424,0,0,0,0,0,0.0960591133004926,0.00246305418719212,0,0.278325123152709,0,0.00246305418719212,0,0.0147783251231527,0,0,0.408866995073892,0,0,0,0,0,0,0,0,0,0,0.0320197044334975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,5906,0.0565610859728507,0,0,0.212669683257919,0.00226244343891403,0,0,0.0158371040723982,0,0,0.0950226244343891,0.00452488687782805,0,0.228506787330317,0,0,0,0.0384615384615385,0.00226244343891403,0,0.316742081447964,0,0,0,0.00226244343891403,0,0,0.0135746606334842,0,0,0,0,0,0,0,0,0,0.0113122171945701,0,0,0,0,0,0,0,0,0,0,0
320,6044,0.0260162601626016,0,0,0.128455284552846,0,0,0.0016260162601626,0.0032520325203252,0,0,0.0617886178861789,0.0048780487804878,0,0.269918699186992,0,0.0048780487804878,0,0.0211382113821138,0.0016260162601626,0,0.421138211382114,0,0.0016260162601626,0,0.0097560975609756,0,0.0016260162601626,0.0032520325203252,0,0.0032520325203252,0,0.0308943089430894,0,0,0,0,0,0,0,0,0.0016260162601626,0,0.0032520325203252,0,0,0,0,0,0
322,6100,0.00922266139657444,0,0.00131752305665349,0.0737812911725955,0,0,0,0.0144927536231884,0,0,0.0764163372859025,0.00263504611330698,0,0.214756258234519,0,0.00131752305665349,0,0.00527009222661397,0,0,0.58102766798419,0,0,0,0.00922266139657444,0,0,0.00131752305665349,0,0,0,0.00922266139657444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,6325,0.0208062418725618,0,0,0.081924577373212,0,0,0,0.00260078023407022,0.00130039011703511,0,0.05851755526658,0.0104031209362809,0,0.035110533159948,0,0.00650195058517555,0,0.00650195058517555,0.00130039011703511,0,0.76853055916775,0,0,0,0.00130039011703511,0,0,0.00390117035110533,0,0,0,0.00130039011703511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,6467,0.0270758122743682,0,0,0.144404332129964,0,0,0.00180505415162455,0.0126353790613718,0.00180505415162455,0,0.0685920577617329,0.0072202166064982,0,0.0866425992779783,0,0.0036101083032491,0,0.0126353790613718,0,0,0.610108303249097,0,0,0,0.00902527075812274,0.00180505415162455,0,0.0108303249097473,0,0,0,0.00180505415162455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
