"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
26.5,107,0,0.007507508,0.009009009,0,0.013513514,0.001501502,0.141141141,0.004504505,0.016516517,0.01951952,0,0.004504505,0,0.003003003,0.006006006,0,0.036036036,0.012012012,0.006006006,0.007507508,0,0,0,0.001501502,0,0,0.01951952,0,0,0.015015015,0.009009009,0.007507508,0.069069069,0.001501502,0.001501502,0.408408408,0,0,0,0,0,0.01951952,0.007507508,0,0.016516517,0,0.001501502,0.001501502,0,0,0,0.001501502,0,0,0,0,0.048048048,0,0,0,0,0.082582583,0,0,0
28.5,123,0,0.010014306,0.010014306,0,0.037195994,0,0.158798283,0,0.021459227,0.022889843,0,0.012875536,0,0.001430615,0.004291845,0.001430615,0.028612303,0.007153076,0.001430615,0.004291845,0.00286123,0,0,0,0,0,0.028612303,0,0.00286123,0.008583691,0.00286123,0.00286123,0.065808298,0.001430615,0,0.400572246,0,0,0,0,0,0.025751073,0.004291845,0,0.020028612,0,0.001430615,0.00286123,0,0,0.001430615,0.011444921,0,0,0,0,0.035765379,0,0,0,0.001430615,0.055793991,0,0,0.001430615
30.5,139,0,0.009404389,0.004702194,0.001567398,0.034482759,0,0.152037618,0.004702194,0.015673981,0.031347962,0,0.007836991,0,0,0.001567398,0,0.034482759,0.007836991,0.001567398,0.003134796,0.001567398,0,0,0.001567398,0.001567398,0,0.031347962,0,0.001567398,0,0.012539185,0.009404389,0.062695925,0,0,0.407523511,0,0.001567398,0,0,0,0.023510972,0.004702194,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0.037617555,0,0,0,0,0.05799373,0,0,0
32.5,154,0,0.001639344,0.009836066,0.004918033,0.044262295,0.001639344,0.147540984,0.001639344,0.008196721,0.026229508,0,0.006557377,0,0.001639344,0.004918033,0,0.027868852,0.006557377,0.004918033,0.003278689,0.003278689,0,0,0.001639344,0.001639344,0,0.016393443,0,0.001639344,0.009836066,0.001639344,0.016393443,0.093442623,0.003278689,0,0.409836066,0,0,0,0,0,0.031147541,0.004918033,0,0.045901639,0,0,0,0,0,0,0,0,0,0,0,0.029508197,0,0,0,0,0.027868852,0,0,0
34.5,170,0,0.004901961,0.011437908,0.001633987,0.032679739,0.001633987,0.124183007,0.004901961,0.011437908,0.039215686,0,0.006535948,0,0.001633987,0.004901961,0,0.02124183,0.004901961,0.001633987,0.006535948,0,0.003267974,0,0.001633987,0,0,0.027777778,0.001633987,0.004901961,0.004901961,0.008169935,0.013071895,0.06372549,0,0,0.475490196,0,0,0,0,0,0.02124183,0.003267974,0,0.024509804,0,0,0,0,0,0,0.001633987,0,0,0,0.001633987,0.022875817,0,0,0,0,0.040849673,0,0,0
36.5,186,0,0,0.001675042,0.001675042,0.040201005,0.001675042,0.195979899,0.006700168,0.025125628,0.040201005,0,0.005025126,0,0,0.005025126,0,0.035175879,0.011725293,0.003350084,0.001675042,0,0,0,0.001675042,0,0,0.025125628,0,0.005025126,0.005025126,0.005025126,0.003350084,0.046901173,0.001675042,0,0.447236181,0,0,0,0,0,0.02680067,0.003350084,0,0.013400335,0,0,0,0,0,0,0,0,0,0,0,0.010050251,0,0,0,0.003350084,0.02680067,0,0,0
38.5,203,0,0.001567398,0.007836991,0.003134796,0.047021944,0,0.134796238,0.003134796,0.017241379,0.028213166,0,0.009404389,0,0,0.004702194,0.003134796,0.026645768,0.009404389,0.003134796,0,0,0,0,0.001567398,0.001567398,0,0.032915361,0.001567398,0,0.007836991,0.004702194,0.009404389,0.081504702,0.001567398,0,0.452978056,0,0.001567398,0,0,0,0.02507837,0.004702194,0,0.021943574,0,0,0,0,0,0.001567398,0,0,0,0,0,0.020376176,0,0,0,0.001567398,0.028213166,0,0,0
40.5,232,0,0.001623377,0.008116883,0.00487013,0.047077922,0.001623377,0.141233766,0.00974026,0.022727273,0.024350649,0,0.025974026,0,0,0,0,0.056818182,0.001623377,0,0.001623377,0.001623377,0,0,0.001623377,0,0,0.017857143,0,0.003246753,0.006493506,0.008116883,0.008116883,0.066558442,0,0,0.426948052,0,0,0,0,0,0.051948052,0.003246753,0,0.012987013,0,0,0,0,0,0,0.00487013,0,0,0,0,0.016233766,0,0,0,0,0.022727273,0,0,0
42.5,266,0,0.008264463,0.011570248,0,0.029752066,0.001652893,0.143801653,0.016528926,0.01322314,0.019834711,0,0.008264463,0,0,0.001652893,0.001652893,0.033057851,0.011570248,0.004958678,0,0.001652893,0.001652893,0.001652893,0,0,0,0.024793388,0,0.001652893,0.009917355,0.001652893,0.004958678,0.099173554,0,0,0.414876033,0,0,0,0,0,0.051239669,0.003305785,0,0.009917355,0,0.003305785,0.001652893,0,0,0,0.001652893,0.001652893,0,0,0,0.038016529,0,0,0,0,0.021487603,0,0,0
44.5,300,0,0.008210181,0.011494253,0,0.047619048,0,0.129720854,0.004926108,0.018062397,0.026272578,0,0.011494253,0,0,0.004926108,0,0.049261084,0.004926108,0.003284072,0.003284072,0.001642036,0,0,0,0,0,0.02955665,0,0.001642036,0.008210181,0.008210181,0.004926108,0.075533662,0,0,0.44499179,0,0,0,0,0.003284072,0.042692939,0.009852217,0,0.004926108,0,0.003284072,0,0,0,0,0.004926108,0,0,0,0,0.008210181,0,0,0,0.001642036,0.022988506,0,0,0
