"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae.Taxaceae","Fagus","Fraxinus","Juglans","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Spore..monolete.","Spore..trilete.","Indeterminable..crumpled."
189,1973,1,0,5,45,0,0,0,0,2,4,0,0,0,157,95,0,3,0,0,0,1,2,0,1,3,0,1
199,2077,1,0,9,45,0,0,0,0,1,3,0,0,0,139,99,0,6,1,2,0,0,0,0,2,1,0,1
209,2181,0,0,3,33,0,0,0,0,2,2,0,0,0,148,111,0,3,0,0,1,1,0,0,1,5,0,1
219,2285,0,0,1,22,0,0,1,1,0,0,3,0,0,160,108,0,4,0,0,0,1,1,0,4,0,1,0
229,2389,0,0,2,37,1,0,0,0,1,2,0,0,0,126,127,0,2,0,2,1,0,0,0,4,1,1,2
239,2493,0,0,8,37,1,0,4,1,1,4,0,0,0,149,102,0,8,1,0,0,1,2,1,1,1,1,0
249,2597,0,0,4,51,1,0,0,0,0,4,0,1,1,154,89,0,3,0,1,0,0,0,0,1,2,1,4
259,2701,0,0,2,49,0,0,0,0,4,5,0,0,0,139,120,0,4,0,1,1,1,1,0,4,1,0,2
269,2805,0,0,0,49,0,0,1,0,1,3,0,0,3,129,120,0,6,0,0,0,0,0,0,1,2,1,4
279,2909,0,0,5,44,1,1,1,0,3,3,0,0,0,154,89,0,5,0,0,0,2,2,0,1,0,0,2
289,3013,0,0,4,49,1,0,0,0,2,3,1,0,0,111,141,0,7,0,2,0,0,2,0,0,2,1,1
299,3117,1,0,4,42,0,1,1,0,3,2,0,3,0,117,140,0,5,1,2,1,1,1,0,0,3,0,2
309,3221,3,0,1,50,1,0,0,0,1,6,0,0,0,141,106,0,1,1,0,1,0,0,1,0,0,0,0
319,3325,1,1,3,38,1,1,2,0,2,1,0,0,0,128,138,0,6,1,3,0,0,0,1,4,2,0,3
339,3533,0,0,5,46,1,4,0,0,2,5,0,0,0,136,118,1,3,0,2,0,0,0,0,2,1,0,1
359,3741,0,1,4,45,1,0,2,0,1,6,0,0,1,106,148,0,3,0,1,0,1,0,0,1,3,0,0
379,3949,1,1,4,35,3,1,3,0,5,2,2,0,0,106,153,0,2,0,0,1,1,0,0,1,0,1,2
399,4157,1,1,7,36,0,0,0,0,2,3,0,0,1,111,147,0,2,0,0,0,0,2,0,1,3,1,1
419,4365,1,0,5,58,0,0,0,0,0,5,1,0,1,140,106,0,3,0,3,0,0,2,0,2,1,1,1
439,4573,1,0,7,45,1,1,2,0,3,2,2,0,1,118,132,0,1,2,1,2,0,1,0,4,4,1,2
459,4782,0,2,5,40,1,1,1,0,1,6,0,0,0,112,140,0,5,0,0,1,1,2,0,4,3,0,3
479,4990,0,0,6,28,0,0,4,0,0,4,0,1,0,102,186,0,2,1,2,1,1,0,0,6,2,0,1
499,5198,1,0,4,69,1,0,0,0,2,5,0,0,0,84,171,1,0,3,2,0,1,0,0,2,3,0,3
519,5406,1,1,7,71,2,0,8,0,2,6,0,1,0,63,157,0,3,0,1,3,1,1,0,2,0,0,0
539,5614,0,1,6,66,0,0,5,1,0,10,0,0,0,64,159,0,11,2,0,0,1,0,0,5,0,0,2
559,5822,0,0,7,52,0,0,4,0,0,4,0,0,0,80,155,0,5,1,4,0,0,2,0,7,3,1,2
579,6136,1,0,4,46,0,0,1,0,1,3,2,1,0,45,195,0,1,4,2,1,1,2,1,5,2,0,3
599,6449,0,1,3,55,1,0,2,0,1,8,2,0,0,63,171,0,6,3,4,0,0,0,0,3,2,0,1
619,6763,0,1,6,51,0,0,7,0,0,10,0,1,0,47,182,1,7,1,3,0,0,0,0,3,1,0,2
639,6993,0,0,0,36,0,0,12,0,0,6,0,0,0,57,197,0,5,0,2,0,1,1,0,5,1,1,4
659,7139,0,2,5,33,0,0,11,1,1,4,0,0,0,36,184,0,3,1,10,3,4,1,1,10,1,0,1
679,7285,1,0,2,45,0,0,10,0,1,4,0,1,1,35,196,0,4,1,2,0,1,1,0,7,2,0,0
699,7432,0,0,1,38,0,0,6,0,1,3,0,0,0,43,210,0,4,4,3,0,4,0,0,6,1,0,1
719,7578,0,0,3,43,0,0,6,0,0,7,0,0,0,28,213,0,5,1,1,2,1,2,0,6,1,0,0
739,7724,0,0,0,40,1,0,3,0,1,2,3,0,0,36,213,0,5,1,1,2,1,1,0,6,0,0,5
759,8014,0,0,1,25,0,0,1,0,0,4,0,1,0,38,207,0,5,1,4,1,10,3,0,9,4,1,2
779,8544,0,1,2,55,0,2,1,1,0,6,3,0,0,42,172,0,5,0,0,0,6,7,0,6,3,0,7
