"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Morus","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Humulus","Iva.xanthifolia","Corylus","Picea","Ephedra.nevadensis.type","Brassicaceae","Sarcobatus.vermiculatus","Amorpha","Caryophyllaceae","Celtis","Plantago","Platanus","Zea.mays","Ostrya","Apiaceae","Dalea.purpurea","Iva.annua","Urtica","Ericaceae","Ephedra.torreyana.type","Ranunculus.subg..Batrachium","Lamiaceae","Fraxinus.nigra","Juglans.cinerea","Abies","Carya","Vitis","Ranunculus.undiff.","Acer.saccharum","Fagus","Tsuga","Tilia","Juglans.nigra","Rosaceae","Dalea.candida","Shepherdia.argentea","Shepherdia.canadensis","Larix","Onagraceae"
110,538,0.00766283524904215,0.252873563218391,0.0229885057471264,0.0459770114942529,0,0.0421455938697318,0.0153256704980843,0.183908045977011,0,0,0.0383141762452107,0,0.00383141762452107,0,0.053639846743295,0.0229885057471264,0,0.00383141762452107,0.134099616858238,0.0153256704980843,0.153256704980843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383141762452107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,740,0,0.284615384615385,0.0153846153846154,0.0269230769230769,0,0.0230769230769231,0.0115384615384615,0.0846153846153846,0,0,0.0692307692307692,0,0.0115384615384615,0,0.0307692307692308,0.0346153846153846,0,0.0115384615384615,0.176923076923077,0.0115384615384615,0.2,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,791,0.007168458781362,0.189964157706093,0.017921146953405,0.03584229390681,0,0.03584229390681,0.007168458781362,0.290322580645161,0,0,0.014336917562724,0,0.003584229390681,0,0.014336917562724,0.021505376344086,0,0,0.150537634408602,0.007168458781362,0.182795698924731,0.003584229390681,0,0,0,0.014336917562724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,893,0.0171232876712329,0.219178082191781,0.0376712328767123,0.0410958904109589,0,0.095890410958904,0,0.219178082191781,0,0,0.0410958904109589,0,0,0,0.023972602739726,0.0342465753424658,0,0,0.10958904109589,0,0.133561643835616,0,0,0,0,0.0102739726027397,0,0,0.00684931506849315,0,0,0,0,0,0,0.00342465753424658,0,0,0,0,0,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,994,0,0.181303116147309,0.0254957507082153,0.0368271954674221,0.0084985835694051,0.0481586402266289,0.0198300283286119,0.223796033994334,0,0,0.0481586402266289,0.0028328611898017,0.0169971671388102,0.0028328611898017,0.0311614730878187,0.0141643059490085,0,0.0198300283286119,0.124645892351275,0.0226628895184136,0.127478753541076,0.0056657223796034,0,0.0084985835694051,0,0.0113314447592068,0,0,0.0028328611898017,0.0113314447592068,0,0.0028328611898017,0,0,0,0,0,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1045,0,0.274305555555556,0.00347222222222222,0.0486111111111111,0,0.0451388888888889,0.0173611111111111,0.107638888888889,0,0,0.0520833333333333,0,0.00694444444444444,0,0.0277777777777778,0.0347222222222222,0,0.00347222222222222,0.149305555555556,0.0173611111111111,0.194444444444444,0.00347222222222222,0,0,0.00347222222222222,0.00347222222222222,0,0,0,0,0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1146,0.0036231884057971,0.119565217391304,0.0217391304347826,0.0217391304347826,0,0.072463768115942,0.0181159420289855,0.264492753623188,0,0,0.0543478260869565,0,0.0144927536231884,0,0.0144927536231884,0.0797101449275362,0,0.0144927536231884,0.0760869565217391,0.0181159420289855,0.202898550724638,0,0,0,0,0.0036231884057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1298,0.00337837837837838,0.192567567567568,0.0101351351351351,0.070945945945946,0,0.0574324324324324,0.0405405405405405,0.158783783783784,0,0,0.0574324324324324,0,0.00675675675675676,0,0.0439189189189189,0.0236486486486486,0,0.0135135135135135,0.141891891891892,0.0405405405405405,0.131756756756757,0,0,0,0,0,0,0,0.00337837837837838,0,0,0,0,0,0,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1400,0.00757575757575758,0.178030303030303,0.0189393939393939,0.0378787878787879,0,0.0416666666666667,0.00757575757575758,0.178030303030303,0,0,0.0681818181818182,0,0.00757575757575758,0,0.0189393939393939,0.0757575757575758,0,0.053030303030303,0.0757575757575758,0.00757575757575758,0.166666666666667,0,0,0,0.00378787878787879,0.00757575757575758,0,0,0.00378787878787879,0,0.00757575757575758,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1552,0.0037037037037037,0.188888888888889,0.0222222222222222,0.0407407407407407,0.0148148148148148,0.0592592592592593,0.0111111111111111,0.311111111111111,0,0,0.0296296296296296,0,0.0148148148148148,0,0.0407407407407407,0.0222222222222222,0,0.0111111111111111,0.0518518518518519,0.0111111111111111,0.1,0.0185185185185185,0.0037037037037037,0.00740740740740741,0,0.0037037037037037,0,0,0.0037037037037037,0.0111111111111111,0,0.00740740740740741,0,0,0,0.0037037037037037,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1653,0.0104895104895105,0.251748251748252,0.0104895104895105,0.0104895104895105,0.0034965034965035,0.0734265734265734,0.0174825174825175,0.213286713286713,0,0,0.034965034965035,0,0.0034965034965035,0,0.0174825174825175,0.06993006993007,0,0.006993006993007,0.0944055944055944,0.0174825174825175,0.15034965034965,0,0,0,0,0.0034965034965035,0,0,0.0034965034965035,0,0,0,0,0,0,0.006993006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1754,0.00353356890459364,0.229681978798587,0.0318021201413428,0.0282685512367491,0,0.0671378091872792,0.0176678445229682,0.226148409893993,0,0,0.0353356890459364,0,0.00706713780918728,0,0.00706713780918728,0.0459363957597173,0,0.00706713780918728,0.102473498233216,0.0176678445229682,0.159010600706714,0,0,0,0,0.00353356890459364,0,0,0,0,0,0.00353356890459364,0,0,0,0.00706713780918728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1805,0.00909090909090909,0.184848484848485,0.0333333333333333,0.0484848484848485,0.00909090909090909,0.106060606060606,0.0121212121212121,0.187878787878788,0,0,0.0606060606060606,0,0.00606060606060606,0.00303030303030303,0.0121212121212121,0.0393939393939394,0,0.0121212121212121,0.0636363636363636,0.0121212121212121,0.151515151515152,0.0151515151515152,0,0,0.00303030303030303,0.00909090909090909,0.00303030303030303,0,0,0.00303030303030303,0.00303030303030303,0,0,0,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1906,0.00328947368421053,0.194078947368421,0.00986842105263158,0.0296052631578947,0,0.108552631578947,0.0230263157894737,0.167763157894737,0,0,0.055921052631579,0,0.00657894736842105,0.00986842105263158,0.0296052631578947,0.0493421052631579,0,0.0197368421052632,0.0526315789473684,0.0230263157894737,0.174342105263158,0,0,0,0,0.00986842105263158,0,0,0,0,0.00657894736842105,0.00328947368421053,0,0,0,0.0197368421052632,0,0,0,0,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2008,0.00557103064066852,0.242339832869081,0.00278551532033426,0.0306406685236769,0.00557103064066852,0.105849582172702,0.0306406685236769,0.245125348189415,0,0,0.0139275766016713,0,0,0,0.0557103064066852,0.0417827298050139,0.00278551532033426,0.00557103064066852,0.0752089136490251,0.0278551532033426,0.0612813370473538,0.0222841225626741,0,0.00278551532033426,0,0.00278551532033426,0,0,0,0.00557103064066852,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0.00557103064066852,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2059,0.0152671755725191,0.202290076335878,0.00381679389312977,0.0305343511450382,0.00763358778625954,0.0763358778625954,0.0267175572519084,0.236641221374046,0,0,0.0343511450381679,0,0.0152671755725191,0,0.0419847328244275,0.0381679389312977,0,0.0343511450381679,0.049618320610687,0.0267175572519084,0.125954198473282,0.00763358778625954,0,0,0,0.00763358778625954,0,0,0.00763358778625954,0,0.00381679389312977,0,0,0,0,0.00763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,2160,0.00342465753424658,0.222602739726027,0.00342465753424658,0.0342465753424658,0.0171232876712329,0.0445205479452055,0,0.164383561643836,0,0,0.0136986301369863,0,0.00342465753424658,0,0.0205479452054795,0.0342465753424658,0,0.0102739726027397,0.133561643835616,0.00684931506849315,0.277397260273973,0,0,0,0,0.00342465753424658,0,0,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,2261,0.00364963503649635,0.218978102189781,0.0109489051094891,0.0401459854014599,0,0.145985401459854,0.00364963503649635,0.18978102189781,0,0,0.0328467153284672,0,0.00364963503649635,0.00364963503649635,0.0255474452554745,0.0182481751824818,0,0.0328467153284672,0.0912408759124088,0,0.138686131386861,0.00364963503649635,0.00364963503649635,0.0072992700729927,0,0.0109489051094891,0,0,0.00364963503649635,0,0,0,0,0,0,0.00364963503649635,0,0,0,0.00364963503649635,0,0,0,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,2363,0.0171821305841924,0.209621993127148,0.00343642611683849,0.0412371134020619,0.00687285223367698,0.0756013745704467,0.00343642611683849,0.189003436426117,0,0,0.0446735395189003,0,0.0103092783505155,0,0.0206185567010309,0.013745704467354,0,0.0103092783505155,0.116838487972509,0.00343642611683849,0.22680412371134,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,2464,0.0254545454545455,0.167272727272727,0.0109090909090909,0.0436363636363636,0,0.0654545454545455,0.00727272727272727,0.272727272727273,0,0,0.04,0,0.00363636363636364,0,0.0327272727272727,0.00727272727272727,0,0.00727272727272727,0.152727272727273,0.00727272727272727,0.149090909090909,0.00727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2565,0.00303951367781155,0.191489361702128,0.0151975683890578,0.0425531914893617,0.0182370820668693,0.0972644376899696,0.027355623100304,0.334346504559271,0,0,0.0364741641337386,0,0.0060790273556231,0.00303951367781155,0.0243161094224924,0.0121580547112462,0,0.0212765957446809,0.0303951367781155,0.027355623100304,0.0820668693009119,0.00911854103343465,0.00303951367781155,0,0,0.0060790273556231,0,0,0.00303951367781155,0,0,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,2667,0.00701754385964912,0.154385964912281,0.0385964912280702,0.0280701754385965,0,0.0912280701754386,0.0105263157894737,0.298245614035088,0,0,0.0350877192982456,0,0.0385964912280702,0.00350877192982456,0.0350877192982456,0.0350877192982456,0,0.0105263157894737,0.119298245614035,0.0105263157894737,0.0771929824561404,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,2768,0.0069204152249135,0.221453287197232,0.013840830449827,0.013840830449827,0,0.0830449826989619,0.0103806228373702,0.283737024221453,0,0,0.0346020761245675,0,0.0103806228373702,0,0.0069204152249135,0.0519031141868512,0,0.0103806228373702,0.0657439446366782,0.0103806228373702,0.162629757785467,0,0,0,0,0.0103806228373702,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,2819,0,0.13627254509018,0.0100200400801603,0.0380761523046092,0.00400801603206413,0.094188376753507,0.0400801603206413,0.290581162324649,0,0,0.032064128256513,0,0.0200400801603206,0.00200400801603206,0.032064128256513,0.030060120240481,0,0.032064128256513,0.032064128256513,0.0380761523046092,0.134268537074148,0.00200400801603206,0,0,0,0.00400801603206413,0,0,0.0100200400801603,0.00200400801603206,0,0,0,0,0,0.00601202404809619,0,0,0,0,0,0,0,0,0.00200400801603206,0,0.00400801603206413,0.00200400801603206,0.00200400801603206,0,0,0,0,0,0,0,0,0,0,0,0
570,2870,0,0.207119741100324,0.00970873786407767,0.0420711974110032,0.00323624595469256,0.103559870550162,0.00323624595469256,0.281553398058252,0,0,0.0420711974110032,0,0.0161812297734628,0.00323624595469256,0.0323624595469256,0.00970873786407767,0.00323624595469256,0.0388349514563107,0.058252427184466,0.00323624595469256,0.100323624595469,0,0,0,0,0.0161812297734628,0,0.00323624595469256,0.00323624595469256,0,0,0,0,0,0,0.00323624595469256,0,0.00323624595469256,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0.00323624595469256,0.00647249190938511,0,0,0,0,0,0,0,0,0,0
580,2920,0.0040650406504065,0.182926829268293,0.040650406504065,0.0264227642276423,0.00203252032520325,0.111788617886179,0.008130081300813,0.310975609756098,0,0,0.032520325203252,0.0040650406504065,0.016260162601626,0.00203252032520325,0.032520325203252,0.0203252032520325,0,0.0203252032520325,0.0670731707317073,0.008130081300813,0.073170731707317,0,0.00203252032520325,0,0.00203252032520325,0.008130081300813,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0.00203252032520325,0,0.00203252032520325,0,0,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0.00203252032520325,0,0,0,0,0,0,0,0
590,2971,0,0.186206896551724,0.0206896551724138,0.0241379310344828,0,0.0827586206896552,0.0137931034482759,0.268965517241379,0,0,0.0275862068965517,0,0.00689655172413793,0,0.0344827586206897,0.0137931034482759,0.00344827586206897,0.0172413793103448,0.141379310344828,0.0137931034482759,0.13448275862069,0,0,0,0,0.00689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,0
600,3053,0,0.228985507246377,0.0115942028985507,0.0318840579710145,0,0.0579710144927536,0.00869565217391304,0.31304347826087,0,0,0.0289855072463768,0,0.00289855072463768,0,0.0463768115942029,0.00869565217391304,0.00289855072463768,0.0173913043478261,0.144927536231884,0.00579710144927536,0.072463768115942,0,0,0,0.00289855072463768,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289855072463768,0,0.00289855072463768,0,0,0,0,0,0,0,0.00289855072463768,0.00289855072463768,0,0,0,0,0
610,3134,0,0.179347826086957,0.0244565217391304,0.0190217391304348,0.00543478260869565,0.0706521739130435,0.0190217391304348,0.263586956521739,0,0,0.016304347826087,0.00271739130434783,0.00271739130434783,0.00271739130434783,0.0625,0.0298913043478261,0,0.016304347826087,0.184782608695652,0.016304347826087,0.0516304347826087,0.00815217391304348,0,0,0.00271739130434783,0,0,0,0,0.00271739130434783,0,0,0,0.00271739130434783,0,0,0.00815217391304348,0.00543478260869565,0,0,0,0,0,0,0.00271739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,3298,0.00269541778975741,0.328840970350404,0.0188679245283019,0.0161725067385445,0,0.078167115902965,0.00808625336927224,0.234501347708895,0,0,0.0242587601078167,0,0.0107816711590297,0.00269541778975741,0.0727762803234501,0.0134770889487871,0,0.0188679245283019,0.0673854447439353,0.00808625336927224,0.0512129380053908,0,0,0.00269541778975741,0.00539083557951483,0.00269541778975741,0,0.00269541778975741,0.0134770889487871,0.00808625336927224,0,0,0,0,0,0.00269541778975741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539083557951483,0,0,0,0
650,3461,0,0.238461538461538,0.0307692307692308,0.0769230769230769,0,0.123076923076923,0.0230769230769231,0.05,0.00384615384615385,0,0.0230769230769231,0.00384615384615385,0.0346153846153846,0,0.05,0.0230769230769231,0,0.0307692307692308,0.115384615384615,0.0230769230769231,0.123076923076923,0,0,0,0,0.00384615384615385,0,0,0.00384615384615385,0.00384615384615385,0.00384615384615385,0,0,0,0,0.00384615384615385,0,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0,0
670,3624,0.00292397660818713,0.216374269005848,0.0087719298245614,0.0760233918128655,0,0.0789473684210526,0.00584795321637427,0.233918128654971,0,0,0.0204678362573099,0,0.0116959064327485,0,0.0584795321637427,0.0350877192982456,0,0.0292397660818713,0.0818713450292398,0.00584795321637427,0.111111111111111,0,0,0.00292397660818713,0,0.00292397660818713,0,0,0.0116959064327485,0,0,0,0,0,0,0.00292397660818713,0,0.00292397660818713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,3787,0,0.188172043010753,0.0161290322580645,0.0618279569892473,0,0.112903225806452,0.0161290322580645,0.255376344086022,0,0,0.0537634408602151,0,0.0161290322580645,0.00268817204301075,0.0456989247311828,0.0403225806451613,0,0.0241935483870968,0.021505376344086,0.0134408602150538,0.110215053763441,0.00268817204301075,0,0,0,0.00268817204301075,0,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0.00268817204301075,0,0,0.00268817204301075,0,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,3951,0,0.22316384180791,0.019774011299435,0.0451977401129944,0,0.107344632768362,0.00847457627118644,0.27683615819209,0.00282485875706215,0,0.0225988700564972,0,0.0141242937853107,0,0.0508474576271186,0.00847457627118644,0,0.0225988700564972,0.076271186440678,0.00847457627118644,0.0903954802259887,0.00282485875706215,0,0,0,0,0,0,0.00564971751412429,0,0,0,0,0,0,0.00564971751412429,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0.00282485875706215,0,0,0,0,0,0.00282485875706215,0,0,0,0
730,4114,0.00271739130434783,0.157608695652174,0.0407608695652174,0.0434782608695652,0,0.0516304347826087,0.00815217391304348,0.33695652173913,0,0,0.0190217391304348,0,0.0135869565217391,0.00271739130434783,0.0326086956521739,0.0135869565217391,0.00543478260869565,0.0298913043478261,0.103260869565217,0.00815217391304348,0.0896739130434783,0.00271739130434783,0.00271739130434783,0,0.00271739130434783,0.00543478260869565,0,0,0.0135869565217391,0.00543478260869565,0,0,0,0,0,0.00271739130434783,0,0,0,0,0,0,0,0,0,0,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,4277,0,0.212827988338192,0.0174927113702624,0.0845481049562682,0,0.0262390670553936,0,0.206997084548105,0.00291545189504373,0,0.0349854227405248,0,0.0145772594752187,0.00583090379008746,0.0932944606413994,0.0204081632653061,0,0.032069970845481,0.160349854227405,0,0.0699708454810496,0,0,0,0.00291545189504373,0.00583090379008746,0,0,0,0,0,0,0,0,0,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583090379008746,0,0,0,0
770,4440,0.00578034682080925,0.234104046242775,0.023121387283237,0.0751445086705202,0.00289017341040462,0.0404624277456647,0.00289017341040462,0.15606936416185,0,0,0.0173410404624277,0,0.023121387283237,0.00289017341040462,0.046242774566474,0.0404624277456647,0,0.0202312138728324,0.196531791907514,0.00289017341040462,0.092485549132948,0,0,0,0.00289017341040462,0.00578034682080925,0,0,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289017341040462,0,0,0,0,0,0,0.00289017341040462,0,0,0,0,0,0
