"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Carya","Castanea","Fagus","Ostrya.Carpinus","Picea","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Betulaceae.undiff.","Fraxinus","Myrica","Pinus","Poaceae","Humulus","Alnus..tetraporate.","Alnus..pentaporate.","Alnus..triporate.","Acer.spicatum","Acer.undiff.","Artemisia","Pinaceae.undiff.","Ilex","Morus","Platanus","Ulmus","Rosaceae","Acer.saccharum","Cyperaceae","Salix","Juglans","Populus","Nyssa","Rubiaceae","Corylus","Alnus.undiff.","Larix","Tilia","Viburnum","Ranunculaceae.undiff.","Taxus","Plantago","Thalictrum","Chenopodium.type","Asteraceae.subf..Cichorioideae","Liquidambar","Sarcobatus.vermiculatus","Rhus","Alnus..hexaporate.","Cornus","Vitis","Juniperus.Thuja","Ericaceae","Onagraceae.undiff.","Campanulaceae","Alnus.incana.type","Alnus.viridis.type","Urtica","Shepherdia","Caryophyllaceae","Epilobium","Saxifragaceae"
210,4780,350,2,0,160,1,0,40,3,0,20,0,43,0,0,2,7,1,37,0,0,9,7,0,1,0,1,1,1,0,0,3,1,6,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,4928,432,1.5,1,196,0,0,32,7,0.5,38,0,55,0,1,1,9,2,46.5,0,0,13,6,1,2,1,0,0.5,0,0,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5075,361.5,1.5,0,179,0,0,35,5,1,12,0,40,1,0,1,7,0,43.5,0,0,8,3,0,0,0,0,1.5,3,0,1,5,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5223,412,1,1,198,0,1,27,4,1.5,26,0,50,2,0,5,6,1,57,1,0,7,3,1,1,0,0,0.5,1,0,1,3,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5961,369.5,2.5,1,124,0,0,6,5,1,57,0,44,0,0,0,9,4,87.5,0,0,3,3,0,0,0,0,0.5,4,0,2,3,2,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,6699,388.5,5,2,124,0,0,2,10,1.5,59,0,15,0,1,5,2,14,122.5,0,1,2,2,0,1,0,0,0.5,0,0,1,4,1,3,2,0,0,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7437,442,2,0,126,0,0,1,9,2.5,86,0,10,0,2,3,8,11,136.5,2,0,6,4,0,1,0,1,2,2,0,0,3,2,6,3,1,0,5,0,0,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,8618,347,6.5,4,80,1,0,0,8,2.5,73,0,7,0,1,0,2,12,113.5,2,0,4,9,0,0,0,1,0.5,1,0,0,0,2,5,0,1,0,4,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,9208,336,4,0,116,0,0,0,3,1,67,0,4,2,0,3,5,7,95,2,0,4,7,0,1,0,0,2,0,0,1,7,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,9612,374.5,6,1,136,0,0,0,5,4,35,0,1,0,1,4,3,7,122,1,0,9,15,0,1,0,2,2.5,0,1,0,1,1,3,1,1,0,4,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9801,339.5,5.5,3,160,0,0,0,5,3.5,25,0,1,1,1,4,4,3,91.5,0,0,4,12,0,0,0,0,1,0,0,1,2,1,0,0,0,0,4,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
400,9990,422.5,8,2,164,0,2,0,10,5.5,23,0,5,1,0,6,13,2,115,2,0,12,28,0,1,0,0,2,0,0,0,2,1,3,0,0,1,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
420,10719,388,9.5,1,125,0,0,0,5,7,23,0,3,4,0,6,4,7,80.5,4,0,22,50,0,4,0,1,1,0,0,1,1,1,1,0,3,0,11,0,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
440,11448,358,16.5,0,147,0,0,2,3,12.5,15,0,2,0,0,2,4,3,40,0,0,20,55,0,3,0,0,2,0,0,0,1,1,2,0,3,0,19,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,11812,374,12.5,0,137,0,0,0,7,17,16,0,0,3,0,3,2,6,34.5,4,0,28,57,0,4,0,0,2,0,0,1,2,0,1,0,3,1,16,0,0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0
458,12256,267,1,0,91,0,0,0,5,53,9,0,2,4,1,9,0,1,26.5,7,0,13,16,0,0,0,1,1.5,0,0,0,1,2,0,15,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
465,12816,480.5,1.5,0,83,0,0,0,4,176.5,20,1,0,4,4,3,2,1,75.5,13,0,5,11,0,0,0,12,0,0,0,0,1,0,0,22,5,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,9,0,0,2,14,1,0,0,0,0
470,13216,248,3.5,0,40,1,0,0,5,91,3,1,0,5,0,2,4,0,30.5,8,1,2,2,0,0,0,5,5,0,0,1,2,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
475,13615,251,0,0,22,0,0,0,2,82,10,1,0,4,0,1,0,0,26,5,0,1,11,0,0,0,5,0,0,0,0,0,0,0,52,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0
480,14015,247,0,0,22,0,0,0,2,82,10,1,0,4,1,1,0,0,26,52,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0
484,14335,373,0,0,27,0,0,0,17,72.5,16,0,0,8,1,8,1,0,65.5,7,0,0,2,0,0,0,20,0,0,0,0,1,0,0,92,15,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,2,2,1,1,1,0
488,14655,551,2.5,0,16,0,0,0,16,150.5,19,2,0,5,5,3,2,1,124,8,0,8,2,0,0,0,17,0,0,0,0,2,0,0,126,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,1,3,3,0,0
498,15455,146.5,0.5,0,7,0,0,0,6,17,5,2,0,2,0,3,4,0,32,4,0,2,0,0,0,0,8,0,0,0,0,0,3,0,30,14,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
508,NA,331,1.5,0,31,0,0,0,5,64,15,0,0,5,3,1,5,1,109.5,9,0,5,1,0,0,0,7,0,0,0,0,1,0,1,31,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0
