"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ephedra.trifurca.type","Euphorbia","Iva.xanthifolia.type","Fabaceae.undiff.","Lycopus.type","Dalea.candida.type","Dalea.purpurea.type","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Rhus","Rumex","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Fraxinus","Poaceae","Brassicaceae","Rosaceae","Ephedra.viridis.type","Pinus.subg..Strobus","Thalictrum","Abies","Corylus","Ostrya.Carpinus","Pseudotsuga","Scrophulariaceae","Plantago.major","Allium","Amorpha.type","Phacelia","Apiaceae","Caryophyllaceae","Iva.annua.type","Geranium","Urtica.type","Cannabaceae","Eriogonum","Polygonum.amphibium","Liliaceae","Impatiens","Polygonum.bistortoides.type","Ranunculaceae.undiff.","Comandra","Pinus.subg..Pinus","Asteraceae.subf..Cichorioideae","Epilobium","Lysimachia"
672,3134,560,0,21,150,38,20,59,0,1,3,0,0,2,1,3,78,6,8,0,0,3,5,36,0,5,1,2,107,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
768,3751,507,0,109,135,29,18,21,0,5,0,0,0,0,0,3,59,12,6,0,0,0,1,40,0,1,3,0,57,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
818,4093,436,1,50,121,32,11,80,1,3,3,0,0,1,3,2,35,4,5,0,1,3,3,33,0,1,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,3,1,0,0,0,0,0
828,4183,222,0,7,33,13,1,58,0,0,0,0,0,0,0,2,60,0,2,0,0,2,1,19,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
838,4273,207,0,11,30,13,4,101,2,0,5,0,0,0,0,0,14,0,2,0,1,0,1,5,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,4786,265,0,3,11,8,3,183,0,0,0,0,0,0,0,2,10,1,2,0,0,0,0,4,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
990,5641,192,0,6,11,20,2,91,0,1,1,1,0,0,1,1,22,2,1,0,0,0,1,5,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1048,6163,184,0,1,7,6,6,109,0,0,0,0,0,0,1,3,18,0,2,0,0,0,0,1,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1138,6972,551,0,52,60,50,5,221,0,1,7,0,0,2,0,6,36,0,1,0,0,0,1,28,0,0,0,0,56,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1178,7332,232,0,27,23,22,1,91,0,0,2,0,0,0,0,1,8,0,1,0,0,0,1,15,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,7908,369,1,1,9,15,3,281,0,0,1,1,0,0,0,3,15,0,1,0,0,0,0,2,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1325,8655,297,0,2,25,31,1,172,0,1,1,0,0,0,0,4,18,1,3,0,0,0,0,6,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1378,9132,230,0,5,10,66,1,86,0,0,0,0,0,5,0,2,16,1,1,0,0,0,0,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1472,9978,182,0,3,11,21,1,65,0,0,2,0,0,0,0,2,13,0,1,1,1,0,0,4,0,0,0,0,46,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0
1492,NA,261,0,10,28,26,0,96,0,0,1,0,0,0,0,1,13,0,1,0,0,2,1,6,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1509,NA,405,2,25,56,32,6,153,0,1,7,0,0,0,0,2,41,0,2,0,0,0,1,12,0,0,1,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1529,NA,333,0,7,46,48,2,134,0,0,7,0,1,0,0,1,20,0,4,0,2,1,0,17,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
