"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Ranunculaceae.undiff.","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Larix","Quercus","Fabaceae","Tsuga.canadensis","Ericaceae","Thalictrum","Viburnum.lentago","Acer.saccharinum","Carya.ovata","Acer.pensylvanicum","Myrica.gale","Viburnum.edule","Juglans.cinerea","Cornus.undiff.","Taxus","Ostrya.Carpinus","Corylus.cornuta","Rubiaceae","Populus.balsamifera.type","Cornus.alternifolia","Shepherdia.canadensis","Onagraceae","Asteraceae.undiff.","Cerealia","Brassicaceae","Aralia.hispida","Plantago","Lamiaceae","Polygonaceae.undiff."
200,5756,476,0,1,1,1,0,0,183,0,6,0,39,1,4,0,32,4,1,0,118,0,1,1,0,0,4,46,1,4,15,0,3,6,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5991,375,0,1,1,5,0,1,146,0,7,1,24,0,0,0,19,6,0,0,73,0,0,0,0,1,0,45,0,4,29,0,2,4,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6225,374,0,9,4,4,0,0,245,0,4,0,31,0,0,0,8,3,8,0,21,0,0,0,0,0,0,14,0,0,11,0,0,4,0,1,0,1,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6460,456,0,3,0,4,1,2,324,0,14,0,17,1,2,0,18,6,2,0,9,0,0,0,0,0,1,22,1,1,14,0,3,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6695,679,0,15,1,10,0,0,493,0,8,2,2,0,0,0,37,9,3,0,13,0,1,0,0,0,0,32,2,5,23,0,4,9,0,3,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
300,6930,536,0,8,0,8,0,0,404,0,3,1,0,1,0,0,24,6,6,0,15,0,0,2,0,1,0,29,1,2,13,0,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,7165,432,0,6,1,12,0,0,296,0,9,1,2,1,1,0,17,6,3,0,4,0,0,1,0,0,0,24,1,4,26,0,4,5,0,1,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,7399,574,0,6,2,9,0,0,402,0,13,0,4,0,2,0,19,5,16,0,9,0,1,2,0,0,0,41,3,2,20,0,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7634,477,0,4,1,11,1,1,334,0,16,1,4,0,2,0,17,5,14,0,8,0,2,1,0,0,0,33,0,2,9,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7869,548,0,12,2,37,1,0,387,0,19,0,0,0,0,0,13,3,15,0,5,0,1,1,0,0,1,23,1,6,7,0,0,5,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,8118,576,0,3,2,36,0,2,402,0,34,0,1,1,0,0,14,7,13,1,1,0,0,0,0,1,0,28,0,3,7,0,0,10,1,4,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
420,8410,345,0,4,1,52,0,0,186,0,12,0,1,0,0,0,10,1,27,1,0,0,0,2,0,0,4,20,1,0,5,0,0,9,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
440,8702,418,0,25,0,120,0,1,195,0,5,0,0,0,0,0,14,2,9,0,4,0,0,1,0,0,4,18,0,3,1,0,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9210,562,0,3,1,247,0,1,203,0,2,0,1,0,0,0,11,3,31,1,5,0,2,1,0,0,3,19,0,1,4,0,0,12,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
480,9791,614,0,2,0,418,0,0,74,0,2,0,0,1,1,0,13,3,37,0,13,0,1,0,2,0,0,2,0,2,9,0,0,11,0,1,1,0,0,5,0,0,0,0,9,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
500,NA,662,0,0,2,360,0,1,72,0,26,1,4,1,0,0,45,14,11,3,9,0,4,4,0,0,0,5,0,9,7,0,1,37,0,7,4,1,0,3,0,0,0,0,11,0,0,0,1,0,1,0,0,0,2,1,8,2,2,3,0,0,0
510,NA,428,0,0,0,166,3,5,51,0,24,0,1,0,19,0,68,4,12,0,4,0,4,4,1,1,3,2,0,5,4,0,0,25,0,2,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0,7,0,0,0
520,NA,615,0,1,0,249,1,7,73,0,21,0,0,0,18,0,93,3,16,1,6,0,3,6,0,1,2,6,1,25,10,0,1,13,1,18,21,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,6,0,0
530,NA,575,0,1,0,278,3,3,94,0,9,0,1,0,13,0,82,3,14,0,4,0,3,2,0,3,0,3,0,17,5,0,0,18,0,2,2,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
540,NA,380,0,0,0,90,0,7,39,0,1,0,1,0,11,0,160,1,0,0,5,0,3,5,0,0,2,0,0,25,0,0,0,9,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,1,0
550,NA,464,0,1,1,102,1,95,32,0,2,0,0,0,12,0,119,3,5,0,2,0,23,5,0,2,1,0,1,21,0,0,0,18,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1
