"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Salix","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Acer.saccharum","Ostrya","Acer.rubrum","Carya","Larix","Platanus","Ulmus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Castanea","Tilia","Taxus","Sarcobatus.vermiculatus","Thalictrum","Corylus","Iva.annua","Celtis","Morus","Iva.xanthifolia","Rosaceae","Symphoricarpos","Shepherdia.canadensis","Plantago","Ephedra.torreyana.type","Ephedra.nevadensis.type","Vitis","Xanthium"
130,1763,0.01,0.00333333333333333,0.123333333333333,0,0.0433333333333333,0.00333333333333333,0.0266666666666667,0,0,0,0.04,0.0566666666666667,0,0,0.0366666666666667,0.01,0.01,0,0,0.563333333333333,0,0,0.0133333333333333,0.01,0,0.0166666666666667,0.00333333333333333,0,0.0166666666666667,0,0,0.00333333333333333,0.00666666666666667,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
140,1957,0.01,0,0.126666666666667,0,0.1,0.00333333333333333,0.04,0.00333333333333333,0,0,0.0133333333333333,0.113333333333333,0,0.00333333333333333,0.0366666666666667,0.0366666666666667,0.00333333333333333,0.02,0.00333333333333333,0.343333333333333,0,0.00333333333333333,0.04,0.04,0,0.01,0,0.00333333333333333,0.04,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2160,0.0133333333333333,0.00666666666666667,0.19,0,0.08,0.00666666666666667,0.0133333333333333,0,0.00333333333333333,0,0.0333333333333333,0.0533333333333333,0,0.00666666666666667,0.02,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0.466666666666667,0.00666666666666667,0,0.01,0.0133333333333333,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.0366666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2371,0.0233333333333333,0.01,0.13,0,0.0366666666666667,0.00333333333333333,0.02,0,0,0,0.0266666666666667,0.0533333333333333,0,0,0.04,0.0133333333333333,0,0.00666666666666667,0,0.553333333333333,0,0.00333333333333333,0.01,0.00666666666666667,0,0,0.0333333333333333,0.00333333333333333,0.0166666666666667,0,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
170,2592,0.00666666666666667,0.00333333333333333,0.12,0,0.3,0.00333333333333333,0.00333333333333333,0,0,0,0.0333333333333333,0.0766666666666667,0,0,0.0233333333333333,0.0166666666666667,0.00333333333333333,0.01,0,0.326666666666667,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.01,0.00333333333333333,0.01,0.0133333333333333,0,0.0133333333333333,0,0,0,0.00666666666666667,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
180,2821,0.01,0,0.15,0,0.0933333333333333,0.00666666666666667,0.00666666666666667,0.01,0,0,0.0333333333333333,0.0633333333333333,0,0,0.0266666666666667,0.0333333333333333,0.00333333333333333,0.00333333333333333,0,0.386666666666667,0,0.00666666666666667,0.0366666666666667,0.0333333333333333,0,0.00666666666666667,0,0.00666666666666667,0.0633333333333333,0.00666666666666667,0.01,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0
190,3061,0.01,0.00333333333333333,0.11,0,0.05,0.00333333333333333,0.0166666666666667,0.00333333333333333,0,0,0.0166666666666667,0.09,0,0.00333333333333333,0.0133333333333333,0.02,0.00333333333333333,0.01,0,0.47,0,0,0.0666666666666667,0.02,0.00333333333333333,0,0.00666666666666667,0,0.06,0,0.01,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0
195,3184,0.0333333333333333,0,0.106666666666667,0,0.0566666666666667,0.00333333333333333,0.01,0.00333333333333333,0,0,0.03,0.0766666666666667,0,0,0.03,0.00666666666666667,0,0,0.00333333333333333,0.476666666666667,0.00333333333333333,0.00333333333333333,0.0233333333333333,0.0366666666666667,0.00666666666666667,0.0166666666666667,0.0166666666666667,0,0.0433333333333333,0,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0
200,3309,0.0133333333333333,0.0133333333333333,0.123333333333333,0,0.07,0.00666666666666667,0.04,0.00333333333333333,0,0,0.0233333333333333,0.106666666666667,0,0,0.0166666666666667,0.0233333333333333,0,0,0,0.45,0,0,0.02,0.0266666666666667,0,0.00333333333333333,0,0,0.04,0.00666666666666667,0.00333333333333333,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3567,0.0133333333333333,0.00333333333333333,0.176666666666667,0,0.203333333333333,0,0.02,0.00333333333333333,0,0,0.00666666666666667,0.0933333333333333,0,0,0.00666666666666667,0.0266666666666667,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.333333333333333,0.00333333333333333,0.00666666666666667,0.0233333333333333,0.00333333333333333,0,0.00333333333333333,0.00666666666666667,0.0133333333333333,0.0333333333333333,0,0.00666666666666667,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
