"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diervilla.lonicera","Dryopteris.type","Elaeagnus.commutata","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Glaux.maritima","Hippuris.vulgaris","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.grandidentata.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix.herbacea.type","Salix.undiff.","Sambucus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
240,5483,3,0,0,0,0,0,16,6,0,1,0,1,1,0,312,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,3,6,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,4,1,0,100,29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,3,0,2,3,0
250,5683,11,0,0,0,2,1,13,10,0,2,0,2,1,0,292,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,24,13,13,0,126,84,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,7,0,1,0,0
275,6183,6,0,0,0,2,0,13,14,0,0,0,1,0,0,333,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,8,5,0,0,120,24,6,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,4,0,0,1,0
290,6482,5,0,0,1,2,2,20,6,0,0,0,1,0,0,345,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,2,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,3,0,0,0,1,0,0,0,0,18,10,0,0,114,27,3,0,0,0,1,0,1,0,0,12,0,0,0,0,0,0,0,0,1,4,0,1,6,0,0,7,1,3,1,0
300,6682,9,0,0,0,2,2,30,12,1,1,0,0,3,0,565,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,3,3,1,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,1,4,0,0,0,1,0,30,23,4,0,41,36,6,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,3,1,0,0,4,0,1,5,0,1,0,0
310,6882,4,0,0,0,3,0,15,16,1,2,0,3,0,0,470,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,4,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,2,16,13,1,0,39,18,5,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,4,0,0
325,7182,9,0,0,1,0,0,21,4,0,0,0,2,0,0,272,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,0,0,0,0,0,3,1,17,6,0,0,110,24,6,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,4,0,0,0,0
350,7682,11,0,0,0,1,2,27,9,0,0,0,1,1,0,247,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,3,0,2,0,1,1,0,4,0,0,0,1,0,0,0,1,34,12,0,0,114,22,5,0,0,0,6,0,5,0,0,14,0,0,0,0,0,0,0,0,2,14,0,0,3,0,0,3,0,0,1,0
375,8182,1,0,0,0,3,1,10,10,0,2,0,1,1,0,292,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,2,7,0,1,1,0,1,0,0,0,0,0,0,1,0,14,7,0,0,116,17,2,0,0,0,0,2,3,0,0,11,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,1,1,4,3,0
400,8681,13,0,0,0,1,4,2,35,1,2,0,1,1,0,335,0,1,0,1,0,1,0,1,0,0,14,0,0,0,0,0,0,0,5,1,0,0,1,0,2,0,0,0,1,0,5,0,4,5,0,1,0,0,0,0,0,0,4,0,35,14,9,0,44,14,5,0,0,0,7,2,1,0,0,25,0,0,0,0,2,0,0,0,3,8,0,0,3,0,0,4,0,2,2,0
420,9165,16,0,0,0,3,0,3,71,0,2,0,0,7,0,382,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,14,13,3,0,23,13,2,0,0,0,4,0,2,0,0,12,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,2,0,0,1,0
440,9700,13,1,0,0,2,0,2,148,0,3,0,1,0,0,237,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,0,0,0,0,0,5,3,28,22,2,0,20,12,1,0,0,0,11,0,0,0,0,15,0,1,0,0,1,0,0,1,0,7,0,0,1,0,0,5,1,3,0,0
450,9967,3,0,0,0,0,0,1,387,0,2,0,1,4,0,141,0,0,0,0,1,1,0,0,0,0,15,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,6,0,1,0,5,2,0,2,0,0,0,0,0,0,3,0,22,7,0,0,65,15,2,0,0,0,12,2,0,0,0,23,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0,6,2,0,1,1
460,NA,3,0,0,1,2,0,0,207,0,3,0,16,12,0,211,0,0,3,1,0,4,0,0,0,2,24,0,0,1,0,0,0,0,1,2,0,2,0,0,2,3,2,0,9,0,0,0,2,3,0,1,0,0,0,0,0,0,4,14,43,12,1,0,142,8,4,0,0,0,22,0,0,0,0,46,0,1,0,0,21,0,0,8,0,1,0,0,7,0,0,4,3,11,4,0
475,NA,7,0,0,0,0,0,3,50,1,4,0,7,0,0,128,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,8,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,27,4,11,0,52,14,1,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,7,0,0,2,0
476,NA,5,0,0,0,2,0,2,59,2,0,0,1,1,0,215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14,24,5,13,1,70,10,4,0,0,0,0,1,0,0,11,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,7,2,2,1,1
485,NA,0,0,0,0,1,0,2,92,0,0,0,1,0,0,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,2,9,68,4,4,0,19,8,1,0,0,0,1,0,0,0,0,9,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,14,0,0,0,3,0,4,30,0,0,0,1,2,0,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,5,9,20,5,18,0,50,13,1,0,0,1,14,0,0,0,0,79,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,5,3,0,2,0
495,NA,0,0,0,0,0,0,1,28,0,1,0,5,0,0,28,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,18,1,16,0,51,2,1,0,0,0,3,0,0,0,0,8,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,6,0,3,0,0
500,NA,2,0,0,0,1,0,5,45,1,0,0,1,1,0,45,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,4,0,0,0,1,1,0,3,0,0,0,0,0,1,4,21,22,1,17,0,49,9,1,0,2,0,4,0,0,0,0,14,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,9,2,0,3,0
505,NA,4,0,0,0,2,0,5,16,0,2,0,2,5,1,88,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,21,1,81,0,40,13,3,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,5,0
510,NA,1,0,0,0,0,0,0,24,2,2,0,2,0,0,66,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,40,2,189,1,67,2,1,0,0,0,2,0,0,0,0,21,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0
515,NA,0,0,0,0,0,0,1,5,1,0,0,1,1,0,39,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,28,0,2,7,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
525,NA,3,0,0,0,0,0,8,42,1,4,0,9,5,0,81,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,8,2,11,0,52,13,1,0,2,0,1,0,0,0,0,22,0,0,0,1,6,0,0,1,0,2,0,0,0,0,0,8,3,0,0,1
535,NA,5,0,0,0,0,0,6,35,0,0,0,5,0,0,88,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,55,3,62,0,76,3,4,0,0,0,2,0,0,0,0,21,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0
545,NA,0,0,0,0,2,0,9,52,0,2,0,2,0,0,88,0,8,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,13,6,0,0,1,0,0,5,0,0,0,0,0,0,5,0,45,3,28,0,64,5,3,0,0,0,4,1,1,0,0,57,0,0,0,0,10,0,0,1,2,4,0,0,0,0,0,10,3,3,1,0
550,NA,1,0,0,0,0,0,2,15,1,1,0,2,0,0,20,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,2,2,1,0,2,0,0,4,0,0,0,0,0,0,6,0,29,1,35,0,66,10,1,0,0,0,1,0,0,0,0,20,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,6,0,0,0,0
560,NA,0,0,0,0,0,0,0,3,0,0,0,1,0,0,23,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,16,1,14,0,35,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0
570,NA,0,0,0,0,0,0,1,7,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,15,0,11,0,53,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0
576,NA,2,0,0,0,1,0,10,25,0,0,0,1,2,0,53,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,41,1,17,0,161,4,2,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,1,4,3,5,0
