"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Asteraceae.subf..Asteroideae.undiff.","Salix","Ulmus","Pinus.undiff.","Ephedra.nevadensis.type","Myrica","Thalictrum","Corylus","Acer.rubrum","Tilia","Amorpha","Iva.annua","Shepherdia.canadensis","Acer.negundo","Ericaceae","Rosaceae","Iva.xanthifolia","Carya","Apiaceae","Shepherdia.argentea","Elaeagnus","Juglans.cinerea","Xanthium","Rumex","Impatiens","Vitis","Humulus","Urtica","Liquidambar"
250,NA,342,0,7,4,2,6,18,0,0,11,33,1,23,1,0,1,2,0,2,0,1,0,183,2,2,5,35,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,NA,333,1,11,5,2,6,7,0,1,8,19,0,18,0,0,5,10,0,4,4,1,2,119,10,2,3,70,20,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
260,NA,335,1,39,9,6,1,16,0,2,9,18,0,20,1,0,1,8,0,3,6,2,2,130,14,3,7,29,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
270,NA,327,0,12,4,5,6,13,0,1,2,13,0,35,0,0,0,4,2,5,5,0,2,171,10,1,2,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1,1,0,0,0
280,NA,361,0,16,6,18,10,4,0,0,6,24,0,29,0,0,1,12,2,6,14,0,7,161,5,1,6,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
290,NA,338,0,18,7,4,8,7,0,0,5,25,0,15,0,0,2,11,0,3,2,0,3,156,9,1,2,57,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300,NA,276,0,53,15,5,2,1,0,0,0,7,0,9,0,0,2,85,0,1,14,0,4,51,3,3,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,NA,342,1,38,22,4,7,0,0,0,0,20,0,16,0,0,2,18,1,0,16,0,0,129,2,5,1,51,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0
330,NA,325,0,132,10,12,0,1,0,0,0,9,0,2,0,0,0,47,0,0,11,0,0,77,1,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
340,NA,358,1,33,21,4,4,2,0,0,0,30,0,10,0,0,3,10,0,0,1,0,0,167,1,2,2,58,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0
350,NA,296,0,33,6,7,7,2,0,0,0,24,0,4,0,0,1,11,0,1,0,0,4,163,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
360,NA,247,0,24,3,2,7,2,0,0,0,19,0,4,1,0,1,6,0,0,5,0,0,135,1,0,1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
370,NA,327,0,14,14,6,4,7,0,0,0,25,0,12,0,0,6,5,1,4,6,0,3,140,1,0,1,76,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,NA,258,1,5,7,3,22,0,0,0,0,24,0,5,0,0,2,2,0,2,1,0,0,155,0,0,3,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
390,NA,312,1,10,7,1,14,2,0,1,0,25,0,6,0,0,2,5,0,8,7,1,5,147,1,0,0,61,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
400,NA,214,0,29,5,4,3,2,0,0,0,15,0,7,0,0,2,13,0,0,6,0,5,70,0,4,0,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
410,NA,212,0,28,9,10,3,5,0,0,0,8,0,3,1,0,4,13,1,0,14,0,5,65,0,4,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,2
420,NA,227,0,26,21,1,4,2,0,0,0,16,0,7,0,0,1,7,1,1,2,0,4,72,4,3,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2
430,NA,222,0,16,1,2,1,0,0,0,0,14,0,7,0,0,3,3,0,1,3,0,0,124,0,1,1,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
