"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Symphoricarpos","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
280,5651,2,0,10,6,1,2,2,2,0,35,0,0,0,0,42,0,1,0,0,0,7,1,4,6,1,0,0,1,1,0,0,0,0,0,9,3,117,0,1,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0
285,5819,1,0,4,8,0,4,3,1,0,39,0,0,0,0,37,1,1,0,0,0,7,2,7,2,0,0,1,1,1,0,0,0,0,0,8,1,102,0,0,0,0,0,2,40,0,0,2,0,0,0,0,0,0,0,2,10,0,18,0,0,0
290,5990,7,0,6,1,0,0,0,0,0,57,3,0,0,1,31,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,7,4,112,0,2,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0
300,6339,1,0,4,5,0,2,2,2,0,41,2,0,0,0,30,1,1,0,0,0,15,1,4,6,0,0,0,0,2,0,0,1,0,1,2,2,121,0,2,0,0,0,2,35,0,0,1,0,0,0,0,0,0,0,2,6,0,16,1,0,0
305,6518,5,0,3,1,0,0,1,0,0,21,2,0,0,2,1,3,2,0,0,0,8,0,3,7,0,0,0,1,3,0,0,0,0,0,2,9,179,0,0,0,0,0,4,19,0,0,0,1,0,1,0,0,0,0,1,23,0,12,1,0,0
310,6699,2,0,4,3,1,1,2,3,0,18,1,0,0,1,34,2,0,0,1,0,14,2,8,1,0,0,0,1,3,0,0,0,0,0,4,5,143,0,1,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0
320,7070,3,0,0,4,0,2,2,1,0,26,3,0,0,0,19,2,0,0,0,0,13,3,5,2,0,0,1,0,7,1,0,0,0,0,8,3,137,0,1,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,7,0,17,0,0,0
325,7260,7,0,3,4,3,3,4,3,0,11,2,0,0,0,15,1,1,0,0,0,4,0,2,4,0,0,1,1,7,0,0,0,0,1,7,6,172,0,0,0,0,0,1,28,0,0,0,0,0,0,1,0,0,0,0,4,0,12,0,0,0
330,7452,5,0,5,3,1,2,0,0,0,5,0,0,0,0,55,2,1,0,0,0,6,2,2,5,0,0,0,0,4,0,0,0,0,0,8,2,153,0,3,1,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,6,0,9,0,0,0
335,7647,1,0,4,1,0,3,0,0,0,11,4,0,0,0,3,3,0,0,0,0,3,1,1,5,0,0,0,0,3,1,0,0,0,0,0,4,210,0,3,3,0,0,8,21,1,0,0,0,0,0,0,0,0,0,1,4,0,15,1,0,0
