"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.undiff.","Cyperaceae","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea","Botrychium","Diphasiastrum.tristachyum","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Woodsia","Isoëtes","Myriophyllum","Nymphaea","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
71,862,0,0,1,0,5,0,4,0,3,1,96,0,5,25,0,0,0,0,0,49,2,1,0,3,0,3,0,0,1,0,9,0,4,4,31,15,94,1,0,0,136,0,0,0,39,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,3,5,0
73,920,1,0,2,1,5,0,9,0,0,2,93,0,7,39,0,0,0,0,2,32,1,2,3,1,0,0,2,0,0,0,7,0,3,2,23,24,78,3,3,0,133,0,0,0,31,6,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,7,0,8,0,0,0,0,1,6,2
75,979,0,0,2,0,9,0,3,0,0,0,99,0,10,27,0,0,1,0,0,53,3,0,0,2,0,1,0,0,1,0,7,0,1,4,28,17,82,0,0,0,136,1,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,0,4,0,0,0,1,5,4,0
77,1037,0,0,0,0,9,0,5,0,0,4,101,0,7,36,0,0,1,2,0,49,2,1,1,3,0,1,0,0,0,0,2,0,4,2,37,39,62,0,0,0,138,1,0,0,49,2,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,10,0,9,0,0,0,3,0,5,0
79,1095,0,0,0,0,12,0,2,0,0,0,114,1,9,42,0,0,1,0,0,56,1,1,1,8,0,0,0,0,0,0,3,0,2,8,27,21,102,2,0,0,134,0,0,2,52,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,0,0,0,0,3,4,0
81,1154,1,0,0,1,5,0,2,0,0,0,80,0,12,29,0,0,1,0,0,49,4,0,0,1,0,1,0,0,1,0,5,0,4,4,19,23,82,2,0,0,139,0,0,0,48,3,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,1,10,0
83,1212,0,0,1,0,6,0,3,0,0,1,85,0,10,42,0,0,0,0,0,52,4,3,0,3,0,2,0,0,0,0,11,0,4,4,37,24,82,3,0,0,109,0,0,3,36,4,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,5,0,8,0,0,0,1,1,4,0
85,1270,0,0,0,1,5,0,4,0,5,3,95,0,10,33,3,0,0,0,0,63,5,1,1,0,0,2,0,0,1,0,6,0,4,2,47,12,91,1,0,0,131,1,0,0,43,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,9,0,0,0,2,2,19,0
87,1329,0,0,1,0,5,0,5,0,0,4,94,0,9,49,0,0,0,0,0,43,3,0,0,2,0,2,0,0,0,0,9,0,3,3,35,22,78,1,1,0,133,0,1,1,32,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,5,0
89,1387,0,0,0,0,10,0,2,0,2,6,82,0,13,24,0,0,0,0,0,48,1,1,1,2,0,1,0,0,1,0,3,0,2,4,26,10,97,0,0,0,141,0,0,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,1,0,0,1,3,15,0
91,1445,0,0,0,1,8,0,5,0,4,0,82,0,18,26,0,0,2,0,1,40,1,1,2,0,0,2,0,1,1,0,7,0,6,2,7,26,104,1,1,0,149,0,0,3,34,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1,8,0
93,1504,0,0,0,0,6,0,2,0,0,5,106,0,11,20,0,0,0,0,0,51,4,4,0,0,0,1,0,0,0,0,3,0,3,4,22,6,88,2,1,0,142,0,0,1,56,12,1,0,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,2,7,0
95,1559,0,0,1,1,5,0,5,0,0,0,87,0,8,0,0,0,1,0,0,42,4,1,2,2,0,0,0,0,0,0,9,1,3,3,41,22,64,3,1,0,178,0,0,1,41,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,0,0,2,2,11,0
97,1613,0,0,0,0,5,0,5,0,2,0,75,1,11,28,1,0,0,0,0,46,2,1,0,4,0,0,0,0,2,0,5,0,5,4,31,17,98,2,0,0,145,0,0,0,49,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,1,11,0
99,1666,0,0,1,0,6,1,5,0,1,0,76,1,17,9,0,0,0,0,0,34,1,1,1,3,0,5,0,0,0,0,2,0,4,6,12,3,114,1,0,0,161,0,0,0,43,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0
101,1719,0,0,1,1,6,0,1,0,2,0,80,3,19,29,0,0,0,0,0,51,1,1,0,3,0,0,1,0,0,0,7,0,5,4,37,13,82,1,0,0,162,0,0,1,42,2,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,1,0,21,0,0,0,1,2,9,0
103,1772,1,0,0,1,6,0,4,0,3,5,88,0,11,26,0,0,0,0,0,41,2,2,1,0,0,0,0,0,0,0,3,0,4,4,15,10,82,0,0,0,162,0,0,1,36,4,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,9,0
105,1826,0,0,0,0,1,0,5,0,0,0,75,4,8,17,0,0,1,0,0,48,3,3,0,1,0,0,0,0,0,0,6,0,3,3,26,13,80,0,0,0,178,0,0,0,47,2,0,1,1,0,1,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,1,8,0
107,1879,0,0,0,1,8,0,5,0,0,1,111,0,12,19,0,0,1,0,0,44,5,4,1,2,0,2,1,0,0,0,4,0,3,2,3,53,83,0,0,0,177,0,0,1,42,2,0,0,2,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,3,5,0
109,1932,0,0,0,1,7,0,2,0,1,0,108,1,10,13,0,0,0,1,0,46,3,1,0,0,0,1,0,0,0,0,4,0,6,8,30,10,94,0,0,0,136,1,0,1,36,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1,2,10,0
111,1985,2,0,0,1,10,1,1,0,1,0,78,1,19,14,0,0,0,0,0,51,4,0,1,6,0,0,0,0,0,0,5,0,3,1,24,5,112,2,0,0,154,0,0,2,44,0,0,1,3,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,1,4,4,0
113,2038,1,0,0,0,9,0,2,0,0,0,94,4,11,12,0,0,1,0,0,50,1,0,0,1,0,1,0,0,0,0,9,0,5,4,40,12,102,0,0,0,0,1,0,0,38,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,4,0,1
115,2092,0,0,0,0,12,0,2,0,2,1,93,0,0,11,0,0,0,0,0,57,2,2,0,1,0,1,0,0,0,0,3,0,3,2,34,13,88,3,0,0,172,0,0,0,36,9,2,0,1,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,1,7,7,0
117,2145,0,0,0,0,12,0,1,0,1,4,109,1,20,9,0,0,2,0,0,59,6,1,2,1,0,0,0,0,0,0,10,0,5,2,43,6,90,1,1,0,176,1,0,4,43,6,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5,1,21,0,0,0,0,0,8,0
119,2198,0,0,1,0,9,0,5,0,0,0,89,1,7,13,0,0,0,0,0,61,3,0,5,0,0,3,0,0,0,0,7,0,7,2,11,2,82,1,0,0,181,0,0,0,37,6,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,22,0,0,0,1,2,7,0
121,2251,0,0,0,1,6,0,3,0,1,0,68,0,12,14,0,0,2,0,0,59,0,0,0,0,0,2,0,0,0,0,3,0,3,2,29,7,92,2,1,0,162,0,0,1,43,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,1,0,20,0
123,2305,0,0,2,0,5,1,2,1,0,3,87,0,10,11,0,0,0,3,1,33,0,0,0,1,0,1,0,0,0,0,8,0,5,0,20,8,86,4,0,0,190,0,0,0,35,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,3,12,0
125,2358,0,0,0,1,11,0,6,0,0,2,83,0,22,9,0,0,1,0,0,62,4,1,2,3,0,4,0,0,0,0,5,0,1,2,31,10,94,0,0,0,184,0,0,0,34,11,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,9,0
127,2411,0,0,1,0,4,0,2,0,0,0,99,1,12,11,0,0,0,0,0,49,4,1,1,6,0,0,0,0,0,0,3,0,1,3,21,6,94,3,0,0,203,1,0,1,35,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,17,0
129,2464,0,0,0,0,5,0,2,0,0,1,54,0,15,5,0,0,0,0,0,66,4,1,1,0,0,0,0,0,0,0,5,0,3,4,42,7,91,4,0,0,147,1,0,3,40,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,19,0,0,0,0,0,6,0
131,NA,0,0,0,0,11,0,6,0,0,3,77,0,8,21,0,0,1,0,0,55,3,2,1,1,0,3,0,0,0,0,3,0,9,1,42,13,90,2,0,0,167,1,0,1,33,6,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,4,0,23,0,0,1,0,4,0,0
133,NA,2,0,0,0,8,0,5,0,1,0,71,0,6,8,0,0,1,0,0,48,5,3,2,5,0,0,0,0,0,0,7,0,6,2,42,12,82,2,0,0,153,2,0,1,35,9,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,4,0,38,0,0,0,1,6,7,0
