"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Betula.undiff.","Betulaceae.undiff.","Coniferophyta.undiff.","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago.H..lucidula","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum.Diphasiastrum.complanatum","Lycopodium.undiff.","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Populus","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Symphoricarpos.albus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown"
830,3371,22,0,0,4,2,38,0,6,0,0,0,12,54,20,14,0,0,6,6,2,0,2,0,0,0,0,6,24,2,6,0,0,2,0,0,0,0,0,0,0,0,438,8,6,16,0,0,0,2,2,0,0,0,0,0,18,0,0,0,0,0,0,6
860,3704,26,0,0,8,22,32,0,0,2,0,0,66,134,36,10,0,0,22,8,0,0,2,0,4,0,0,8,18,0,24,2,0,6,2,0,4,0,0,0,0,0,580,12,4,18,2,0,0,2,2,0,0,2,0,0,4,0,0,2,0,0,0,2
880,3953,30,0,0,4,20,64,2,0,4,0,2,34,98,28,16,0,0,2,12,0,0,2,0,2,0,0,6,14,0,6,0,0,4,0,0,0,0,4,2,0,0,628,8,8,6,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
900,4203,48,0,0,6,12,36,0,0,2,0,0,34,104,12,16,4,0,0,12,0,0,0,0,0,0,0,6,24,0,8,0,2,4,0,0,0,0,0,0,28,514,0,4,6,10,2,0,0,0,2,0,0,2,2,0,24,0,0,0,2,0,0,4
930,4576,30,0,0,2,4,26,0,0,2,4,0,6,50,10,16,2,0,6,12,0,0,0,0,0,0,0,6,8,0,14,0,0,4,0,0,2,0,2,2,0,0,430,4,8,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
950,4794,34,0,0,2,8,20,0,0,0,0,0,30,112,24,22,0,0,12,14,0,0,2,0,0,0,0,6,30,0,6,0,0,4,2,4,0,0,0,0,0,0,456,4,4,8,2,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,2
990,4979,28,2,0,2,16,46,0,0,0,0,0,22,86,20,10,0,0,8,0,0,0,0,0,0,0,0,8,6,0,2,0,0,0,2,0,0,0,0,0,0,0,440,2,6,8,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2
1020,5118,76,0,0,18,20,52,0,2,2,0,0,0,164,28,24,0,0,18,8,0,0,0,0,0,2,0,30,30,0,10,0,0,6,2,2,0,0,0,0,0,908,0,4,12,16,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,6
1050,5346,50,0,0,2,10,34,0,0,0,0,0,22,100,20,8,0,0,2,8,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,2,0,0,506,8,0,8,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0
1070,5513,64,0,0,4,16,44,2,2,0,0,0,58,170,42,20,0,0,10,18,0,0,0,0,0,0,0,14,16,0,2,0,0,2,4,0,2,2,0,0,0,0,558,6,10,16,2,2,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0
1080,5597,52,0,0,0,20,26,2,2,2,0,0,44,84,36,20,0,0,10,18,0,0,0,0,0,0,0,10,6,0,2,0,0,6,0,0,0,0,0,0,0,0,370,0,8,6,0,2,2,0,0,0,0,4,0,0,2,0,0,0,0,0,2,4
1090,5680,82,0,0,6,14,38,0,0,0,0,0,26,162,10,18,0,0,4,8,0,0,0,0,0,0,0,20,22,0,8,0,0,2,0,4,2,0,0,0,96,506,0,2,10,16,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
1100,5809,54,0,0,16,76,94,2,0,0,0,0,0,270,44,14,0,0,12,14,0,0,0,0,0,0,2,34,24,0,14,0,0,4,0,2,4,0,0,0,98,366,0,8,10,16,0,4,2,0,0,0,2,4,0,0,6,0,0,0,0,0,2,2
1103,5903,32,0,0,36,44,12,0,0,0,2,0,74,190,46,16,0,0,8,4,0,0,0,0,0,0,0,16,8,0,8,0,0,8,0,0,0,0,0,0,0,0,246,0,10,10,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2
1111,6152,22,0,0,48,52,50,0,0,0,4,0,52,144,38,8,2,0,8,6,0,0,0,0,0,0,0,22,26,0,6,0,0,6,2,0,0,2,0,0,22,180,0,0,2,14,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2
1115,6276,20,0,0,50,128,570,0,2,0,2,0,0,434,134,22,0,0,40,24,0,2,2,0,0,0,0,28,44,6,30,0,0,44,10,0,8,4,0,0,194,266,0,6,26,26,18,4,0,0,2,4,0,8,0,0,10,0,0,0,0,0,0,10
1125,6587,4,0,0,64,186,354,0,2,2,2,0,0,210,44,8,0,0,26,2,0,0,6,0,0,0,0,56,40,0,26,0,0,34,4,2,2,0,0,0,40,132,0,2,12,20,12,4,14,0,0,0,0,6,0,2,6,0,0,0,0,0,0,2
1132,6805,2,0,0,0,60,184,0,0,0,4,0,0,100,26,2,0,0,14,2,0,0,2,0,0,0,0,16,16,0,2,0,0,14,2,0,2,0,0,4,0,0,76,4,4,20,2,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,4
1144,NA,18,0,0,26,62,20,0,2,0,2,0,0,42,26,12,0,0,48,6,0,0,0,0,0,0,0,60,2,0,0,0,0,2,2,0,2,0,0,2,24,86,0,16,14,60,2,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,6
1152,NA,6,0,0,4,28,54,0,0,0,4,0,8,28,30,16,0,0,2,0,0,0,2,0,6,0,0,102,2,0,2,0,0,4,0,0,0,0,0,2,0,0,56,2,18,30,2,0,2,2,2,0,0,10,0,0,6,2,0,0,0,0,0,8
1167,NA,18,0,0,0,76,128,2,4,2,2,0,6,48,58,32,0,0,14,4,0,0,0,0,0,0,0,104,0,0,0,0,0,6,4,0,0,0,0,6,0,0,116,10,8,76,4,8,0,2,0,0,0,4,0,0,6,6,0,0,0,0,0,4
