"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.cf..B..dissectum","Botrychium.cf..B..multifidum","Brasenia.schreberi","Brassicaceae","Carya","Celtis","cf..Ceanothus","cf..Lysimachia.thyrsiflora","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus.Cannabis.sativa","Hydrophyllum","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.cf..Lycopodium.clavatum","Lycopus.type","Morus","Myriophyllum.sibiricum.type","Myriophyllum.verticillatum.type","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sparganium.type","Thalictrum","Tidestromia","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vitis","Woodsia","Xanthium"
917,7141,0,0,0,0,16,8,1,0,12,2,12,0,0,0,0,1,0,0,0,3,2,1,5,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,20,17,64,0,0,13,0,18,1,0,2,43,0,2,0,0,3,0,0,0,1,0,12,0,0,0,0,0,0
920,7212,0,0,0,1,17,9,0,0,10,3,12,0,0,0,0,0,0,0,0,2,1,0,3,0,4,0,0,0,0,5,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,17,11,91,0,2,16,0,5,1,0,1,23,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
922,7260,0,0,0,2,6,5,1,1,9,5,18,0,0,0,0,0,0,0,0,3,2,1,5,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,11,9,70,0,0,9,0,4,0,0,3,19,0,1,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0
925,7331,0,0,0,1,16,15,0,0,12,0,18,0,0,0,0,0,0,0,0,3,2,1,8,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,18,2,100,0,0,19,0,8,0,0,0,28,0,2,0,0,5,2,0,0,0,0,3,0,1,0,0,0,0
927,7378,0,0,0,4,16,12,0,0,8,1,11,1,0,0,0,0,1,0,0,4,1,0,8,0,1,0,1,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,10,6,87,0,0,8,0,12,1,0,2,28,0,0,1,0,3,0,0,0,0,0,7,0,1,0,0,0,0
930,7449,0,0,0,3,8,17,0,0,15,2,18,0,0,2,0,0,1,0,0,10,2,0,5,0,2,0,0,0,0,1,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,15,3,123,0,0,16,0,3,0,0,0,41,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
932,7497,0,0,0,2,8,6,0,0,8,6,10,0,0,0,0,0,0,0,0,8,2,0,5,0,1,0,1,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,7,86,1,0,9,0,11,0,0,2,33,0,2,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0
935,7568,0,0,0,1,11,10,0,0,18,4,8,0,0,0,0,0,0,0,0,5,2,0,7,0,3,0,0,1,0,2,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,16,2,119,0,0,22,0,4,2,0,3,41,0,2,0,0,2,0,0,0,0,0,8,0,1,0,0,0,0
937,7615,0,0,0,0,8,8,0,0,16,5,7,0,0,0,1,0,0,0,0,6,3,0,5,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,15,7,113,0,0,9,0,2,2,0,2,25,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0
940,7686,0,0,0,0,8,14,0,0,8,0,11,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,6,2,74,0,0,14,0,0,2,0,0,36,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0
