"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rubiaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Viburnum"
240,6341,4,1,4,0,3,0,3,2,1,152,0,1,0,2,0,4,1,2,2,21,1,4,0,20,141,1,0,0,6,0,0,0,2,1,0,14,41,0,1,0,21,0,6,1,28,1,0,0,2,6,2,0,2,49,1,6,5,0,0
250,6786,7,0,10,0,2,0,0,0,4,128,0,1,0,1,0,0,0,1,0,29,3,5,2,7,111,0,0,0,3,5,0,0,5,1,0,12,19,0,3,1,11,2,0,1,37,0,0,0,1,5,0,1,1,40,3,7,3,0,0
260,7230,5,0,10,0,4,0,0,0,0,127,0,0,0,1,0,1,0,2,0,18,3,5,2,10,92,0,0,0,6,1,0,0,1,1,1,36,44,0,2,5,30,3,7,0,27,4,0,1,1,3,0,0,2,48,0,6,4,4,0
275,7573,4,1,3,0,3,1,0,2,0,95,0,0,0,1,0,7,0,1,0,7,3,1,0,6,138,0,0,0,5,0,0,0,5,0,0,35,92,0,2,3,21,1,2,0,50,1,0,0,5,8,0,0,1,43,0,8,5,0,0
300,8037,9,1,3,0,7,1,0,0,3,93,0,0,0,2,0,0,0,1,1,5,3,7,0,9,90,0,0,0,3,1,0,0,7,1,0,28,70,0,1,2,24,1,2,0,56,0,0,0,2,5,0,0,2,24,6,8,2,0,0
325,8501,7,1,7,0,11,1,2,1,2,98,0,1,0,0,0,12,0,8,0,1,0,3,0,8,54,0,0,0,4,2,0,0,7,0,0,42,80,0,2,2,40,1,0,0,50,1,0,0,0,4,0,0,1,22,2,5,3,0,0
350,8965,8,1,3,0,10,0,2,1,1,68,0,0,0,0,0,0,0,0,0,1,5,4,0,5,19,0,0,0,2,1,0,0,8,2,0,57,89,0,3,0,5,3,0,0,66,1,0,0,3,7,0,1,0,20,2,2,5,0,0
375,9429,1,0,5,0,3,0,2,0,1,93,0,0,0,1,0,3,0,0,0,0,1,1,0,3,31,0,0,0,2,1,0,0,8,0,0,44,90,0,1,3,14,0,0,0,64,0,0,0,2,0,0,0,0,4,1,3,1,0,0
390,9737,10,0,3,0,12,0,0,1,0,191,0,0,0,0,0,2,0,3,0,0,3,0,0,16,22,0,0,0,1,3,0,0,6,4,4,75,101,0,0,3,2,1,2,0,79,1,0,0,1,0,0,0,0,9,2,3,2,0,0
400,10517,21,2,6,0,35,0,0,1,2,370,0,1,0,1,0,2,4,2,0,0,10,8,0,20,7,1,0,0,4,11,0,0,21,12,2,155,242,0,1,3,31,5,6,12,163,2,0,1,4,3,0,0,0,17,0,22,9,0,0
410,11297,23,0,5,0,87,1,1,1,2,539,0,0,2,1,0,24,0,12,4,0,13,5,0,65,0,4,2,3,19,13,0,0,17,30,11,73,138,0,4,14,11,51,6,9,125,0,1,0,7,2,2,1,0,6,0,10,10,2,0
420,12077,10,0,0,0,167,0,0,2,3,104,0,0,2,1,0,9,0,31,2,0,1,2,0,8,0,0,0,1,18,3,0,1,5,43,0,12,80,0,1,3,32,6,1,0,21,1,1,0,8,3,0,1,0,2,1,9,4,0,0
430,12857,2,0,1,0,46,0,1,23,8,54,0,0,14,0,0,11,24,95,0,0,1,0,0,53,0,0,0,2,8,2,0,0,1,136,12,1,61,0,0,33,9,5,0,2,11,2,2,4,24,1,1,2,0,1,0,2,4,1,0
440,13464,1,0,0,0,5,3,1,22,4,32,0,0,8,0,0,2,17,62,0,0,1,3,0,28,2,0,0,0,2,10,1,0,29,90,0,0,41,0,0,7,7,5,0,0,19,0,0,3,28,2,0,1,0,0,0,11,6,0,0
450,14071,2,0,0,0,4,0,4,13,4,41,0,0,2,0,0,21,31,26,1,0,8,2,0,59,0,0,0,0,2,0,0,0,3,62,39,1,38,0,1,20,5,17,4,0,41,0,0,3,12,0,0,2,0,0,0,7,15,1,0
460,14679,1,1,0,0,6,0,2,7,3,25,1,0,1,0,0,15,10,13,0,0,12,3,0,27,0,0,0,0,3,1,0,0,16,39,3,1,47,0,1,24,6,39,2,0,38,0,0,0,21,1,0,0,0,0,0,5,10,0,0
470,15286,0,0,0,0,2,0,0,1,2,0,1,0,0,0,1,2,5,4,0,0,2,0,0,11,0,0,0,0,0,0,0,0,2,9,5,0,10,1,0,2,2,5,0,0,5,0,0,0,2,0,0,0,0,0,0,1,2,4,0
488,NA,0,0,1,0,3,1,0,3,3,21,0,0,1,0,0,2,3,10,0,0,2,0,0,18,5,0,0,0,2,1,0,0,3,12,1,2,13,0,0,6,3,3,1,0,6,0,0,1,7,0,0,0,0,2,1,2,4,0,0
