"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus.incana","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","cf..Hypericum","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva","Juglans.cinerea","Lamiaceae","Menyanthes.trifoliata","Myrica.Comptonia.peregrina","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus","Rhus","Rosaceae","Rumex","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Zea.mays"
95,563,0,3,4,5,0,1,0,0,2,0,27,0,0,15,0,0,0,2,3,0,0,7,0,0,15,2,0,0,1,8,3,0,0,0,0,49,0,2,1,0,4,3,0.5,1,2,21.5,0,0,2,0,190,0,0,0,16,0,1,1,1,0,4,0,0,3,6,4,2,0
105,669,0,4,0,4,0,2,0,0,4,0,21,0,0,12,0,0,0,1,6,2,0,1,0,0,25,0,1,0,0,2,3,0,0,0,0,36,0,0,0,0,3,0,2.5,1,1,17,0,0,5,0,171,0,0,0,3,0,0,0,0,0,5,0,0,2,6,0,0,0
115,795,0,7,1,7,0,2,0,1,3,0,19,0,0,12,0,6,0,0,8,0,1,1,1,0,16,3,1,0,1,2,6,0,0,0,0,36,0,0,0,0,4,0,0.5,0,4,22.5,0,0,5,3,180,0,0,2,4,0,0,0,0,0,3,0,2,3,9,3,1,0
125,944,0,3,2,6,0,2,0,1,4,0,31,0,0,18,0,1,0,0,2,1,1,2,0,0,14,0,2,0,2,11,11,0,1,1,0,16,0,0,0,0,5,1,0,2,5,11,0,0,3,0,125,0,0,1,9,0,0,1,0,0,5,0,1,2,2,0,2,0
135,1120,0,5,0,3,0,0,0,0,1,0,26,0,0,18,0,0,0,2,2,0,2,1,0,0,9,0,2,0,0,19,2,0,1,0,0,39,0,0,0,1,5,3,1.5,2,2,18,0,0,4,0,211,0,0,2,10,0,0,1,0,0,9,0,0,2,7,2,2,0
145,1326,0,0,4,4,2,0,0,0,4,0,21,0,0,21,0,0,0,0,3,2,4,0,0,0,7,0,2,0,1,7,5,0,0,0,0,34,0,0,0,0,4,1,0,3,1,14,0,0,3,0,156,0,0,1,7,0,2,0,0,1,3,0,0,2,5,3,5,0
155,1567,0,0,3,2,0,2,0,0,3,0,23,0,0,21,1,0,0,0,6,2,0,0,0,0,12,2,3,0,1,14,5,0,0,0,1,44,0,0,0,0,7,1,0.5,0,1,10.5,0,0,2,0,171,0,0,0,6,0,0,2,0,0,1,0,0,6,7,0,4,0
165,1845,0,3,2,5,0,3,0,0,4,0,28,0,0,17,2,0,0,0,4,0,0,0,0,0,14,2,2,0,1,4,7,0,0,0,0,48,0,0,0,1,5,0,1.5,1,0,20,0,0,6,0,168,0,0,0,5,0,0,0,0,0,6,0,0,3,10,0,4,0
175,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2528,0,0,1,15,0,0,0,1,3,0,29,0,0,20,0,0,0,0,3,0,0,1,0,0,26,1,0,0,2,2,3,0,1,0,0,28,0,0,1,0,6,1,0,0,2,15.5,0,1,0,0,178,0,0,0,3,0,0,1,0,1,5,0,2,6,6,0,0,0
195,2940,0,7,2,20,0,2,0,0,1,0,36,0,0,14,0,2,0,0,6,1,0,1,0,0,31,2,1,0,0,7,226,0,1,1,0,35,0,0,0,0,7,0,0,1,1,18,0,0,0,0,190,0,0,0,1,0,0,0,0,1,2,0,1,4,6,0,0,0
205,3404,0,6,0,28,1,2,0,0,4,0,32,0,0,11,0,0,3,0,3,0,0,0,0,0,46,0,2,0,0,8,159,0,1,0,0,2,0,0,0,0,1,0,0,1,4,13,0,0,1,0,152,0,0,0,4,0,0,0,0,0,1,0,0,2,4,1,1,0
215,3919,0,0,3,72,0,1,0,0,2,0,21,0,0,21,1,0,0,0,6,0,0,0,0,0,12,0,0,1,0,3,213,0,1,0,0,10,0,0,1,0,5,0,0.5,0,0,21.5,0,0,2,0,160,0,0,0,5,0,0,0,0,1,0,0,0,1,6,0,1,0
225,4479,0,1,4,42,0,0,1,1,0,0,18,0,0,15,0,1,0,0,2,1,0,2,0,0,13,5,2,0,0,12,57,0,3,0,0,12,0,0,0,0,4,0,0,1,1,17.5,0,0,1,1,158,2,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0
235,5079,0,2,2,75,1,1,0,0,1,0,31,0,0,4,0,0,0,0,2,1,0,4,0,0,9,4,1,0,1,6,33,0,0,0,0,10,0,0,1,0,4,0,0.5,1,0,8,0,0,2,0,178,0,0,0,2,0,0,0,0,0,2,0,1,1,12,0,5,0
245,5715,0,6,0,44,0,2,1,1,1,0,18,0,0,1,0,0,1,0,4,1,0,0,1,0,21,4,0,0,0,9,26,0,0,0,0,7,0,0,0,0,4,1,0,0,0,16,0,0,2,0,232,0,0,0,1,0,1,0,0,0,7,0,0,4,1,0,1,0
255,6380,0,0,7,28,0,2,0,0,0,0,10,0,0,3,1,0,0,0,1,2,1,0,0,0,11,2,1,1,1,5,39,1,0,0,0,6,0,0,0,0,5,0,2,0,2,12.5,0,3,5,0,220,0,0,0,1,0,0,0,1,0,8,0,0,10,3,0,3,0
265,7069,0,0,3,65,0,2,0,0,5,0,16,0,0,3,1,1,0,0,1,1,2,0,0,0,12,1,2,1,0,10,87,0,1,0,0,12,0,0,0,0,2,1,0.5,1,0,17,0,0,2,0,161,0,0,0,1,1,0,0,0,1,6,0,0,4,6,3,3,0
275,7775,0,2,2,67,1,1,0,1,12,0,24,0,0,0,0,0,0,0,11,0,6,1,0,0,6,1,1,0,0,9,17,0,0,0,0,21,0,0,0,0,2,0,2,1,1,16,0,1,3,0,198,0,0,0,0,0,0,0,0,0,3,0,0,4,5,2,1,0
285,8460,0,0,1,77,0,2,0,0,1,0,16,0,0,1,0,0,0,0,9,0,2,0,0,0,3,2,1,0,0,3,22,0,0,0,0,13,0,0,0,0,2,0,1,0,0,23.5,0,0,1,0,176,0,0,0,0,0,1,2,0,0,4,0,0,3,3,0,3,0
295,9068,0,0,1,77,0,9,0,1,4,0,22,0,0,0,0,0,0,0,6,0,1,1,0,0,0,2,0,0,0,2,14,0,0,0,0,14,0,0,0,0,0,1,6.5,3,9,51,0,0,4,0,148,0,0,0,0,0,0,0,0,1,8,0,0,2,4,0,2,0
305,9548,1,2,0,53,0,16,0,1,5,0,22,0,1,2,0,0,0,0,18,2,3,0,0,0,0,1,0,0,0,5,42,0,0,0,0,17,2,0,0,0,1,3,11.5,1,14,66.5,0,0,3,0,118,0,0,0,0,0,0,0,0,0,6,0,0,4,2,8,8,0
315,9895,0.5,0,0,28,0,9,0,0,6,0,25,0,0,0,0,0,0,0,13,1,2,0,0,0,0,2,2,0,0,12,117,0,1,0,0,35,0,0,0,0,1,2,0,2,7,71,0,0,8,0,155,0,0,0,1,0,0,0,0,0,2,0,0,3,3,2,6,0
325,10154,0,0,1,11,1,5,1,0,6,0,23,0,0,0,0,0,0,0,8,0,3,1,0,0,0,0,2,0,0,10,187,0,1,0,0,24,0,0,0,0,0,0,2,2,2,50,0,0,6,4,173,1,0,0,1,0,0,0,0,1,7,0,1,3,6,2,1,0
335,10373,1,0,1,10,0,5,0,1,4,0,27,0,0,2,0,0,0,0,9,0,4,0,0,0,0,1,0,0,0,7,176,0,0,0,0,36,0,0,0,0,0,2,3.5,2,12,57.5,0,0,3,0,127,0,0,0,0,0,1,0,0,0,3,0,0,5,1,1,9,0
345,10598,0,2,0,8,0,4,0,0,5,0,22,0,0,0,0,1,0,0,20,2,1,0,0,0,0,2,1,0,0,14,113,0,0,0,0,30,0,0,0,0,1,3,1.5,4,13,90,0,0,6,0,157,0,0,0,2,0,1,0,0,0,13,0,0,2,1,3,2,0
355,10877,0,1,1,5,2,6,0,1,4,0,30,0,0,0,0,1,0,0,15,0,6,2,0,0,1,1,3,0,0,3,6,0,0,0,0,67,0,0,0,0,1,0,3,2,9,102,0,0,6,6,179,0,0,0,1,0,2,1,0,0,6,0,1,2,4,2,1,0
365,11257,0,0,4,5,0,1,0,0,2,0,76,0,0,0,0,1,0,0,7,0,1,2,0,0,0,1,2,0,1,3,8,0,1,0,0,27,0,0,0,0,0,2,2.5,6,41,123,0,0,2,0,177,0,0,0,0,0,2,0,0,0,1,0,1,5,2,0,8,0
375,11783,8,1,1,32,0,0,0,0,1,0,30,0,1,0,0,0,0,0,12,0,2,5,0,0,1,3,0,0,0,16,1,0,0,0,0,20,0,0,0,0,0,8,63.5,2,7,103.5,0,0,1,0,46,0,0,0,1,0,0,0,0,0,5,0,2,1,0,1,6,0
385,12447,3,0,1,53,0,0,0,1,0,0,92,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,4,55,0,0,0,0,11,0,0,0,0,0,1,61.5,11,7,98.5,0,0,5,0,16,0,0,0,2,0,0,1,0,0,3,0,0,1,2,0,1,0
395,13208,3.5,2,0,5,0,1,0,0,2,0,48,0,0,0,0,0,0,0,12,0,4,3,0,0,2,6,0,0,2,8,1,0,0,0,0,4,0,0,0,0,0,11,94.5,12,0,96,0,0,5,0,33,0,0,0,0,0,0,1,0,0,0,0,0,2,1,7,3,0
405,14024,3,0,0,6,0,0,0,1,6,1,24,0,4,0,0,0,0,0,11,1,10,2,0,0,1,2,2,0,0,0,45,0,1,0,0,7,0,0,0,0,0,12,87.5,23,0,81.5,0,0,14,15,30,0,0,0,0,0,4,1,0,0,0,1,5,0,3,15,4,0
411,NA,1,0,0,2,0,1,0,1,10,0,21,4,0,1,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,3,18,0,0,0,0,10,0,0,0,0,0,4,104,19,1,94.5,0,0,18,0,19,0,0,0,2,0,0,0,0,0,0,1,1,0,4,83,21,0
417,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,2,2,1,0
