"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
760,7127,0,0,0,9,6,0,0,0,0,34,2,0,0,0,1,1,2,0,13,3,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,126,0,0,1,0,0,0,37,0,0,0,0,0,0,0,1,0,2,54,0,15,0,0
780,7560,0,0,0,6,5,0,1,0,0,23,0,0,0,0,6,1,1,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,152,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,53,0,18,0,0
800,7993,0,0,0,9,2,2,0,4,0,19,0,0,0,0,3,1,1,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,199,0,0,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,37,0,8,0,0
820,8426,1,0,0,4,4,1,0,0,0,27,0,0,0,0,2,1,2,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,1,20,4,160,0,0,0,0,0,0,54,0,0,0,1,0,0,0,0,0,0,4,0,17,0,0
840,8859,0,0,0,0,1,0,0,0,0,24,0,0,0,0,3,0,1,0,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,16,4,177,0,1,2,0,0,0,44,0,0,0,1,0,0,0,0,0,1,7,0,10,0,1
860,9293,1,0,0,4,7,1,0,0,2,37,0,0,0,0,3,3,3,0,4,0,2,2,0,0,0,0,0,1,0,3,0,0,1,4,9,355,0,1,0,2,0,0,19,0,0,0,0,0,0,0,0,1,0,9,0,5,0,0
880,9726,2,0,0,3,3,0,0,1,0,24,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,224,0,0,0,0,0,0,11,0,0,0,1,0,0,0,3,0,1,10,0,9,0,0
900,10159,2,0,0,4,2,0,2,1,1,40,0,0,0,0,7,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,187,1,2,0,2,0,0,17,0,0,0,1,0,0,0,2,0,0,5,0,6,0,0
920,10592,0,0,0,1,2,0,1,4,0,44,1,0,0,0,3,4,0,0,0,2,4,0,0,0,0,0,0,2,0,2,0,0,0,8,0,213,0,0,4,3,0,0,19,0,0,0,1,0,0,0,3,0,0,1,0,14,0,0
940,11025,0,0,0,1,9,0,1,2,1,56,0,0,0,3,5,1,0,0,2,3,4,1,0,0,0,0,0,1,1,0,0,0,0,0,4,196,0,0,5,2,0,0,26,0,0,0,4,0,0,0,3,0,0,3,1,13,0,0
960,11269,1,0,0,2,2,0,0,3,0,38,2,0,0,1,5,1,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,6,11,227,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0
980,11513,0,1,0,0,0,0,0,3,1,43,0,0,0,2,11,0,2,0,0,0,2,0,0,0,0,0,0,3,1,2,0,0,0,6,17,201,0,0,4,2,0,0,16,0,0,0,1,0,0,1,2,0,0,1,0,7,0,0
1000,NA,0,0,0,2,3,0,5,8,0,37,2,0,0,3,34,0,4,0,0,0,1,1,0,0,0,0,0,3,2,14,0,0,0,19,74,93,0,1,1,12,0,0,40,0,0,0,4,0,0,2,8,0,0,0,1,6,0,0
1020,NA,1,0,0,1,1,0,1,10,2,5,1,0,0,2,11,3,2,0,0,1,2,0,1,3,0,0,0,0,1,22,0,0,0,12,146,66,0,1,0,7,0,0,19,0,0,0,1,0,0,0,4,0,0,1,2,4,3,0
1040,NA,5,0,0,0,0,0,0,9,0,16,0,0,0,1,6,9,2,0,0,1,1,0,0,0,1,1,0,1,2,19,0,0,0,5,158,56,0,0,3,3,0,0,12,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0
1060,NA,12,0,0,0,3,0,0,5,8,46,4,0,0,0,9,93,14,0,0,0,1,2,0,0,0,1,0,2,7,3,0,0,0,4,104,122,0,0,9,13,0,0,21,0,0,0,4,0,0,0,2,0,0,10,1,2,0,0
1080,NA,4,0,0,0,2,0,0,9,6,9,0,4,0,2,5,90,3,2,0,0,0,0,0,0,5,2,0,0,4,0,0,0,0,1,83,156,0,0,10,3,0,0,20,0,0,0,1,0,0,0,4,0,0,5,0,4,0,0
1100,NA,6,0,0,1,0,0,0,2,0,13,6,1,0,3,8,123,10,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,4,44,148,0,0,15,14,0,2,30,0,0,0,6,0,0,0,1,0,0,1,0,16,1,0
1120,NA,2,0,0,2,1,3,0,2,5,5,6,1,0,1,2,150,3,2,0,0,3,0,0,0,0,2,0,0,0,2,1,0,1,9,55,128,0,0,9,17,0,2,31,1,0,0,6,0,3,0,0,0,0,0,1,11,1,0
1140,NA,0,0,0,0,3,0,0,1,5,10,5,0,0,0,4,9,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,26,66,0,2,5,3,0,0,13,0,0,0,1,0,0,0,3,0,0,0,0,6,16,0
