"sample.depths","sample.ages","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar","Liriodendron","Lonicera","Lycopodium.clavatum","Magnolia","Morus","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogeton","Potamogetonaceae.undiff.","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhus","Rubus","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Saxifragaceae","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis"
530,11821,3,0,2,0,2,0,5,0,6,0,0,12,2,0,1,0,25,0,4,0,7,0,1,4,10,2,0,7,1,2,3,0,3,7,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,5,4,0,0,12,19,30,0,1,17,0,1,1,0,0,0,147,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0
540,11865,0,1,4,0,0,1,7,1,8,0,4,10,0,0,0,0,18,0,1,0,2,0,2,8,4,0,0,8,1,2,7,0,0,2,0,0,2,0,1,0,0,0,0,0,32,0,0,21,0,3,0,0,12,0,1,0,5,11,0,1,28,0,1,0,0,0,0,166,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,1,0,0
550,12129,0,1,0,0,1,0,3,0,7,0,4,3,1,16,0,0,24,0,0,1,0,0,3,7,4,0,0,28,1,5,2,0,0,11,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,1,15,0,0,0,0,4,0,1,10,0,1,5,0,0,1,172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1
560,12612,0,0,0,0,2,0,0,0,9,0,1,5,1,0,0,0,19,0,1,0,0,0,1,3,2,1,0,138,4,3,7,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,2,0,0,3,1,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,0
570,12873,1,0,0,0,1,1,1,0,13,0,0,0,0,0,0,0,47,1,0,3,0,1,0,2,1,0,4,125,3,0,11,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,1,0,2,0,0,3,0,0,0,0,0,0,89,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0
580,12911,0,0,0,0,2,0,1,0,8,0,1,3,0,0,0,0,40,0,1,6,0,0,0,9,0,0,0,126,4,4,3,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,3,0,1,1,0,1,0,0,0,0,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,2
590,12949,0,0,0,0,3,2,1,0,3,0,1,1,1,0,0,0,44,0,0,2,0,0,1,12,0,0,0,117,3,6,13,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,81,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1
600,12987,0,0,0,0,1,0,0,0,5,0,4,1,1,0,0,1,47,0,0,0,0,0,2,12,0,0,0,109,7,3,6,0,2,5,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,3,0,1,2,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,1,0,1,2
610,13025,0,0,0,1,1,0,2,0,15,0,3,3,0,0,1,0,31,0,0,3,0,0,3,22,4,0,0,104,0,4,3,0,1,15,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,3,0,3,2,1,3,0,0,2,0,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,4,0
620,13063,0,0,0,0,2,0,1,0,7,0,7,4,1,0,0,0,37,0,0,2,0,0,0,25,1,0,0,112,10,4,12,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,2,0,0,0,0,0,0,91,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0
630,13101,0,2,1,0,0,1,0,0,3,0,4,1,0,0,0,0,36,0,0,2,0,0,3,19,1,1,0,99,0,5,2,0,0,12,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,2,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,2,0
640,13139,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,35,0,0,3,0,0,0,13,0,0,0,120,11,0,10,0,4,12,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1
650,13186,0,0,0,2,4,0,0,0,3,0,3,5,1,0,0,0,37,0,1,3,0,1,0,19,2,0,0,118,4,0,8,0,1,7,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,1,0,0,0,4,2,0,4,1,0,0,0,71,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,1,0
660,13241,1,0,0,0,1,0,0,0,7,0,1,1,0,0,0,0,50,0,0,0,0,0,2,24,1,0,4,129,8,1,12,0,5,11,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,1,0,0,1,0,0,0,0,73,0,0,0,2,0,0,0,0,1,0,0,8,0,0,0,0,19,0,0,0,0,0,2
670,13297,0,1,0,0,2,0,0,1,7,0,6,1,1,0,0,0,52,0,0,3,1,0,3,19,1,0,0,125,0,1,10,0,0,15,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,2,0,2,0,0,0,2,0,0,1,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,1,2
680,13352,0,0,0,0,1,0,0,0,8,0,1,0,1,0,0,0,35,0,0,2,0,0,1,16,2,0,0,151,3,1,5,0,2,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,2,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,12,0,0,1,0,0,5
690,13408,0,0,0,0,3,0,1,0,9,0,0,1,1,0,0,0,37,0,0,2,0,0,1,20,0,0,0,112,2,3,10,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1,2
700,13463,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,28,0,0,0,0,1,0,14,2,0,0,108,2,7,8,0,1,12,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,1,5,0,1,1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1
710,13519,0,0,0,0,3,0,1,0,8,0,1,1,0,0,0,0,34,0,0,7,0,0,2,14,1,0,0,123,5,2,9,0,1,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,1,0,1,3,0,1,1,0,0,0,67,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0
720,13574,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,52,0,0,5,0,0,1,11,3,0,0,121,3,3,17,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
730,13637,0,1,0,0,5,0,0,0,3,0,3,6,1,0,3,0,40,0,0,2,0,0,3,32,1,0,0,57,2,2,7,0,0,11,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,1,0,0,2,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2
740,13706,0,0,0,0,1,0,0,0,5,0,11,2,0,0,0,0,48,0,0,4,0,0,0,42,0,0,0,50,3,3,7,0,0,19,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,2,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0
750,13776,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,57,0,0,3,0,0,3,42,1,0,0,35,0,6,8,0,0,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,1,0,0,1,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,1
760,NA,2,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,47,0,0,4,1,0,0,49,0,1,0,19,2,4,10,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,0,2,0,0,1,0,0,0,168,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0
766,NA,0,0,0,0,2,0,1,0,4,0,3,2,0,0,1,0,35,0,0,2,0,0,1,44,1,0,0,28,1,2,9,0,2,8,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,28,0,0,0,0,3,0,3,5,0,3,0,0,0,0,127,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3
