"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shrubs.undiff.","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Xanthium"
365.5,4012,0,0,6,0,2,3,22,12,0,10,9,0,4,6,0,2,3,2,10,0,0,1,0,5,0,2,3,2,0,13,3,0,0,0,0,0,0,0,0,0,1,8,2,5,8,25,0,3,32,0,1,1,124,1,2,0,2,1,0,0,0,0,0,1,13,0,1,2,0
405.5,4455,0,0,2,0,2,0,4,9,0,0,8,0,4,1,0,0,0,1,4,0,0,0,3,1,0,1,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,2,4,6,34,0,4,29,0,0,3,145,1,0,0,2,0,0,0,0,1,0,0,16,0,2,3,0
445.5,4899,0,0,2,0,4,0,5,6,0,7,3,0,2,2,0,0,1,4,4,0,0,0,3,1,0,2,3,0,0,4,0,1,3,0,0,0,0,0,0,0,0,4,0,10,2,30,0,3,28,1,0,1,200,0,1,1,3,0,0,0,0,1,1,0,16,0,1,1,0
485.5,5342,1,0,3,0,1,0,22,14,0,4,7,0,7,0,0,0,0,2,8,0,0,5,3,0,0,0,6,1,0,10,1,0,0,0,0,0,0,0,1,0,0,8,2,2,4,35,0,5,28,0,0,6,130,1,0,0,1,0,0,0,0,4,0,0,12,0,0,0,0
505.5,5511,0,0,1,0,2,0,9,16,1,12,6,0,2,6,0,0,0,2,5,0,0,1,5,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,3,8,5,35,0,0,23,0,0,0,133,0,1,0,1,0,0,0,1,3,0,1,33,0,0,0,2
545.5,5845,0,0,12,0,3,0,8,13,0,5,2,0,5,9,0,0,1,2,1,0,0,3,0,0,0,0,2,2,0,9,3,1,0,0,0,0,1,0,0,0,0,24,3,15,6,57,0,13,27,2,3,1,135,2,2,1,1,0,0,0,0,5,0,1,34,0,0,0,0
565.5,6013,0,0,23,0,2,0,21,12,0,2,3,0,2,1,0,0,2,2,10,0,0,0,3,2,2,3,5,2,0,5,0,0,1,1,0,0,0,0,0,0,0,13,4,8,9,27,0,0,20,1,0,0,149,0,0,0,2,0,0,1,0,1,0,0,55,0,1,0,0
605.5,6347,0,2,8,0,1,1,13,9,0,4,4,0,2,6,0,0,1,0,3,0,0,2,4,3,0,0,1,3,0,3,3,1,0,0,0,0,0,0,0,0,0,10,2,11,11,35,0,4,11,0,0,3,156,1,0,0,3,0,0,0,0,2,0,0,30,0,1,3,0
645.5,6682,0,1,12,0,1,0,15,7,0,6,5,0,0,12,0,0,0,3,4,0,0,0,0,3,0,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,12,2,6,6,20,0,8,15,0,0,1,122,0,0,0,0,0,0,0,0,3,0,1,47,0,0,1,4
685.5,7016,0,0,9,0,1,0,8,23,0,9,5,0,6,25,0,3,0,2,8,0,0,2,5,4,0,0,6,6,0,13,0,2,0,1,0,0,0,0,0,0,0,28,1,8,6,28,0,10,33,0,1,5,222,3,2,0,3,2,0,0,0,11,0,0,46,0,1,6,0
745.5,7518,3,0,6,0,0,0,10,13,0,7,4,0,1,5,0,0,2,2,5,0,0,0,2,0,0,3,3,4,0,7,0,4,0,0,1,0,0,0,0,0,0,7,4,17,15,45,0,3,37,1,0,0,101,1,1,0,2,1,0,0,0,4,1,0,32,0,0,0,0
785.5,7852,1,1,7,1,0,0,13,13,0,6,7,0,5,8,0,0,1,0,19,0,0,0,1,1,0,3,6,0,0,9,1,2,0,1,0,0,0,0,0,2,0,14,8,25,14,46,0,5,22,1,3,2,101,3,0,1,0,1,0,0,3,3,0,0,45,0,0,3,0
825.5,8187,1,0,0,6,3,0,12,11,0,6,7,0,6,7,0,0,0,1,6,0,0,0,6,0,0,1,5,1,0,13,0,0,3,0,0,0,0,0,0,0,0,19,9,17,10,64,0,3,17,1,1,13,98,0,0,0,3,0,0,2,0,4,0,4,52,2,3,13,0
845.5,8800,3,0,2,0,3,2,11,20,0,12,4,0,18,7,0,0,0,2,22,1,0,0,7,0,0,0,6,5,0,2,0,0,0,0,1,0,0,1,0,0,0,18,17,34,22,90,0,2,26,0,1,3,95,1,0,0,6,1,0,0,0,4,0,3,32,0,6,3,0
865.5,9544,5,0,3,0,2,0,2,8,1,3,3,0,8,2,1,0,0,2,3,0,0,1,11,0,0,1,7,1,0,4,0,2,0,1,0,0,0,0,0,0,0,9,10,16,16,43,0,2,10,0,0,5,58,0,1,0,1,0,0,4,0,3,0,1,33,0,2,5,0
885.5,10287,5,1,12,0,3,0,3,2,0,5,1,0,10,2,0,0,1,0,3,0,0,0,10,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,7,24,18,2,42,0,2,11,0,0,4,52,0,0,0,1,0,0,1,0,5,0,1,35,0,3,4,0
905.5,11030,4,0,15,0,2,0,5,5,0,6,1,0,9,6,0,0,0,1,1,0,0,0,19,1,0,1,5,0,0,3,1,0,0,1,0,0,1,3,0,0,0,20,37,20,2,38,0,0,19,0,1,1,77,0,0,0,2,1,0,1,0,4,0,0,38,0,0,1,0
925.5,11774,3,0,8,0,0,0,2,9,0,3,0,0,6,6,0,0,0,0,2,0,1,1,7,2,0,2,4,1,0,3,1,0,0,1,0,0,0,1,0,0,0,15,17,18,3,27,0,2,7,0,0,2,53,0,1,0,0,0,0,0,1,3,0,2,35,0,2,0,0
945.5,12517,3,0,8,0,1,0,5,3,0,4,0,0,8,5,0,0,0,1,1,0,0,0,8,0,0,1,3,1,0,1,0,0,4,1,0,0,0,0,0,0,0,18,23,11,2,22,0,3,5,0,0,1,56,0,0,0,1,0,0,1,0,5,0,4,44,1,1,2,0
955.5,12888,1,0,10,0,1,0,3,4,0,6,3,0,1,2,0,0,3,0,5,0,0,1,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,17,19,17,4,30,0,0,9,0,0,3,57,0,0,0,1,0,0,0,0,2,0,4,29,0,2,6,0
965.5,13260,1,0,3,0,0,0,0,2,0,7,0,0,3,1,0,0,0,0,5,0,0,0,6,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,11,22,4,2,11,0,0,12,1,0,2,22,0,1,1,2,0,0,1,0,1,0,1,13,0,0,2,0
