"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","cf..Cupressaceae","cf..Morus","cf..Taxus","Corylus","Cupressaceae","Ephedra","Ericaceae.type","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Hudsonia","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lonicera","Myrica.type","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnaceae","Rhus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Shepherdia.argentea","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Araliaceae","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Campanulaceae","Caryophyllaceae","cf..Humulus","Chenopodiaceae.undiff.","Cyperaceae","Epilobium","Euphorbia.subg..Chamaesyce","Fabaceae","Humulus","Iva.annua","Iva.xanthifolia","Lamiaceae.undiff.","Lycopus.type","Plantago.lanceolata.type","Plantago.major.type","Plantago.undiff.","Poaceae","Polygonum.bistorta.type","Polygonum.persicaria.type","Polygonum.undiff.","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rumex","Urtica","Xanthium.type"
330,3190,0.00337837837837838,0,0.00168918918918919,0.00675675675675676,0,0.0371621621621622,0.070945945945946,0,0,0,0.00168918918918919,0,0,0,0,0.0118243243243243,0,0,0.00337837837837838,0.00168918918918919,0.00506756756756757,0,0,0,0.00168918918918919,0,0.00337837837837838,0,0,0,0.00506756756756757,0.00844594594594595,0.00675675675675676,0.190878378378378,0.152027027027027,0.400337837837838,0,0.00337837837837838,0,0.0388513513513514,0,0,0.00168918918918919,0,0,0,0,0,0.0168918918918919,0.00675675675675676,0.00337837837837838,0,0,0,0.00675675675675676,0.00506756756756757,0,0,0,0,0.00168918918918919,0.00168918918918919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168918918918919
350,3342,0.00304878048780488,0,0.00304878048780488,0.00304878048780488,0,0.0304878048780488,0.0685975609756098,0.00152439024390244,0,0,0,0,0,0,0,0.0076219512195122,0,0,0,0,0.00457317073170732,0,0,0,0,0,0.00457317073170732,0,0,0,0.00304878048780488,0.00304878048780488,0,0.204268292682927,0.280487804878049,0.295731707317073,0.00152439024390244,0.00609756097560976,0,0.0320121951219512,0,0,0.00152439024390244,0,0,0,0,0.00152439024390244,0.0106707317073171,0.0076219512195122,0.00457317073170732,0,0,0,0.00914634146341463,0,0,0,0,0,0.00152439024390244,0.00152439024390244,0,0,0,0,0,0,0,0,0,0,0,0.0076219512195122,0,0,0.00152439024390244,0,0,0,0,0,0,0
370,3493,0.00857142857142857,0,0.00428571428571429,0.00428571428571429,0,0.0485714285714286,0.0657142857142857,0,0,0,0,0,0,0,0.00714285714285714,0.01,0,0,0.00285714285714286,0.00142857142857143,0.00857142857142857,0,0,0,0,0,0,0,0,0,0.00428571428571429,0.00857142857142857,0,0.29,0.17,0.294285714285714,0,0.00285714285714286,0,0.0271428571428571,0,0,0.00142857142857143,0,0,0,0,0,0.00571428571428571,0.00428571428571429,0.00571428571428571,0,0,0,0.00428571428571429,0.00142857142857143,0,0,0,0,0.00142857142857143,0.00571428571428571,0,0,0,0,0,0.00142857142857143,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0.00285714285714286,0,0
390,3645,0.00338409475465313,0,0,0.00846023688663283,0,0.0372250423011844,0.0609137055837563,0,0,0,0,0,0,0,0,0.0135363790186125,0,0,0,0,0.00169204737732657,0,0,0,0,0,0.00676818950930626,0,0,0,0.0101522842639594,0.00676818950930626,0,0.111675126903553,0.0846023688663283,0.587140439932318,0,0,0,0.038917089678511,0,0,0.0050761421319797,0,0,0,0,0.00169204737732657,0,0.0050761421319797,0.00338409475465313,0,0,0,0.00169204737732657,0.00169204737732657,0,0,0,0,0.00338409475465313,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0
430,3948,0.00123456790123457,0,0.00246913580246914,0.00123456790123457,0.00123456790123457,0.0308641975308642,0.0580246913580247,0,0,0,0,0,0,0,0.00123456790123457,0,0,0,0,0.00123456790123457,0.0037037037037037,0,0,0,0,0,0,0,0,0,0.00123456790123457,0.00493827160493827,0,0.251851851851852,0.141975308641975,0.422222222222222,0.00123456790123457,0,0,0.0481481481481481,0,0,0,0,0,0,0,0,0.00123456790123457,0.00864197530864197,0.00864197530864197,0,0,0,0.00123456790123457,0,0,0,0,0,0.00123456790123457,0.00246913580246914,0,0,0,0,0,0.00123456790123457,0,0,0,0,0,0.00123456790123457,0,0,0,0,0,0,0,0.00123456790123457,0,0
470,4316,0,0,0.0043010752688172,0.010752688172043,0,0.0344086021505376,0.0301075268817204,0,0,0,0,0,0,0,0.0043010752688172,0.00860215053763441,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0.010752688172043,0.010752688172043,0,0.206451612903226,0.206451612903226,0.356989247311828,0,0.0021505376344086,0,0.0516129032258065,0,0,0.0021505376344086,0,0,0,0,0,0.0021505376344086,0.00860215053763441,0.0129032258064516,0,0,0,0.0043010752688172,0.0021505376344086,0,0,0,0,0,0.00860215053763441,0,0,0,0,0,0,0,0,0,0,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0
490,4543,0.0031104199066874,0,0.00933125972006221,0.0062208398133748,0,0.0435458786936236,0.0544323483670296,0,0,0,0.0046656298600311,0,0,0,0.0015552099533437,0.0077760497667185,0,0,0,0,0.0062208398133748,0,0,0,0.0015552099533437,0,0,0,0,0,0.0031104199066874,0.0031104199066874,0.0015552099533437,0.0917573872472784,0.0342146189735614,0.594090202177294,0,0,0,0.0917573872472784,0,0,0.0015552099533437,0,0,0,0,0.0015552099533437,0.0015552099533437,0.0062208398133748,0.00933125972006221,0,0,0,0.0015552099533437,0.0015552099533437,0,0,0,0,0.0015552099533437,0.0031104199066874,0,0,0,0,0,0,0,0,0,0,0,0.0124416796267496,0,0,0,0,0.0015552099533437,0,0,0,0,0
530,4997,0.00268817204301075,0,0.00268817204301075,0.00806451612903226,0,0.0201612903225806,0.0268817204301075,0,0,0,0,0,0,0,0.00134408602150538,0.0134408602150538,0.00134408602150538,0,0,0.00134408602150538,0.00403225806451613,0,0,0,0,0,0,0,0,0,0.0120967741935484,0.00268817204301075,0,0.221774193548387,0.139784946236559,0.448924731182796,0,0.00806451612903226,0,0.0510752688172043,0,0,0.00134408602150538,0,0,0,0,0,0.00537634408602151,0.00537634408602151,0.00403225806451613,0,0,0,0.00672043010752688,0.00268817204301075,0,0,0,0,0.00403225806451613,0.00134408602150538,0,0,0,0,0,0.00134408602150538,0,0,0,0,0,0.00134408602150538,0,0,0,0,0,0,0,0,0,0
570,5451,0.00834202294056309,0,0.00312825860271116,0.0072992700729927,0,0.0260688216892596,0.0636079249217935,0,0,0,0.00104275286757039,0,0,0,0.00208550573514077,0.00104275286757039,0,0,0.00104275286757039,0.00104275286757039,0.00312825860271116,0,0,0,0,0,0.00417101147028154,0,0,0,0.0072992700729927,0.00417101147028154,0,0.192909280500521,0.124087591240876,0.417101147028154,0.00312825860271116,0.00417101147028154,0.00104275286757039,0.0490093847758081,0.00104275286757039,0,0.00104275286757039,0,0.00104275286757039,0,0,0,0.00625651720542232,0.0125130344108446,0.00834202294056309,0,0,0,0.00521376433785193,0.00938477580813347,0,0,0,0,0.00834202294056309,0.00938477580813347,0,0,0,0,0.00104275286757039,0,0,0,0,0,0,0.0114702815432742,0,0,0,0,0,0,0,0,0,0
590,5679,0,0,0,0.00869565217391304,0,0.0543478260869565,0.0891304347826087,0,0,0,0,0,0,0,0.00434782608695652,0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0.00869565217391304,0.0978260869565217,0.0869565217391304,0.452173913043478,0,0.00434782608695652,0,0.0978260869565217,0.00217391304347826,0,0.00217391304347826,0,0,0,0,0,0.00434782608695652,0.0195652173913043,0.0108695652173913,0.00217391304347826,0,0,0.0130434782608696,0,0,0,0,0,0.00434782608695652,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0
609,5942,0.00377358490566038,0,0,0.0113207547169811,0,0.0622641509433962,0.0735849056603774,0,0.00188679245283019,0,0,0,0,0,0.00566037735849057,0,0,0,0,0.00188679245283019,0.00754716981132075,0,0,0,0,0,0,0,0,0,0.00566037735849057,0.00566037735849057,0,0.145283018867925,0.0528301886792453,0.411320754716981,0,0.00377358490566038,0,0.124528301886792,0,0,0.00377358490566038,0,0.00377358490566038,0,0,0.00188679245283019,0,0.0150943396226415,0.0132075471698113,0,0,0,0.0113207547169811,0.00188679245283019,0,0,0,0,0.00566037735849057,0.00943396226415094,0,0,0,0,0,0.00188679245283019,0,0,0,0,0,0.0113207547169811,0,0,0,0,0,0,0,0.00188679245283019,0,0.00188679245283019
620,6327,0.00259067357512953,0,0,0.0116580310880829,0,0.0803108808290155,0.11139896373057,0.00518134715025907,0,0,0,0,0,0,0.00259067357512953,0,0,0,0.00129533678756477,0,0.0077720207253886,0,0,0,0.00259067357512953,0,0,0.00129533678756477,0,0.00129533678756477,0.016839378238342,0.00129533678756477,0,0.0764248704663212,0.0336787564766839,0.432642487046632,0.00129533678756477,0,0,0.0854922279792746,0.00129533678756477,0,0,0,0,0,0,0.00259067357512953,0,0.0569948186528497,0.0284974093264249,0,0,0,0.022020725388601,0,0,0,0,0,0.0038860103626943,0,0,0,0,0,0.00129533678756477,0,0,0,0,0,0,0.00647668393782383,0,0,0,0,0,0,0.00129533678756477,0,0,0
630,6677,0.00139082058414465,0,0,0.0166898470097357,0.00139082058414465,0.0611961057023644,0.104311543810848,0.00695410292072323,0,0,0,0,0,0,0.00417246175243394,0.00278164116828929,0,0,0.00139082058414465,0.00556328233657858,0.00973574408901252,0,0,0,0.00139082058414465,0,0,0,0,0,0.0180806675938804,0.00973574408901252,0.00278164116828929,0.0542420027816412,0.0417246175243394,0.47009735744089,0.00139082058414465,0.00139082058414465,0,0.0598052851182197,0,0,0.00278164116828929,0,0,0,0,0.00556328233657858,0,0.0486787204450626,0.0166898470097357,0,0,0,0.0222531293463143,0.00139082058414465,0,0,0,0,0.00695410292072323,0.00139082058414465,0,0,0,0,0,0,0,0,0,0,0,0.0180806675938804,0,0,0,0,0,0,0,0,0,0
650,7377,0,0,0.00188679245283019,0.00754716981132075,0,0.0358490566037736,0.0886792452830189,0.00188679245283019,0.00377358490566038,0,0,0,0,0,0.00943396226415094,0.00188679245283019,0,0,0,0,0.00188679245283019,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.00377358490566038,0.00188679245283019,0.0490566037735849,0.0320754716981132,0.464150943396226,0.00188679245283019,0.00188679245283019,0,0.10188679245283,0,0,0.00377358490566038,0,0,0,0,0,0,0.0415094339622641,0.0509433962264151,0,0,0,0.0188679245283019,0,0,0,0,0,0.00943396226415094,0.00754716981132075,0,0,0,0,0.00188679245283019,0.00377358490566038,0,0,0,0,0,0.0339622641509434,0,0,0,0,0,0,0,0,0,0
670,8077,0,0,0,0.0055045871559633,0,0.0403669724770642,0.124770642201835,0.0018348623853211,0,0,0,0,0,0,0.0018348623853211,0,0,0,0,0,0.0055045871559633,0,0,0,0.0018348623853211,0,0,0,0,0.0018348623853211,0.0110091743119266,0.0036697247706422,0,0.190825688073395,0.137614678899083,0.310091743119266,0,0.0091743119266055,0,0.0403669724770642,0,0,0,0,0,0,0,0,0.0036697247706422,0.036697247706422,0.0220183486238532,0,0,0,0.0201834862385321,0,0,0,0,0,0.0036697247706422,0.0165137614678899,0,0,0,0,0,0,0,0,0,0,0,0.0110091743119266,0,0,0,0,0,0,0,0,0,0
690,8754,0.00536912751677852,0,0,0.00268456375838926,0,0.0348993288590604,0.0469798657718121,0,0.00402684563758389,0,0,0,0,0,0.00268456375838926,0.00268456375838926,0,0,0,0,0.00939597315436242,0,0,0,0,0,0,0,0,0,0.0174496644295302,0.00268456375838926,0.00134228187919463,0.265771812080537,0.0550335570469799,0.467114093959732,0,0.00671140939597315,0,0.025503355704698,0,0,0.00134228187919463,0,0,0,0,0,0,0.0161073825503356,0.00805369127516779,0,0,0,0.00402684563758389,0.00134228187919463,0,0,0,0,0.00939597315436242,0.00536912751677852,0,0,0,0,0,0,0,0,0,0,0,0.00402684563758389,0,0,0,0,0,0,0,0,0,0
710,9407,0.0129310344827586,0,0,0.0021551724137931,0,0.0280172413793103,0.0474137931034483,0,0,0,0,0,0,0,0.00431034482758621,0,0,0,0,0,0.00646551724137931,0,0,0,0.0021551724137931,0,0.0021551724137931,0,0,0.00646551724137931,0.0193965517241379,0.0344827586206897,0.00862068965517241,0.0969827586206897,0.0021551724137931,0.547413793103448,0,0.0021551724137931,0,0.0344827586206897,0,0,0.00646551724137931,0,0.0021551724137931,0,0,0,0,0.0344827586206897,0.0150862068965517,0,0,0,0.0387931034482759,0.00431034482758621,0,0,0,0,0.00646551724137931,0.0150862068965517,0,0,0,0,0,0,0,0,0,0,0,0.0193965517241379,0,0,0,0,0,0,0,0,0,0
730,10065,0.00536912751677852,0,0,0.00939597315436242,0,0.00939597315436242,0.0671140939597315,0,0.00268456375838926,0,0.00268456375838926,0,0,0,0.00268456375838926,0.00268456375838926,0,0,0,0.00134228187919463,0.010738255033557,0,0,0,0.00134228187919463,0,0,0,0,0.00268456375838926,0.0174496644295302,0.0174496644295302,0,0.353020134228188,0.0147651006711409,0.281879194630872,0.00536912751677852,0.00939597315436242,0,0.0442953020134228,0,0,0.00671140939597315,0,0,0,0,0,0,0.0939597315436242,0.00939597315436242,0,0,0,0.010738255033557,0.00134228187919463,0,0,0,0,0.00268456375838926,0.00805369127516779,0,0,0,0,0,0,0,0,0,0,0,0.00402684563758389,0,0,0,0,0,0,0,0,0,0.00134228187919463
750,10724,0.00307692307692308,0,0,0.00461538461538462,0,0.00615384615384615,0.0507692307692308,0,0.00461538461538462,0,0.00307692307692308,0,0,0,0.00615384615384615,0.00461538461538462,0,0,0,0.00153846153846154,0.0123076923076923,0,0,0,0.00307692307692308,0,0.00615384615384615,0,0,0,0.0169230769230769,0.0307692307692308,0,0.266153846153846,0,0.381538461538462,0,0.0107692307692308,0,0.0815384615384615,0,0,0.00615384615384615,0,0,0,0,0,0,0.0584615384615385,0.0123076923076923,0,0,0,0.0153846153846154,0.00153846153846154,0,0,0,0,0.00307692307692308,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0,0
760,11053,0.0180831826401447,0,0,0.00361663652802893,0,0.00180831826401447,0.0162748643761302,0,0.00723327305605787,0,0,0,0,0,0.00180831826401447,0.0054249547920434,0,0,0,0.00180831826401447,0.00723327305605787,0,0,0,0.00723327305605787,0,0.00361663652802893,0,0,0,0.00361663652802893,0.0614828209764919,0,0.381555153707052,0,0.390596745027125,0,0.0054249547920434,0,0.0415913200723327,0,0,0.00180831826401447,0,0,0,0,0,0,0.0253164556962025,0.0054249547920434,0,0,0,0.00180831826401447,0,0,0,0,0,0.00361663652802893,0,0.00180831826401447,0,0,0,0,0,0,0,0,0,0,0.00180831826401447,0,0,0,0,0,0,0,0,0,0
770,11383,0.00229885057471264,0,0,0.00689655172413793,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0.00689655172413793,0,0,0,0,0.0275862068965517,0,0,0,0.0114942528735632,0.00229885057471264,0.00229885057471264,0,0,0.00229885057471264,0.00689655172413793,0.202298850574713,0,0.404597701149425,0.00459770114942529,0.096551724137931,0,0.0229885057471264,0,0.0689655172413793,0,0,0.00689655172413793,0,0,0,0,0,0,0.0160919540229885,0.00229885057471264,0,0,0,0.0436781609195402,0,0,0,0,0,0.00229885057471264,0.0137931034482759,0,0,0,0,0,0,0,0,0,0,0,0.00919540229885057,0,0,0,0,0,0,0.00229885057471264,0,0,0
780,11712,0.00435729847494553,0,0,0.0108932461873638,0,0.0130718954248366,0.156862745098039,0,0.00217864923747277,0,0,0,0,0,0.0152505446623094,0.0261437908496732,0,0,0.00217864923747277,0.0152505446623094,0.0740740740740741,0,0.00217864923747277,0,0,0,0.00217864923747277,0,0,0.00217864923747277,0,0.24400871459695,0,0.0196078431372549,0,0.0108932461873638,0,0.0196078431372549,0,0.100217864923747,0,0,0.0435729847494553,0,0,0,0,0.00217864923747277,0,0.0871459694989107,0.0196078431372549,0,0,0,0.0697167755991285,0.00217864923747277,0,0,0,0,0.00435729847494553,0.0239651416122004,0,0,0,0,0,0,0,0,0,0,0,0.0239651416122004,0,0,0,0,0,0,0,0,0.00217864923747277,0
790,12041,0,0,0.00221729490022173,0,0,0.0376940133037694,0.47450110864745,0.00221729490022173,0,0,0,0,0.00221729490022173,0,0.00665188470066519,0.0155210643015521,0,0.00665188470066519,0,0,0.00221729490022173,0,0,0,0,0,0,0,0,0,0.024390243902439,0.12860310421286,0.00443458980044346,0.00665188470066519,0,0.00443458980044346,0,0.00665188470066519,0,0.0288248337028825,0,0,0.0288248337028825,0,0.00221729490022173,0,0,0,0,0.0155210643015521,0.0155210643015521,0,0,0,0.057649667405765,0,0,0.00221729490022173,0,0.00221729490022173,0.00221729490022173,0.0709534368070953,0,0,0,0,0.00221729490022173,0,0,0,0,0,0,0.0421286031042129,0,0,0,0,0.00221729490022173,0,0,0.00221729490022173,0,0
800,12370,0,0,0,0,0,0.0393162393162393,0.300854700854701,0.0324786324786325,0,0,0,0,0,0,0.0136752136752137,0.00683760683760684,0,0.00170940170940171,0,0.00512820512820513,0.0102564102564103,0,0,0,0.00170940170940171,0,0,0,0,0,0.011965811965812,0.176068376068376,0,0.00512820512820513,0,0.00341880341880342,0.00341880341880342,0.0170940170940171,0,0.0188034188034188,0,0,0.0222222222222222,0,0,0,0,0,0,0.0153846153846154,0.0444444444444444,0,0,0,0.12991452991453,0.0205128205128205,0,0,0.00170940170940171,0,0.0153846153846154,0.0358974358974359,0,0,0,0,0,0,0,0,0,0.00170940170940171,0,0.0632478632478632,0,0,0,0,0,0,0.00170940170940171,0,0,0
803,12469,0,0,0,0,0,0.0045766590389016,0.28604118993135,0,0,0,0,0.0137299771167048,0,0,0,0.0205949656750572,0,0.0160183066361556,0,0,0.0137299771167048,0,0,0,0,0,0,0,0,0,0.0068649885583524,0.196796338672769,0,0.0091533180778032,0,0.0045766590389016,0.0022883295194508,0.011441647597254,0,0.0205949656750572,0,0,0.045766590389016,0,0,0.0022883295194508,0,0,0,0.0091533180778032,0.0411899313501144,0,0,0,0.155606407322654,0.0091533180778032,0,0,0,0,0.011441647597254,0.0846681922196796,0,0,0,0,0.0022883295194508,0,0,0.0022883295194508,0,0,0,0.0297482837528604,0,0,0,0,0,0,0,0,0,0
