"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Ericaceae","Fabaceae.undiff.","Filicopsida.undiff.","Fraxinus","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans","Lamiaceae","Laportea.type","Larix","Lemnaceae","Liliaceae","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polemoniaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Sarcobatus.vermiculatus","Scrophulariaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica","Viburnum","Vitis"
600,1488,0,0,2,8,36,1,0,28,12,0,12,0,0,0,0,0,0,1,7,34,0,0,1,0,1,0,6,3,12,0,0,1,0,0,1,0,0,0,0,0,4,4,0,0,3,3,62,1,143,1,15,14,0,2,150,0,0,0,0,1,6,0,2,0,0,3,0,0,4,0,3,4,5,0,0
620,1619,0,4,10,4,24,1,0,20,13,0,19,0,0,0,1,0,1,0,3,40,0,0,0,0,0,0,7,5,2,0,2,2,0,0,0,0,0,0,0,0,1,3,0,0,7,2,43,3,129,1,7,2,0,2,120,0,0,0,0,0,12,0,0,0,0,2,0,2,8,0,1,9,10,0,1
640,1760,0,4,12,9,27,1,0,30,9,0,14,0,0,0,3,0,1,0,1,15,0,1,0,0,0,0,8,5,9,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,21,0,49,1,110,0,0,3,0,0,181,0,0,0,0,1,7,0,1,0,0,2,0,2,2,0,1,10,3,0,1
660,1911,0,2,12,8,29,1,0,35,4,0,20,0,0,0,1,1,1,4,3,24,0,0,0,0,0,0,7,7,2,4,0,3,0,0,0,0,0,0,0,0,1,2,0,0,14,0,38,2,82,0,2,1,0,0,191,0,0,0,0,0,3,0,1,0,0,3,0,4,2,0,3,9,1,0,0
680,2070,0,1,5,6,15,1,0,38,9,0,14,0,0,0,1,0,0,4,6,38,0,1,1,0,1,0,10,6,3,3,2,0,0,4,2,0,2,0,0,0,1,0,0,0,10,0,39,3,93,0,1,4,0,0,154,1,0,0,0,1,8,0,1,0,0,4,1,3,6,0,2,14,4,0,2
700,2236,0,0,12,7,18,0,0,25,18,0,25,0,1,1,3,0,1,1,4,37,0,1,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,44,2,84,2,7,4,0,1,185,0,0,0,0,1,5,0,4,0,0,2,0,0,6,0,1,13,3,0,0
720,2407,0,3,10,3,22,1,0,35,19,0,27,0,1,0,2,0,0,4,7,42,0,0,0,0,0,0,15,6,1,1,3,0,0,1,1,0,0,1,0,0,1,1,0,0,11,2,42,5,79,1,3,0,1,1,152,0,0,0,0,0,3,0,1,0,0,5,0,4,7,1,4,17,6,0,0
740,2582,0,7,13,12,33,2,0,41,14,0,10,1,1,0,5,0,0,2,1,31,0,2,0,0,0,1,10,6,11,2,0,0,0,0,1,0,2,0,0,0,6,0,0,1,5,1,57,3,70,0,1,1,0,0,145,0,0,0,0,1,7,0,3,0,0,3,4,2,10,1,2,13,5,0,1
760,2761,1,1,19,13,27,0,0,39,13,0,12,0,0,0,2,0,0,1,2,17,0,1,0,0,1,0,4,4,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,12,2,71,0,86,1,6,3,1,0,141,0,1,0,1,1,6,0,1,0,0,4,0,2,8,0,2,11,8,0,0
780,2942,0,4,10,11,19,1,0,34,18,0,13,0,1,0,2,0,0,1,5,35,0,0,0,0,3,0,12,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,10,0,49,3,100,1,0,3,0,0,125,0,0,0,0,0,10,0,1,0,0,3,0,5,5,1,2,8,6,0,0
800,3123,2,0,6,6,24,0,0,44,17,0,12,0,0,0,0,0,0,2,3,29,0,1,0,0,1,1,10,6,2,2,2,0,0,1,0,0,0,0,0,0,0,0,2,0,10,2,72,5,99,0,7,7,0,0,128,0,0,0,0,0,8,0,0,0,0,4,0,1,4,1,0,9,5,0,0
820,3304,0,4,3,14,36,0,0,44,9,0,20,0,1,0,3,0,0,0,2,35,0,0,0,0,3,0,16,1,5,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,8,2,59,1,95,1,2,1,1,0,116,0,0,0,0,1,10,0,1,0,0,3,1,0,5,1,2,7,3,0,0
840,3485,1,6,13,12,49,0,0,45,14,0,13,0,2,0,2,0,2,0,6,45,0,0,0,0,3,0,13,7,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,53,1,117,0,7,9,0,2,117,0,0,0,0,0,22,0,1,0,0,3,0,0,6,0,0,13,4,0,0
860,3663,0,0,9,12,40,0,0,48,28,0,23,0,0,0,1,0,0,2,1,42,0,0,0,0,1,0,6,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,14,0,57,0,102,0,6,0,0,0,112,0,0,0,1,0,10,0,2,0,0,7,0,1,9,0,2,9,0,0,0
880,3840,0,4,4,14,40,1,0,52,19,0,9,0,3,0,1,0,0,0,9,32,0,0,0,0,1,0,7,1,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13,0,54,3,99,0,13,4,0,0,81,0,1,1,1,0,17,0,0,0,0,5,0,0,1,0,3,19,6,0,0
900,4014,2,3,6,7,57,0,0,64,17,0,13,0,0,0,1,0,0,0,5,39,2,0,0,0,0,1,8,3,1,1,1,2,0,0,1,1,0,0,0,0,3,0,0,0,6,0,47,2,96,0,9,6,0,0,83,0,0,0,0,0,14,0,1,0,0,6,0,1,0,0,5,13,5,0,0
960,4518,0,0,10,17,75,0,0,64,20,0,6,0,0,0,1,0,0,4,3,29,0,0,0,0,0,0,6,5,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,40,0,88,1,1,0,0,0,119,1,0,1,0,0,5,0,1,0,0,6,2,4,4,0,2,11,0,0,0
980,4678,0,3,12,13,56,1,1,85,25,0,10,0,0,0,2,0,1,0,6,70,1,3,0,0,1,0,11,10,11,4,2,0,0,4,0,0,0,0,0,0,5,0,0,0,3,1,56,3,117,0,10,11,0,0,59,0,0,2,0,0,11,0,1,0,0,3,0,1,3,0,2,7,8,0,0
1100,5541,0,5,10,18,45,0,0,97,20,0,8,0,1,0,0,0,0,0,2,49,0,0,0,0,0,0,9,3,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,41,0,117,0,5,16,0,2,67,0,0,0,1,0,5,1,1,0,0,0,1,1,0,0,0,11,1,0,0
1220,6292,0,2,10,29,75,0,1,71,21,0,5,0,0,0,0,0,0,0,6,59,0,1,0,0,0,0,8,3,7,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,66,0,120,0,5,13,0,0,51,0,0,0,1,1,4,0,0,0,0,1,0,0,2,0,0,14,2,0,0
1300,6773,0,0,6,24,42,0,4,72,19,0,8,0,0,0,2,0,2,0,3,57,0,0,0,0,1,2,9,6,23,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,12,2,46,0,130,0,8,7,0,0,46,0,0,0,1,0,6,0,0,0,0,4,0,0,2,0,2,16,4,0,0
1400,7397,0,0,7,26,65,0,15,117,30,1,5,0,0,0,1,1,0,0,5,38,0,0,0,0,2,4,3,8,23,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,12,2,43,0,164,0,9,53,0,1,46,0,0,0,1,0,14,0,2,0,1,16,1,0,3,0,8,17,17,0,1
1530,8297,1,3,2,21,61,0,7,83,14,0,9,0,0,0,3,0,0,0,7,46,0,3,0,0,0,0,9,6,0,3,0,1,0,0,3,0,0,0,0,0,2,0,0,0,7,16,45,0,104,0,1,3,1,0,43,0,0,0,1,1,7,0,0,0,1,6,0,2,0,0,6,23,0,0,0
1622,9028,1,2,3,20,103,0,3,58,22,0,5,0,0,0,0,0,0,1,1,42,0,0,0,0,1,4,5,14,21,8,1,1,0,0,0,0,0,0,0,0,6,1,0,0,11,8,45,0,102,0,14,23,0,0,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,17,5,0,0
1720,9858,1,2,7,21,28,0,1,48,14,0,22,0,0,0,4,0,1,2,6,33,0,2,0,0,1,1,12,12,11,5,0,2,1,0,3,0,0,0,0,0,0,1,0,0,20,17,83,0,88,0,8,4,0,3,44,0,0,0,1,0,11,0,1,0,0,7,0,1,1,0,7,37,3,0,0
1800,10768,0,2,4,21,25,0,0,44,8,0,21,0,0,0,8,0,1,3,3,40,0,3,0,0,0,1,9,12,15,0,0,4,0,0,1,0,0,0,0,1,2,1,0,1,12,13,81,0,120,0,7,6,0,6,63,0,0,0,0,0,8,0,0,0,0,9,0,1,3,0,9,54,1,0,0
1878,12107,1,1,153,8,5,0,0,23,4,0,59,0,1,0,0,0,0,1,1,33,0,2,0,1,1,1,14,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,111,23,0,11,0,43,3,1,1,13,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,9,1,0,0
1935,13187,0,0,0,1,2,0,1,5,1,0,1,0,0,0,1,0,0,0,5,9,0,0,0,0,0,1,2,2,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,0,17,0,11,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,13667,2,0,1,0,1,0,0,1,3,0,3,0,0,0,1,0,0,1,0,6,0,0,0,1,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,112,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
