"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Adiantum","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Osmunda","Pteridium","Selaginella.selaginoides","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
930,NA,1,0,0,5,0,6,0,0,0,4,0,2,1,8,0,0,0,0,0,15,67,60,0,1,29,2,0,2,0,1,0,7,0,2,0,18,6,0,2,67,0,0,0,7,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,10,8,0
943,NA,1,0,0,0,0,4,2,0,2,4,0,1,0,5,0,0,0,0,0,12,52,75,0,2,37,8,0,0,0,0,0,6,0,8,0,18,0,0,0,66,0,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
950,NA,2,0,2,1,0,10,1,0,0,2,1,0,0,7,0,0,0,0,0,15,57,73,1,1,19,27,0,5,0,0,0,10,0,9,0,22,8,0,1,102,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,9,5,0
960,NA,1,0,0,2,0,14,2,0,0,3,0,0,0,3,0,0,0,0,0,12,89,61,1,0,13,17,0,1,0,0,0,1,0,2,0,17,2,0,0,73,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,8,5,0
970,NA,0,0,0,6,0,6,0,0,0,19,0,0,0,7,0,0,0,0,0,2,114,41,0,2,6,6,0,0,0,0,0,3,0,3,0,5,4,0,0,23,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2
980,NA,0,0,1,2,0,11,1,0,0,8,0,0,0,5,0,0,0,0,0,10,73,68,0,1,22,8,0,0,0,0,0,0,0,9,0,12,10,1,1,23,0,0,0,5,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
990,NA,0,0,0,16,0,20,2,0,0,7,0,0,0,5,0,1,0,0,0,9,75,49,0,3,29,4,0,0,0,0,0,0,0,5,0,8,3,2,0,18,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,7,8
1000,NA,2,0,4,5,0,10,4,1,0,28,0,0,0,5,0,1,0,1,0,11,45,46,0,7,33,6,0,0,0,0,0,2,0,0,0,8,10,0,0,17,0,0,0,15,0,1,2,1,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,11
1010,NA,2,0,0,5,1,11,0,0,0,5,0,0,0,77,0,0,3,0,1,9,45,37,0,6,3,2,0,0,0,0,2,4,0,0,0,4,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
1020,NA,3,0,0,4,0,26,0,0,0,9,0,0,1,13,0,0,0,0,0,4,50,68,0,7,7,1,0,0,0,0,1,7,0,2,0,4,3,0,1,19,0,0,0,9,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,10,3,2
1030,NA,0,0,0,8,0,26,1,0,0,5,0,0,0,6,1,0,0,0,0,4,39,84,0,2,13,4,0,0,0,0,0,3,0,8,0,11,4,0,1,20,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,9,4,6
1040,NA,0,0,0,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,3,31,110,0,1,16,1,0,0,0,0,0,2,0,6,1,10,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,5
