"sample.depths","sample.ages","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Humulus","Plantago","Rosaceae","Acer.saccharum","Fraxinus.nigra","Ostrya","Artemisia","Picea","Fraxinus.pennsylvanica","Tilia","Larix","Asteraceae.subf..Cichorioideae","Morus","Thalictrum","Iva.annua","Abies","Ranunculus.undiff.","Myrica","Ephedra.nevadensis.type","Celtis","Juglans.nigra","Ericaceae","Galium","Brassicaceae","Lamiaceae","Acer.rubrum","Sarcobatus.vermiculatus","Iva.xanthifolia","Castanea","Ranunculus.subg..Batrachium","Apiaceae"
350,2660,0,0.116129032258065,0.0258064516129032,0,0.0032258064516129,0,0,0.2,0.032258064516129,0.0032258064516129,0.0032258064516129,0.116129032258065,0,0,0.109677419354839,0,0.0935483870967742,0,0.0032258064516129,0,0.164516129032258,0,0,0,0,0,0.0483870967741935,0.0064516129032258,0.0290322580645161,0,0.0032258064516129,0.0258064516129032,0.00967741935483871,0.0032258064516129,0,0,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0
360,2710,0,0.0880681818181818,0.0142045454545455,0,0,0.0142045454545455,0.00568181818181818,0.255681818181818,0.0255681818181818,0,0,0.0880681818181818,0,0.00284090909090909,0.0397727272727273,0,0.0738636363636364,0,0.00568181818181818,0,0.244318181818182,0,0.0142045454545455,0,0,0,0.0596590909090909,0.0170454545454545,0.0284090909090909,0.00284090909090909,0.00568181818181818,0.00852272727272727,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2760,0,0.116129032258065,0.00967741935483871,0,0,0.0161290322580645,0.0064516129032258,0.251612903225806,0.032258064516129,0.0032258064516129,0.00967741935483871,0.132258064516129,0,0.0032258064516129,0.0258064516129032,0,0.0451612903225806,0,0.00967741935483871,0,0.129032258064516,0,0.0032258064516129,0,0,0,0.0967741935483871,0.0193548387096774,0.0516129032258065,0,0.0032258064516129,0.0129032258064516,0.0161290322580645,0.0032258064516129,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2810,0,0.118589743589744,0.0128205128205128,0,0,0.00641025641025641,0.00320512820512821,0.208333333333333,0.0416666666666667,0.00961538461538462,0.00641025641025641,0.115384615384615,0,0,0.0192307692307692,0,0.0416666666666667,0,0.00641025641025641,0.00320512820512821,0.21474358974359,0,0.00961538461538462,0,0,0,0.0865384615384615,0.0192307692307692,0.0352564102564103,0,0.00641025641025641,0.0224358974358974,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2860,0,0.0815047021943574,0.0125391849529781,0,0,0.00626959247648903,0.00626959247648903,0.15987460815047,0.0595611285266458,0.00313479623824451,0.00626959247648903,0.206896551724138,0,0.00626959247648903,0.0219435736677116,0.00313479623824451,0.0721003134796238,0,0.0188087774294671,0,0.144200626959248,0,0.00940438871473354,0.00626959247648903,0,0,0.0595611285266458,0.0219435736677116,0.0407523510971787,0.00313479623824451,0.00313479623824451,0.0376175548589342,0.00313479623824451,0.00626959247648903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2911,0,0.0941558441558442,0.00974025974025974,0.00324675324675325,0,0.00324675324675325,0.00324675324675325,0.194805194805195,0.025974025974026,0.00324675324675325,0,0.194805194805195,0,0,0.0357142857142857,0,0.0551948051948052,0,0.0194805194805195,0.0064935064935065,0.201298701298701,0,0.0162337662337662,0,0,0,0.038961038961039,0,0.0357142857142857,0.0064935064935065,0.012987012987013,0.025974025974026,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2961,0,0.0921052631578947,0.0230263157894737,0,0,0.00328947368421053,0.00657894736842105,0.125,0.0131578947368421,0.00328947368421053,0.00328947368421053,0.194078947368421,0,0,0.0197368421052632,0,0.0756578947368421,0.00328947368421053,0.0197368421052632,0.0131578947368421,0.292763157894737,0,0.00328947368421053,0,0,0,0.0493421052631579,0.00657894736842105,0.0394736842105263,0,0,0.00657894736842105,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,3011,0,0.0917721518987342,0.0189873417721519,0.00316455696202532,0,0.00632911392405063,0.00949367088607595,0.107594936708861,0.0506329113924051,0,0.00632911392405063,0.246835443037975,0,0,0.00949367088607595,0.00632911392405063,0.060126582278481,0,0.0126582278481013,0,0.224683544303797,0,0.00632911392405063,0,0,0,0.0443037974683544,0.0316455696202532,0.0348101265822785,0,0,0.0189873417721519,0.00949367088607595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,3066,0,0.0993589743589744,0.032051282051282,0.00641025641025641,0,0.0128205128205128,0,0.0897435897435897,0.0384615384615385,0.00320512820512821,0.00961538461538462,0.243589743589744,0,0,0.0288461538461538,0,0.0705128205128205,0,0.0384615384615385,0,0.198717948717949,0,0.00641025641025641,0,0,0,0.0448717948717949,0.016025641025641,0.0256410256410256,0.00320512820512821,0.00641025641025641,0.0224358974358974,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,3126,0,0.115511551155116,0.0165016501650165,0,0,0,0.0033003300330033,0.112211221122112,0.0099009900990099,0,0.0033003300330033,0.188118811881188,0,0,0.0396039603960396,0.0033003300330033,0.0429042904290429,0,0.0165016501650165,0.0033003300330033,0.346534653465347,0,0.0132013201320132,0,0,0,0.0495049504950495,0,0.0132013201320132,0,0,0.0099009900990099,0.0066006600660066,0,0,0,0,0,0.0066006600660066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,3147,0,0.0721649484536082,0.0103092783505155,0.00257731958762887,0.00257731958762887,0.0180412371134021,0.0077319587628866,0.115979381443299,0.0103092783505155,0,0.00515463917525773,0.170103092783505,0,0.00257731958762887,0.0180412371134021,0.00257731958762887,0.0438144329896907,0,0.0180412371134021,0.00515463917525773,0.198453608247423,0,0.211340206185567,0,0,0,0.038659793814433,0.00515463917525773,0.0206185567010309,0.00257731958762887,0,0.0103092783505155,0.0077319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3212,0,0.00473260766682442,0.000473260766682442,0,0.000157753588894147,0.000473260766682442,0.000157753588894147,0.0059946363779776,0.00173528947783562,0.000157753588894147,0.000157753588894147,0.00836094021138981,0,0,0.000473260766682442,0,0.00268181101120051,0,0.00220855024451806,0,0.0141978230004733,0,0.951254141031708,0,0,0,0.00283956460009465,0.000788767944470737,0.00157753588894147,0.000157753588894147,0.000157753588894147,0.000946521533364884,0.000157753588894147,0,0,0,0.000157753588894147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,3262,0,0.00552581592125712,0.00034536349507857,0,0,0,0,0.00500777067863927,0.000518045242617855,0,0.000172681747539285,0.0107062683474357,0,0,0.00259022621308928,0.000172681747539285,0.00155413572785357,0,0.00138145398031428,0,0.0186496287342428,0,0.947677430495597,0,0,0,0.00362631669832499,0.000518045242617855,0.000863408737696426,0,0.000172681747539285,0.000172681747539285,0.000172681747539285,0,0,0,0,0,0.000172681747539285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,3312,0,0.0181818181818182,0.00378787878787879,0,0.000757575757575758,0.00378787878787879,0.00151515151515152,0.00833333333333333,0.0128787878787879,0,0.000757575757575758,0.0454545454545455,0,0,0.00681818181818182,0,0.00757575757575758,0,0.0128787878787879,0,0.0856060606060606,0.000757575757575758,0.759848484848485,0,0,0,0.00757575757575758,0.00681818181818182,0.00833333333333333,0.000757575757575758,0.000757575757575758,0.00606060606060606,0.000757575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
