"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Acer.spicatum","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Acer.rubrum","Fraxinus.nigra.type","Salix","Myrica.gale","Ilex.Nemopanthus","Acer.saccharinum","Tilia","Taxus","Campanula.type","Thalictrum","Liliaceae","Arceuthobium.pusillum","Populus.balsamifera.type","Polygonum","Viburnum.undiff.","cf..Oxyria.digyna","Caryophyllaceae","Rhus","Onagraceae.undiff.","Shepherdia.canadensis","Viburnum.edule","Brassicaceae","Saxifraga.oppositifolia.type","Fabaceae","Plantago","Ranunculaceae.undiff.","Epilobium","Impatiens"
100,10900,868,5,227,0,2,280,4,0,1,0,1,3,3,68,60,23,2,1,9,3,2,7,1,0,14,36,2,90,0,1,0,7,1,1,0,1,1,0,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
105,11521,248,0,49,1,2,74,6,0,0,0,0,0,2,35,11,13,1,0,0,3,0,0,0,0,13,3,0,25,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,11774,759,3,160,1,6,170,4,0,0,1,0,2,0,128,49,18,5,3,2,5,0,1,0,4,22,22,1,121,0,0,0,18,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
115,12027,374,1,67,1,7,154,5,0,0,0,0,0,1,35,9,10,1,2,0,1,0,1,1,1,11,2,1,37,0,0,0,8,1,3,0,0,0,1,7,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120,12280,445,1,43,2,11,193,15,0,0,0,0,3,0,33,22,12,2,0,10,4,0,3,0,2,8,9,1,33,0,0,0,30,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,12532,563,0,24,1,18,375,23,0,0,0,0,0,0,9,21,23,3,1,3,3,0,0,0,0,12,0,1,12,0,0,0,18,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
130,NA,540,1,15,1,18,245,46,2,0,1,0,0,1,12,41,37,2,3,6,2,0,0,1,0,8,9,3,37,1,0,0,14,1,0,0,0,0,1,8,6,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,7,0,2,1,0,0,0,0,0
140,NA,729,1,57,7,54,293,63,1,0,2,0,1,0,27,47,20,5,1,2,12,3,0,1,0,30,11,2,20,0,1,0,1,0,0,0,0,0,1,46,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,0,0
145,NA,104,0,6,2,4,47,16,0,0,0,0,0,0,2,5,2,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
152,NA,292,0,17,3,20,154,26,0,0,0,0,0,0,2,18,2,2,0,0,5,5,0,0,0,10,2,0,8,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
160,NA,247,1,6,5,8,104,25,0,0,0,0,0,0,1,31,4,7,0,0,7,0,0,0,0,18,6,1,2,0,0,0,2,0,1,0,0,0,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
180,NA,473,1,44,1,30,63,102,0,0,0,0,0,0,10,48,4,8,4,1,20,1,0,0,0,71,7,0,8,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0
195,NA,279,0,2,1,15,39,61,0,0,0,0,0,1,19,37,4,8,3,0,21,0,0,0,0,41,5,1,16,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
215,NA,303,0,1,6,35,30,59,0,0,0,0,0,0,5,30,7,5,4,0,15,2,0,0,0,44,1,0,15,0,0,0,7,0,1,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,0,0,0,0
230,NA,142,0,0,1,2,11,32,0,0,0,0,0,0,3,26,3,4,0,0,12,0,0,0,0,29,0,0,8,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
