"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Carya","Asteraceae.undiff.","Ericaceae","Fagus","Larix","Picea.glauca.type","Picea.mariana.type","Quercus","Rumex","Salix","Tsuga","Alnus","Acer","Ambrosia","Poaceae","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Cyperaceae","Ostrya.Carpinus","Ranunculaceae.undiff.","Viburnum","Corylus","Fraxinus","Plantago","Ilex","Pinus.undiff.","Juniperus.Thuja","Populus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Ulmus","Myrica","Polygonaceae.undiff.","Saxifragaceae","Rosaceae.undiff.","Platanus","Thalictrum","Epilobium","Potentilla","Fabaceae","Amaranthaceae","Tilia"
110,3327,221,1,2,60,0,0,3,1,0,1,4,7,0,0,68,3,0,0,0,30,35,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
130,4088,282,2,0,88,0,0,21,0,0,0,0,4,0,0,49,2,1,0,0,0,37,9,0,10,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4848,240,2,0,97,0,0,12,0,0,2,8,12,0,0,35,2,1,0,0,35,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
170,5609,242,3,0,49,0,0,8,1,2,0,0,12,0,0,78,1,0,0,1,0,35,15,0,5,0,0,0,0,0,0,29,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
190,6369,228,1,0,53,0,0,9,1,1,0,10,4,0,0,51,5,3,0,0,60,24,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
210,7130,230,2,0,31,0,0,1,1,0,0,0,8,0,0,41,2,0,0,0,0,48,19,0,3,0,1,0,1,0,0,68,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
230,7890,219,3,0,46,0,0,0,1,0,0,4,21,0,0,23,10,0,0,0,85,16,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
240,8271,226,5,0,30,0,0,0,0,0,0,0,14,0,2,14,5,1,0,0,0,0,32,2,1,0,0,1,6,0,0,110,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,8651,233,3,0,28,0,0,1,0,0,0,0,25,0,0,3,7,0,0,0,0,43,38,0,1,0,0,0,1,0,0,78,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0
260,9031,232,4,0,59,0,0,3,0,0,0,17,17,0,1,3,11,0,0,1,87,17,4,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
270,9411,232,3,1,95,0,1,2,0,0,4,22,19,0,0,3,16,2,0,1,39,7,3,1,4,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0
275,9602,226,0,0,95,0,4,1,0,0,3,17,21,0,2,0,6,1,2,3,53,3,2,1,4,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
280,NA,315,0,1,110,0,29,1,0,0,9,18,5,0,29,0,7,0,1,33,23,0,1,41,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
283,NA,340,0,3,105,0,0,1,0,0,3,15,7,1,16,1,13,0,0,20,42,2,4,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,1,0,0
285,NA,388,0,17,95,0,2,1,0,0,4,10,10,7,21,7,20,0,2,19,47,1,7,93,2,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,13,0,0,0,3,0
289,NA,362,2,29,57,0,2,1,0,0,12,16,5,5,16,0,25,0,0,16,71,5,4,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,1,0
300,NA,248,1,2,63,0,2,3,2,0,11,19,12,0,5,5,3,0,0,5,80,4,7,12,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,2,1
305,NA,233,1,1,56,0,2,2,0,0,13,39,14,0,2,0,4,0,0,3,77,6,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
315,NA,227,3,1,49,0,0,2,1,0,15,25,8,0,1,13,4,0,0,0,82,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
325,NA,226,1,1,56,0,0,2,0,1,7,26,12,0,4,4,6,1,1,0,83,5,7,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
330,NA,222,2,1,50,0,1,4,1,0,7,21,7,0,0,19,3,0,0,3,71,7,6,4,7,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0
