"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Thalictrum"
140,NA,0.00851063829787234,0,0.00425531914893617,0.0340425531914894,0.00425531914893617,0.0595744680851064,0,0,0,0.051063829787234,0.00425531914893617,0.00851063829787234,0.0297872340425532,0.148936170212766,0.391489361702128,0.051063829787234,0.114893617021277,0.051063829787234,0,0.00425531914893617,0,0.00425531914893617,0,0.0127659574468085,0,0,0.00425531914893617,0.0127659574468085,0,0,0
150,NA,0,0.00444444444444444,0.00444444444444444,0.0533333333333333,0,0.0133333333333333,0,0,0,0.0266666666666667,0.0133333333333333,0.0444444444444444,0.0355555555555556,0.222222222222222,0.346666666666667,0.0311111111111111,0.0755555555555556,0.0133333333333333,0,0,0.0133333333333333,0,0,0.00888888888888889,0.00444444444444444,0,0,0.0488888888888889,0,0.04,0
160,NA,0,0.00448430493273543,0.00448430493273543,0.0538116591928251,0.00448430493273543,0.0269058295964126,0,0,0,0.0269058295964126,0.00448430493273543,0.0448430493273543,0.0672645739910314,0.228699551569507,0.286995515695067,0.031390134529148,0.094170403587444,0,0,0.0224215246636771,0.0269058295964126,0.00448430493273543,0,0,0.00448430493273543,0,0,0.0582959641255605,0,0.00448430493273543,0
165,NA,0.0040650406504065,0.008130081300813,0.016260162601626,0.109756097560976,0,0.016260162601626,0,0,0,0,0.0040650406504065,0.016260162601626,0.0121951219512195,0.353658536585366,0.235772357723577,0.016260162601626,0.0772357723577236,0.0040650406504065,0,0.0121951219512195,0.008130081300813,0,0.0121951219512195,0.016260162601626,0.0121951219512195,0,0.0121951219512195,0.032520325203252,0,0.0203252032520325,0
170,NA,0.00462962962962963,0,0.0138888888888889,0.0462962962962963,0.00925925925925926,0,0,0,0,0.0185185185185185,0,0.0231481481481481,0.037037037037037,0.5,0.143518518518519,0.0462962962962963,0.0555555555555556,0,0,0.00925925925925926,0,0.0138888888888889,0,0.0231481481481481,0.0138888888888889,0,0.00462962962962963,0.0185185185185185,0,0.0185185185185185,0
180,NA,0,0,0.0168776371308017,0.0421940928270042,0.00421940928270042,0.0210970464135021,0,0,0,0.0168776371308017,0,0.0421940928270042,0,0.523206751054852,0.130801687763713,0.0421940928270042,0.0464135021097046,0.00421940928270042,0,0.00421940928270042,0,0.0126582278481013,0,0.0379746835443038,0,0.00421940928270042,0,0.0379746835443038,0,0.0126582278481013,0
185,NA,0,0,0.016260162601626,0.0203252032520325,0,0.0203252032520325,0,0,0,0,0,0.0528455284552846,0.032520325203252,0.544715447154472,0.101626016260163,0.0040650406504065,0.0528455284552846,0.008130081300813,0,0.0040650406504065,0.008130081300813,0.0121951219512195,0,0.032520325203252,0.0121951219512195,0,0,0.0609756097560976,0,0.016260162601626,0
190,NA,0.00396825396825397,0,0,0.0277777777777778,0,0.00793650793650794,0,0.00396825396825397,0,0,0,0.00793650793650794,0.00396825396825397,0.595238095238095,0.103174603174603,0.00793650793650794,0.0317460317460317,0,0,0.00396825396825397,0.00793650793650794,0.00793650793650794,0,0.0436507936507936,0.0158730158730159,0.00793650793650794,0,0.103174603174603,0,0.0158730158730159,0
200,NA,0.00904977375565611,0,0,0.00904977375565611,0.00452488687782805,0.0226244343891403,0.00452488687782805,0,0,0,0,0,0.00904977375565611,0.728506787330317,0.081447963800905,0.00452488687782805,0.0588235294117647,0,0,0,0,0,0,0.00904977375565611,0.0135746606334842,0,0.00452488687782805,0.0226244343891403,0,0.0180995475113122,0
210,NA,0,0,0.00454545454545455,0.00454545454545455,0,0.0227272727272727,0,0,0,0.00909090909090909,0,0,0.0272727272727273,0.759090909090909,0.0681818181818182,0.0181818181818182,0.0227272727272727,0.00454545454545455,0,0.00454545454545455,0,0.00909090909090909,0,0.00909090909090909,0.00454545454545455,0,0,0.0181818181818182,0,0.0136363636363636,0
220,NA,0,0,0,0.00418410041841004,0,0.0460251046025105,0,0,0,0,0,0,0.0292887029288703,0.715481171548117,0.0251046025104603,0.0167364016736402,0.0460251046025105,0,0,0,0,0.0209205020920502,0,0.0167364016736402,0.0125523012552301,0,0,0.0292887029288703,0,0.0334728033472803,0.00418410041841004
225,NA,0,0,0.00540540540540541,0.0108108108108108,0,0.0324324324324324,0,0,0,0,0,0,0.027027027027027,0.518918918918919,0.0432432432432432,0.00540540540540541,0.0540540540540541,0,0,0,0.0162162162162162,0,0.00540540540540541,0.0162162162162162,0.0324324324324324,0,0.00540540540540541,0.194594594594595,0,0.0324324324324324,0
230,NA,0,0,0,0.0150375939849624,0,0.0225563909774436,0,0,0,0.0112781954887218,0,0,0.0150375939849624,0.515037593984962,0.120300751879699,0.0112781954887218,0.0601503759398496,0.0037593984962406,0,0,0,0.018796992481203,0,0.018796992481203,0.0037593984962406,0,0,0.157894736842105,0,0.0225563909774436,0.0037593984962406
234,NA,0,0,0,0,0.00401606425702811,0.0240963855421687,0,0,0,0.0120481927710843,0,0,0.00803212851405622,0.55421686746988,0.172690763052209,0.0160642570281124,0.036144578313253,0,0,0,0,0.00401606425702811,0,0.00803212851405622,0.0160642570281124,0,0,0.124497991967871,0,0.0200803212851406,0
