"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.type","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Parthenocissus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polygonum","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium","Zanthoxylum"
320,1896,2,0,1,0,12,1,1,0,4,1,0,37,0,7,0,0,0,0,0,1,4,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,28,174,7,43,0,0,3,0,0,0,1,1,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
330,1987,3,0,0,0,4,0,1,0,3,0,0,25,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,19,217,4,46,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
340,2078,5,1,0,2,6,1,0,0,5,2,0,38,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,46,164,11,39,0,0,4,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
350,2169,3,0,0,1,10,0,3,0,1,2,0,28,0,2,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,204,3,47,0,0,5,0,0,0,0,0,0,1,18,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
360,2260,4,0,1,0,9,1,2,0,4,0,0,42,0,3,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,45,159,11,39,0,1,2,0,0,0,2,0,0,2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0
380,2443,1,0,0,2,19,1,2,0,3,2,0,33,0,6,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,44,157,11,39,0,0,5,0,0,0,1,0,0,2,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0
390,2534,2,0,0,2,13,1,2,0,1,1,0,31,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5,19,173,5,45,0,0,5,0,2,0,2,1,1,3,17,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
400,2625,5,1,1,0,15,3,4,0,9,1,0,56,0,4,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,6,34,211,7,43,0,0,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,0,0,0,1,0,0
410,2716,2,1,1,0,11,0,5,0,4,1,0,22,0,1,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,0,3,0,2,16,189,4,46,0,0,5,0,0,0,0,1,0,6,16,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
420,2807,2,0,0,1,8,2,2,0,5,2,0,36,0,0,0,0,0,0,0,1,7,1,9,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,12,190,3,47,0,0,7,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
430,2899,4,1,2,0,5,1,4,0,2,1,0,23,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,4,41,186,9,41,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
440,2990,1,0,0,0,7,0,1,0,1,0,0,13,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,218,8,42,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
455,3127,3,0,0,0,10,1,2,0,0,3,0,21,0,1,0,1,0,0,0,2,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,1,47,186,10,40,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
465,3218,4,0,0,0,8,0,2,0,1,0,0,18,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,4,19,221,4,46,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
475,3309,2,1,1,2,13,1,1,0,5,0,0,23,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,3,47,147,12,38,0,0,4,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0
485,3400,2,0,0,1,14,0,3,0,2,1,0,16,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,43,197,9,41,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
495,3491,3,1,1,0,9,1,0,0,2,2,0,31,0,5,0,1,0,0,0,0,8,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,16,180,4,46,0,0,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,9,0,0,0,0,0,1,0
505,3583,1,0,0,2,7,0,1,0,1,1,0,22,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,9,227,2,48,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0
515,3674,4,0,0,0,12,1,2,0,0,0,0,20,0,1,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,27,201,6,44,0,0,3,0,0,0,0,1,1,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
525,3765,5,0,0,0,11,1,1,0,3,1,0,41,0,1,0,1,0,0,0,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,3,4,197,1,49,0,0,4,0,2,0,1,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
535,3856,1,0,1,1,7,0,3,1,5,1,0,20,0,1,0,0,0,0,0,0,4,0,10,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,38,200,8,42,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,3947,0,1,0,0,8,2,8,0,8,2,0,33,0,4,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,2,0,5,39,138,11,39,0,0,16,0,0,0,0,1,0,4,16,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0
555,4039,2,0,0,0,6,0,2,1,2,2,0,20,0,2,0,1,0,0,0,1,9,0,9,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,17,201,4,46,0,0,10,1,0,0,1,1,0,0,15,0,0,0,0,0,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
565,4130,2,1,1,0,5,1,5,0,5,0,0,15,0,1,0,0,0,0,0,1,7,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,200,7,43,0,1,7,0,0,0,0,2,0,0,11,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
575,4221,1,1,0,0,5,1,3,0,3,0,0,27,0,1,0,0,0,0,0,1,4,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,9,213,2,48,0,1,5,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
585,4312,0,1,0,0,23,2,2,0,2,4,0,38,0,5,0,0,0,0,0,1,5,0,6,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,42,109,14,36,0,0,6,1,0,1,0,0,0,1,47,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,6,0,0,1,0,0,0,0
595,4425,0,0,0,0,27,2,8,0,8,2,0,24,0,2,0,0,0,0,0,1,15,0,19,0,0,0,2,1,0,0,3,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,75,70,26,24,0,0,16,0,0,0,1,0,1,4,27,0,1,0,0,0,3,4,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
605,4559,0,0,0,0,29,5,10,0,10,2,0,47,0,0,0,0,0,0,0,2,21,0,10,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,3,0,0,1,1,3,0,4,0,5,37,146,10,40,0,0,13,0,0,0,1,0,1,7,39,0,0,1,0,0,2,6,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
615,4693,1,0,0,0,16,2,10,0,10,3,0,43,0,5,0,0,1,0,0,1,23,0,27,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,3,0,0,31,89,13,37,0,0,16,0,1,0,1,3,0,4,30,0,0,0,0,0,3,2,2,1,0,0,0,2,0,3,4,2,0,0,0,0,0,0
625,4827,0,0,0,0,17,2,3,0,3,2,0,36,0,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,1,0,2,0,2,42,107,14,36,0,1,16,0,0,1,0,1,0,1,36,0,0,1,0,0,4,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
635,4961,0,1,0,1,29,6,5,0,5,2,0,39,0,1,0,0,0,0,0,0,21,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,35,101,13,37,0,0,12,0,0,0,1,2,0,2,30,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
655,5229,1,0,0,0,20,2,10,0,10,6,0,37,0,1,0,0,0,0,0,3,2,0,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,24,112,9,41,0,0,15,1,1,0,2,0,0,0,37,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
665,5363,0,0,0,1,32,2,5,0,5,1,0,46,0,0,0,0,0,0,0,3,16,0,23,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,50,70,21,29,0,1,11,0,0,0,0,0,0,1,37,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,6,3,0,0,0,0,0,0
675,5497,0,0,0,0,35,3,4,0,4,3,0,58,1,0,0,2,0,0,0,4,11,0,17,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,4,2,0,0,2,1,0,2,0,0,42,57,21,29,0,1,13,0,0,0,0,0,0,3,36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0
685,5631,1,0,0,0,29,4,7,0,7,10,0,53,1,3,0,0,0,0,0,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,19,77,10,40,0,0,14,0,0,0,0,0,0,2,57,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0
695,5765,2,1,0,0,27,2,7,0,7,0,0,21,0,0,1,1,1,0,0,2,7,0,22,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,53,113,16,34,0,0,10,0,0,0,0,0,0,7,29,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
705,5899,0,0,0,0,21,5,9,0,9,1,0,40,0,5,0,0,0,0,0,1,3,0,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,97,10,40,0,0,14,1,0,0,0,0,0,4,58,0,0,0,0,0,6,1,1,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0
715,6033,2,0,0,0,17,5,5,1,5,2,0,18,0,0,0,0,0,0,0,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,44,139,12,38,0,0,10,0,0,0,1,0,0,0,37,0,0,0,0,0,3,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0
725,6168,0,0,0,0,18,3,3,0,6,1,0,16,0,1,0,0,0,0,0,1,5,0,10,0,0,0,1,0,0,0,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,2,15,176,4,46,0,1,6,0,1,0,0,0,0,1,22,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0
735,6302,0,1,0,0,30,2,7,0,6,3,0,44,0,2,0,0,0,0,0,0,7,0,5,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,5,0,3,22,102,9,41,0,0,12,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
760,6637,0,0,0,0,13,7,8,0,7,2,0,34,0,1,0,0,0,0,0,6,13,0,3,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,0,19,86,9,41,0,0,11,0,0,0,3,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,8,3,0,0,0,0,0,0
770,6771,0,0,0,0,22,5,13,0,7,1,0,25,1,1,0,0,0,0,0,4,13,0,5,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,40,65,19,31,0,0,35,0,0,0,0,0,0,1,45,0,0,0,1,0,3,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0
780,6905,0,0,0,5,28,60,4,0,9,3,4,28,1,0,0,1,0,0,0,2,13,0,6,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,27,71,14,36,0,0,15,0,0,1,3,1,0,3,59,0,0,0,0,0,2,5,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0
790,7039,0,1,0,0,25,3,9,0,9,4,0,17,0,1,0,1,0,0,0,2,13,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,5,0,0,44,92,16,34,0,0,13,0,0,0,0,0,0,2,48,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
800,7173,0,0,0,0,26,5,5,0,8,1,0,22,0,0,0,2,0,0,0,3,6,0,17,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,8,0,3,42,97,15,35,0,0,15,0,0,0,0,0,0,9,34,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0
810,7307,0,0,0,0,20,5,9,0,12,1,0,25,0,2,0,1,0,0,0,1,9,1,4,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,9,0,0,21,108,8,42,0,1,24,0,0,0,0,1,0,3,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,11,0,0,0,0,0,0,1
820,7441,0,0,0,1,9,4,5,0,6,1,0,16,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,16,141,5,45,0,2,29,0,0,0,1,1,0,0,37,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
