"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium"
67,543,612,1,3,5,8,138,5,8,0,0,0,9,2,81,6,8,0,0,5,0,0,0,8,0,2,26,46,5,23,4,0,80,0,0,0,115,3,0,2,0,3,0,0,5,0,0,0,8,0,0,3,0,0
69,568,601,1,6,11,5,132,3,8,0,0,0,3,6,89,5,3,0,0,3,0,0,0,5,0,2,30,28,8,23,0,3,66,0,0,0,142,8,0,0,1,0,0,0,2,0,0,0,3,2,0,2,1,0
71,593,555,3,2,9,2,125,9,6,0,0,0,2,0,92,3,3,2,3,2,2,0,0,5,0,3,19,17,8,38,2,0,69,0,0,1,122,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
73,618,547,0,6,14,5,115,0,3,0,0,0,6,2,107,3,5,2,2,3,2,0,0,5,0,5,34,17,6,31,0,0,52,0,0,0,115,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
75,643,541,0,11,12,3,115,3,9,0,0,0,6,3,67,5,5,0,2,5,2,0,0,8,0,3,26,44,5,28,2,0,54,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
77,668,542,0,14,8,2,104,3,5,0,0,0,0,2,110,9,8,0,0,2,3,0,0,6,0,3,14,29,6,24,0,0,63,0,0,0,107,9,0,0,0,1,0,0,5,0,0,0,2,0,0,3,0,0
79,695,546,2,0,6,2,96,5,2,0,0,1,0,1,122,3,0,0,0,5,2,0,0,11,0,2,36,14,5,35,0,0,64,0,0,0,124,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
81,724,590,1,3,12,5,129,6,12,0,0,0,0,5,107,5,5,0,0,2,2,0,0,15,0,2,20,28,5,24,2,0,84,0,2,2,98,5,2,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0
83,753,553,1,3,11,6,109,3,3,0,0,0,2,5,113,6,2,0,3,2,0,0,0,5,0,6,24,21,9,15,0,0,80,0,0,2,115,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
85,783,543,0,6,3,3,107,2,3,3,0,0,0,3,119,6,0,1,3,0,2,0,0,3,0,6,20,21,6,32,5,0,65,0,0,0,114,2,0,2,0,0,0,0,3,0,0,0,2,0,0,0,1,0
87,812,533,0,2,8,6,128,6,5,0,0,0,0,3,104,5,0,0,3,3,0,0,0,3,0,5,20,21,3,21,0,0,70,0,0,0,110,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,841,548,0,5,12,2,93,3,6,2,0,0,0,5,98,8,2,0,2,2,0,0,0,8,0,2,36,29,6,24,2,0,78,0,0,0,116,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
91,869,549,0,2,11,2,115,11,3,0,0,0,0,0,116,6,3,0,0,6,2,0,0,5,0,3,24,9,8,31,3,0,64,0,0,0,119,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0
93,896,554,1,3,5,0,88,6,6,0,0,0,2,9,86,2,3,0,0,2,0,0,0,5,0,2,24,16,2,21,2,0,91,0,0,0,166,2,0,0,0,2,0,0,5,0,0,0,2,0,0,1,0,0
102,1018,552,0,8,13,3,88,5,2,0,0,2,3,3,110,5,0,0,2,0,0,0,0,8,0,2,12,21,3,22,0,0,78,0,0,0,147,6,0,0,0,2,1,0,3,1,0,0,2,0,0,0,0,0
104,1045,537,0,6,11,0,86,5,2,0,0,0,2,2,119,2,0,0,5,5,2,0,0,5,0,2,18,25,2,17,0,0,70,0,0,0,141,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
106,1072,561,0,5,18,9,84,6,3,0,0,0,0,8,102,6,0,0,0,0,2,0,0,6,0,2,39,18,6,26,0,0,76,0,1,2,119,6,0,0,0,0,0,0,3,0,0,0,11,0,0,3,0,0
108,1099,550,0,6,8,11,82,5,0,0,0,0,2,3,112,0,0,0,3,0,0,0,0,5,0,3,18,21,5,21,3,0,78,0,0,0,149,6,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0
110,1126,547,1,5,6,5,83,6,3,0,0,0,0,0,110,6,5,0,3,2,0,0,0,6,0,2,26,21,2,23,2,0,90,0,0,0,129,5,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0
112,1186,539,1,5,10,5,98,10,5,1,0,0,2,2,132,0,5,0,0,0,0,0,0,8,0,3,20,10,3,13,2,0,78,0,0,2,114,5,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0
114,1247,542,0,5,5,6,110,6,6,1,0,0,0,3,99,3,0,1,2,3,2,0,0,6,0,5,18,21,5,17,0,0,93,0,0,3,116,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
116,1307,543,0,7,9,0,104,3,7,0,0,0,0,1,110,4,4,0,2,1,0,0,0,7,0,7,33,12,7,23,0,1,75,0,3,0,113,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
118,1368,548,0,5,9,6,92,2,5,0,0,0,0,5,113,5,2,0,0,0,2,0,0,3,0,6,28,23,2,18,0,0,63,0,0,0,150,5,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0
