"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Ilex","Juglans","Larix","Lycopodiaceae","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Potentilla.type","Pteridophyta.undiff.","Quercus","Rosaceae.undiff.","Rumex","Salix","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Viburnum"
340,4573,10,0,2,0,0,0,0,0,93,0,0,0,0,0,2,0,32,0,0,1,0,0,0,3,0,0,0,0,0,3,17,71,0,0,0,0,13,0,0,0,0,4,0,0,0
360,4987,6,2,3,0,0,0,0,0,96,0,0,0,0,0,4,0,22,0,1,0,0,0,0,1,0,1,0,0,0,3,9,41,0,0,0,0,19,0,0,0,0,35,0,0,1
380,5401,1,0,4,0,0,0,1,0,87,0,0,0,0,4,1,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,7,34,1,0,0,0,20,1,0,0,0,60,0,1,1
400,5814,5,0,0,0,0,0,0,0,69,0,1,0,0,1,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,7,52,0,0,0,0,14,0,0,0,0,56,0,1,0
420,6228,3,1,0,0,0,0,2,0,41,0,0,0,1,5,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,6,103,0,0,0,0,14,0,0,0,0,37,0,1,0
440,6641,5,1,3,0,1,0,1,0,41,1,0,0,0,1,2,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,9,112,0,0,0,0,15,0,0,0,0,18,0,0,0
460,7055,7,1,3,0,0,0,0,0,18,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,128,0,0,0,0,17,0,0,0,0,21,0,0,0
480,7468,3,1,1,0,1,0,0,0,24,0,0,0,0,1,3,0,12,0,0,0,0,0,2,0,0,0,0,0,0,2,33,132,0,0,0,0,11,0,0,0,0,8,0,0,0
500,7880,5,1,9,0,2,0,0,0,48,0,0,0,0,1,2,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,21,99,0,0,0,0,19,0,0,0,0,9,1,3,0
520,8279,9,0,9,0,0,0,0,0,71,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,1,0,1,0,1,46,67,1,0,1,3,13,0,0,0,0,0,0,1,0
540,8677,8,1,5,0,0,0,1,1,46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,12,129,1,0,1,1,7,0,0,1,0,0,1,0,0
555,8976,12,2,7,0,0,0,0,0,75,0,0,0,0,2,2,4,1,0,0,1,0,0,0,1,0,2,0,0,0,0,31,78,0,0,1,1,10,0,0,1,0,1,0,1,0
565,9175,8,0,4,0,0,0,0,0,81,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,0,0,2,3,0,1,28,85,0,0,0,0,6,0,0,1,0,0,1,0,0
575,9374,6,0,4,0,1,0,0,1,123,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,36,30,0,0,0,0,12,0,0,0,0,0,0,0,0
578,NA,14,0,5,0,0,0,0,0,108,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,27,48,0,0,0,0,9,0,0,1,0,0,0,1,0
580,NA,3,1,3,0,0,0,3,3,119,0,0,0,0,4,22,0,2,0,0,0,0,0,0,5,0,3,1,0,0,1,55,16,0,0,3,0,8,0,0,1,0,0,1,1,0
583,NA,2,0,14,2,0,0,27,10,48,0,0,0,0,55,2,1,1,0,0,0,0,0,0,9,0,4,0,0,0,7,45,64,10,0,0,0,5,1,0,12,0,1,0,0,0
586,NA,0,0,8,0,1,0,13,1,27,0,0,2,0,60,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,28,28,7,1,0,1,4,1,0,15,1,0,0,0,0
589,NA,4,0,7,0,0,0,22,0,51,0,0,0,0,45,1,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,23,106,0,2,0,0,5,0,2,4,2,0,2,0,0
593,NA,0,0,12,0,2,0,12,0,44,0,1,0,0,54,11,0,0,0,0,3,0,0,0,2,0,2,0,0,0,8,21,39,4,0,0,0,13,0,0,23,0,3,0,3,0
