"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","cf..Diapensia.lapponica","Corylus.cornuta","Cyperaceae","Elaeagnus.commutata","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
765,11050,5,0,0,0,4,0,0,6,0,1,1,0,0,104,0,0,0,0,0,0,0,0,9,23,2,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,3,4,123,103,45,0,0,2,0,47,0,0,1,0,0,0,0,0,6,0,44,0,0,0,0
775,11192,5,0,0,0,4,0,0,4,0,1,1,1,0,105,2,0,0,0,3,0,0,0,2,16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10,7,175,75,48,6,0,0,2,33,0,0,1,0,1,0,0,0,1,0,39,0,0,1,0
785,11335,22,0,0,0,2,0,0,9,0,1,0,0,0,158,1,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,2,0,11,0,0,3,0,0,0,0,0,0,9,5,100,71,24,1,0,0,0,26,0,0,3,0,0,0,0,0,3,0,10,0,1,0,0
800,11549,0,0,0,0,2,0,0,4,0,1,4,0,0,32,2,0,0,2,8,0,0,0,0,4,1,0,0,0,0,0,5,0,1,0,0,12,0,0,0,0,0,1,30,11,68,38,29,6,3,12,0,19,0,0,1,0,0,0,0,1,0,0,4,0,0,2,0
810,11692,6,1,0,0,1,0,0,8,1,0,0,0,0,68,2,0,0,0,4,0,0,0,3,7,0,2,0,4,0,0,2,1,6,0,1,4,0,0,0,0,0,0,91,13,101,86,28,6,0,1,0,31,0,0,2,1,2,0,0,1,1,1,3,0,4,0,0
820,11835,0,0,0,0,2,0,0,12,1,1,1,3,0,66,0,0,1,0,9,0,2,0,2,7,1,0,0,1,0,0,18,0,0,0,0,3,0,0,0,0,0,2,90,13,118,46,41,3,4,10,0,43,0,0,2,2,0,0,0,0,4,13,2,0,1,5,2
830,11977,1,0,0,0,2,0,0,19,0,0,5,1,0,70,0,0,0,1,4,0,2,2,0,10,2,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,34,6,66,18,13,3,1,25,0,38,0,0,9,2,0,0,0,0,5,0,3,0,4,2,0
835,NA,1,0,0,0,3,0,2,13,0,2,10,1,0,57,0,0,0,0,13,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24,9,72,12,24,4,0,6,3,15,3,0,9,3,0,0,1,1,3,0,3,0,6,10,0
840,NA,0,0,0,0,3,1,5,1,0,0,2,0,0,17,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,19,13,20,2,23,2,0,0,0,2,0,0,1,0,0,0,2,0,2,0,1,0,1,3,0
845,NA,0,0,0,0,2,0,2,2,2,0,3,0,0,19,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,8,13,3,12,2,0,4,0,5,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0
855,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
865,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,24,6,15,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
880,NA,0,0,0,0,2,0,0,3,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
900,NA,0,0,0,0,0,0,2,1,0,1,3,0,0,10,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,12,20,2,16,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0
