"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Castanea","Cephalanthus","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Liquidambar","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Viburnum","Rosaceae","Zea","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Acer.undiff.","Fraxinus..tetracolpate.","Larix","Picea","Iva.annua","Rhamnus","Morus","Myrica","Pinus.strobus","Rhus","Acer.saccharinum","Thalictrum","Urtica","Nyssa","Apiaceae","Celtis","Other.trees.and.shrubs","Abies","Cornus"
1154,70,0.0071599045346062,0.00477326968973747,0.0214797136038186,0.0429594272076372,0.0119331742243437,0,0.0262529832935561,0.00238663484486874,0,0.0238663484486874,0.0286396181384248,0.0310262529832936,0,0.0334128878281623,0,0.0167064439140811,0.0214797136038186,0.0119331742243437,0.315035799522673,0.0405727923627685,0.0071599045346062,0.00477326968973747,0.0071599045346062,0.0429594272076372,0.0262529832935561,0.205250596658711,0,0.00477326968973747,0,0,0.00238663484486874,0.0262529832935561,0.00238663484486874,0,0,0.0071599045346062,0.00238663484486874,0.00477326968973747,0.00477326968973747,0.00238663484486874,0.0071599045346062,0.00238663484486874,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,130,0.00305810397553517,0,0.0275229357798165,0.0642201834862385,0.0397553516819572,0,0,0,0.00305810397553517,0.0091743119266055,0.0886850152905199,0.0428134556574924,0,0,0,0.0305810397553517,0.0275229357798165,0.0152905198776758,0.44954128440367,0,0.00611620795107034,0.00305810397553517,0.00305810397553517,0.0336391437308868,0.0611620795107034,0.00305810397553517,0.00611620795107034,0.00305810397553517,0.00611620795107034,0,0,0.0091743119266055,0.018348623853211,0.00611620795107034,0.00305810397553517,0.0122324159021407,0,0.00611620795107034,0.00305810397553517,0,0,0,0.00305810397553517,0.00305810397553517,0.0091743119266055,0,0,0,0,0,0,0,0,0,0
1194,419,0.0028169014084507,0.0028169014084507,0.0169014084507042,0.0816901408450704,0.0366197183098592,0,0,0,0.0028169014084507,0.0112676056338028,0.076056338028169,0.0394366197183099,0,0.0028169014084507,0,0.0197183098591549,0.0197183098591549,0.0112676056338028,0.566197183098592,0,0,0,0.0028169014084507,0.0394366197183099,0.0197183098591549,0,0.0028169014084507,0,0,0,0,0.0197183098591549,0,0,0,0.00563380281690141,0,0.0112676056338028,0,0,0.0028169014084507,0,0,0,0.00563380281690141,0,0,0,0,0,0,0,0,0,0
1242,995,0,0,0.0146699266503667,0.124694376528117,0.0220048899755501,0,0.00244498777506112,0.00244498777506112,0,0.00488997555012225,0.0635696821515892,0.058679706601467,0,0.00488997555012225,0,0.0171149144254279,0.0097799511002445,0.0122249388753056,0.515892420537897,0,0.00244498777506112,0.00244498777506112,0,0.0464547677261614,0.0317848410757946,0,0.00488997555012225,0,0,0,0,0.039119804400978,0.00244498777506112,0.00488997555012225,0,0,0,0.00488997555012225,0.00244498777506112,0,0,0,0,0,0.00488997555012225,0,0,0,0,0,0,0,0,0,0
1290,1572,0,0.00240384615384615,0.0192307692307692,0.129807692307692,0.00961538461538462,0,0.00480769230769231,0,0,0.0144230769230769,0.0384615384615385,0.0264423076923077,0,0.00961538461538462,0,0.0120192307692308,0.0192307692307692,0.0288461538461538,0.557692307692308,0,0,0,0.00961538461538462,0.0456730769230769,0.0264423076923077,0.00240384615384615,0.00480769230769231,0.00240384615384615,0,0,0,0.0120192307692308,0.00240384615384615,0.00240384615384615,0,0,0,0.00721153846153846,0,0.00240384615384615,0,0,0,0,0.00240384615384615,0.00240384615384615,0.00480769230769231,0,0,0,0,0,0,0,0
1336,2124,0,0,0.00919117647058824,0.117647058823529,0.0110294117647059,0,0.00551470588235294,0.00183823529411765,0,0.00919117647058824,0.0386029411764706,0.0367647058823529,0,0.00551470588235294,0,0.00551470588235294,0.0238970588235294,0.0110294117647059,0.606617647058823,0,0.00183823529411765,0.00551470588235294,0.00183823529411765,0.0202205882352941,0.0349264705882353,0.00367647058823529,0.00183823529411765,0.00183823529411765,0,0,0,0.0165441176470588,0.00919117647058824,0.00183823529411765,0.00183823529411765,0.00183823529411765,0,0,0.00183823529411765,0,0.00183823529411765,0,0,0.00367647058823529,0.00183823529411765,0.00183823529411765,0,0.00367647058823529,0,0,0,0,0,0,0
1344,2220,0.00959232613908873,0,0.026378896882494,0.143884892086331,0.0215827338129496,0,0.00479616306954436,0,0,0.0119904076738609,0.026378896882494,0.0431654676258993,0,0.00239808153477218,0,0.0167865707434053,0.0191846522781775,0.00719424460431655,0.489208633093525,0,0,0,0.00239808153477218,0.0575539568345324,0.0671462829736211,0.0119904076738609,0,0.00239808153477218,0,0,0,0.00239808153477218,0.00479616306954436,0,0.00959232613908873,0.00239808153477218,0,0.00479616306954436,0,0,0,0,0,0,0.00719424460431655,0,0,0.00479616306954436,0,0,0,0,0,0,0
1376,2690,0,0.00221238938053097,0.00442477876106195,0.141592920353982,0.0176991150442478,0,0.0088495575221239,0,0,0.00442477876106195,0.0287610619469027,0.0353982300884956,0,0.0132743362831858,0.00221238938053097,0.0110619469026549,0.00221238938053097,0.0088495575221239,0.581858407079646,0,0,0.00221238938053097,0.00442477876106195,0.0442477876106195,0.0309734513274336,0.00442477876106195,0.00442477876106195,0.00663716814159292,0,0,0,0.0088495575221239,0.00221238938053097,0.00221238938053097,0.00442477876106195,0.00442477876106195,0,0.00442477876106195,0,0,0,0.00221238938053097,0,0,0.00442477876106195,0,0,0.00442477876106195,0.00221238938053097,0,0,0,0,0,0
1420,3353,0.00184842883548983,0,0.022181146025878,0.0924214417744917,0.022181146025878,0,0.011090573012939,0.00369685767097967,0,0.0166358595194085,0.0702402957486137,0.0314232902033272,0,0.00739371534195933,0.00184842883548983,0.0258780036968577,0.0147874306839187,0.0147874306839187,0.528650646950092,0,0.00184842883548983,0,0.00184842883548983,0.0462107208872458,0.0351201478743068,0.00184842883548983,0.00184842883548983,0,0,0.00184842883548983,0,0.022181146025878,0.00184842883548983,0,0.00369685767097967,0.00184842883548983,0,0.00369685767097967,0.00184842883548983,0,0,0.00184842883548983,0,0,0.00369685767097967,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0
1452,3835,0.00216450216450216,0.00216450216450216,0.0151515151515152,0.0952380952380952,0.0216450216450216,0,0,0.00216450216450216,0.00216450216450216,0.0064935064935065,0.11038961038961,0.0432900432900433,0,0,0,0.0324675324675325,0.012987012987013,0.012987012987013,0.476190476190476,0,0,0,0.00216450216450216,0.0562770562770563,0.025974025974026,0,0.0064935064935065,0.00216450216450216,0,0.00216450216450216,0,0.0194805194805195,0.00865800865800866,0.0108225108225108,0.0108225108225108,0.0064935064935065,0,0.0064935064935065,0.00216450216450216,0,0,0.00432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0
