"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Salsola","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Alnus","Fraxinus","Poaceae","Euphorbia","Platanus","Tilia","Rosaceae","Acer.rubrum","Tsuga","Juglans.nigra","Campanulaceae","Castanea","Amorpha.type","Apiaceae","Carya","Parthenocissus","Morus","Acer.saccharinum.type","Celtis","Vitis","Cornus","Dalea","Asteraceae.subf..Cichorioideae","Tidestromia.type","Fagus","Caryophyllaceae","Sarcobatus.vermiculatus","Shepherdia.argentea","Acer.negundo","Ephedra","Myrica","Brassicaceae"
1400,2155,400,0,2,7,9,64,0,1,0,4,13,21,0,6,2,9,21,60,103,11,16,2,0,0,2,1,1,22,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,2490,424,1,3,5,4,77,0,2,0,2,3,11,0,2,6,6,33,96,106,4,21,0,0,0,1,5,0,18,4,8,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,2823,351,3,4,2,7,67,0,2,1,5,6,10,0,2,7,6,19,61,90,4,13,2,0,0,1,7,1,18,4,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,3166,337,0,0,10,2,51,0,1,0,2,6,0,0,8,0,6,26,58,77,3,28,3,0,0,0,6,1,27,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,3529,280,1,1,3,11,36,0,1,0,2,3,3,0,0,5,12,27,53,89,8,8,1,0,0,0,4,0,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,3922,346,3,2,4,11,42,0,4,0,2,0,12,0,3,5,7,27,56,105,4,19,5,0,0,2,2,0,18,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,4356,346,0,0,3,10,38,0,2,0,6,2,15,1,1,7,8,18,59,81,8,34,8,0,0,3,0,0,24,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1540,4840,583,2,2,10,20,78,0,5,1,10,4,16,0,3,6,12,64,50,119,9,42,7,0,0,8,10,3,54,14,27,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
1560,5380,294,0,0,6,14,21,0,5,1,7,3,12,0,0,4,2,35,27,60,5,28,3,0,0,3,2,0,29,5,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1570,5674,433,0,1,8,17,35,0,6,1,2,2,54,1,1,4,2,45,42,82,10,26,9,0,0,2,2,1,44,9,22,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,5984,488,2,0,7,7,31,0,5,0,7,0,12,0,4,15,7,11,160,73,5,47,4,0,0,6,15,1,28,19,17,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,6311,394,1,0,10,14,25,0,7,0,7,1,5,0,0,18,2,23,131,46,1,56,1,0,0,3,6,1,14,8,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1600,6656,284,0,1,5,19,21,0,8,0,5,2,8,0,0,18,1,16,17,39,4,48,4,0,0,4,13,1,22,11,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1610,7011,410,2,0,11,8,26,0,7,1,4,3,9,0,2,16,2,52,52,89,6,52,2,0,1,1,7,0,22,12,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1620,7369,361,0,3,14,24,32,0,8,0,10,4,15,0,0,23,5,7,15,49,3,63,9,0,0,4,11,0,18,12,25,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1628,7651,295,0,1,9,15,35,0,4,1,6,1,23,0,0,24,0,11,10,21,2,60,8,0,0,7,9,2,11,14,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,8055,408,0,0,17,24,30,0,6,2,15,7,41,0,0,14,0,18,5,32,16,107,7,0,1,2,6,4,13,10,27,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1650,8366,391,0,0,17,19,22,0,10,2,13,6,15,0,0,6,2,41,3,36,15,102,7,0,0,6,13,1,10,14,24,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1660,8642,341,0,1,25,24,17,0,21,2,5,3,18,0,0,4,7,12,9,55,12,54,7,0,0,6,8,1,15,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1670,8883,352,0,0,39,31,23,0,11,5,5,3,18,0,0,5,2,15,0,80,9,30,12,0,0,3,2,2,15,9,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0
1680,9103,430,1,1,20,22,16,0,17,0,4,6,26,0,0,5,3,64,6,90,21,22,12,0,0,8,8,1,22,7,43,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1700,9516,360,0,1,9,23,18,1,4,1,6,2,23,0,1,4,1,73,6,88,2,19,16,0,0,2,3,0,22,12,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1720,9955,422,1,2,12,22,56,0,6,0,6,1,15,0,2,6,7,44,0,131,2,12,13,0,0,4,11,1,35,12,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1740,10491,409,1,1,9,18,30,0,2,0,2,3,52,0,4,7,6,96,2,99,0,14,8,0,0,2,8,0,30,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,11172,412,5,0,0,10,66,0,4,0,3,1,11,0,3,6,34,65,0,134,3,19,4,0,1,3,26,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,11714,411,2,2,5,12,52,0,2,0,6,3,41,0,16,5,32,38,0,90,18,23,4,0,0,1,18,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,12368,411,1,1,2,15,24,0,1,0,3,10,22,0,17,4,144,21,0,42,12,18,10,0,0,1,20,1,4,22,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
