"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Arceuthobium","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Cannabaceae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Poaceae","Rosaceae","Rumex","Equisetum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
24,538,4,0,13,27,0,73,0,2,0,1,2,9,6,4,2,2,4,5,0,3,99,9,9,25,25,32,0,14,0,0,0,0,11,2,3,0,0,0,0,1,1,0,0,3,0,3,2,5,0,1,0,0,0,1,320,0,11,14,8,4,7,4
25,562,1,0,4,259,0,84,0,0,1,1,0,2,1,1,0,5,1,0,0,22,70,2,10,5,28,21,0,9,0,0,0,0,8,2,7,0,9,1,0,34,0,0,1,3,2,15,8,3,0,0,2,1,2,10,46,0,6,47,35,9,7,4
26,587,7,0,13,15,0,95,0,0,0,0,2,9,1,0,1,5,0,4,0,1,118,5,34,10,68,39,0,16,0,1,0,0,8,2,28,0,0,0,0,0,0,0,0,3,0,1,0,4,0,1,0,0,0,0,662,0,13,11,19,3,12,2
27,611,4,0,12,16,0,85,0,1,0,0,0,9,1,0,1,7,0,5,0,1,116,10,38,12,44,9,0,12,0,0,0,0,19,2,46,0,0,0,0,1,0,0,0,3,0,2,1,3,0,0,0,0,0,0,455,0,16,19,12,5,6,5
28,635,4,0,8,23,0,77,1,1,0,1,3,5,1,1,0,3,3,0,0,0,115,3,15,6,28,15,1,9,0,0,0,0,9,0,18,0,0,0,0,3,0,0,0,1,0,0,0,20,1,12,0,0,0,1,802,0,1,14,8,1,6,1
29,660,0,0,7,14,0,69,0,2,0,0,0,16,1,1,0,5,0,0,0,0,110,6,28,7,32,6,0,6,0,1,0,0,5,0,30,0,0,0,0,1,0,0,0,2,0,0,0,17,0,5,0,0,0,0,298,0,9,10,9,0,8,0
30,684,3,0,11,205,0,382,0,1,0,13,1,13,0,0,0,157,0,0,0,12,110,2,27,8,108,87,1,14,0,2,0,0,14,0,39,5,0,0,0,2,0,0,0,1,2,0,1,2,0,0,3,1,4,0,77,0,15,30,66,3,4,11
31,708,2,0,7,26,0,88,0,3,0,0,4,7,4,2,2,6,0,0,0,1,151,3,17,5,28,13,0,10,0,1,0,1,9,1,17,0,1,0,0,0,0,0,0,0,0,0,0,25,0,5,1,0,3,3,381,0,4,7,12,0,9,0
32,732,2,0,6,87,0,98,0,14,0,3,1,3,1,0,1,70,0,0,0,0,96,1,12,2,21,10,6,11,0,0,0,1,12,0,9,0,0,0,0,1,0,0,0,2,0,0,0,37,0,0,0,0,1,0,161,1,2,17,10,0,16,1
33,757,5,0,7,146,0,85,0,4,0,3,6,7,2,2,0,28,1,2,0,3,100,2,10,6,26,21,0,17,0,0,0,0,18,0,4,0,2,0,0,0,0,0,0,4,0,1,2,31,0,0,0,0,2,0,267,0,9,33,15,5,5,9
34,781,1,0,3,109,0,59,0,1,0,2,1,6,2,1,1,17,0,0,0,0,56,2,10,3,14,6,2,4,0,1,0,0,3,1,3,0,0,1,0,1,0,0,0,0,0,0,1,28,0,0,0,0,0,0,122,0,5,6,9,0,4,5
35,805,2,0,8,125,0,134,0,1,0,2,0,7,3,3,0,48,0,0,0,29,75,0,14,0,52,38,0,4,0,2,0,0,12,0,3,0,1,0,0,5,0,0,0,2,0,0,3,1,0,0,1,0,2,8,39,0,16,56,45,15,7,12
36,830,4,0,1,23,0,67,0,3,0,0,1,6,1,1,0,2,0,0,0,0,62,6,28,14,63,43,0,3,0,0,0,0,21,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,111,0,13,24,21,0,4,5
37,854,4,0,1,53,0,103,0,0,0,0,1,18,0,2,0,2,0,0,0,1,117,26,16,63,40,60,1,8,0,0,0,1,23,3,113,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,133,0,3,5,10,0,5,0
38,878,22,0,1,88,0,108,0,3,0,3,0,8,2,1,1,1,1,0,0,0,100,16,55,36,125,90,0,14,0,3,0,0,8,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,121,0,29,20,13,2,7,7
39,902,4,0,1,155,0,151,1,1,0,22,1,15,7,7,0,0,1,0,0,6,64,12,19,28,44,41,5,9,0,20,0,0,32,0,1,0,2,0,0,3,0,0,0,14,0,0,1,0,0,1,1,0,0,0,159,0,7,5,24,9,14,2
40,927,0,0,0,12,0,68,0,0,0,15,2,2,1,1,0,1,0,0,0,34,24,0,4,0,16,12,0,3,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9,0,7,29,54,5,11,5
41,974,4,0,4,54,0,105,1,2,0,6,4,8,0,0,0,1,0,0,0,7,34,3,9,10,30,28,7,12,0,14,0,0,20,0,0,0,1,0,1,0,0,0,0,10,0,0,0,5,0,0,1,0,1,0,43,0,8,3,8,19,7,0
42,1029,0,0,5,7,0,181,0,2,0,1,6,11,2,1,1,0,0,3,0,13,28,3,45,5,72,30,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,46,0,6,12,14,3,15,12
43,1083,6,0,14,7,0,172,0,1,0,1,6,9,1,1,0,0,0,0,0,1,44,9,21,26,60,55,0,12,0,3,0,0,26,0,4,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,229,1,2,9,3,0,15,0
44,1138,8,0,8,5,4,144,1,1,0,0,2,9,3,3,0,1,1,0,0,0,46,11,42,15,56,18,0,9,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,6,0,0,2,0,118,0,5,9,4,0,1,2
45,1193,4,0,3,21,0,133,0,0,0,17,1,8,2,0,2,6,1,0,0,43,54,2,18,6,51,38,0,6,1,0,0,0,13,0,3,0,2,0,0,5,0,0,0,15,0,0,9,0,0,0,0,0,7,201,14,0,18,60,44,0,11,3
46,1248,8,0,1,2,2,123,0,0,0,2,0,6,2,0,2,0,1,0,16,1,48,6,48,8,58,12,1,5,0,0,0,0,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,69,0,0,5,5,2,0,0
47,1303,2,0,5,14,0,374,1,0,0,25,2,10,1,0,1,3,1,0,0,6,114,31,126,47,189,79,0,13,0,0,0,0,44,2,4,0,0,0,0,1,0,0,0,2,0,0,1,5,0,8,2,1,0,0,165,1,3,20,12,18,17,2
48,1486,3,0,2,5,0,119,0,0,0,5,2,5,1,1,0,0,0,0,12,3,32,10,54,13,72,20,0,8,0,1,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,75,0,7,7,9,0,0,3
48.5,1599,5,0,4,12,0,151,0,1,0,5,2,6,4,2,2,0,0,0,3,0,62,13,72,19,106,40,0,10,0,0,0,0,36,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,182,0,3,10,11,0,1,3
50,1938,2,0,2,15,0,152,0,1,0,7,0,2,22,22,0,5,0,0,0,41,42,0,8,0,34,26,0,1,0,0,1,2,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,319,22,0,10,50,28,37,3,6
51,2164,3,0,7,15,0,136,0,0,0,10,0,12,4,4,0,0,3,0,0,4,49,15,21,25,35,24,1,20,0,0,0,0,29,2,5,0,0,0,0,3,0,0,0,14,1,0,0,1,0,11,0,0,2,1,105,8,2,4,6,15,3,1
52,2390,4,0,4,11,6,97,0,0,0,5,8,10,0,0,0,1,0,0,4,2,34,15,36,22,52,22,1,5,0,1,0,0,23,1,2,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,2,94,6,6,15,6,3,0,1
53,2616,0,0,2,5,0,54,0,1,0,3,0,2,1,1,0,0,0,0,0,0,14,5,16,8,28,15,0,6,0,0,0,0,13,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,0,4,0,0,0,0,50,0,0,13,3,0,0,0
55,3068,1,0,3,4,0,33,0,0,1,5,0,5,0,0,0,2,0,0,0,2,13,5,20,6,26,6,1,5,0,2,0,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,17,0,2,0,2,5,1,3
56,3295,8,0,2,27,0,104,0,0,0,1,0,6,0,0,0,15,0,0,2,0,43,15,36,22,52,23,0,11,0,2,0,0,12,1,3,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,73,0,3,0,2,3,0,0
57,3521,0,0,1,33,0,128,0,1,0,4,0,2,1,1,0,5,2,0,0,0,24,2,8,6,26,23,1,8,0,1,0,0,6,0,3,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,58,0,1,2,8,15,0,0
58,3747,0,0,1,6,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,6,0,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,22,1,0,2,2,0,0,0
61,NA,4,0,4,4,0,162,0,0,0,9,14,0,44,44,0,20,0,0,0,56,62,0,1,0,80,79,0,1,0,0,0,0,9,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,56,681,22,0,7,70,64,10,9,8
63,NA,0,0,0,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,11,3,16,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,3,2,0
65,NA,0,0,4,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,16,0,28,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,1,0,0,0
