"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Castanea","Corylus","Fagus","Ilex","Nyssa","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Poaceae","Ericales","Cyperaceae","Magnolia","Tilia","Cornus","Salix","Cephalanthus","Urticaceae","Viburnum","Liriodendron","Polygonum","Amaranthaceae","Ostrya.Carpinus","Sanguisorba","Apiaceae","Abies","Ranunculaceae.undiff.","Thalictrum","Campanula","Artemisia","Caryophyllaceae","Epilobium","Platanus","Polemonium"
135,12287,303,0,1,0,0,13,0,0,0,57,23,3,13,0,18,1,0,0,167,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,12759,310,0,5,0,0,9,1,0,0,68,22,0,16,0,8,0,0,0,162,2,1,11,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
145,13231,306,1,11,0,0,11,0,0,0,56,35,0,10,0,11,1,0,0,155,5,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
150,13703,315,0,11,2,0,2,0,0,0,89,13,0,13,0,5,0,1,0,166,3,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0
155,14175,303,0,1,0,0,1,0,0,0,88,8,0,13,0,6,0,1,0,178,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
160,14647,304,0,1,1,0,3,0,0,0,92,12,0,15,0,9,0,0,0,147,2,0,4,0,0,0,0,1,1,0,0,0,0,7,1,2,3,0,1,0,1,1,0,0,0
165,15120,306,0,6,0,0,7,0,0,0,82,6,0,15,0,7,0,0,0,168,2,0,6,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0
170,NA,308,0,4,0,0,0,0,0,0,116,1,0,11,0,3,0,0,0,157,1,0,9,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0
175,NA,309,0,17,2,0,6,0,0,0,70,11,0,18,0,10,1,0,0,147,12,1,10,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
180,NA,309,0,2,0,0,0,0,0,0,85,2,0,20,0,3,0,0,0,175,5,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0
185,NA,313,0,8,1,0,0,0,0,0,76,3,0,17,0,4,0,0,0,171,6,1,11,0,0,0,0,2,0,0,0,0,0,0,5,3,0,1,0,0,4,0,0,0,0
190,NA,316,0,5,0,0,1,0,0,0,117,5,0,21,0,8,0,0,0,128,3,0,14,0,0,1,0,3,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,1,0
195,NA,302,0,6,0,0,2,0,0,0,101,3,0,16,0,4,1,0,0,148,3,0,3,0,0,1,0,0,0,0,0,0,1,0,9,2,2,0,0,0,0,0,0,0,0
200,NA,319,0,2,0,0,1,0,0,0,116,1,0,15,0,1,0,0,0,147,6,0,19,0,0,0,1,0,0,0,0,0,0,0,6,0,1,1,0,0,2,0,0,0,0
205,NA,302,0,2,0,0,4,0,0,0,98,2,0,17,0,1,0,1,0,163,1,0,4,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
210,NA,314,0,5,0,0,0,0,0,0,114,1,0,22,0,0,0,0,0,137,2,0,15,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,1
