"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum"
829,4932,316,0,1,7,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,73,0,187,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,5120,310,3,0,3,19,0,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,59,0,199,0,0,7,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,4,1
849,5307,313,0,1,6,45,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,135,0,105,0,0,7,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
859,5494,323,0,0,1,29,0,0,0,0,0,1,0,1,0,0,2,6,0,0,0,0,0,2,106,0,156,0,0,6,2,0,2,0,1,0,1,2,2,0,0,0,0,0,0,3,0
869,5681,317,0,2,7,53,1,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,2,0,128,0,102,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
879,5868,316,0,0,0,21,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,91,0,186,0,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
889,6055,318,0,1,4,53,0,0,0,4,0,0,0,2,0,0,2,11,0,0,0,2,0,1,131,0,99,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
899,6243,313,1,3,3,34,0,0,0,0,1,1,0,10,1,0,1,5,1,0,0,0,0,1,52,0,185,1,0,3,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4,0
909,6342,311,0,1,5,48,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,49,0,189,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
919,6353,333,0,0,2,18,0,0,0,1,1,0,0,6,0,0,1,2,0,0,0,4,0,1,59,0,226,0,1,5,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
929,6365,298,0,1,0,18,0,1,0,0,1,0,0,4,0,0,1,4,0,0,7,1,0,0,46,0,204,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0
939,6376,321,0,2,1,26,0,0,0,0,2,0,0,6,1,0,0,4,0,0,0,1,0,0,50,0,217,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
949,6387,372,0,2,0,27,0,0,0,0,0,0,0,3,0,0,0,5,2,0,5,8,0,0,79,0,224,0,0,7,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0
959,6399,345,0,0,3,36,0,0,0,0,0,0,0,2,0,0,1,11,1,0,0,2,0,1,78,0,185,0,0,11,2,2,1,0,2,0,0,0,2,0,0,0,0,1,0,4,0
969,6410,321,1,0,6,24,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,5,0,2,55,0,210,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
979,6421,312,2,1,5,14,0,0,0,0,2,0,0,1,2,0,0,6,0,0,0,2,0,0,42,0,228,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0
989,6433,316,1,1,4,35,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,53,0,203,0,0,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
999,6444,322,2,1,3,34,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,0,2,57,0,197,0,0,2,4,0,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1009,6455,343,0,1,10,27,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,5,1,1,83,0,195,0,1,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1019,6467,374,0,0,3,31,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,2,0,0,95,0,206,0,0,10,2,0,0,0,1,0,0,0,4,0,0,0,1,0,0,4,0
1029,6478,335,0,1,3,30,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,99,0,169,0,0,13,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1039,6498,374,0,0,1,40,0,0,0,0,0,0,0,5,1,0,0,13,0,0,0,3,0,1,79,0,204,0,0,14,2,0,1,0,1,0,1,2,1,0,0,0,0,1,0,4,0
1049,6518,336,0,0,5,26,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,1,66,0,214,0,0,3,3,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1059,6538,295,2,2,2,37,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,2,56,0,170,0,0,7,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1069,6558,315,0,0,1,42,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,2,73,0,170,0,0,10,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1079,6578,327,2,0,0,39,0,0,0,0,1,0,0,0,0,1,0,6,2,0,0,2,0,1,71,0,182,0,0,9,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,0
