"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Tsuga.canadensis","Picea.undiff.","Pinaceae","Betula.undiff.","Taxus","Pinus.strobus","Fraxinus.pennsylvanica.type","Picea.glauca.type","Castanea.dentata","Prunus","Juglans.cinerea","Ostrya.Carpinus","Salix","Tilia","Rosaceae.undiff.","Amaranthaceae","Ilex.Nemopanthus","Pinus.banksiana.type","Ambrosia.type","Caryophyllaceae","Shepherdia.canadensis","Juniperus.communis.Thuja.occidentalis.type","Rhamnus.alnifolia.R..frangula","Thalictrum","Carya.ovata","Betula","Acer.pensylvanicum","Viburnum","Populus.balsamifera.type","Epilobium","Ranunculaceae.undiff.","Oxytropis.maydelliana.type","Saxifraga.cernua.type","Liliaceae","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Koenigia.islandica","Polygonum.viviparum","Caprifoliaceae.undiff.","Saxifraga.oppositifolia.type","Brassicaceae","Pedicularis"
375,7981,574,1,1,10,7,2,0,0,0,9,2,12,98,5,12,0,6,1,1,11,4,6,0,5,10,3,313,0,44,0,0,0,0,0,4,1,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,8300,616,1,2,15,22,2,1,0,1,7,1,7,97,10,18,1,5,1,4,25,5,7,0,6,20,5,289,0,57,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8513,663,1,0,7,19,1,6,0,1,10,3,29,46,12,19,1,8,0,2,40,5,10,5,4,10,16,305,0,59,1,6,1,0,0,0,3,0,1,0,0,7,2,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,9488,554,0,2,3,51,1,1,0,0,8,2,10,50,12,16,1,3,1,4,14,3,11,8,2,20,6,292,0,23,0,0,1,0,0,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,9923,225,0,0,1,27,0,3,0,3,1,0,2,18,1,7,0,3,0,2,6,0,1,4,2,5,3,124,1,2,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,10357,299,1,1,7,15,2,2,0,0,1,1,5,26,10,1,2,2,2,2,12,0,4,3,1,7,11,163,0,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,10792,251,0,0,1,45,1,2,0,0,2,2,2,17,9,4,0,0,0,0,4,1,1,3,1,2,5,146,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,10842,752,0,0,2,83,1,2,0,1,3,5,12,30,13,11,0,2,2,3,25,0,4,6,0,20,7,497,5,6,0,1,0,0,0,2,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,10891,472,0,1,9,84,0,1,0,0,7,2,12,29,24,10,1,1,0,1,32,2,2,3,0,4,8,232,0,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,10941,555,0,0,12,152,0,2,1,0,0,3,46,42,6,7,0,0,0,1,18,1,1,10,0,15,11,216,0,1,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
450,10990,867,0,1,5,228,2,1,0,0,0,4,107,11,7,10,3,2,0,0,18,3,7,1,0,10,3,370,0,15,0,0,0,0,0,3,0,0,0,0,0,30,2,0,0,0,0,0,1,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
455,11040,503,0,0,7,246,1,5,1,0,2,2,40,28,20,7,0,1,1,2,1,0,5,6,0,20,6,92,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
460,11090,480,0,0,4,146,0,17,1,0,2,0,55,47,30,17,0,1,7,3,5,0,0,12,1,40,11,73,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
465,11139,596,0,0,2,43,5,21,1,0,3,0,92,50,43,12,1,7,1,4,0,1,12,17,0,45,13,186,0,12,2,0,0,0,1,0,8,0,0,0,0,6,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,11189,359,0,2,0,10,2,18,0,0,0,0,25,24,84,13,2,1,17,3,0,0,11,12,0,17,7,97,1,3,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,11238,792,0,0,0,10,3,21,1,0,1,0,76,30,111,37,2,0,0,5,8,0,11,20,2,31,10,255,0,61,2,3,0,0,1,0,11,0,0,0,0,33,1,0,2,0,0,0,0,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,11387,492,1,0,0,3,8,43,0,0,1,0,7,35,153,6,4,0,2,5,0,1,17,0,2,5,4,171,0,2,0,0,0,0,0,1,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
490,11844,588,0,0,0,6,12,30,1,0,0,0,10,21,130,7,1,0,0,5,0,0,2,0,1,0,3,313,0,3,0,0,2,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
500,12462,677,0,0,0,7,19,55,0,0,0,0,9,26,15,10,1,0,1,18,0,1,2,1,1,1,0,444,0,0,0,0,0,0,0,5,50,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
505,12771,353,0,0,2,6,28,116,3,0,1,0,22,28,2,5,1,0,0,14,2,0,2,1,0,0,2,30,0,16,0,0,0,0,0,1,59,0,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0
510,NA,188,0,0,0,3,6,67,0,0,0,0,0,8,0,0,0,0,0,15,1,1,0,0,1,0,0,20,0,1,1,0,0,0,0,0,42,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,3,1,0,0,0,0,0,0
515,NA,311,0,0,3,2,12,160,0,0,0,0,0,16,0,0,2,0,0,43,0,0,0,1,0,0,0,29,0,1,0,0,0,0,0,0,13,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0,9,0,1,1,0,0,0,0
520,NA,197,0,0,1,2,10,71,0,0,0,0,0,5,1,1,2,0,0,54,0,0,3,0,0,2,1,12,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
525,NA,195,0,0,1,2,2,72,0,0,0,0,1,10,0,0,5,0,0,43,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,19,0,6,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,10,0,0,3,1,2,0,0
530,NA,737,0,0,7,3,12,367,0,0,1,0,13,10,0,3,3,0,0,127,3,0,0,1,1,3,4,26,0,15,0,0,0,0,0,0,41,0,30,0,0,0,2,35,1,0,0,0,0,0,0,0,0,0,1,3,0,0,19,1,0,1,0,0,2,2
