"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Brasenia.schreberi","Brassicaceae","Cabomba","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Haloragaceae.undiff.","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Leitneria.floridana","Lemnaceae","Liliaceae","Liquidambar","Lonicera","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Populus","Potamogeton","Potamogetonaceae.undiff.","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rhus","Rubiaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Saxifragaceae","Sparganium.type","Sphagnum","Spiraea.type","Thalictrum","Tilia","Trees.undiff.","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis","Xanthium"
125,3271,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,6,1,1,0,0,0,0,0,0,10,0,0,4,0,1,0,3,0,0,0,17,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,0,5,0,2,0,0,7,0,4,0,0,0,0,55,1,161,0,0,52,0,0,0,0,0,0,1,74,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
135,3847,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,57,0,1,0,0,0,1,2,0,0,0,28,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,48,0,1,0,0,4,0,0,0,0,0,0,16,0,193,0,0,11,0,0,1,0,0,0,1,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
145,4423,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,7,0,3,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,1,0,14,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,17,0,4,1,0,4,2,0,1,1,0,0,19,1,202,0,0,14,0,0,0,0,0,0,0,85,0,0,0,0,2,0,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0
155,4998,0,0,0,0,0,0,1,1,0,2,0,0,2,5,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,1,2,0,1,0,0,0,25,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,2,0,0,10,1,0,1,2,1,0,25,0,181,0,0,23,0,0,0,0,0,0,2,101,0,0,1,0,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
165,5574,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,46,0,2,0,0,9,0,2,0,0,0,0,20,0,102,0,0,27,0,0,0,1,0,0,0,122,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0
175,6150,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,27,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,1,0,6,0,0,0,1,0,0,2,0,118,0,0,36,0,0,0,0,0,0,0,150,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
185,6960,0,0,0,0,1,2,5,0,0,0,5,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,125,0,0,41,2,0,0,0,0,0,0,142,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
205,8963,0,0,0,0,2,0,3,0,0,3,16,0,2,2,0,0,0,0,30,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,4,0,0,1,77,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,7,0,1,0,0,5,0,4,0,3,0,0,5,0,74,0,0,55,0,0,0,1,0,1,1,157,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
215,12663,0,0,8,0,2,0,1,0,0,0,9,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,9,5,1,4,1,0,0,1,0,0,2,61,0,2,1,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,3,1,3,0,2,10,5,0,0,4,0,154,0,0,21,0,0,0,1,0,0,0,108,0,0,0,0,0,0,14,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
225,17817,0,0,0,0,3,0,1,0,0,0,8,0,2,2,1,0,0,0,16,0,0,0,0,0,0,0,0,11,0,2,4,5,0,0,2,0,0,3,62,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,1,0,1,1,1,1,0,1,29,11,0,0,2,0,78,0,0,23,0,0,1,0,0,0,1,126,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
235,22971,0,0,0,0,4,0,3,0,0,0,7,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,1,12,0,1,12,1,0,0,1,0,0,9,33,0,0,2,0,0,0,0,0,0,0,15,0,0,3,1,0,0,0,1,1,0,9,0,0,6,5,0,0,0,0,189,0,0,11,0,0,1,0,0,0,0,71,0,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,2
245,28124,0,0,0,0,1,0,2,0,0,0,10,0,4,5,0,0,0,0,12,0,0,0,0,0,0,9,1,23,0,0,24,1,0,0,2,0,0,3,63,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,1,2,0,2,0,3,0,0,2,0,115,0,0,16,0,0,0,1,0,0,0,109,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0
255,NA,0,0,0,0,6,1,4,0,0,1,11,1,3,3,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,11,0,7,4,0,0,1,0,0,0,0,3,0,0,3,0,0,1,0,0,29,6,3,1,0,0,5,0,0,6,0,261,0,0,16,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
265,NA,0,0,0,0,0,0,6,0,0,0,19,0,2,3,0,0,0,0,5,0,1,0,0,0,1,0,0,1,1,0,12,0,0,1,1,0,0,0,35,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,6,2,0,1,0,4,0,0,4,0,271,0,0,32,2,0,0,0,0,0,0,38,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1
275,NA,0,0,0,0,1,1,1,2,0,0,9,0,4,1,0,0,0,0,7,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,2,24,1,37,5,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,30,9,5,0,0,0,0,0,0,15,0,287,0,0,35,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0
285,NA,0,0,0,0,1,0,7,1,0,0,20,0,3,2,0,1,0,0,6,0,2,0,0,0,0,1,1,4,0,0,0,3,0,1,2,0,0,0,22,0,43,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,1,6,3,0,0,0,0,0,2,7,5,294,0,0,50,1,0,0,0,0,0,0,32,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,7,0
295,NA,0,0,0,0,2,1,1,0,0,0,7,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,1,20,0,0,2,1,0,0,0,19,0,30,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,61,2,1,0,0,0,1,0,0,16,0,251,0,0,23,1,0,0,0,0,0,0,27,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0
305,NA,0,0,0,0,0,1,1,1,0,0,8,0,1,2,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,32,3,0,0,1,0,0,1,24,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,15,4,3,0,0,0,2,0,1,5,0,275,0,0,16,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
315,NA,0,0,0,0,1,1,0,1,0,0,4,0,0,1,0,0,0,0,17,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,4,19,0,26,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,4,22,1,6,0,0,0,3,0,0,6,0,234,0,0,17,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0
325,NA,0,0,0,0,1,0,6,2,0,0,5,0,1,1,0,0,0,0,13,0,2,0,0,0,0,0,1,1,0,0,36,1,0,1,2,0,0,1,38,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,4,38,3,2,0,3,0,8,0,1,3,0,230,0,0,15,0,0,0,0,0,0,3,48,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
335,NA,0,0,0,0,4,0,4,0,5,0,2,0,2,6,0,0,0,0,14,0,2,0,0,0,0,0,0,5,0,0,4,3,0,0,1,0,4,3,20,0,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,11,11,2,0,0,8,4,0,0,10,0,211,0,0,39,2,0,0,0,0,0,0,79,0,0,0,0,1,0,14,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0
345,NA,1,0,0,0,3,1,2,5,0,0,1,1,2,14,0,0,0,0,12,0,28,0,2,0,0,0,0,9,0,0,16,2,0,0,2,0,4,0,38,0,6,0,0,0,0,1,1,0,0,9,0,0,0,0,0,2,0,9,1,5,2,0,4,0,2,0,1,6,0,178,0,0,49,7,1,0,1,0,0,0,69,0,0,0,0,2,0,14,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0
355,NA,0,0,0,0,5,1,0,4,3,0,2,0,0,23,0,0,0,0,13,0,17,0,0,0,0,0,3,13,0,0,20,1,0,0,2,0,3,1,25,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,2,1,12,5,0,6,5,1,0,0,1,0,206,0,0,34,6,0,0,0,0,0,0,52,0,0,1,0,2,0,8,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
365,NA,0,0,0,0,4,4,1,4,0,0,9,0,1,0,0,0,0,0,20,0,83,0,0,0,0,0,0,23,0,0,28,1,0,0,4,0,0,4,47,0,0,0,0,0,0,1,3,0,0,36,0,0,0,0,0,1,0,5,1,3,2,0,19,0,1,0,1,5,0,118,0,0,55,6,0,1,1,1,0,0,75,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,1,5,1
375,NA,1,0,0,0,8,2,0,1,1,0,3,1,1,1,0,0,0,0,14,0,88,0,0,0,0,0,3,10,0,0,4,2,0,0,2,0,0,1,21,0,3,2,0,0,1,0,3,0,0,13,0,0,0,0,0,0,0,3,0,5,0,0,9,4,2,0,1,7,0,101,0,0,27,6,0,0,1,0,0,0,63,0,0,0,0,3,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1
385,NA,0,0,0,0,8,2,2,0,0,2,8,0,0,1,0,0,0,0,31,0,57,0,1,0,0,0,0,7,0,1,4,3,0,0,3,0,0,2,39,0,0,0,0,0,0,2,0,0,0,36,0,0,0,0,0,0,0,3,1,4,1,0,18,0,4,0,1,4,0,125,0,0,29,10,1,0,0,0,0,0,35,0,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,4,0
395,NA,0,0,0,0,5,5,0,2,0,0,6,0,0,2,0,0,0,0,27,0,72,0,1,0,0,0,3,17,0,0,8,1,0,0,2,0,0,3,24,0,0,4,0,0,0,0,2,0,2,30,1,0,0,2,0,0,0,0,1,7,1,0,14,4,1,0,0,5,0,120,0,0,18,11,0,0,0,0,0,1,31,0,0,0,0,6,0,5,0,0,0,6,1,0,0,0,0,0,3,0,0,0,0,1,0,1
405,NA,0,0,0,0,4,3,0,2,0,0,13,0,0,0,0,0,1,0,16,0,26,0,0,0,0,0,0,8,0,0,24,10,0,0,0,0,0,3,31,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,10,0,0,2,0,3,0,1,13,0,135,0,0,33,15,0,0,0,0,1,0,32,0,0,0,0,1,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1
415,NA,0,0,0,0,4,2,0,1,0,1,6,0,1,1,0,0,0,0,18,0,26,1,0,0,0,0,0,18,0,0,12,2,0,0,2,0,0,3,28,0,0,0,0,1,0,1,1,0,0,26,0,0,0,0,0,0,0,2,1,8,2,0,9,0,2,0,0,9,0,144,0,0,33,8,0,0,0,0,0,0,43,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0
425,NA,0,0,0,0,2,2,0,2,0,0,4,0,0,1,0,0,0,0,23,0,18,0,0,0,0,0,0,12,0,0,16,6,0,0,3,0,0,5,28,0,0,3,0,0,1,2,0,0,0,39,0,0,0,0,0,0,0,0,3,7,2,0,8,1,1,0,2,5,1,138,0,0,31,6,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,3,1,0
435,NA,0,0,0,0,6,1,0,1,1,0,2,0,0,1,0,0,0,0,34,0,18,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,1,28,0,0,2,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0,1,11,0,142,0,0,14,13,1,0,0,0,0,2,41,0,0,0,0,1,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3
445,NA,0,0,0,0,2,4,0,3,0,0,5,0,0,2,0,0,0,0,17,0,9,0,1,0,1,0,0,16,0,0,20,9,0,0,0,0,0,4,31,0,0,1,0,0,0,1,0,0,0,45,0,0,0,0,0,0,1,3,1,5,6,0,8,0,0,0,1,11,0,140,0,0,31,6,0,0,0,0,0,0,41,0,0,0,0,2,0,3,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,2,2,2
455,NA,0,0,0,0,4,6,1,1,0,0,0,0,1,0,0,0,0,0,16,0,26,0,0,0,0,0,2,29,0,0,8,3,0,0,0,0,0,4,31,0,1,2,0,0,1,1,0,0,0,38,0,0,0,0,0,0,0,3,3,4,1,0,28,0,1,0,1,8,1,136,0,0,26,4,0,1,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3
465,NA,0,0,0,0,4,3,1,3,0,0,6,0,0,2,0,0,0,0,11,0,18,0,0,0,0,0,0,10,0,0,0,13,0,0,2,0,0,4,34,0,1,0,0,0,0,0,6,0,0,43,0,0,0,0,0,0,0,1,3,2,0,0,18,0,5,0,0,19,1,104,0,0,23,6,0,0,0,0,0,0,65,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
482,NA,0,0,0,0,1,1,2,6,0,0,8,0,1,4,0,0,0,0,23,0,31,0,0,0,0,0,0,12,0,0,20,3,0,0,2,0,0,2,25,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,2,0,2,5,11,2,0,1,0,1,0,0,12,0,208,0,0,58,6,0,4,0,0,0,0,90,1,0,0,0,1,0,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3
