"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.balsamifera","Populus.tremuloides","Quercus","Ribes","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Viburnum","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","cf..Lysimachia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dalea","Euphorbia","Fabaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Onagraceae","Plantago","Poaceae","Polygala","Polygonum","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifraga.oppositifolia","Thalictrum","Urtica","Xanthium"
239,9660,0,0,0,0,0.00184928340268146,0.0175681923254739,0,0.00462320850670365,0.00601017105871475,0.000462320850670365,0.000462320850670365,0.0013869625520111,0,0.0013869625520111,0.00092464170134073,0.0540915395284327,0.0952380952380952,0,0.00508552935737402,0.0171058714748035,0,0.00369856680536292,0.000462320850670365,0.00092464170134073,0.000462320850670365,0,0.00508552935737402,0,0.106796116504854,0.00277392510402219,0.0748959778085992,0.0166435506241331,0.000462320850670365,0.00092464170134073,0,0.00092464170134073,0.00092464170134073,0.0328247803975959,0.327785483125289,0.0013869625520111,0,0,0,0.00416088765603329,0,0,0,0,0,0.203883495145631,0,0,0,0,0.00277392510402219,0.000462320850670365,0,0,0.0013869625520111,0.00184928340268146,0.00231160425335183
251,10145,0,0.001998001998002,0,0,0.003996003996004,0.018981018981019,0,0.003996003996004,0.0074925074925075,0,0.0014985014985015,0.0024975024975025,0,0.0074925074925075,0.0004995004995005,0.048951048951049,0.194305694305694,0,0.00899100899100899,0.00949050949050949,0,0.00949050949050949,0.0004995004995005,0,0,0.0004995004995005,0.010989010989011,0,0.0554445554445554,0.0014985014985015,0.0679320679320679,0.006993006993007,0.001998001998002,0.000999000999001,0,0.0004995004995005,0,0.0244755244755245,0.388611388611389,0.0004995004995005,0,0,0,0.000999000999001,0,0.0014985014985015,0.0004995004995005,0,0,0.113386613386613,0,0.000999000999001,0,0,0,0.0014985014985015,0,0,0,0,0.0004995004995005
255,10247,0.000462534690101758,0.000462534690101758,0,0,0.00277520814061055,0.0818686401480111,0.000462534690101758,0.0101757631822387,0.0189639222941721,0.000462534690101758,0,0.0097132284921369,0.000462534690101758,0.0157261794634598,0.00138760407030527,0.133209990749306,0.234967622571693,0,0.043940795559667,0.0194264569842738,0,0.0157261794634598,0.000925069380203515,0,0,0,0.0296022201665125,0,0.0245143385753932,0.00138760407030527,0.0508788159111933,0.0097132284921369,0,0.000462534690101758,0,0,0,0.0148011100832562,0.203052728954672,0.000462534690101758,0,0.000925069380203515,0,0.000462534690101758,0,0.000462534690101758,0.00138760407030527,0,0,0.0666049953746531,0,0.000462534690101758,0,0.000462534690101758,0.000925069380203515,0.000462534690101758,0,0,0,0,0.00185013876040703
256.5,10285,0.000930232558139535,0.00186046511627907,0,0,0.00465116279069767,0.0772093023255814,0.00232558139534884,0.0130232558139535,0.0265116279069767,0,0.000930232558139535,0.0106976744186047,0.000465116279069767,0.0144186046511628,0.00511627906976744,0.132093023255814,0.291162790697674,0,0.092093023255814,0.0144186046511628,0.000465116279069767,0.0195348837209302,0.000930232558139535,0.000465116279069767,0.000465116279069767,0.000465116279069767,0.0325581395348837,0,0.0158139534883721,0,0.0432558139534884,0.00558139534883721,0,0,0,0,0,0.0102325581395349,0.138139534883721,0,0,0,0,0,0,0.000930232558139535,0,0,0,0.04,0,0,0.000465116279069767,0.000465116279069767,0,0.0013953488372093,0,0,0,0.000465116279069767,0.000465116279069767
259,10348,0,0.00139925373134328,0.000466417910447761,0.000932835820895522,0.0060634328358209,0.0876865671641791,0.000932835820895522,0.00886194029850746,0.0298507462686567,0,0,0.0083955223880597,0.000466417910447761,0.019589552238806,0.00466417910447761,0.147388059701493,0.266324626865672,0,0.0746268656716418,0.0233208955223881,0,0.0359141791044776,0.000932835820895522,0,0,0.000466417910447761,0.0359141791044776,0,0.0144589552238806,0.000466417910447761,0.0513059701492537,0.00466417910447761,0,0.000466417910447761,0,0,0,0.0107276119402985,0.12080223880597,0,0,0,0,0,0,0.000932835820895522,0.000932835820895522,0,0,0.0359141791044776,0,0.000466417910447761,0,0,0,0.00186567164179104,0,0,0.000466417910447761,0.000932835820895522,0.00139925373134328
262,10424,0,0.000536193029490617,0,0.000536193029490617,0.00750670241286863,0.0879356568364611,0.00107238605898123,0.0155495978552279,0.0343163538873995,0.000536193029490617,0,0.0134048257372654,0.00268096514745308,0.0289544235924933,0.00536193029490617,0.228418230563003,0.184986595174263,0,0.0621983914209115,0.0268096514745308,0,0.0144772117962466,0.000536193029490617,0,0.000536193029490617,0,0.0294906166219839,0,0.0230563002680965,0.000536193029490617,0.0509383378016086,0.00750670241286863,0,0,0.000536193029490617,0,0,0.00750670241286863,0.129758713136729,0,0,0.000536193029490617,0,0.00107238605898123,0,0.000536193029490617,0.000536193029490617,0,0,0.0268096514745308,0,0,0,0,0,0.00107238605898123,0,0,0.00160857908847185,0.000536193029490617,0.00160857908847185
272,10677,0.00229489386115892,0.00057372346528973,0,0,0.00631095811818703,0.0384394721744119,0,0.00860585197934595,0.0349971313826736,0.00057372346528973,0,0.00458978772231784,0.00057372346528973,0.0172117039586919,0.00172117039586919,0.534710269650029,0.00975329890992542,0,0.0304073436603557,0.014916810097533,0,0.0172117039586919,0.00172117039586919,0,0,0,0.00344234079173838,0,0.00344234079173838,0.00057372346528973,0.059667240390132,0.00803212851405622,0,0,0,0,0,0.00516351118760757,0.162937464142283,0,0,0,0,0,0,0.00114744693057946,0,0,0,0.0281124497991968,0,0,0,0,0,0,0,0,0.00114744693057946,0,0.00172117039586919
276,10778,0.00490852298081214,0,0,0.000892458723784025,0.0165104863900045,0.034805890227577,0,0.0124944221329764,0.0312360553324409,0,0,0.00981704596162427,0,0.035698348951361,0.0035698348951361,0.472110664881749,0.0258813029897367,0,0.0428380187416332,0.00981704596162427,0,0.0182954038375725,0.00133868808567604,0.000446229361892012,0.00223114680946006,0,0.0102632753235163,0,0.00312360553324409,0.000892458723784025,0.0504239178937974,0.00446229361892013,0,0.000446229361892012,0,0,0,0.00535475234270415,0.161088799643017,0,0,0,0.000446229361892012,0.000892458723784025,0,0,0.000446229361892012,0,0,0.033913431503793,0,0,0,0,0.000446229361892012,0.000892458723784025,0,0,0.00401606425702811,0,0
295,11259,0.0128686327077748,0,0,0.000536193029490617,0.00750670241286863,0.0337801608579088,0,0.00589812332439678,0.046112600536193,0,0,0.0107238605898123,0,0.0284182305630027,0.00697050938337802,0.47828418230563,0.0257372654155496,0,0.0284182305630027,0.00911528150134048,0,0.013941018766756,0.000536193029490617,0,0.00107238605898123,0,0.00589812332439678,0,0.0032171581769437,0.000536193029490617,0.064343163538874,0.00804289544235925,0,0,0,0,0,0.00375335120643432,0.170509383378016,0,0,0,0,0.000536193029490617,0,0,0,0,0,0.0289544235924933,0,0,0,0,0,0.00107238605898123,0.000536193029490617,0,0.00214477211796247,0.000536193029490617,0
315,11765,0.00108225108225108,0,0,0,0.00487012987012987,0.0173160173160173,0,0,0.0562770562770563,0,0,0.00757575757575758,0,0.020021645021645,0.00108225108225108,0.626623376623377,0.0108225108225108,0,0.0091991341991342,0.0064935064935065,0,0.0119047619047619,0.00162337662337662,0,0.000541125541125541,0,0.00108225108225108,0,0.00378787878787879,0,0.0741341991341991,0.00162337662337662,0,0,0,0,0,0.00432900432900433,0.115800865800866,0,0,0,0.000541125541125541,0,0,0,0.000541125541125541,0,0,0.0205627705627706,0,0.000541125541125541,0,0,0,0.000541125541125541,0,0.000541125541125541,0.000541125541125541,0,0
335,12271,0,0,0,0,0.00698549167114455,0.0188070929607738,0,0.00752283718430951,0.0268672756582483,0,0,0.00591080064481462,0,0.0381515314347125,0.0016120365394949,0.587855991402472,0.00752283718430951,0,0.015045674368619,0.0091348737238044,0,0.00698549167114455,0.0016120365394949,0,0.00214938205265986,0,0.00376141859215476,0,0.00967221923696937,0.00268672756582483,0.116603976356797,0.0134336378291241,0,0.000537345513164965,0,0.000537345513164965,0,0.00483610961848469,0.0806018269747448,0,0,0.00107469102632993,0.000537345513164965,0,0,0,0.00107469102632993,0,0,0.0247178936055884,0,0,0.00107469102632993,0,0,0.0016120365394949,0,0,0.000537345513164965,0,0.000537345513164965
354,12751,0,0.000515729757607014,0,0,0.00412583806085611,0.0144404332129964,0,0.00464156781846313,0.0247550283651367,0,0,0.00515729757607014,0,0.00464156781846313,0.00257864878803507,0.682826199071686,0.00928313563692625,0,0.0103145951521403,0.00257864878803507,0,0.0128932439401753,0,0,0,0,0.00464156781846313,0,0.0149561629706034,0,0.104177411036617,0.00464156781846313,0,0,0,0,0,0.00773594636410521,0.0660134089736978,0,0,0,0.000515729757607014,0,0,0,0,0,0,0.0170190820010315,0,0,0,0,0,0,0,0,0.00154718927282104,0,0
363,12979,0.000529941706412295,0.000529941706412295,0,0,0.000529941706412295,0.0100688924218336,0,0.00370959194488606,0.0381558028616852,0,0,0.0185479597244303,0,0.00105988341282459,0.00105988341282459,0.686274509803922,0.0111287758346582,0,0.00794912559618442,0.00264970853206147,0,0.00105988341282459,0.000529941706412295,0,0,0,0.00158982511923688,0,0.0100688924218336,0,0.142024377318495,0.00158982511923688,0,0,0,0,0,0.00423953365129836,0.0429252782193959,0,0,0,0,0,0,0,0,0,0,0.0105988341282459,0,0,0.00105988341282459,0,0,0,0.000529941706412295,0,0,0.000529941706412295,0.00105988341282459
375,13283,0.0024740227610094,0,0,0,0.00049480455220188,0.00544285007422068,0.00049480455220188,0.00346363186541316,0.0593765462642256,0.00049480455220188,0,0.0390895596239485,0.00049480455220188,0.0024740227610094,0.00049480455220188,0.621969322117763,0.0128649183572489,0,0.0024740227610094,0.00593765462642256,0,0.00593765462642256,0.00049480455220188,0,0,0,0.00098960910440376,0,0.0178129638792677,0,0.0895596239485403,0.0128649183572489,0,0,0,0.00049480455220188,0,0.0049480455220188,0.0722414646214745,0,0,0,0,0.00296882731321128,0.00049480455220188,0,0,0,0,0.0242454230578921,0,0,0.00049480455220188,0,0,0.00098960910440376,0,0,0.00098960910440376,0,0.00643245917862444
379,13384,0,0,0,0,0,0.00434512725015518,0,0.000620732464307883,0.0229671011793917,0,0,0.00558659217877095,0,0.00124146492861577,0.00124146492861577,0.708876474239603,0.00806952203600248,0.00248292985723153,0,0.0037243947858473,0,0.00682805710738672,0.000620732464307883,0,0,0,0,0,0.0167597765363128,0,0.112973308504035,0.00931098696461825,0,0,0,0,0,0.00496585971446307,0.0701427684667908,0,0,0,0,0,0,0,0,0,0,0.0186219739292365,0,0,0,0,0,0,0,0,0,0,0.000620732464307883
383,13485,0,0,0,0,0.00395452298566485,0.0133465150766189,0,0.00444883835887296,0.0257043994068216,0,0,0.023232822540781,0.000494315373208107,0.000988630746416213,0.000988630746416213,0.594661393969352,0.0148294611962432,0,0.00543746910528917,0.0069204152249135,0,0.00444883835887296,0.000494315373208107,0,0,0,0.00247157686604053,0,0.0128521997034108,0,0.13840830449827,0.0153237765694513,0,0,0,0,0,0.00642609985170539,0.0805734058329214,0.000494315373208107,0.000494315373208107,0,0.00395452298566485,0.00197726149283243,0,0.000494315373208107,0,0.000494315373208107,0,0.0266930301532378,0,0,0.00247157686604053,0,0,0,0.000494315373208107,0,0.00444883835887296,0.000494315373208107,0.00148294611962432
390.5,NA,0,0,0,0,0.00143198090692124,0.0081145584725537,0,0.00620525059665871,0.00859188544152745,0,0,0.0071599045346062,0,0,0.00190930787589499,0.548926014319809,0.0105011933174224,0,0.00525059665871122,0.00572792362768496,0,0.00381861575178998,0.00286396181384248,0,0.000477326968973747,0,0.00190930787589499,0,0.0190930787589499,0,0.158472553699284,0.00620525059665871,0.000477326968973747,0.000477326968973747,0,0.000477326968973747,0.000477326968973747,0.00763723150357995,0.119331742243437,0,0,0,0.00143198090692124,0.00143198090692124,0,0.000477326968973747,0,0,0,0.0286396181384248,0,0,0.0381861575178998,0,0.000477326968973747,0.00143198090692124,0,0,0.000954653937947494,0,0.00143198090692124
400,NA,0,0,0,0,0.00290416263310745,0.0164569215876089,0,0.00145208131655373,0.031945788964182,0.000484027105517909,0,0.0227492739593417,0,0,0,0.515488867376573,0.0193610842207164,0.0125847047434656,0,0.00774443368828654,0,0.00822846079380445,0.00145208131655373,0,0.00193610842207164,0,0.00193610842207164,0,0.0217812197483059,0,0.128751210067764,0.00919651500484027,0,0,0,0.000968054211035818,0,0.0121006776379477,0.137947725072604,0,0,0.000484027105517909,0.00145208131655373,0.000968054211035818,0,0,0,0,0,0.0329138431752178,0,0,0.000968054211035818,0,0,0.00338818973862536,0.000968054211035818,0,0.00338818973862536,0,0
