"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Dryas","Dryopteris","Equisetum","Ericaceae.undiff.","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
300,11075,2,0,0,0,1,1,9,0,2,0,0,5,5,0,0,204,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,2,4,1,0,0,1,46,0,58,3,0,0,0,40,3,0,1,0,0,1,0,0,1,0,0,14,3,18,0,18,10,0,10,0,10,117,0,0,0,0,0,22,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,1,0,0,0,1,0,1,7,2,35,3,0,0,0,0,0,0
305,NA,0,0,0,2,0,0,38,0,0,0,0,16,5,0,0,174,0,0,0,0,0,0,0,0,5,0,64,0,0,0,0,1,0,1,0,10,0,0,0,0,6,0,15,5,0,2,0,16,3,0,1,0,0,0,0,0,0,0,0,8,5,24,0,27,29,0,21,0,21,187,3,0,0,0,0,24,1,0,0,1,0,1,0,0,75,0,0,0,0,0,1,0,2,0,0,1,0,0,11,0,29,4,1,0,0,0,0,0
310,NA,2,0,0,0,1,4,12,0,0,0,0,19,13,0,0,45,0,0,0,0,3,0,0,1,0,0,167,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,12,2,0,0,0,0,0,0,0,0,1,1,7,6,22,0,11,10,0,57,0,1,10,1,1,1,0,0,9,17,0,0,4,0,0,0,0,180,1,0,0,0,0,0,2,0,1,0,2,0,0,6,1,17,3,0,1,0,0,0,1
315,NA,2,0,0,0,0,3,8,0,0,0,0,12,9,0,0,35,0,0,0,1,4,0,0,9,0,0,209,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,13,7,16,0,7,11,0,113,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0
320,NA,0,0,0,0,0,3,17,0,0,0,0,16,0,0,0,25,0,0,1,0,2,0,0,9,0,1,137,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,8,3,13,0,7,6,0,103,0,0,4,0,0,0,0,0,5,1,0,0,4,0,0,0,0,55,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,3,0,0,0,0,0,0
325,NA,0,0,0,1,0,13,9,0,1,1,0,28,4,0,0,21,0,0,0,0,8,0,0,11,0,0,195,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,3,12,0,2,2,0,183,0,0,0,2,0,0,0,0,1,0,0,0,17,0,0,2,0,57,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,0
330,NA,1,0,0,0,0,13,6,0,1,0,0,28,3,0,0,28,0,0,0,0,4,0,0,20,0,0,263,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,15,7,20,0,6,10,0,169,0,1,2,0,0,0,0,0,5,1,0,0,9,0,0,1,2,66,5,0,0,0,0,0,1,0,0,0,1,0,0,6,2,7,4,0,0,0,1,0,0
335,NA,0,0,0,0,0,9,8,1,1,0,1,15,8,0,0,25,0,0,0,0,6,1,0,5,0,1,191,0,0,0,0,3,0,6,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,6,34,0,1,9,0,93,0,0,0,0,0,0,0,0,7,1,0,0,10,0,0,0,0,86,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0
340,NA,2,0,0,1,0,4,1,0,0,0,0,16,4,1,0,40,2,0,0,0,4,0,0,0,0,3,141,0,1,0,0,1,0,1,0,6,1,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,6,8,1,4,9,19,0,0,8,0,95,0,0,2,1,0,0,0,0,10,0,0,0,17,0,0,0,0,104,1,0,0,0,0,1,0,0,0,0,0,0,0,11,4,5,0,0,0,0,0,0,0
345,NA,2,0,0,0,0,3,2,0,1,0,0,10,6,0,0,24,0,0,0,0,3,0,0,4,0,2,51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,1,0,0,0,0,1,4,2,12,12,34,0,0,5,0,97,2,0,0,0,0,0,0,0,9,0,0,0,26,0,0,0,0,99,0,0,0,1,0,0,0,0,1,0,2,0,0,2,4,10,1,0,0,0,0,0,0
350,NA,0,0,0,0,0,7,1,0,2,0,0,3,3,0,0,31,7,0,0,1,0,0,1,0,0,2,25,0,0,0,0,0,0,5,1,4,3,0,0,3,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,33,10,18,0,10,19,0,33,0,1,1,1,0,0,0,0,21,0,0,0,14,0,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0
355,NA,2,0,0,0,0,5,1,0,0,0,0,2,5,0,0,24,0,0,0,1,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,7,15,24,13,0,0,11,0,49,0,0,11,4,0,0,0,0,22,0,0,0,2,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,0,1,0,0,0,0
360,NA,0,0,0,0,0,10,3,0,0,0,0,0,2,0,0,20,0,0,0,0,1,0,0,2,0,0,13,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,6,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
365,NA,1,0,0,0,0,24,14,0,3,0,0,11,6,0,0,104,0,1,0,0,1,0,1,0,0,3,13,0,0,0,0,4,0,1,1,11,7,2,0,3,8,1,10,1,0,0,0,6,3,0,0,0,0,0,2,0,0,0,0,11,20,21,0,2,56,0,31,0,2,10,14,0,0,0,0,21,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,5,0,0,1,0,0,2,12,0,14,8,0,0,0,0,0,0
370,NA,2,0,0,0,0,8,5,0,3,0,0,9,8,0,0,60,0,0,0,0,1,0,1,2,0,1,20,0,0,0,0,0,0,0,0,9,0,0,6,0,2,0,3,3,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,10,9,20,0,0,8,0,22,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,16,2,1,0,0,0,0,0,0,0
372,NA,0,0,0,0,0,4,3,0,0,0,0,2,3,0,0,42,0,1,0,1,0,0,0,2,0,0,11,0,0,0,0,2,0,0,0,2,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,10,21,0,0,8,0,10,0,0,0,9,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0
