"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Tsuga","Ulmus","Alnus","Acer","Populus","Poaceae","Plantago","Cyperaceae","Fraxinus","Asteraceae.subf..Asteroideae.undiff.","Aquifoliaceae","Tilia","Larix","Salix","Juglans","Rosaceae","Myrica","Pinus.undiff.","Rumex","Thalictrum","Asteraceae.subf..Cichorioideae","Cupressaceae","Shepherdia","Sarcobatus.vermiculatus"
210,3978,0.0621761658031088,0,0,0.494818652849741,0,0,0.00518134715025907,0.00259067357512953,0.0181347150259067,0.0466321243523316,0.00259067357512953,0.0362694300518135,0.186528497409326,0.0673575129533679,0.0129533678756477,0.0129533678756477,0.0077720207253886,0.0155440414507772,0,0,0,0,0.0103626943005181,0.0103626943005181,0,0,0,0,0,0.00518134715025907,0.00259067357512953,0,0,0,0,0,0,0,0
230,4423,0.1,0,0,0.513636363636364,0,0,0.00454545454545455,0,0.00454545454545455,0.0181818181818182,0,0.090909090909091,0.0590909090909091,0.136363636363636,0.0181818181818182,0.00454545454545455,0.00909090909090909,0.0181818181818182,0.00454545454545455,0,0,0,0,0.00454545454545455,0,0,0,0,0.00454545454545455,0.00454545454545455,0,0.00454545454545455,0,0,0,0,0,0,0
250,4867,0.0566037735849057,0,0,0.53099730458221,0.00269541778975741,0,0,0,0.00539083557951483,0.0107816711590297,0.00269541778975741,0.0512129380053908,0.0754716981132075,0.121293800539084,0.00808625336927224,0.0673854447439353,0.00808625336927224,0.0296495956873315,0.00808625336927224,0,0,0,0.00269541778975741,0.00808625336927224,0.00269541778975741,0,0,0.00269541778975741,0,0,0.00269541778975741,0.00269541778975741,0,0,0,0,0,0,0
270,5312,0.0305084745762712,0,0,0.640677966101695,0,0,0.00677966101694915,0,0.00338983050847458,0.0338983050847458,0.00338983050847458,0.023728813559322,0.0915254237288136,0.0338983050847458,0.0169491525423729,0.0610169491525424,0.00338983050847458,0.0372881355932203,0.00677966101694915,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0
310,6201,0.00664451827242525,0,0,0.591362126245847,0,0.00332225913621262,0,0,0.00332225913621262,0.0332225913621262,0.00332225913621262,0.0431893687707641,0.0465116279069767,0.0963455149501661,0.0232558139534884,0.0299003322259136,0.0332225913621262,0.0564784053156146,0.0166112956810631,0,0,0,0.00332225913621262,0,0,0,0,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0
330,6645,0.0409090909090909,0.00454545454545455,0,0.413636363636364,0,0,0,0,0.00454545454545455,0.0227272727272727,0.00454545454545455,0.0545454545454545,0.222727272727273,0.136363636363636,0.0136363636363636,0.0272727272727273,0.00909090909090909,0.0181818181818182,0.0136363636363636,0,0,0,0,0.00909090909090909,0.00454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7090,0.0353200883002208,0.0022075055187638,0,0.298013245033113,0,0.0022075055187638,0,0,0.00883002207505519,0.00441501103752759,0.0022075055187638,0.0706401766004415,0.368653421633554,0.0993377483443709,0.0353200883002208,0.0375275938189845,0.0154525386313466,0.00662251655629139,0.00883002207505519,0,0,0,0,0.00441501103752759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7534,0.0239234449760766,0.00478468899521531,0,0.177033492822967,0,0,0,0,0.00478468899521531,0.0382775119617225,0.00956937799043062,0.0669856459330144,0.38755980861244,0.167464114832536,0.0382775119617225,0.00956937799043062,0.0334928229665072,0.0191387559808612,0.0143540669856459,0,0,0,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,0,0,0,0
390,7979,0.06,0.004,0,0.3,0,0,0,0,0.004,0.012,0.004,0.048,0.332,0.124,0.044,0.012,0.024,0.024,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,8423,0.0256410256410256,0,0.00366300366300366,0.388278388278388,0.00366300366300366,0,0,0,0.00366300366300366,0.021978021978022,0.0146520146520147,0.0732600732600733,0.318681318681319,0.0586080586080586,0.0293040293040293,0.00366300366300366,0.010989010989011,0.0183150183150183,0.0146520146520147,0,0.00366300366300366,0,0.00366300366300366,0,0,0,0,0.00366300366300366,0,0,0,0,0,0,0,0,0,0,0
