"sample.depths","sample.ages","Abies","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nuphar","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
540,3462,1,22,0,0,0,1,0,0,0,67,5,0,0,15,2,3,0,60,3,4,0,2,0,0,1,0,0,0,0,15,1,9,0,0,0,2,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,6,45,0,33,0,0
560,3624,3,29,0,2,1,2,0,0,0,80,2,0,0,24,1,0,0,43,4,4,0,2,0,0,0,0,0,0,0,15,0,9,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,38,0,31,3,0
580,3786,1,41,0,3,1,2,1,1,0,44,2,0,0,2,0,0,0,71,5,3,0,4,0,0,0,0,0,0,0,13,0,15,0,0,2,1,0,0,18,0,0,0,1,0,1,0,0,0,0,0,0,7,30,0,36,0,0
600,3948,2,39,0,0,1,0,0,1,0,57,1,0,0,14,1,1,0,50,3,2,0,3,0,0,1,1,2,0,0,12,0,16,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,44,0,39,0,0
620,4109,3,21,0,0,0,1,1,0,0,51,3,0,0,12,0,1,0,53,2,1,0,3,0,0,1,0,0,0,0,11,0,23,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,47,1,0
640,4271,1,27,0,0,0,3,0,0,0,75,3,0,0,5,0,0,0,47,1,6,0,5,0,0,0,0,0,0,0,12,1,10,0,1,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,53,1,0
660,4433,3,37,0,1,0,0,0,0,0,57,3,0,0,17,0,1,0,45,5,7,0,0,0,0,0,1,0,0,0,11,0,10,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,12,32,0,44,0,0
680,4595,1,21,0,4,1,2,3,0,0,50,2,0,0,3,0,0,0,70,3,1,0,2,0,0,0,0,0,0,0,9,0,21,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,50,1,0
700,4757,1,30,0,1,0,3,0,2,0,60,0,0,1,25,2,0,0,43,3,7,0,2,0,0,2,1,0,0,0,13,1,31,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,29,0,0
720,4919,1,38,0,1,0,0,0,1,0,57,2,0,0,4,0,0,0,58,7,2,0,4,0,0,6,0,0,0,0,19,0,26,0,4,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,11,14,0,29,0,0
740,5081,0,43,0,1,0,3,0,0,0,76,0,0,0,3,0,0,0,66,4,2,0,6,0,0,1,0,0,0,0,14,1,9,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,7,24,0,31,0,0
760,5729,0,26,0,5,0,0,0,0,0,33,1,0,0,8,0,0,0,79,5,2,0,5,0,0,0,0,0,0,0,7,0,11,0,3,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,77,0,27,0,0
780,6376,0,26,0,0,0,2,1,0,0,20,2,0,0,6,0,0,0,91,5,2,0,1,0,0,1,1,0,0,0,8,0,13,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,61,0,36,1,0
800,7024,0,27,0,0,0,0,1,0,0,8,1,0,0,3,0,1,0,55,4,6,0,4,0,0,1,0,1,0,0,10,1,19,0,3,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,3,105,0,33,1,0
820,7672,1,24,0,0,0,3,0,0,1,8,4,0,0,6,0,0,0,59,0,3,0,1,0,0,1,0,0,0,0,9,0,57,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7,67,0,24,0,0
840,8319,1,19,0,1,1,2,0,0,0,11,0,0,0,9,1,0,0,13,5,4,0,3,0,0,1,0,0,0,0,15,0,52,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,107,0,29,0,0
860,8967,2,3,0,1,1,2,0,0,0,90,0,0,0,4,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,22,1,116,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0
880,9614,6,0,0,0,0,0,0,0,0,80,1,0,0,1,4,0,1,1,0,7,0,2,0,0,0,0,0,0,0,7,5,128,0,0,2,1,0,5,51,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,0,0
890,NA,3,10,0,0,0,0,0,0,0,57,1,0,0,6,4,0,1,23,3,4,0,1,0,0,0,0,2,0,0,12,11,128,0,0,4,1,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,2,10,0,9,2,0
