"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula...20.µm.","Betula...25.µm.","Betula..20.25.µm.","Castanea","Cornus","Corylus.type","Cyperaceae","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Indeterminable","Isoëtes","Juglans","Juniperus","Lycopodium","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Poaceae","Polypodiaceae","Populus","Quercus","Rosaceae","Rubiaceae","Salix","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown"
50,944,40,0,224,0,4,0,4,0,2,10,188,4,0,10,16,0,8,0,0,2,0,52,0,0,0,28,0,0,2,0,0,152,8,4,86,0,0,0,0,2,36,0,2,0,0
60,1287,38,2,184,0,0,0,4,0,8,6,162,0,0,4,14,0,4,8,0,2,0,50,0,0,2,54,0,0,4,0,0,152,12,0,44,0,0,0,0,2,34,0,0,0,2
70,1630,24,0,144,0,0,2,6,0,24,0,134,2,0,6,4,0,0,6,0,2,0,82,2,0,0,24,0,4,4,0,0,94,14,0,40,2,0,0,0,0,32,0,0,0,0
80,1973,30,0,174,0,0,0,0,0,22,0,132,0,0,20,12,0,2,16,0,0,0,86,0,4,4,66,0,2,6,0,0,126,14,0,56,0,0,0,0,0,44,0,0,0,0
90,2316,36,0,226,0,0,0,0,0,8,6,164,0,2,6,24,0,2,10,2,2,0,112,0,0,4,50,4,0,4,0,0,112,8,2,58,2,2,0,0,0,48,0,0,0,2
100,2660,32,0,204,0,2,2,2,0,2,6,132,0,0,16,16,0,8,12,0,0,0,92,2,2,4,48,0,0,2,0,0,110,20,2,52,0,4,0,0,2,26,0,0,0,0
110,2922,44,0,218,0,0,2,0,0,16,4,190,0,0,18,28,0,2,8,0,0,0,36,0,0,2,34,2,0,2,0,0,134,26,4,72,0,2,0,0,2,20,0,0,0,0
120,3118,32,0,222,0,0,0,4,0,6,6,190,0,0,8,18,0,2,4,0,2,0,86,0,2,0,46,2,0,10,0,0,108,18,2,98,0,0,0,0,2,14,0,0,0,2
130,3314,42,0,224,0,0,6,4,0,4,8,138,0,0,6,12,0,2,6,0,2,0,40,0,0,2,36,0,4,12,2,0,112,10,0,88,0,0,0,0,4,30,0,0,0,0
140,3510,24,0,240,0,0,0,0,0,4,10,170,0,0,4,8,0,2,8,0,0,0,24,0,0,2,36,0,0,2,0,0,110,6,0,70,0,2,0,0,2,12,0,0,4,0
150,3706,44,0,230,0,4,0,0,2,2,2,196,0,0,8,8,0,0,6,0,2,0,34,0,0,6,36,0,4,2,2,0,122,18,2,86,0,0,0,0,0,18,0,0,0,0
160,3902,14,0,240,0,0,0,8,0,2,8,192,0,0,2,20,0,0,0,2,0,0,22,0,0,6,40,0,2,0,0,0,88,12,0,92,0,0,0,0,2,26,0,0,0,2
170,4098,38,0,238,0,2,0,4,2,4,12,150,0,0,6,22,0,2,6,0,2,0,18,0,2,2,40,2,0,0,0,0,94,14,0,74,0,0,0,2,0,14,0,0,0,2
180,4294,54,0,234,0,0,0,2,0,6,2,192,0,0,2,14,0,0,4,2,0,2,24,0,4,10,46,2,0,0,0,0,124,24,0,116,0,2,0,0,0,12,2,2,4,0
190,4490,30,0,228,0,2,2,4,2,8,2,164,0,0,12,24,0,2,0,2,2,0,18,0,0,2,56,0,2,0,0,2,68,20,0,82,2,2,0,0,6,12,0,0,0,2
200,4686,40,0,258,0,0,0,2,0,2,0,152,0,0,2,20,0,2,0,0,2,0,2,2,0,0,60,0,0,8,0,2,120,16,0,94,0,0,0,0,0,20,0,0,0,2
210,4882,38,0,238,0,0,4,2,0,4,6,188,2,0,16,20,0,4,2,0,4,0,8,0,0,0,62,0,0,0,0,2,130,32,0,96,0,0,0,0,2,20,0,0,2,0
220,5055,46,0,212,0,0,2,14,0,10,0,146,2,0,12,16,0,8,0,0,0,0,14,0,0,6,66,0,2,0,0,2,114,22,0,100,0,2,0,0,2,24,0,0,0,2
230,5219,30,0,224,0,4,2,8,0,8,10,190,0,0,0,22,0,0,10,0,0,0,16,0,0,0,36,0,2,2,0,0,126,18,0,148,0,0,0,0,0,14,0,2,0,0
240,5383,46,0,158,0,6,0,10,0,4,4,188,0,0,10,16,0,2,2,2,0,0,18,0,0,4,50,0,0,0,0,2,100,24,0,122,0,2,0,2,2,8,0,0,2,0
250,5548,38,2,156,0,2,2,6,0,8,4,182,0,0,8,10,0,2,4,0,0,0,2,0,0,0,80,0,2,0,0,0,118,12,4,120,0,8,0,0,2,12,0,0,4,0
260,5712,52,2,136,0,4,0,0,0,6,4,194,0,0,4,10,0,0,2,0,2,2,2,0,4,0,38,0,0,0,0,0,138,20,0,112,2,0,0,0,2,14,0,0,2,2
270,5877,28,0,208,0,2,0,4,0,6,10,180,0,0,16,24,0,4,2,0,2,0,6,0,4,6,26,2,0,0,0,0,106,14,0,80,0,0,0,0,2,12,0,0,0,12
280,6041,60,0,200,0,6,2,2,0,10,4,210,0,0,8,6,0,0,2,0,0,0,4,0,4,6,52,0,0,2,0,2,164,38,2,82,0,0,0,0,0,8,0,0,0,0
290,6206,54,0,152,0,4,0,2,0,8,12,232,0,0,16,10,0,0,2,0,0,0,0,0,0,2,32,0,0,0,0,2,120,34,0,106,0,0,0,0,0,10,0,0,0,0
300,6370,38,0,186,0,6,0,2,4,4,0,188,0,0,0,10,0,0,0,0,2,0,8,0,2,2,40,2,2,0,0,0,106,26,2,112,0,0,0,0,0,12,0,0,0,0
310,6534,54,0,92,2,2,0,4,0,8,6,216,0,0,0,6,0,0,0,2,0,0,0,0,2,0,34,0,0,0,0,2,146,34,2,36,0,0,0,0,0,4,0,0,0,0
320,6699,26,0,102,0,0,2,6,2,4,0,192,0,0,0,12,0,0,2,0,6,0,0,0,0,2,48,0,4,0,0,0,176,18,0,48,0,0,0,0,2,2,0,0,2,0
330,6863,38,0,88,0,4,2,2,0,6,8,268,0,0,2,24,0,0,0,2,4,0,0,0,6,4,20,0,4,0,0,0,150,38,0,70,6,0,0,0,0,6,0,0,0,2
340,7028,30,0,148,0,2,0,10,0,12,0,274,0,0,8,14,0,0,2,0,2,0,16,0,0,0,26,2,2,4,0,0,106,20,0,90,2,2,0,0,0,2,0,2,0,2
350,7192,68,2,124,0,2,0,6,4,4,0,240,0,0,2,10,0,0,0,0,0,0,22,0,0,4,10,0,4,0,0,0,148,26,0,98,4,0,0,0,0,4,0,0,0,2
360,7356,82,0,112,0,0,0,4,0,6,2,242,0,0,2,14,0,2,0,0,2,0,6,0,2,0,18,2,0,0,0,0,94,34,2,78,2,0,0,0,2,4,0,4,0,0
370,7521,102,0,184,0,0,2,6,0,12,0,242,0,0,0,10,0,0,2,2,6,6,34,2,2,6,4,2,4,0,0,0,132,32,2,54,0,0,0,0,2,2,0,2,0,2
380,7685,58,0,198,0,0,2,4,0,24,0,242,0,0,0,0,0,0,0,2,2,0,52,0,4,4,8,0,4,4,0,0,60,38,2,60,0,0,0,0,2,0,0,0,0,0
390,7850,58,0,242,0,0,2,6,2,16,6,214,0,0,2,10,0,2,2,0,0,0,154,0,4,12,8,2,2,8,0,0,74,22,0,60,2,0,0,0,2,0,0,0,0,0
395,7932,58,0,284,0,2,0,2,0,2,0,160,0,0,2,4,0,4,0,0,0,8,138,0,0,8,26,0,0,12,0,2,52,26,4,58,0,4,0,0,0,0,0,0,0,2
400,8014,30,0,244,0,0,0,4,0,16,2,160,0,0,2,8,0,4,0,0,0,0,74,2,0,0,24,0,0,26,0,2,74,20,30,36,0,2,0,0,12,0,0,0,0,2
405,8096,22,2,210,2,0,4,12,0,8,0,150,0,4,10,4,0,6,2,0,4,4,92,0,0,8,38,0,0,38,0,0,62,32,26,26,2,0,0,0,6,0,0,0,0,4
410,8160,50,0,168,0,0,0,2,0,8,8,156,0,0,8,14,0,6,8,0,2,2,132,0,10,10,30,0,0,40,0,0,96,38,18,38,0,0,0,0,8,2,0,0,0,2
415,8206,68,0,136,0,2,2,6,0,4,0,176,0,0,6,4,0,14,10,0,0,0,80,2,2,6,38,0,0,18,0,2,112,38,0,24,0,2,0,0,4,0,0,0,0,4
420,8251,102,0,124,0,2,4,2,2,6,6,154,0,0,2,4,0,4,4,0,2,2,98,0,4,4,42,0,2,12,0,0,94,46,4,24,0,0,0,0,10,0,0,0,0,2
430,8343,102,0,148,0,2,0,2,0,10,0,170,0,0,8,22,0,4,0,0,2,0,150,0,0,6,36,2,0,38,0,0,74,26,10,30,0,2,0,0,10,0,0,0,2,0
440,8434,82,0,60,0,0,4,2,0,10,0,204,0,0,0,8,0,6,6,0,4,2,102,0,0,2,24,0,0,24,2,0,132,50,0,16,0,2,0,0,14,2,0,0,0,4
450,8525,48,0,86,2,0,2,8,0,30,2,246,0,0,14,0,0,8,4,2,4,0,122,0,4,2,44,2,0,8,0,0,62,26,4,14,2,4,0,0,22,0,0,0,0,4
460,8616,14,0,88,0,0,0,8,0,16,14,218,0,0,2,16,0,14,10,0,0,0,430,4,2,10,42,0,0,16,0,0,118,48,14,28,0,4,0,0,14,0,0,0,0,4
470,8707,8,0,80,0,0,0,4,2,30,8,230,0,0,12,10,0,10,14,0,6,2,292,2,2,12,88,0,0,24,0,0,72,40,8,40,2,2,0,0,18,2,0,0,0,0
480,8799,22,4,120,0,2,0,0,2,10,10,190,0,0,0,16,0,8,6,0,4,0,262,0,0,14,54,0,0,18,0,2,44,46,40,26,6,2,0,0,32,0,2,0,0,0
490,8890,14,0,84,2,2,2,8,0,14,10,220,0,0,8,6,0,8,22,0,0,2,404,0,4,12,58,0,0,24,0,2,46,28,14,34,2,0,0,0,44,4,2,2,0,4
500,8981,6,0,52,2,2,2,6,0,20,4,230,0,0,16,22,0,6,20,0,0,0,172,0,0,8,82,0,0,0,0,0,62,20,30,42,4,2,0,0,18,2,0,0,0,4
510,9072,10,0,74,0,6,0,0,0,16,6,160,2,2,8,24,2,12,22,0,0,2,266,2,2,16,122,2,0,8,0,0,34,26,36,56,6,2,0,0,42,4,0,0,0,2
520,9163,12,0,70,0,4,2,4,0,10,8,174,0,0,4,18,0,34,30,0,0,0,250,0,0,14,74,0,0,10,0,4,48,60,26,22,4,4,0,4,38,6,2,0,0,2
530,9255,6,0,58,0,10,0,2,0,8,10,220,2,2,6,16,2,4,24,2,4,0,206,0,0,12,84,6,0,12,0,0,30,32,14,38,4,0,0,10,38,2,2,0,0,0
540,9346,22,0,60,0,0,0,2,0,8,8,228,0,0,4,28,0,20,18,0,0,0,184,0,0,14,90,0,0,2,0,0,24,48,10,44,6,4,0,4,34,4,0,0,2,0
550,9437,12,2,54,2,0,8,4,0,2,0,310,0,0,6,28,0,24,20,0,0,2,112,0,2,12,24,2,0,18,0,0,30,50,4,44,6,4,0,6,40,8,4,0,0,0
560,9528,12,0,38,0,4,2,2,0,6,0,188,2,0,10,10,0,12,22,0,2,0,92,0,0,14,20,0,0,14,0,0,24,28,4,32,6,0,0,0,28,2,2,0,0,0
570,9620,2,0,54,0,0,2,0,0,4,0,224,2,0,2,16,2,4,20,0,2,0,96,0,0,10,4,0,0,24,0,0,22,14,2,22,4,0,0,2,22,0,0,0,0,0
580,9711,12,0,54,0,0,0,2,0,26,2,326,0,0,16,36,0,14,26,0,4,0,64,0,0,20,10,0,0,84,0,0,30,34,8,40,4,4,0,0,20,6,0,0,0,0
590,9802,2,0,32,0,0,2,0,0,16,0,190,0,0,4,20,0,4,18,2,2,0,6,0,2,12,6,0,0,12,0,0,32,42,2,22,2,0,0,0,26,10,2,0,0,0
600,9893,6,0,32,0,0,0,0,0,22,0,260,0,2,12,28,0,4,16,0,2,0,0,0,0,4,42,0,0,28,0,0,74,62,4,18,6,2,0,2,28,0,0,2,2,2
610,9998,0,0,18,0,0,6,2,0,26,0,190,2,0,10,32,0,6,8,0,0,0,0,0,0,14,6,2,0,10,0,2,34,24,6,10,10,0,0,0,32,4,0,0,0,0
620,10142,0,0,14,0,0,2,4,0,4,0,60,0,0,2,8,0,2,8,0,0,0,0,0,0,2,12,0,0,22,0,0,24,38,4,10,0,0,0,0,14,0,0,0,0,0
630,10286,0,0,4,2,0,0,0,0,8,0,26,0,0,0,14,0,0,0,0,0,0,0,0,0,4,2,0,0,28,0,0,6,2,0,4,0,4,0,0,12,0,0,0,0,4
640,10430,0,0,10,0,0,0,0,0,4,0,52,0,0,2,10,0,4,0,0,0,2,0,0,0,2,6,0,0,4,0,0,6,10,4,10,4,0,0,0,14,0,0,2,0,2
650,10574,0,0,6,2,0,2,0,0,16,0,42,2,0,0,14,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,4,10,0,8,2,0,4,0,22,0,0,0,0,0
660,10718,0,0,8,0,0,0,0,0,10,0,32,2,0,4,12,2,22,0,0,0,0,0,0,0,8,10,0,0,2,0,0,2,2,4,2,0,0,0,0,16,2,0,0,0,0
670,10862,0,0,4,0,0,2,0,0,12,0,38,0,0,2,14,0,0,2,2,0,0,0,0,0,6,8,0,0,0,0,0,2,2,4,0,0,0,0,0,26,2,0,0,0,2
680,11006,0,0,0,0,0,0,2,0,4,0,14,2,2,0,10,0,92,2,0,0,0,2,0,2,2,8,0,0,0,0,0,4,4,6,2,6,0,0,0,8,0,0,0,0,2
690,11150,0,0,0,0,0,0,0,0,4,0,26,0,0,2,6,0,16,2,0,0,0,0,0,0,0,8,0,0,8,0,0,2,2,2,2,0,0,0,0,28,0,0,0,0,0
705,11366,0,0,2,0,0,4,0,0,4,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,14,4,0,0,0,2
