"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Rumex.type","cf..Taxus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Juglans.cinerea","Larix","Populus.tremuloides.type","Taxus","Amaranthaceae","Carya.ovata","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Rosaceae.undiff.","Castanea.dentata","Myrica.gale","Ribes","Viburnum.edule","Morus.rubra.type","Tilia","Acer.saccharinum","Viburnum.undiff.","Salix.herbacea.type","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Impatiens","Liliaceae","Cornus","Shepherdia.canadensis","Potentilla.palustris.type","Prunus.pensylvanica","Rhus.typhina","Saxifraga.cernua.type","Onagraceae.undiff.","Polygonaceae.undiff.","Epilobium","Apiaceae","Brassicaceae","Ranunculaceae","Oxytropis.maydelliana.type","cf..Oxyria.digyna","cf..Diapensia.lapponica"
250,4194,996,4,0,12,1,0,2,490,0,17,59,12,5,0,1,0,4,77,51,2,15,9,13,1,40,12,0,133,0,0,16,0,0,2,0,3,0,1,3,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4567,737,3,0,9,0,1,1,370,1,4,33,12,6,0,0,0,5,58,46,0,17,5,11,1,19,3,0,108,0,0,6,1,1,4,0,0,0,0,1,0,1,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5066,538,6,0,5,0,0,1,264,0,9,37,6,0,0,2,0,1,49,33,0,9,2,8,0,7,6,4,59,0,0,17,0,0,1,0,2,2,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5566,411,0,1,3,0,2,2,186,0,2,10,4,3,0,0,0,3,28,16,0,8,9,5,0,8,2,1,49,0,0,57,0,0,1,0,3,3,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6065,596,0,0,6,1,0,1,268,0,3,8,9,1,0,1,0,2,62,23,0,12,2,6,3,9,5,0,51,0,0,113,1,0,0,0,1,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6565,572,0,0,8,0,0,0,225,0,2,11,11,1,0,1,0,0,57,14,0,13,2,4,1,10,3,0,89,0,0,107,0,0,3,0,3,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7064,399,0,0,5,0,0,0,168,0,1,7,4,1,0,1,0,0,35,20,0,4,0,2,0,6,3,1,59,0,0,73,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,7563,900,0,3,8,0,4,1,216,0,6,13,15,2,0,1,0,4,196,39,0,12,4,5,2,29,7,0,222,0,0,92,3,0,2,2,3,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,8063,470,1,3,1,0,2,0,67,0,3,4,3,1,0,0,0,1,74,35,0,8,1,3,1,4,0,0,182,0,0,65,0,0,0,1,1,3,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,8562,424,0,1,4,2,0,0,54,0,2,5,9,0,0,2,0,2,80,35,0,7,0,4,1,10,2,0,173,0,0,24,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,9037,503,1,1,6,0,1,0,53,0,5,3,2,0,0,2,0,1,132,55,3,9,0,5,2,5,6,0,193,0,0,9,1,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,9189,452,1,0,2,3,4,3,37,0,13,2,7,1,0,1,0,21,9,16,0,13,37,2,2,0,4,3,35,0,0,1,13,0,0,1,172,0,0,1,3,7,0,0,35,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,9234,661,0,0,5,5,1,12,57,5,145,0,1,0,7,0,0,2,8,5,19,3,41,107,0,0,3,1,6,0,0,0,8,0,0,0,95,0,0,1,47,19,1,0,1,0,0,0,0,0,2,51,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,9415,527,0,1,6,2,1,1,150,0,2,1,7,2,0,1,0,7,87,18,0,12,1,5,6,2,0,11,186,0,0,2,2,0,0,1,3,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,9793,846,0,3,7,1,0,0,216,0,3,2,6,2,0,6,0,4,142,27,0,7,1,3,18,3,4,4,340,0,0,3,9,0,0,3,3,10,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,10171,456,0,1,21,9,2,6,163,0,1,0,0,0,1,3,0,5,43,20,5,4,7,6,6,1,2,6,112,0,0,1,2,0,0,4,15,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,10549,672,0,3,8,1,0,3,317,0,5,0,14,1,0,0,0,31,35,31,3,10,10,8,2,3,15,9,63,0,0,0,22,0,0,0,31,3,0,0,2,9,0,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,10625,493,0,0,18,6,1,1,134,0,2,0,2,0,0,5,1,6,87,26,1,5,10,7,9,4,2,58,43,0,0,1,5,0,0,4,29,3,0,0,2,3,1,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,10700,561,0,0,10,2,1,0,203,0,8,0,3,0,0,3,4,15,86,27,3,4,10,9,1,2,7,62,39,0,0,0,7,0,0,2,24,2,0,0,4,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,10776,666,0,2,17,4,0,4,288,1,5,0,1,1,0,3,3,15,53,32,3,14,17,12,1,1,5,47,39,0,0,2,11,0,0,2,37,1,0,1,0,8,2,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
620,10852,537,0,1,17,6,0,3,221,0,5,0,2,2,0,1,0,20,36,22,3,2,8,9,2,3,5,55,26,0,0,2,13,0,1,1,33,0,1,1,0,13,0,0,17,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,10927,750,0,7,10,4,1,1,304,1,21,0,9,0,2,8,4,13,34,26,4,10,25,10,0,0,8,9,51,0,0,3,25,0,1,0,79,1,0,1,0,15,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
630,11003,426,0,8,3,2,0,1,189,0,6,0,3,2,0,2,1,35,12,12,2,4,10,6,4,2,2,17,6,0,0,1,15,1,0,0,45,1,0,2,2,4,4,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
635,11078,603,0,10,0,1,0,1,277,0,17,0,1,0,0,2,1,33,16,15,5,7,21,16,0,2,4,6,20,0,0,1,28,0,0,0,70,1,1,1,0,9,3,0,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
640,11154,685,0,1,2,1,0,6,272,1,8,0,4,1,0,3,2,39,12,44,3,18,34,6,1,0,5,24,24,0,0,5,21,0,0,4,110,1,0,2,4,11,1,0,11,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,11229,556,0,1,1,1,1,6,46,0,9,1,6,0,0,10,6,56,28,28,2,8,56,9,0,2,6,6,31,0,0,2,26,0,0,0,134,0,1,1,2,6,2,0,57,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
649,11290,767,0,0,4,1,1,9,115,0,26,0,12,1,0,5,2,22,19,60,5,12,59,11,1,5,10,0,54,0,0,0,8,0,1,0,268,0,0,1,4,12,1,0,29,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
650,11305,563,0,0,2,0,0,2,46,4,175,1,1,1,5,0,0,5,7,6,5,2,23,125,0,0,4,1,16,0,0,0,2,0,0,0,73,0,0,0,6,29,0,0,1,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,11335,608,0,0,4,2,2,6,93,2,80,0,3,0,3,3,0,6,23,14,8,5,28,70,0,0,4,18,7,0,0,1,8,0,0,0,174,0,0,1,4,29,4,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,11350,484,0,0,2,0,1,4,38,4,148,0,2,0,4,0,0,4,17,6,9,0,7,87,0,1,7,13,5,0,0,1,5,0,0,0,75,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
654,11366,596,0,0,3,0,1,4,86,0,132,0,1,0,4,0,0,12,15,11,18,2,29,88,0,0,8,3,3,0,0,0,3,1,0,0,106,0,0,0,2,43,2,0,5,1,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,0
656,11396,631,0,0,5,0,6,8,97,1,54,0,2,1,0,1,0,14,19,14,23,3,22,22,0,0,6,5,43,0,0,4,7,3,2,1,198,0,0,0,4,39,0,0,20,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,11411,423,0,0,4,1,0,4,47,0,42,0,1,0,2,2,0,4,6,8,10,4,25,45,0,0,4,0,29,0,0,0,2,0,0,0,139,0,0,0,5,8,2,1,2,0,0,0,0,0,0,17,0,4,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0
658,11426,637,0,0,1,1,0,2,116,3,89,0,1,0,0,0,0,7,12,24,19,11,39,38,0,0,11,0,30,0,0,0,7,0,1,0,152,0,0,0,7,38,1,0,19,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
660,11456,539,0,0,1,0,1,2,78,1,44,2,3,0,0,1,1,6,19,18,17,3,30,28,0,1,4,18,8,0,0,2,10,0,0,1,173,0,0,1,4,23,1,0,28,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
662,11486,432,0,2,1,0,0,2,50,2,39,0,0,1,0,1,2,6,14,8,16,4,21,27,3,0,7,10,11,0,0,0,6,0,0,0,130,0,0,0,3,33,1,0,27,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
665,11539,841,0,0,3,2,1,4,124,0,80,0,4,1,0,1,0,19,18,18,17,4,65,22,0,2,11,1,64,0,0,3,10,0,2,0,292,0,0,0,11,38,0,0,17,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,11632,511,0,0,1,0,2,7,106,0,27,2,0,0,0,0,0,25,20,22,13,5,21,9,1,2,6,5,68,0,0,3,7,0,0,0,103,0,1,0,6,15,0,0,26,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,11724,463,1,1,2,1,3,2,64,3,19,1,2,0,0,3,0,5,15,9,5,8,36,18,0,0,5,7,24,0,0,1,7,0,2,1,161,0,0,1,3,7,2,0,34,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
680,11817,687,0,1,3,0,0,4,80,1,21,1,3,3,0,0,0,10,6,31,8,6,93,8,3,1,19,1,24,0,0,0,5,0,3,3,289,0,3,1,5,13,0,1,28,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,11910,849,0,0,7,2,2,0,139,1,33,1,4,0,1,0,0,8,18,23,15,8,175,18,0,1,4,4,18,0,0,0,5,0,2,1,329,0,1,0,4,6,5,0,1,0,0,0,0,0,1,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
690,12003,614,0,0,4,2,1,3,100,0,25,0,3,0,0,0,0,0,12,18,7,6,92,13,1,2,1,0,22,0,0,0,7,1,3,0,272,0,0,0,5,8,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
695,12096,419,0,0,6,1,0,3,64,0,19,0,2,1,0,3,4,2,7,7,1,8,71,4,0,1,2,10,14,0,0,1,4,0,1,0,168,2,0,0,4,2,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
700,12188,861,0,0,5,0,0,6,117,1,30,2,2,0,1,1,0,5,14,41,3,3,141,6,0,1,16,5,41,0,0,0,13,0,1,0,372,0,0,0,6,14,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
705,12281,614,0,0,6,8,1,6,173,0,16,0,0,0,0,0,1,1,9,9,7,7,93,7,0,1,0,1,11,0,0,1,1,1,1,2,217,0,0,1,4,21,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
712,NA,559,0,0,3,12,1,14,127,1,52,0,0,0,2,0,3,5,24,6,2,8,2,48,1,0,3,17,17,0,0,3,5,0,0,0,128,0,0,0,0,64,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
718,NA,500,0,0,24,0,1,6,43,3,145,0,2,0,1,0,0,8,21,13,0,6,5,56,0,0,5,2,54,0,0,1,2,2,1,0,5,1,1,2,1,78,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
740,NA,454,0,0,4,1,0,16,13,2,154,0,0,0,3,0,0,20,11,11,0,1,1,102,0,0,5,0,53,0,0,0,2,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
750,NA,598,0,0,5,3,0,25,32,6,212,0,3,0,5,0,0,9,14,11,1,10,6,122,0,0,6,2,57,0,0,0,11,0,0,0,10,0,2,1,1,19,17,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
760,NA,532,0,0,0,7,5,3,17,4,91,1,9,2,26,0,0,22,21,13,4,3,4,154,1,1,11,1,43,0,0,0,4,0,0,0,0,0,3,1,1,59,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
770,NA,409,0,0,7,1,3,12,46,0,27,2,0,0,3,3,0,7,21,43,1,7,8,53,0,1,12,29,14,0,0,0,14,0,0,0,7,0,1,2,1,61,2,0,0,0,0,0,0,0,0,16,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
780,NA,136,0,0,4,0,0,1,26,2,11,2,3,0,0,0,0,2,6,6,0,1,2,18,0,1,5,0,17,0,0,3,3,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
