"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Amorpha.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Pinus","Rubiaceae","Corylus","Thalictrum","Tilia","Urtica.type","Alnus","Ranunculus","Iva.annua.type","Elymus","Juglans.cinerea","Ostrya.Carpinus","Picea","Sarcobatus.vermiculatus","Populus","Dalea.candida","Dalea.purpurea","Abies","Lamiaceae","Cupressaceae","Platanus","Plantago","Rhamnaceae.Vitaceae.undiff.","Acer.saccharum.type","Carya","Ericaceae","Rosaceae","Cornus","Polygonum","Apiaceae","Larix","Humulus","Ephedra","Malvaceae","Parthenocissus","Shepherdia.canadensis","Epilobium.type","Juglans.nigra","Brassicaceae","Fagus","Shepherdia.argentea","Caryophyllaceae"
860,9840,297,1,24,0,56,13,18,13,0,0,63,0,0,28,0,0,1,30,27,0,1,3,0,0,6,0,0,2,1,2,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,9992,297,0,15,0,22,19,8,22,4,0,53,0,0,42,0,3,2,56,22,0,10,0,0,0,1,0,0,1,0,0,10,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
880,10145,299,0,14,0,32,7,11,52,1,0,47,0,0,15,0,6,5,35,35,0,5,0,0,0,4,0,0,2,0,1,21,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
890,10298,295,1,12,0,13,6,10,45,4,0,82,0,0,25,1,1,3,34,23,0,7,0,0,0,7,0,1,1,0,3,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,10450,288,1,12,0,23,22,7,24,1,0,53,0,0,26,0,4,6,43,31,0,5,0,0,0,2,0,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
910,10603,300,0,6,0,10,22,10,28,6,0,42,0,0,27,0,3,1,72,39,0,7,2,0,0,2,3,0,0,0,4,7,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
920,10756,278,0,0,0,14,24,7,33,0,0,56,0,0,27,0,4,1,44,39,0,1,0,0,0,5,0,0,0,0,1,14,1,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
930,10909,294,0,11,0,7,33,10,21,0,0,33,0,0,42,0,1,4,46,48,0,6,2,0,0,8,0,0,0,0,3,13,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,10970,296,0,14,0,15,29,12,11,5,0,29,0,0,32,0,6,5,47,56,0,7,0,0,0,4,0,0,0,0,0,15,1,0,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,11031,297,0,11,0,10,30,3,13,0,0,26,0,1,31,0,0,3,57,57,0,5,0,0,0,8,0,0,0,0,0,29,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
940,11061,297,0,2,0,17,58,3,9,1,0,35,0,0,32,0,2,2,50,34,0,7,0,0,0,9,1,0,1,0,2,19,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
942,NA,294,0,4,0,10,65,4,15,0,1,23,0,0,27,0,2,2,28,26,0,7,1,0,0,12,1,0,1,0,0,54,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
944,NA,298,0,2,0,7,48,3,33,0,0,25,0,0,18,0,3,0,21,10,0,3,0,0,0,14,0,0,1,0,1,89,0,0,0,1,7,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0
951,NA,298,0,8,0,23,17,4,28,1,0,17,0,0,16,0,3,7,21,6,0,4,0,0,0,13,0,0,2,0,0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
953,NA,210,0,1,0,13,3,2,25,1,0,7,0,0,1,0,1,1,2,3,0,3,0,0,0,8,1,0,8,0,0,120,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
955,NA,311,0,2,0,17,8,2,15,2,0,5,1,0,0,0,0,2,3,8,0,5,1,0,0,11,0,0,6,0,0,210,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,1
959,NA,303,0,0,0,13,16,2,17,3,0,2,0,0,2,0,0,0,0,8,1,2,1,0,0,1,0,0,5,0,0,214,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
965,NA,303,0,0,0,3,4,1,16,0,0,4,0,0,1,0,0,1,0,11,0,2,1,0,0,1,0,0,6,0,0,248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
970,NA,207,0,1,0,7,2,2,8,0,0,4,0,0,2,0,0,2,0,8,0,1,0,0,0,1,0,0,9,0,0,152,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
