"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.racemosa","Cornus.sericea","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lentibulariaceae","Lycopodiaceae","Menyanthes.trifoliata","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.lapathifolium","Polygonum.viviparum","Populus","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosella","Rumex.mexicanus","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Selaginella","Shepherdia","Sphagnum","Stellaria","Thalictrum","Tilia","Tsuga","Typha.angustifolia.type","Typha.latifolia","Ulmus","Vitis"
75,1928,0,0,16,1,2,7,0,1,10,1,14,4,15,1,0,0,0,0,0,0,12,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,114,0,0,14,3,0,2,0,0,0,108,0,0,0,0,5,2,0,0,0,0,0,0,0,1,7,1,4,19,0
80,2143,0,0,17,3,0,5,0,0,13,0,13,1,16,0,0,0,0,0,0,0,21,0,0,30,4,0,0,0,1,0,0,0,1,0,0,0,1,10,0,0,0,0,70.5,0,0,1,12,0,0,4,1,0,0,129,0,4,0,0,10,2,0,1,0,0,0,0,0,2,8,2,3,24,1
85,2358,0,0,16,1,1,2,0,0,18,0,8,0,16,0,0,0,0,0,0,0,16,0,0,20,1,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,1,0,0,78,0,0,12,1,0,3,0,0,0,130,0,1,0,0,7,1,0,2,0,0,0,0,0,3,11,2,3,15,1
90,2573,0,0,10,2,4,3,0,1,12,0,16,1,16,0,0,0,2,0,0,1,16,0,0,21,7,3,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,76,0,3,12,0,0,1,0,0,0,139,0,1,0,0,6,5,0,0,0,0,0,0,0,0,8,1,5,22,0
95,2855,0,0,14,0,2,2,0,2,11,0,20,0,15,1,0,0,1,0,0,0,15,0,0,26,3,4,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,101.5,0,2,14,0,0,1,0,0,0,121,0,0,0,0,3,1,0,0,0,1,0,0,0,2,4,3,6,10,2
100,3404,0,0,21,3,3,3,0,2,6,0,12,0,14,2,0,0,0,0,0,0,25,0,0,23,2,1,1,0,2,3,0,0,1,0,0,0,0,8,0,0,0.5,0,92,0,0,0,14,4,0,3,0,0,0,125,0,0,0,0,7,3,0,0,0,0,0,0,0,1,2,2,3,23,1
105,3954,0,1,16,1,1,2,0,1,16,0,11,0,15,0,0,0,0,0,0,0,17,0,0,23,2,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,102.5,0,0,8,21,0,2,0,0,0,91,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5.5,1,2,19,0
110,4503,0,0,16,1,1,7,0,2,17,0,8,0,7,0,0,0,0,0,0,1,18,0,0,24,5,1,0,0,0,2,0,0,0,0,0,0,0,14,0,0,1.5,0,0,87,0,1,0,3,0,1,0,0,0,110,0,1,0,0,3,0,0,0,0,0,0,0,0,1,5,2,6,18,1
115,5053,0,1,16,0,0,1,0,1,6,0,6,2,4,0,0,0,0,0,0,0,5,0,0,26,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,177.5,0,2,5,1,0,1,0,0,0,71,0,0,0,0,1,4,0,0,0,0,0,0,0,3,7,0,4,15,0
120,5602,0,0,15,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,7,0,0,18,4,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,9.5,183,0,0,0,7,4,0,2,0,0,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,15,3
125,6152,0,1,17,0,2,0,0,2,8,0,11,1,9,0,0,0,1,0,0,1,12,0,0,21,4,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,138.5,0,1,8,3.5,0,3,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,12,16,1
130,6701,0,0,15,1,2,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,25,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,184,0,0,0,1,0,2,0,0,0,53,0,0,0,0,1,2,0,0,0,0,0,0,0,3,8,1,7,9,1
135,7250,0,0,5,0,0,1,0,0,4,0,4,1,2,0,0,0,0,0,0,0,6,0,0,25,4,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1.5,0,0,203,0,0,5,2,0,6,0,0,0,47,0,0,0,0,1,1,0,0,0,0,0,0,0,4,11,0,3,15,1
140,7353,0,0,3,0,2,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,239.5,0,0,0,2,1,0,3,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5.5,0,0,2,1
145,7455,0,0,9,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,229.5,0,0,0,0,0,5,0,0,0,41,0,1,0,0,0,1,0,0,0,0,0,0,0,6,20,1,1,10,1
150,7558,0,0,9,1,1,1,0,0,1,0,2,0,4,0,0,0,0,0,0,3,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.5,0,0,164,0,0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,2,29,0
155,7660,0,0,5,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,253.5,0,1,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,3,0
160,7762,0,2,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,10.5,197,0,0,1,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,14,0
165,7865,0,1,3,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,14,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,245.5,0,0,0,0,0,3,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,10,8,0,1,15,0
170,7967,0,0,6,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,280.5,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,9,0
175,8070,0,0,7,0,0,3,0,1,1,0,2,0,4,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,276,0,0,2,0,0,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,17,0
180,8172,0,0,3,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,298.5,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,11,0
185,8274,0,0,3,0,2,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0
190,8377,0,1,5,2,1,2,0,0,1,0,2,0,1,0,0,0,1,0,0,1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0.5,0,0,0,208,0,1,1,0,0,5,0,0,0,49,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,0,0,11,0
195,8479,0,0,12,1,0,5,0,2,3,0,6,0,2,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,208.5,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5,0,1,18,0
200,8582,0,9,5,0,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,9,219.5,0,0,0,2,0,0,3,0,0,0,41,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,1,13,0
205,8684,0,4,7,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0,232.5,0,1,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,18,0
210,8786,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,34,277,0,0,0,1,0,0,2,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0
215,8889,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,2,0
220,8991,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,41.5,254,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
225,9093,1,0,5,1,2,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,300.5,0,0,1,0,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,8,0
230,9196,2,0,3,1,0,1,0,0,2,0,4,0,2,0,0,0,1,0,0,1,5,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,92,205,0,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,4,0
235,9298,0,0,4,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,2,0,0,2,7,0,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,0,0,286,0,1,7,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0
240,9401,0,0,6,1,0,2,0,1,1,0,7,0,3,0,0,0,0,0,0,0,2,0,0,1,4,2,0,0,2,1,0,0,0,0,0,0,0,8,0,1,0,66.5,211,0,0,0,3,0,0,0,0,0,0,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,11,0
245,9503,0,0,6,0,1,2,0,1,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,281,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,5,0
250,9605,0,1,2,1,0,4,0,2,2,0,9,1,2,0,0,0,0,0,0,2,4,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,2,150.5,96.5,0,0,2,3,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,7,0
255,9669,0,0,4,0,0,1,0,0,6,0,7,0,1,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,2,0,0,246,0,0,8,0,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11,0
260,9733,0,0,6,1,0,0,0,2,3,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,10,0,3,2.5,104,156,0,0,0,6,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,17,0
265,9797,0,0,4,0,1,4,0,1,3,0,5,0,2,0,3,0,0,0,0,1,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,10,0,4,0,0,0,260,0,1,9,0,1,2,0,0,0,38,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,13,0
270,9861,0,0,1,1,2,0,0,0,2,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,18,0,2.5,2,141,125,0,0,1,4,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,18,0
275,9924,0,0,1,0,0,5,0,0,5,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,251,0,0,6,1,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,8,0
280,9988,0,0,3,1,0,1,0,0,2,0,10,0,0,0,0,1,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,8,0,7.5,1,168.5,95,0,0,1,6,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
286,10065,0,0,2,0,0,1,0,1,4,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,9,0,5,6,0,0,259,0,0,8,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
290,10116,0,0,1,0,3,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,10,0,4,3.5,185.5,100,0,0,0,2,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
295,10180,0,0,0,0,1,0,0,2,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,1,0,6,1,2.5,0,0,0,305,0,1,2,1,0,0,0,0,0,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,1
300,10243,0,0,5,0,0,4,0,0,2,0,5,0,4,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,1,8,0,6.5,0,162,117.5,0,0,0,6,4,0,0,0,0,0,20,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,6,0
305,10307,0,0,3,0,2,2,0,1,4,0,9,0,2,0,2,0,0,0,0,0,2,0,0,2,1,4,0,0,0,2,0,0,0,0,0,2,1,10,0,3,2.5,0,0,263,0,2,8,0,0,0,2,0,0,27,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,9,0
310,10371,0,0,0,0,0,0,0,1,8,0,5,0,1,0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,2,133.5,118,0,0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,13,0
315,10435,0,0,2,1,1,1,0,0,2,0,6,1,2,0,2,0,2,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,3,7,0,1,0.5,0,0,237,0,0,8,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
320,10499,0,0,2,0,1,2,0,0,5,0,11,2,0,0,2,0,0,0,0,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,2,3,6,2,5,3.5,179,101,0,0,0,6,1,0,2,0,0,0,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
325,10562,0,0,2,0,1,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,1,0,1,0,0,0,0,1,2,8,0,2.5,2,0,0,282.5,0,0,1,0,0,2,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0
330,10626,0,0,1,0,0,0,0,2,2,0,8,1,3,0,0,0,0,0,0,1,4,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0,7,1,2.5,4,214,64,0,0,0,9,1,0,0,0,0,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,12,0
335,10690,0,0,2,0,0,2,0,2,1,0,12,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,9,0,7.5,1.5,0,0,257.5,0,0,4,1,0,1,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,12,0
340,10754,1,0,0,1,0,1,0,3,6,0,10,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,7,2,4.5,5,186.5,80,0,0,2,8,1,0,3,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0
345,10818,0,0,0,0,1,0,0,1,1,0,9,2,2,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,10,1,5.5,2.5,0,0,266.5,0,0,2,1,0,2,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,8,0
350,10881,0,0,1,0,0,2,0,0,2,0,18,0,4,0,0,0,0,0,0,3,2,0,0,0,6,1,0,0,1,0,3,0,0,0,0,0,0,5,0.5,9,2.5,205.5,48,0,0,0,3,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
355,10945,0,0,3,0,0,1,0,0,3,0,12,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,1,2,8,1,7.5,1.5,0,0,248.5,0,2,9,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,13,0
360,11009,0,0,0,0,0,2,0,0,2,0,31,1,5,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,17,0,3.5,1.5,175.5,75,0,0,0,10,2,0,1,1,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,23,1
365,11073,0,0,3,1,1,1,0,1,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,18,3,9,3,0,0,258.5,0,0,9,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0
370,11137,3,0,0,1,0,1,0,0,1,0,19,1,2,0,0,0,0,0,0,1,2,0,0,0,5,2,0,0,0,0,0,1,0,0,0,7,1,18,3,11,1,223,42.5,0,0,0,5,0,0,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0
375,11200,2.5,0,3,1,1,8,0,1,0,0,24,0,1,0,0,0,0,0,0,1,6,0,0,1,13,2,0,0,3,0,0,0,0,0,0,5,1,26,1,2.5,0,0,0,196.5,0,0,8,0,0,1,0,0,0,34,0,2,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,12,0
380,11264,3,0,2,0,0,1,0,2,1,0,19,1,1,0,0,0,0,0,0,2,4,0,0,3,16,0,0,0,1,1,0,0,0,0,0,4,0,21,1,4.5,1,249,18.5,0,0,0,9,1,0,2,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,15,0
385,11328,0.5,1,0,0,0,2,0,4,0,0,6,2,2,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,2,0,0,1,0,0,0,2,0,25,3,5.5,0,0,0,240,0,0,4,0,0,2,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,16,0
390,11392,0,0,1,0,0,2,0,4,0,0,3,1,1,0,0,0,0,0,0,2,3,0,0,0,11,1,0,0,3,1,0,0,0,0,0,2,4,12,3.5,11,1,234.5,7.5,0,0,0,10,0,0,3,0,0,0,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,1
395,11456,2,0,0,1,0,4,0,0,3,0,5,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,8,3.5,13.5,7,0,0,277,0,0,9,1,0,2,0,0,0,19,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,5,0
400,11519,1,0,3,0,0,3,0,0,0,0,10,1,3,0,0,0,1,0,0,5,1,0,0,0,9,0,0,0,1,0,1,0,0,0,0,3,1,14,1,7,0.5,265.5,11,0,0,0,5,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0
405,11612,0,0,0,3,1,1,0,3,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,0,0,1,0,0,0,0,1,0,1,0,5,28,15,30.5,0,0,229,0,0,5,2,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,9,0
410,11704,0,0,0,3,2,4,0,4,2,0,13,2,2,0,0,0,0,0,0,2,4,0,0,0,21,0,0,0,0,0,0,0,1,1,0,0,0,12,29,12.5,16,119.5,23,0,0,0,19,0,0,2,0,0,0,31,0,0,0,0,3,4,0,0,0,0,0,1,0,0,7,0,2,15,0
415,11796,1,0,3,4,0,6,0,9,0,0,13,2,1,0,0,0,0,0,0,2,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,47,23,26.5,0,0,75,0,0,16,0,0,1,0,2,0,23,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,1,14,0
420,11896,0,0,0,7,0,3,0,6,5,0,16,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,7,66,23,79.5,63,7,0,0,0,6,0,0,2,0,0,0,22,1,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,11,0
425,12008,0,0,0,2,0,3,1,9,5,0,28,2,1,0,0,0,1,0,0,1,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,10,76,12,87.5,0,0,72.5,0,0,11,1,0,0,0,0,0,13,1,0,0,0,0,4,0,0,0,0,1,0,1,0,1,1,1,4,0
430,12119,0,0,0,2,0,2,0,7,2,0,42,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,70,9,91,0,0,35,0,0,9,0,0,1,0,0,0,11,1,0,0,0,2,6,0,0,0,0,1,1,0,1,1,0,0,4,0
