"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Sarcobatus.vermiculatus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Poaceae","Fraxinus.pennsylvanica","Populus.balsamifera","Ericaceae","Iva.undiff.","Ostrya.Carpinus","Potentilla.type","Salix","Iva.annua","Myrica","Iva.xanthifolia","Brassicaceae","Rumex","Apiaceae","Acer.saccharum","Fabaceae","Juglans.cinerea","Thalictrum","Polygonum.amphibium","Ranunculus","Tilia","Urtica.type","Shepherdia.canadensis","Cornus.canadensis","Dryas","Humulus.Cannabis.sativa","Caryophyllaceae","Rhus","Juglans.nigra","Empetrum","Acer.negundo","Epilobium","Elaeagnus.commutata","Castanea","Fagus","Saxifraga.oppositifolia.type","Plantago","Shepherdia.argentea","Euphorbia","Lysimachia"
1235,10734,601,26,3,2,3,25,21,1,8,6,91,18,10,5,169,0,0,75,21,0,0,10,45,1,10,0,32,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1240,11063,536,16,0,1,6,47,44,0,3,5,51,17,19,0,190,0,0,46,16,0,0,4,18,0,11,0,14,0,0,4,0,16,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1245,11428,496,11,1,4,3,25,112,1,5,3,30,42,21,0,78,0,0,44,16,0,0,3,28,0,13,0,7,0,0,13,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,11590,493,10,2,5,2,23,57,1,7,6,8,42,16,0,125,0,0,56,13,0,0,0,48,0,21,0,4,1,0,7,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1251,11950,396,0,11,13,6,19,6,0,4,7,8,70,7,0,79,0,0,31,11,0,0,6,24,1,20,0,4,0,2,11,0,48,2,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,12397,521,0,6,4,2,45,21,0,6,13,9,63,18,0,106,0,0,13,8,1,0,6,12,0,40,0,10,3,0,11,0,112,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
1259,12619,481,0,4,6,0,59,12,0,7,3,10,53,13,0,149,0,0,11,12,1,0,4,15,0,32,0,6,0,1,3,0,68,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
1261,12745,313,0,11,8,2,35,16,0,6,11,7,25,9,0,57,0,0,10,3,1,0,3,8,0,26,0,2,3,0,9,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1262.5,12831,365,0,5,4,1,34,3,0,6,6,5,35,4,0,136,0,0,23,5,1,0,3,4,1,23,0,3,0,2,5,1,47,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
1264,12910,460,0,8,6,3,58,15,0,6,7,12,36,12,0,96,0,0,11,9,0,0,8,11,0,47,0,5,0,0,5,0,96,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1267,13057,295,0,3,3,2,35,9,0,7,1,17,23,9,0,55,0,0,8,6,0,0,4,4,1,12,0,5,2,1,4,0,72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1270,NA,483,0,2,13,10,168,17,0,19,7,5,21,10,0,97,0,0,8,12,2,0,4,6,0,28,0,1,0,3,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1275,NA,339,0,2,5,24,94,5,0,33,5,13,25,14,0,15,0,0,1,4,1,0,15,10,0,29,0,3,0,3,14,0,19,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1280,NA,322,0,1,7,14,71,8,0,6,13,3,23,12,0,35,0,0,1,9,1,0,6,54,1,19,0,2,0,1,10,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1290,NA,333,0,3,2,14,84,13,1,16,7,13,20,25,0,26,0,0,2,5,4,0,5,10,0,17,0,4,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,2,0,0,1,0,1,0,2,0,0
1300,NA,349,0,0,4,22,99,5,0,21,4,14,21,9,0,50,0,0,8,5,0,0,10,14,0,10,0,2,0,0,19,0,21,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0
1310,NA,351,0,0,3,16,89,3,1,16,7,13,11,58,0,29,0,0,7,1,0,0,6,29,1,20,1,2,0,0,12,0,9,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,2,1,1,0,1,0
1335,NA,295,0,0,1,22,79,3,1,4,0,6,14,45,0,39,0,0,7,9,0,0,3,0,1,18,2,10,0,0,9,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,NA,206,0,0,1,15,72,5,0,9,0,17,15,3,0,17,0,0,5,1,0,0,5,0,2,8,0,7,0,0,4,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
