"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Adiantum","Alisma","Allium","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amelanchier.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium.filix.femina","Avena.type","Avena.Triticum","Betula","Brasenia.schreberi","Brassica","Brassicaceae.undiff.","Campanula.rotundifolia.type","Carya","Caryophyllaceae.undiff.","Ceanothus","Celtis","Cephalanthus","Cerealia.undiff.","cf..Parnassia","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Dryopteris.type","Engelhardtia.type","Ephedra.trifurca.type","Ephedra.viridis.type","Equisetum","Ericaceae","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Gaura","Humulus","Huperzia.lucidula","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lemna","Liliaceae.undiff.","Lycopodiaceae.undiff.","Lycopus.type","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Parthenocissus","Pediomelum.type","Phlox","Picea","Pinaceae..vesiculate..undiff.","Pinaceae.undiff.","Pinus.edulis.type","Pinus.subg..Pinus","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Plantago.major.type","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.bistortoides.type","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Prunus.type","Pteridium.type","Quercus","Ranunculaceae..pericolpate.","Ranunculaceae..tricolpate..undiff.","Ranunculaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sanguisorba","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphaeralcea","Sphagnum","Stellaria","Stuckenia","Symphoricarpos.type","Thalictrum","Tidestromia.type","Tilia","Triticum.type","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Urtica.type","Utricularia","Viburnum.lentago","Vitis","Xanthium","Zea.mays","Zigadenus"
1912,6440,1,0,0,0,0,0,0,0,6,1,19,25,0,1,0,0,0,70,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,49,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.5,0,0,2,0,19,0,0,0,110,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,6.5,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0
1920,6525,1,0,0,1,0,0,0,0,11,0,67,169,0,0,0,0,0,237,17,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,6,53,1,1,0,2,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,11,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,1.5,0,0,0,7,1,29,0,0,0,106,0,0,0,0,0,3,2,0,0,14,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0
1928.3,6614,0,0,0,0,0,0,0,0,4,0,19,58,0,3,0,0,1,122,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,45,4,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,28.5,0,0,0,77,0,0,0,0,0,2,1,0,0,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,2,0,0
1936.7,6703,1,0,0,0,0,0,0,0,15,0,87,199,0,0,0,1,0,280,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,67,1,2,0,2,0,2,0,1,0,0,0,0,8,2,0,0,0,0,0,2,0,12,0,1,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,4,2,53,0,0,0,238,0,0,0,0,0,1,0,0,0,37,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
1945,6791,0,0,0,0,0,0,0,0,10,0,26,64,0,5,0,2,0,210,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,47,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,0,0,0,6,0,40,0,0,0,99,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
1953.3,6879,0,0,0,0,0,0,0,0,8,0,30,81,0,1,0,1,0,149,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,27,0,2,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,0,3,0,2,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,2,20.5,0,0,0,102,0,0,0,0,0,6,0,0,0,15,0,1,0,0,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1961.7,6969,2,1,0,0,0,0,0,0,6,1,49.5,72,0,0,0,3,0,151,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,5,53,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1.5,0,0,0,0,1,38,0,0,4,103.5,0,0,0,0,4,2,0,0,0,24,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0
1970,7057,2,2,0,0,0,0,0,0,0,0,34,119,0,0,0,0,0,62,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,1,13.5,0,0,0,3,0,0,0,0,0,1,5,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978.3,7145,0,1,0,0,0,0,0,0,8,0,49,64,0,0,0,2,0,149,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,32,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,15,0,0,0,103,0,1,0,0,0,2,0,0,0,6,0,0,0,0,1,0,2.5,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
1986.7,7234,0,1,0,0,0,0,0,0,0,2,48,104,0,0,0,0,0,82,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,18,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,1,21,0,0,0,95,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
