"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Cystopteris","Dryopteris","Dryopteris.type.undiff.","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.lapathifolium.type","Polygonum.viviparum","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rhamnus.Vitis.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.nudum","Woodsia.type"
500,4054,3,0,0,3,0,17,0,7,1,0,0,0,2,0,0,0,265,0,0,0,3,0,1,0,0,0,0,1,4,0,0,0,1,0,0,27,7,0,0,0,1,0,7,0,1,0,0,1,0,1,0,0,3,0,0,1,0,0,0,2,0,1,1,9,0,22,11,0,5,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,6,0,0,0,0,6,1,5,1,0,0,0
525,4256,0,0,0,2,0,22,2,4,1,0,3,0,1,1,0,0,412,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,13,7,1,2,0,0,0,13,2,6,3,0,1,0,0,0,0,1,0,0,2,0,0,0,5,0,4,2,29,0,18,45,0,1,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,9,0,0,0,0,4,0,10,3,0,0,0
550,4459,1,0,0,1,0,16,0,7,5,0,0,0,2,1,0,0,288,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,1,1,0,9,4,1,2,0,0,0,19,2,3,1,0,3,1,4,0,0,5,0,1,1,0,0,0,6,0,3,4,46,0,26,30,0,2,0,0,0,1,2,0,0,0,0,21,0,0,0,0,3,0,0,0,3,0,1,0,0,2,0,0,0,10,0,0,0,0,12,1,8,2,0,0,0
575,4662,0,0,0,2,0,9,3,4,1,1,0,0,1,0,0,0,393,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,7,10,1,0,0,0,0,10,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,4,2,30,0,11,8,0,1,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,12,0,0,0,1,9,0,9,1,0,0,0
600,5118,1,0,0,2,0,16,0,18,1,1,6,0,3,0,0,0,339,0,0,0,1,0,1,1,0,0,0,2,8,0,0,2,0,0,0,12,7,3,0,1,0,0,9,6,0,0,0,8,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,35,0,22,18,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,1,58,0,0,0,0,12,3,2,1,0,0,0
625,5575,0,0,0,2,0,10,1,5,2,0,1,0,0,1,0,0,377,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,4,2,0,0,0,0,3,1,0,0,0,3,3,0,0,0,7,0,1,3,0,0,0,3,0,1,1,26,0,13,34,0,3,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,3,0,5,3,0,0,0
650,6032,0,0,0,0,0,4,0,1,2,1,0,0,0,1,0,0,244,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,4,2,0,1,0,0,7,3,0,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,4,31,0,18,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,11,0,0,2,0,0,0
675,6489,4,0,0,0,0,14,1,0,3,1,1,0,2,0,0,0,252,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,6,2,0,0,0,0,13,0,0,0,0,1,2,0,0,0,6,0,0,3,0,0,0,1,0,0,2,23,0,79,45,0,6,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,123,0,0,0,0,9,0,1,0,0,0,0
700,6945,0,0,0,0,0,20,2,4,18,0,2,0,1,0,0,0,266,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,12,5,0,2,0,0,0,2,0,1,0,0,2,3,1,0,0,9,0,0,1,0,0,0,5,0,0,0,37,0,65,43,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,1,96,0,1,0,0,14,0,6,0,0,0,0
725,7402,4,0,0,2,0,12,0,3,9,1,1,0,0,1,0,0,249,0,0,0,0,1,0,0,0,0,0,6,5,0,0,0,1,0,0,7,7,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,4,0,1,0,32,0,69,30,0,3,0,0,0,0,2,0,0,0,0,22,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,1,76,0,0,0,0,12,0,3,0,0,0,0
