"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Xanthium","Alnus","Ambrosia","Populus","Poaceae","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Larix.laricina","Pinus.strobus.type","Acer.rubrum","Juniperus.Thuja","Dalea.candida","Tilia.americana","Humulus.lupulus","Sarcobatus.vermiculatus","Juglans","Dalea.purpurea","Carya","Iva.annua","Caryophyllaceae","Brassicaceae","Thalictrum","Ephedra","Rosaceae","Ericaceae","Platanus","Vitis","Amorpha","Lamiaceae","Plantago","Galium","Celtis.occidentalis","Symphoricarpos.occidentalis","Shepherdia"
560,6910,317,0,46,7,32,10,16,4,0,19,103,13,9,7,0,1,3,1,2,38,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,7262,356,1,59,2,14,5,40,1,0,17,65,32,10,4,0,1,10,11,7,69,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600,7614,369,1,77,7,12,12,30,2,1,22,87,3,5,5,1,0,1,26,1,64,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,7966,375,1,60,11,11,14,26,7,1,28,96,15,4,9,2,1,7,1,0,60,0,0,1,3,2,5,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
640,8319,360,0,54,9,17,8,32,4,2,36,83,7,7,2,2,0,7,30,2,47,0,0,0,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
660,8671,386,0,86,12,14,8,30,1,0,51,50,10,4,3,0,2,4,40,2,54,0,0,0,5,2,1,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
680,9023,340,0,74,9,26,6,20,0,0,36,35,27,5,2,0,1,4,38,1,48,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
700,9376,368,0,58,25,20,0,42,4,0,46,34,10,6,13,0,0,9,8,1,68,0,0,1,13,2,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
710,9552,323,1,30,19,11,5,12,5,2,82,11,8,2,7,0,1,4,25,3,75,0,0,0,3,1,3,0,0,0,9,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
720,9804,412,0,28,22,7,3,16,4,2,209,14,7,5,15,0,1,3,9,3,41,0,0,0,9,3,1,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
740,10346,411,0,14,57,6,6,20,0,5,148,11,1,1,16,0,1,5,7,8,13,0,1,0,74,2,0,2,4,0,0,1,0,1,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
760,10888,448,0,9,56,3,4,24,4,8,191,17,3,2,30,0,0,2,8,9,7,0,3,1,51,6,0,2,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,NA,393,2,13,84,3,6,10,4,38,144,20,1,2,12,0,0,2,1,5,1,0,3,0,32,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,NA,326,4,19,29,2,3,19,6,103,15,14,9,4,16,1,0,2,4,17,9,0,1,1,3,13,0,5,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
800,NA,352,3,19,24,1,7,15,4,116,19,16,10,1,15,0,0,6,3,18,17,0,1,0,0,22,0,10,0,0,17,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4
