"sample.depths","sample.ages","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Ephedra","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Liriodendron","Magnolia","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Euphorbiaceae","Fabaceae","Iva","Lamiaceae","Malvaceae","Plantago","Poaceae","Polygonum","Diphasiastrum.complanatum","Huperzia.lucidula","Myriophyllum","Nuphar","Sagittaria","Typha","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..crumpled.","Unknown..tetracolporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..triporate."
669,2029,0,2,5,34,1,0,0,2,3,0,1,0,0,0,2,0,0,0,0,1,0,1,151,0,98,0,1,5,1,0,0,0,4,0,0,3,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,11,0,0,2,0
679,2061,0,1,4,44,0,0,0,0,4,0,0,3,1,0,0,14,0,0,0,2,0,1,82,0,143,0,0,6,3,0,1,1,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,16,0,0,0,1
689,2092,0,4,6,31,0,0,0,3,7,0,0,0,0,0,0,4,0,0,1,2,0,0,112,0,162,1,0,6,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,0,0,0,0
699,2124,0,0,5,21,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,2,108,0,190,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,11,0,0,0,0
709,2155,0,1,8,36,4,0,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,1,100,0,162,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0
719,2187,1,0,0,22,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,2,113,0,174,1,0,3,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0
729,2219,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,127,0,151,0,0,4,1,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
739,2276,1,2,4,31,0,0,0,0,4,0,0,1,0,0,2,6,0,0,2,0,0,3,98,0,173,0,0,2,2,0,2,1,4,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,2,13,0,1,0,0
749,2351,0,2,2,19,0,0,0,0,7,0,0,0,0,0,0,4,1,0,1,0,0,1,76,0,163,0,0,4,1,0,1,0,2,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,5,0,0,2,2
759,2427,0,0,5,23,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,3,140,0,110,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
769,2502,5,3,7,35,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,2,1,5,101,0,187,0,0,2,1,0,2,0,2,0,0,2,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,2,14,0,2,0,0
779,2577,1,0,10,18,0,1,0,0,0,0,0,4,1,0,0,7,2,0,0,0,1,2,118,0,196,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,1,0,0,0,0
789,3075,1,1,2,30,0,0,0,0,6,0,0,1,0,0,0,4,0,0,0,2,0,1,92,0,183,0,1,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,5,0,0,1,0
799,3620,1,0,5,39,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,4,138,0,128,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0
809,4165,1,0,0,10,0,1,0,0,0,0,0,3,0,0,1,4,0,0,3,0,0,0,105,0,159,0,0,1,0,0,1,0,3,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
819,4710,0,2,1,31,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,3,88,0,183,1,0,1,0,0,1,0,2,0,0,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,7,0,1,0,0
829,4932,0,1,7,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,73,0,187,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,5120,3,0,3,19,0,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,59,0,199,0,0,7,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,4,0,0,0,0
849,5307,0,1,6,45,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,135,0,105,0,0,7,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
859,5494,0,0,1,29,0,0,0,0,0,1,0,1,0,0,2,6,0,0,0,0,0,2,106,0,156,0,0,6,2,0,2,0,1,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,5,0,0,1,0
869,5681,0,2,7,53,1,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,2,0,128,0,102,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
879,5868,0,0,0,21,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,91,0,186,0,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
889,6055,0,1,4,53,0,0,0,4,0,0,0,2,0,0,2,11,0,0,0,2,0,1,131,0,99,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
899,6243,1,3,3,34,0,0,0,0,1,1,0,10,1,0,1,5,1,0,0,0,0,1,52,0,185,1,0,3,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0
909,6342,0,1,5,48,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,49,0,189,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,6353,0,0,2,18,0,0,0,1,1,0,0,6,0,0,1,2,0,0,0,4,0,1,59,0,226,0,1,5,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,14,0,0,1,0
929,6365,0,1,0,18,0,1,0,0,1,0,0,4,0,0,1,4,0,0,7,1,0,0,46,0,204,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
939,6376,0,2,1,26,0,0,0,0,2,0,0,6,1,0,0,4,0,0,0,1,0,0,50,0,217,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,2,15,0,0,1,0
949,6387,0,2,0,27,0,0,0,0,0,0,0,3,0,0,0,5,2,0,5,8,0,0,79,0,224,0,0,7,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
959,6399,0,0,3,36,0,0,0,0,0,0,0,2,0,0,1,11,1,0,0,2,0,1,78,0,185,0,0,11,2,2,1,0,2,0,0,0,2,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,3,11,0,0,1,1
969,6410,1,0,6,24,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,5,0,2,55,0,210,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
979,6421,2,1,5,14,0,0,0,0,2,0,0,1,2,0,0,6,0,0,0,2,0,0,42,0,228,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18,0,0,1,0
989,6433,1,1,4,35,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,53,0,203,0,0,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,6444,2,1,3,34,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,0,2,57,0,197,0,0,2,4,0,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,2,0
1009,6455,0,1,10,27,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,5,1,1,83,0,195,0,1,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
1019,6467,0,0,3,31,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,2,0,0,95,0,206,0,0,10,2,0,0,0,1,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,1,13,0,1,0,0
1029,6478,0,1,3,30,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,99,0,169,0,0,13,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1039,6498,0,0,1,40,0,0,0,0,0,0,0,5,1,0,0,13,0,0,0,3,0,1,79,0,204,0,0,14,2,0,1,0,1,0,1,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,6,0,10,0,0,1,0
1049,6518,0,0,5,26,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,1,66,0,214,0,0,3,3,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0
1059,6538,2,2,2,37,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,2,56,0,170,0,0,7,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,13,0,0,0,1
1069,6558,0,0,1,42,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,2,73,0,170,0,0,10,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1079,6578,2,0,0,39,0,0,0,0,1,0,0,0,0,1,0,6,2,0,0,2,0,1,71,0,182,0,0,9,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0
1089,6598,0,0,3,27,0,0,0,1,9,0,0,0,1,0,0,3,0,0,0,1,0,1,77,0,165,0,2,11,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0
1099,6618,0,1,5,47,1,0,0,0,2,0,0,0,0,0,1,3,0,0,0,8,0,1,74,0,200,0,0,7,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,18,0,0,1,0
1109,6638,0,2,4,22,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,3,65,0,244,0,0,10,4,0,1,0,2,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1,5,23,0,0,0,2
1119,6658,2,1,6,35,0,0,0,0,1,0,0,1,0,0,0,6,0,1,0,33,0,2,76,0,206,0,0,8,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,4,3,0,1,1,1
1129,6678,0,0,9,35,0,0,0,0,0,0,0,0,2,0,0,10,0,0,15,6,0,0,53,0,194,0,0,5,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,2,1,15,0,2,2,0
1139,6698,0,1,4,25,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,8,0,2,59,0,203,0,0,4,0,0,1,0,1,0,0,6,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,3,14,0,1,0,0
1149,6718,0,2,4,48,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,10,1,1,92,0,210,0,0,6,3,0,1,0,4,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,24,0,1,0,0
1159,6738,2,1,6,14,0,0,0,0,6,0,0,0,0,0,1,6,0,0,2,4,0,3,63,0,186,0,1,9,3,0,0,0,5,0,0,2,4,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,3,2,21,0,0,0,0
1169,6758,0,2,3,36,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,41,1,1,55,0,192,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,3,18,0,2,0,0
1179,6778,0,2,5,35,0,0,0,0,2,0,0,0,0,0,0,11,1,0,0,6,1,2,85,0,175,0,0,9,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,18,0,1,1,1
1189,6798,1,0,5,39,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,2,0,2,82,0,162,0,0,6,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0
1199,6818,2,2,7,35,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,6,0,2,71,0,178,0,0,6,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,26,0,0,0,0
1209,6833,0,1,3,38,2,0,0,0,1,0,1,0,0,0,0,9,0,0,0,1,0,3,84,0,127,0,0,19,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,15,0,0,0,0
1219,6848,0,1,2,41,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,1,1,0,64,0,187,0,1,9,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,1,2,0,5,2,13,0,0,0,0
1229,6863,0,1,1,56,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,11,0,1,110,0,111,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0
1239,6878,1,2,3,38,0,0,0,0,3,0,0,3,0,0,0,12,0,0,0,1,0,2,58,0,202,0,1,7,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,3,0,7,0,0,0,0
1249,6893,0,0,2,44,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,6,0,1,70,0,152,0,0,7,2,0,1,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,12,0,1,0,0
1259,6908,0,0,10,69,1,0,1,0,0,0,0,4,0,0,0,10,0,0,0,1,0,5,67,0,212,0,0,13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,5,1,14,0,0,2,0
1269,6923,0,0,4,67,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,5,1,3,71,0,179,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,9,0,0,0,0
1279,6939,1,1,4,40,0,0,0,1,0,0,1,6,1,0,0,7,0,0,0,0,0,2,73,0,180,0,1,10,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,12,0,0,1,0
1289,6954,0,2,6,20,0,0,0,0,2,0,0,0,2,0,0,10,0,0,2,5,0,1,45,0,210,0,0,11,1,0,1,1,0,0,0,3,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,18,0,1,0,0
