"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Corylus","Cyperaceae","Elaeagnus","Ericaceae","Fraxinus","Herbs.undiff.","Indeterminable","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Trees.undiff.","Typha.Sparganium","Ulmus"
130,3443,1,62,1,0,6,0,64,1,2,0,2,0,0,2,0,0,0,0,0,50,177,0,0,1,0,0,0,0,0,0,7,0,0,0,0
140,3707,0,68,1,0,15,0,68,1,1,0,2,0,0,0,0,0,0,0,0,48,182,1,0,1,0,0,0,3,1,0,5,0,0,0,1
150,3971,0,59,0,0,8,2,71,0,0,0,3,0,0,0,0,1,0,0,0,49,200,2,0,1,0,0,0,2,2,0,1,0,0,0,0
160,4235,3,45,1,0,5,0,65,0,2,0,0,0,1,0,0,1,0,0,0,42,140,2,0,1,0,0,0,2,0,0,2,0,0,0,0
170,4499,0,40,3,0,4,6,81,2,1,0,1,0,0,0,0,0,0,0,0,43,120,1,0,0,0,0,0,2,0,0,2,0,0,1,0
180,4763,1,89,1,0,5,3,98,0,0,0,0,0,1,0,0,3,0,0,0,23,101,2,0,0,0,0,0,1,0,0,3,1,0,0,0
190,5028,0,107,2,0,14,1,107,1,2,0,0,0,0,0,0,1,0,1,0,26,205,3,0,1,1,0,0,2,0,0,0,0,0,0,1
200,5292,1,68,0,0,4,0,80,0,0,0,2,0,0,4,0,1,0,0,0,30,120,3,0,0,0,0,0,6,0,0,0,0,0,0,0
210,5556,1,78,2,1,12,1,73,1,3,0,0,0,0,0,0,2,0,0,0,22,168,1,0,3,0,0,0,2,0,0,3,0,0,0,0
220,5820,0,37,1,0,10,0,66,1,2,0,1,0,0,0,0,0,0,1,0,19,179,1,0,1,0,0,0,4,0,0,2,0,0,0,0
230,6084,5,76,5,1,13,0,90,0,1,0,1,0,0,0,0,2,0,1,0,39,244,2,0,0,0,0,0,3,1,0,1,0,0,0,0
235,6216,1,46,1,0,10,0,97,3,1,0,1,0,2,1,0,1,0,1,0,35,158,0,0,2,0,0,0,2,1,0,0,0,0,0,0
250,6612,0,83,3,3,6,0,108,1,2,0,5,0,0,1,0,0,0,0,0,21,107,3,0,2,0,0,0,4,0,0,0,0,0,1,0
260,6883,0,71,6,2,9,1,155,1,1,0,2,0,0,1,0,1,0,1,0,22,71,0,0,0,0,0,0,8,1,0,1,0,0,0,0
270,7289,1,131,1,1,15,0,151,0,8,0,0,0,0,1,0,0,0,1,0,42,33,2,0,1,0,0,0,7,0,0,1,0,0,4,0
280,7696,0,123,7,7,16,2,101,0,3,0,0,0,5,3,0,0,1,1,0,26,3,3,0,3,0,0,0,7,0,0,1,0,0,2,0
290,8102,0,162,7,0,12,6,140,1,2,0,1,0,2,0,0,1,0,2,0,39,9,0,0,0,0,1,0,4,1,0,0,1,0,3,0
300,8509,0,20,6,0,18,3,136,2,5,0,0,0,0,3,0,0,0,3,0,92,8,1,0,1,0,1,0,10,0,0,0,0,0,4,0
310,8915,0,7,6,4,17,1,198,0,2,0,0,0,1,2,0,0,0,1,0,123,13,4,0,2,0,3,0,9,0,0,1,0,0,10,0
315,9118,0,1,5,0,13,1,44,0,1,0,0,0,1,3,0,2,0,11,0,149,11,3,0,0,0,0,0,4,0,1,0,1,0,5,0
320,9322,0,1,14,2,34,2,64,0,7,0,0,0,3,1,0,1,0,23,0,148,8,2,0,2,0,0,0,6,1,1,1,0,0,6,0
324,9484,0,2,11,1,17,3,38,0,18,0,0,0,0,0,0,0,0,9,0,152,7,4,0,1,0,0,0,5,1,2,1,0,0,4,0
326,NA,0,2,13,7,27,6,58,0,2,1,1,0,1,0,0,0,0,0,0,106,16,3,0,2,0,0,0,3,1,4,1,0,1,2,0
330,NA,3,2,10,1,19,1,51,1,12,0,3,0,8,0,0,1,0,0,0,217,10,0,0,2,0,1,0,6,3,0,0,1,0,0,0
336,NA,1,5,19,7,44,2,63,3,15,0,1,0,0,7,0,1,0,0,1,43,22,12,0,15,0,0,0,34,0,6,4,2,0,0,0
340,NA,0,12,13,9,31,0,60,0,25,0,1,0,0,4,0,3,0,4,0,145,32,17,1,11,0,1,1,10,3,1,3,1,0,0,0
