"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Viburnum.edule","Salix.undiff.","Populus.tremuloides.type","Pinus.resinosa.type","Rhamnus.cathartica","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ilex.Nemopanthus.undiff.","Acer.spicatum","Saxifraga.oppositifolia.type","Viburnum.opulus","Asteraceae.subf..Cichorioideae","Impatiens","Prunus.pensylvanica","Rosaceae.undiff.","Acer.saccharinum","Nemopanthus.mucronatus","Amaranthaceae","Morus.rubra.type","Juglans.nigra","Populus.balsamifera.type","Fraxinus.americana.type","Apiaceae","Asteraceae.undiff.","Picea.cf..P..glauca","Cornus","Sambucus","Onagraceae","Thalictrum","cf..Oxyria.digyna","Ephedra","Salix.herbacea.type","Sedum"
250,3866,558,0,1,13,0,1,0,306,0,2,0,69,9,7,3,2,2,3,46,14,2,3,0,12,7,0,2,15,2,0,1,3,2,11,0,6,0,0,0,2,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4253,936,2,2,6,3,3,1,501,1,2,1,60,15,5,3,3,3,3,78,43,3,1,0,18,18,0,1,21,0,1,2,3,12,103,0,6,0,0,1,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4639,914,1,3,18,4,2,0,444,1,5,0,78,19,8,3,2,5,8,39,49,1,3,0,22,15,2,2,20,1,0,4,0,12,107,0,14,0,2,1,0,0,15,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5437,379,0,2,7,2,0,0,167,0,0,0,40,7,1,2,0,7,7,19,15,0,1,0,13,4,2,1,11,2,0,0,0,3,38,0,19,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,5916,541,0,0,0,12,0,0,210,0,3,0,8,6,1,3,0,2,0,17,20,0,2,0,13,0,2,0,22,3,0,1,7,16,20,0,167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6235,596,1,0,6,1,1,0,302,0,3,2,20,12,2,2,0,0,0,25,20,6,1,0,14,1,1,0,19,0,0,1,0,8,40,0,94,1,0,2,2,0,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,6713,617,0,3,2,16,0,0,277,1,0,0,9,14,0,1,2,5,0,36,17,0,2,2,12,0,0,0,16,1,0,3,6,14,49,0,119,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,7032,541,1,0,14,2,0,0,198,0,1,0,6,10,2,0,0,1,2,47,30,2,1,0,16,0,1,0,15,0,0,2,0,2,82,0,100,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,7244,670,0,0,9,3,0,0,231,0,2,0,5,11,6,1,4,6,2,61,31,3,2,0,10,2,0,1,15,1,0,2,0,14,114,0,127,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7562,688,0,0,10,3,2,1,127,1,4,2,6,4,7,0,0,6,0,112,81,3,2,0,13,1,2,5,7,1,0,2,1,31,188,0,58,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7774,413,0,3,0,1,0,0,80,0,3,0,9,9,9,1,0,1,1,54,57,2,0,0,13,0,1,4,5,0,0,0,2,23,100,0,25,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,8092,822,2,0,4,7,3,1,99,1,1,0,5,20,2,0,0,7,7,180,125,3,0,1,26,2,2,7,8,0,0,3,3,53,223,0,19,0,0,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,8304,501,0,3,3,7,4,0,96,0,0,1,14,11,4,1,3,3,3,18,69,0,0,0,28,0,0,1,7,0,0,1,0,37,179,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,8622,844,0,0,5,19,2,0,244,0,4,1,3,4,3,0,5,3,8,164,42,5,0,0,15,0,0,6,6,0,1,6,12,57,210,0,5,0,1,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
465,8939,546,0,0,4,12,1,1,115,0,9,0,2,8,3,1,2,0,3,33,26,0,1,0,14,0,1,1,4,2,0,0,3,117,179,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,9151,489,0,0,4,2,1,0,111,0,0,0,5,4,1,0,3,4,0,42,12,0,0,0,3,0,0,6,0,0,0,0,1,87,191,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
485,9363,746,0,0,5,20,2,0,223,0,12,0,6,14,1,1,1,3,4,20,40,0,0,2,10,1,2,5,5,5,0,0,5,204,148,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,9727,750,0,0,2,34,0,2,226,2,7,0,0,13,5,0,0,4,10,103,29,4,0,0,8,7,5,8,3,0,0,7,8,177,68,0,5,0,2,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,10182,1073,0,0,5,67,2,2,230,0,8,0,0,8,2,0,3,7,5,259,37,3,0,2,20,2,10,5,3,0,0,6,32,229,88,0,3,0,4,13,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
525,10485,604,0,0,1,69,1,1,173,0,3,1,0,3,0,0,2,6,10,91,29,0,0,2,6,1,8,1,3,0,0,5,10,125,20,0,1,0,9,10,4,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
535,10788,522,0,1,0,30,0,2,225,0,4,0,2,5,0,0,2,8,7,50,23,0,0,0,3,1,0,0,3,0,0,2,13,91,18,0,1,0,0,16,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,4,0,0,0,0,0,0,0,0
542.5,11016,856,0,0,18,47,1,4,418,0,8,0,0,9,2,0,2,10,29,26,51,0,0,1,10,5,10,0,3,1,0,7,35,86,3,0,6,0,9,43,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
550,11060,543,0,0,0,34,3,2,181,0,13,0,0,4,0,0,4,5,32,29,32,4,0,4,7,14,8,2,4,1,0,2,56,16,27,0,1,1,5,24,1,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0
560,11120,797,0,1,5,7,1,6,153,0,21,0,0,13,2,0,1,8,77,28,78,0,0,5,12,29,5,1,0,2,1,6,55,65,21,0,2,0,11,129,4,0,2,24,0,0,0,0,0,0,0,0,0,0,1,1,0,16,0,0,0,4,0,0,0,0,0,0,0,0
575,11209,1066,0,0,4,7,5,11,178,1,44,2,2,1,1,1,1,7,20,15,42,3,0,6,6,76,5,1,4,0,1,4,148,28,32,0,1,2,15,318,2,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,2,2,1,0,0,0,0,0
584,NA,585,0,0,0,8,0,4,122,0,24,0,0,0,0,0,1,1,5,3,16,0,0,9,6,31,3,3,1,0,0,3,73,32,14,0,0,0,21,133,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,65,0,0,0,0,0,0,0,1,0,0,0,0
594,NA,357,0,0,5,7,0,5,169,0,23,5,3,3,0,0,0,0,6,0,10,0,0,2,3,2,3,0,0,0,0,0,2,23,21,0,2,0,12,32,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
600,NA,733,0,0,2,7,4,17,71,0,32,0,2,4,8,1,1,2,37,65,28,2,1,1,3,2,38,5,1,1,0,8,0,195,7,0,1,1,159,5,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
605,NA,607,0,0,8,11,5,18,112,2,37,1,2,21,10,0,0,2,54,11,69,3,0,3,8,7,57,1,1,4,0,4,1,81,1,0,1,0,36,10,0,0,6,3,0,0,0,0,0,0,0,2,0,0,2,0,0,6,1,1,0,0,0,0,1,0,2,1,1,0
610,NA,477,0,0,7,23,3,18,63,0,16,0,1,5,6,0,2,1,37,34,23,6,1,3,1,4,65,3,1,0,1,2,0,113,2,0,0,0,8,10,0,0,1,11,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
615,NA,442,0,0,16,43,8,12,84,1,11,2,2,2,4,0,1,0,25,17,25,0,1,10,8,9,30,0,0,2,3,0,0,91,1,0,1,0,5,6,0,0,6,10,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
620,NA,86,0,0,0,1,1,0,6,0,3,0,0,0,2,0,1,0,15,8,4,0,1,1,2,0,5,0,0,0,0,0,0,23,2,0,1,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,NA,404,0,0,7,34,6,7,87,1,18,0,0,4,4,0,0,1,22,28,18,0,0,4,4,13,13,1,0,2,1,0,2,96,2,0,0,0,7,4,0,0,6,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,NA,298,0,0,1,6,1,0,96,0,26,0,10,2,3,0,1,3,3,35,10,0,0,2,4,4,7,2,1,1,1,4,1,30,35,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
