"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Carya.ovata","Caryophyllaceae","cf..Callitriche","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.sibiricum.type","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
160,4243,2,0,0,14,165,1,0,0,3,1,0,219,0,0,0,1,9,0,0,0,0,1,0,0,3,0,0,0,16,0,0,3,6,1,0,0,0,8,0,9,0,0,1,0,0,0,2,165,36,31,3,11,0,2,1,0,1,0,3,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,1,0,19,5,0,0
180,4774,1,0,0,3,161,0,1,0,3,1,0,198,0,1,0,4,11,0,0,0,0,1,0,0,1,1,0,0,12,0,0,0,2,2,0,0,0,7,1,6,0,0,4,2,0,1,7,83,23,22,3,5,0,0,0,1,2,0,0,1,1,0,0,1,0,1,19,1,0,0,0,0,0,0,0,0,33,1,0,0
200,5304,5,0,0,9,93,1,0,0,2,0,0,166,0,0,0,1,5,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,6,6,0,0,0,2,2,5,0,0,1,0,0,0,2,56,20,11,4,4,0,1,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,9,2,0,0
220,5835,2,0,0,9,179,0,1,0,1,0,0,157,0,0,2,2,6,0,0,0,0,5,0,0,1,0,0,0,16,0,0,2,3,4,0,0,0,4,1,8,0,0,2,0,0,0,1,112,22,11,8,2,0,3,0,2,2,0,0,0,1,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,13,1,0,0
238,6312,0,0,1,3,121,0,1,0,1,6,0,372,0,0,0,0,4,0,0,0,0,3,0,0,1,2,2,0,16,0,0,2,2,3,0,0,0,2,1,17,0,0,0,0,0,1,1,91,16,11,1,1,0,1,0,6,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,9,0,0
239,6339,0,1,0,14,220,10,18,0,29,0,0,158,0,0,0,1,8,0,0,0,0,13,0,0,4,1,0,1,9,0,0,1,10,1,0,0,0,0,0,8,0,0,0,0,0,0,4,32,1,23,5,1,1,19,1,11,4,0,1,0,3,0,0,13,0,0,14,1,0,0,0,0,0,0,2,0,3,5,0,0
240,6365,0,0,0,2,131,0,3,0,1,1,0,210,0,0,0,3,8,0,0,0,0,1,0,0,2,0,0,0,26,0,0,2,2,1,0,0,1,2,0,9,0,0,0,1,0,0,3,86,18,10,5,2,0,1,1,11,1,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,8,5,0,0
245,6498,0,0,0,16,140,0,0,0,4,3,0,213,0,0,1,0,11,2,0,0,0,1,0,0,2,0,0,0,16,0,0,1,2,6,0,0,0,2,0,9,0,0,0,0,1,0,0,91,30,12,6,0,0,4,1,1,1,0,0,0,0,0,0,2,0,0,11,2,0,0,0,0,0,0,0,0,3,2,0,0
250,6630,0,0,0,4,171,0,0,0,5,1,0,232,0,2,0,0,7,0,0,0,0,0,0,1,2,0,1,0,25,0,0,1,2,0,0,0,0,4,4,9,0,0,0,0,0,0,0,158,17,23,2,2,0,7,0,4,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
255,6763,0,0,0,4,241,0,1,0,2,3,0,326,0,1,0,1,13,0,0,0,0,1,0,0,5,0,1,0,32,0,0,0,1,0,0,0,0,11,3,15,0,0,4,0,0,0,0,154,16,18,2,4,0,2,5,4,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
260,6896,0,0,0,1,128,0,1,0,1,2,0,219,0,0,0,3,3,0,0,0,0,0,0,1,1,0,1,0,10,0,0,4,3,0,0,0,0,2,0,5,0,0,1,0,0,0,3,72,14,8,3,2,0,2,0,7,2,0,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,17,4,0,0
270,7161,0,0,0,1,195,0,1,0,7,0,0,289,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,1,30,0,0,2,0,3,0,0,0,4,2,13,0,0,2,0,0,0,2,153,25,19,6,4,0,2,0,8,0,0,3,0,0,0,0,6,0,0,8,1,0,0,0,0,0,0,0,0,3,1,0,0
280,NA,0,0,0,0,127,3,6,0,6,0,0,49,1,0,1,0,5,0,0,0,0,1,0,0,2,1,0,0,10,0,0,5,1,10,0,0,0,13,0,4,0,0,0,0,0,1,3,108,9,24,5,3,0,6,3,41,0,0,2,0,0,0,0,5,0,0,14,1,0,0,1,0,0,0,3,0,5,5,0,0
288,NA,1,0,0,0,48,12,6,2,19,15,0,67,0,0,0,3,74,0,0,0,2,0,0,1,4,1,0,0,0,0,1,5,10,1,0,0,0,89,1,2,0,0,0,0,0,5,0,48,5,112,1,8,0,8,3,17,1,0,14,0,1,0,4,7,2,0,2,0,1,0,0,0,0,0,4,1,4,17,0,1
295,NA,0,0,0,4,93,16,37,0,45,5,0,127,0,4,0,1,39,0,0,0,0,1,2,1,3,0,2,1,0,0,0,13,7,3,0,0,0,40,0,10,0,0,0,0,0,0,4,71,14,125,7,32,0,27,2,34,2,0,8,0,0,0,4,52,4,0,14,0,0,0,0,0,1,1,3,1,9,10,0,0
