"sample.depths","sample.ages","Abies","Acer","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Isoëtes","Juglans","Larix","Liquidambar","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Quercus","Rumex","Salix","Sphagnum","Tilia","Trees.undiff.","Tsuga","Ulmus","Unknown"
315,10133,0,4,8,2,1,2,0,0,0,33,2,0,0,3,0,2,13,5,4,2,7,10,0,0,0,36,0,10,2,11,31,191,0,1,6,2,145,3,0,0,0,0,7,5,1
325,10339,0,2,3,0,0,0,0,1,5,23,0,0,1,0,6,8,59,4,0,2,10,18,0,0,0,37,0,6,0,32,34,208,0,1,5,2,61,1,0,0,0,1,16,4,2
335,10842,1,0,6,2,0,0,0,1,3,20,0,1,3,0,2,7,67,4,0,1,18,28,0,1,0,21,0,9,2,32,31,182,0,1,2,0,52,1,2,0,1,0,3,3,0
345,11344,3,5,3,1,0,1,0,0,3,36,0,0,7,0,0,3,49,2,3,2,2,18,0,0,0,21,0,6,1,39,61,231,0,1,1,0,41,0,0,1,0,0,0,2,0
355,11846,7,0,8,21,0,1,0,0,3,44,1,0,25,0,0,8,27,2,5,2,18,8,0,1,0,15,0,5,28,60,21,201,0,1,5,0,29,2,0,1,0,1,3,7,4
365,12335,8,1,18,129,0,0,0,1,1,34,0,0,1,0,1,2,12,0,2,3,10,0,0,4,0,0,0,6,104,57,25,170,1,0,11,1,4,3,0,2,0,5,1,1,0
375,12818,5,0,15,49,0,0,0,1,1,8,1,0,2,0,0,3,15,1,1,0,11,5,0,2,1,2,0,4,108,53,4,159,0,1,10,1,8,7,0,2,0,0,0,2,0
380,13059,3,0,4,11,1,0,0,0,2,10,0,0,22,0,1,1,22,1,5,0,14,4,0,1,0,1,0,8,40,42,3,150,0,0,2,0,10,6,1,1,0,0,0,0,1
385,13300,2,0,2,1,0,0,0,0,1,11,0,0,16,0,2,4,4,0,6,0,11,0,0,0,0,4,0,15,94,127,1,199,0,1,4,0,27,2,1,2,0,0,0,0,3
390,13541,6,0,0,0,1,0,0,1,1,17,0,0,23,0,6,10,2,0,5,1,19,0,0,0,0,1,0,10,150,32,1,64,0,0,6,2,12,5,2,1,0,0,0,1,6
393,NA,3,0,0,1,0,1,1,0,4,8,0,0,90,0,0,5,4,0,8,4,12,0,0,2,2,0,0,10,125,14,0,40,0,0,9,0,13,7,4,1,0,0,0,1,4
428,NA,3,0,0,0,0,0,0,2,16,1,0,0,23,0,0,2,10,0,0,1,59,0,0,0,0,15,0,7,111,11,2,25,0,0,28,0,9,9,2,1,0,0,1,1,0
