"sample.depths","sample.ages","upland.sum","Betula","Bumelia","Celtis","Asteraceae.undiff.","Quercus","Rhizophora","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Cyperaceae.undiff.","Avicennia","Conocarpus","Casuarina","cf..Acanthaceae","Sophora","Carya","Fabaceae.undiff.","Liquidambar","Poaceae","Aster","Ilex","Alnus","Euphorbiaceae","Schinus","Bursera.simaruba","Hippocratea","Cephalanthus","Cornus","cf..Coccoloba","Ericaceae","Trema","Ostrya.Carpinus","Fraxinus","Juglans","Cyrilla.racemiflora","Polygonaceae","Cupressaceae.Taxaceae","Ephedra","Fagus"
21,101,160,0,0,0,2,4,6,0,0,54,60,0,2,6,2,0,4,0,0,8,0,0,4,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,152,308,0,4,0,0,6,6,0,0,76,132,2,6,0,12,0,0,0,0,18,0,2,26,2,4,6,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0
25,202,224,2,0,0,0,10,16,0,0,44,104,8,0,0,2,0,0,0,0,18,0,0,12,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,253,178,0,6,0,2,4,2,0,2,26,110,2,0,0,2,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
29,304,234,0,6,0,6,12,10,0,0,64,96,0,0,2,8,2,0,2,0,12,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,380,260,0,2,0,0,2,12,0,0,40,166,10,0,0,14,0,0,0,0,0,2,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
35,404,634,2,2,0,2,10,6,0,0,58,528,6,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
37,429,628,0,0,0,2,8,0,0,0,62,534,4,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0
39,454,630,0,0,0,0,6,0,0,0,6,608,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,479,548,0,0,0,0,8,0,0,0,22,496,6,2,0,0,0,0,0,4,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,503,644,0,0,0,0,12,12,2,0,48,522,16,0,0,2,0,0,0,2,14,2,4,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,528,774,0,0,0,0,10,8,0,0,42,668,12,0,0,0,0,0,4,0,10,0,4,2,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0
47,553,704,0,2,0,2,10,0,0,0,46,606,10,4,0,0,0,0,4,2,6,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0
49,578,730,0,0,0,0,12,4,0,0,72,594,8,6,0,2,0,0,2,0,8,2,10,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,603,362,0,0,0,0,6,2,0,0,16,322,6,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
53,627,144,0,0,2,0,4,6,0,0,16,88,8,6,0,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
55,652,188,0,0,10,4,14,6,0,0,0,120,14,0,0,4,0,0,0,0,4,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
61,811,494,0,0,0,2,20,0,0,6,14,376,8,48,0,0,0,0,0,0,4,8,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
63,920,1004,0,0,0,0,18,0,0,0,60,838,54,0,0,0,0,0,0,2,10,0,10,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1029,618,0,0,0,2,16,2,2,4,50,492,26,0,0,0,0,0,2,2,12,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
67,1138,390,0,0,0,0,8,0,0,0,26,326,10,2,0,0,0,0,0,0,2,0,4,4,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
69,1247,484,0,0,0,2,8,0,0,0,74,352,22,0,0,0,0,0,0,0,8,2,0,0,4,2,0,0,4,0,0,0,0,2,2,0,0,0,2,0,0,0,0
71,1356,566,0,0,0,0,14,0,0,0,92,432,12,0,0,0,0,0,0,2,4,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
73,1465,600,0,0,0,0,8,0,0,0,80,492,6,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
75,1574,1644,0,0,4,0,28,4,0,0,296,1196,50,0,0,4,0,0,0,0,6,2,6,0,22,8,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1683,726,0,0,0,0,26,0,0,0,120,518,18,2,0,0,0,0,0,0,16,2,0,2,6,4,0,0,8,0,0,0,0,0,0,2,0,0,0,0,2,0,0
79,1792,578,0,0,0,8,16,2,2,0,98,372,18,46,0,0,0,0,0,0,0,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1901,352,0,0,2,2,4,0,0,0,8,318,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
