"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Arceuthobium","Armeria","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cistaceae","Clethra","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Diphasiastrum.complanatum.type","Elymus","Ericaceae","Eriocaulon","Fagus","Fraxinus","Gentianaceae","Haloragaceae.undiff.","Herbs.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liliaceae","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis"
155,8430,0,1,0,2,8,0,7,0,0,0,0,0,4,0,3,0,0,0,26,0,0,1,0,0,0,0,4,187,4,0,0,7,0,5,5,0,0,52,0,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,13,55,0,3,2,0,0,0,118,0,3,3,0,0,0,0,0,0,0,319,0,0,0,0,1,0,0,0,1,0,1,0,48,0,0,0,1,0,4,8,55,6,0,1,0,1
163,8828,0,3,0,0,4,0,4,1,0,0,0,0,0,0,2,0,0,0,23,0,1,0,0,0,0,0,0,44,6,0,0,1,0,1,2,0,0,43,0,0,6,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,0,6,6,0,2,3,0,0,0,88,0,3,4,0,0,0,0,0,0,0,225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0
177,9524,0,0,0,0,3,0,1,5,0,0,0,0,19,0,4,5,0,0,21,0,0,0,0,0,0,0,3,49,17,0,0,1,0,8,1,0,1,20,0,0,2,0,1,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,12,7,0,2,5,0,1,0,60,0,2,3,0,0,0,0,0,0,0,262,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0
191,10220,0,2,0,0,8,0,5,2,0,0,0,0,1,0,4,6,0,0,17,0,0,0,0,0,2,0,4,20,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,7,1,0,2,0,0,0,0,57,0,7,8,0,0,0,0,0,0,0,320,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,5,3,1,0,0,0,0
207,11015,0,1,0,0,4,0,8,2,0,0,0,1,7,0,5,8,0,0,15,0,1,1,0,0,3,0,2,45,14,0,0,0,0,5,4,2,0,5,0,0,3,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,20,1,0,0,5,0,0,0,61,0,0,16,0,0,0,0,0,0,0,392,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,8,4,9,0,0,0,0,0
220,11662,0,1,0,1,31,0,10,7,0,0,0,0,11,0,17,0,0,0,18,0,0,0,2,0,0,0,15,20,3,0,0,1,0,32,2,0,0,0,0,2,17,387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,5,36,0,42,0,126,0,1,4,0,0,0,0,0,0,1,369,0,1,0,1,1,0,0,0,0,0,0,1,6,0,0,0,1,0,4,5,6,0,0,0,0,1
230,12159,0,2,0,0,4,1,8,0,0,0,0,0,2,0,7,0,0,0,13,0,1,0,0,0,0,0,3,94,1,0,0,0,0,6,1,0,0,0,0,0,8,12,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,2,5,0,2,0,76,0,0,25,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,5,2,2,0,0,0,0,1
238,12557,0,4,0,1,7,0,8,0,0,0,0,0,12,0,13,17,0,0,24,0,1,2,0,0,0,0,3,60,11,0,0,0,0,9,3,0,0,1,0,3,1,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,29,1,0,5,7,0,0,1,86,0,3,29,0,0,0,0,0,0,0,686,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,8,0,9,11,8,4,0,0,0,3
260,13539,1,1,0,3,38,0,13,10,0,0,0,2,22,0,39,0,0,0,17,0,0,0,0,0,0,0,17,18,27,0,0,2,3,11,8,0,0,0,0,9,15,3346,0,2,0,0,0,1,0,0,1,1,0,1,0,1,5,0,1,4,0,8,86,0,89,1,384,1,4,19,0,0,0,1,0,0,0,509,1,0,0,0,2,0,0,0,0,0,0,1,5,0,1,0,2,0,10,12,12,0,0,0,1,1
275,14076,1,0,0,1,16,0,4,0,0,0,0,1,12,0,14,0,0,0,2,1,0,0,0,0,0,0,3,6,18,0,0,3,1,2,5,0,0,0,0,0,0,12256,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,1,0,2,13,0,115,0,444,0,0,13,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,4,0,0,0,0,0,0
285,14433,1,0,0,0,5,0,1,0,0,0,0,2,11,0,0,0,0,0,1,1,1,0,0,0,0,0,11,0,23,0,0,2,1,0,1,0,0,0,0,0,1,10578,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,159,0,265,0,0,14,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
295,14791,1,0,0,0,14,0,2,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1,14493,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,160,3,413,0,1,8,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0,0
305,15149,2,0,0,0,8,0,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,27,0,0,3,1,0,1,0,0,0,0,0,0,23347,0,0,0,1,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,1,0,148,0,452,0,1,14,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0,2,0,1,0,0,6,0,5,0,0,0,0,2,1,0,0,0,0,0
320,15685,6,0,0,0,17,0,3,3,0,0,0,3,10,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,41,0,0,2,0,0,1,0,0,0,0,0,0,5312,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,288,0,518,0,0,14,0,0,0,0,0,0,1,14,0,0,0,0,4,1,0,2,0,0,0,1,6,0,3,0,0,0,0,3,1,0,0,0,0,0
330,16764,1,0,0,0,15,0,2,1,0,0,0,1,16,0,4,0,0,0,1,0,1,0,0,0,0,0,6,0,25,0,0,2,0,0,1,1,0,0,0,0,1,4194,0,0,0,1,0,0,0,0,2,1,0,0,0,3,2,0,0,0,1,0,1,0,212,0,451,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,1,0,0,0,0,20,0,0,0,0,0,0,2,2,0,0,0,2,0
335,17394,5,0,0,1,29,1,8,1,0,2,1,5,28,2,2,0,0,0,1,1,0,0,0,0,0,0,14,3,44,0,0,0,1,0,0,0,0,0,1,1,0,2283,0,0,0,0,0,0,0,3,0,4,0,2,0,6,1,0,0,0,0,0,2,0,250,0,410,0,0,18,0,0,0,0,0,0,1,15,5,0,0,2,1,0,0,1,0,0,0,1,10,0,9,0,0,0,0,8,0,0,0,0,0,0
355,19871,6,0,0,0,8,0,5,1,0,0,0,4,14,0,2,0,0,0,0,1,0,0,1,0,0,0,8,1,44,0,1,2,0,0,2,0,0,0,0,0,3,4334,0,0,0,2,0,0,0,8,4,2,1,0,0,6,1,0,0,0,0,0,4,0,187,0,767,0,2,11,0,0,0,0,0,0,0,25,2,1,1,0,3,0,0,1,0,0,0,0,17,0,8,0,0,0,0,6,0,0,0,0,0,0
370,21132,6,0,0,0,16,0,4,0,1,1,0,3,15,1,4,0,0,0,2,0,0,0,0,1,0,0,8,7,39,0,0,3,1,0,2,0,1,0,0,0,1,4986,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,1,0,0,4,0,44,0,633,0,2,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,8,0,6,0,0,0,0,7,6,0,0,0,0,0
380,22151,14,0,0,0,18,2,1,2,0,2,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,33,0,0,3,1,0,2,0,0,0,0,1,0,9693,0,0,1,0,0,0,0,7,0,2,0,0,0,4,2,0,0,0,0,0,0,0,109,0,463,0,0,11,0,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,1,15,0,5,0,0,0,0,3,1,0,0,0,1,0
390,24774,6,0,0,1,15,0,4,1,0,0,0,4,21,1,0,0,0,0,1,1,0,0,0,0,0,0,4,4,30,0,0,6,1,0,1,0,0,0,2,1,0,10625,0,0,0,0,1,0,0,3,0,2,0,0,0,2,0,0,3,0,0,3,3,0,98,0,582,0,1,16,0,0,0,0,1,0,1,11,0,0,1,0,0,0,0,0,0,0,1,0,18,0,4,0,0,0,1,6,6,0,0,0,0,0
400,27398,2,0,0,0,16,0,4,0,1,0,0,1,25,1,4,0,1,0,2,2,0,0,0,0,0,0,4,130,21,2,0,26,0,0,2,0,0,0,0,1,5,4100,0,0,0,1,0,0,0,0,2,1,0,0,0,6,1,0,0,0,0,3,2,0,28,0,623,0,0,24,1,1,0,2,0,0,0,35,0,0,1,1,2,0,0,1,0,0,0,0,28,0,5,0,0,0,0,4,12,0,0,0,6,0
404,28447,0,0,0,0,89,1,6,4,0,0,0,8,128,0,25,2,0,0,0,0,2,0,1,0,0,0,5,438,128,0,0,54,1,0,2,0,0,1,0,12,8,1246,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,16,7,1,18,8,473,1,5,73,1,0,0,0,0,0,1,102,0,0,0,0,4,1,1,0,0,0,0,1,161,1,5,0,1,0,1,20,22,0,0,0,8,1
410,30021,0,0,0,0,80,1,11,3,0,0,0,1,65,0,19,4,0,0,3,0,2,0,2,0,1,0,11,467,74,0,0,32,0,2,5,0,0,1,0,7,0,1397,0,0,0,0,0,0,0,0,2,0,0,0,0,11,3,0,4,0,0,10,3,1,11,2,516,0,2,60,1,0,0,1,0,0,0,114,0,0,0,0,8,3,0,1,0,0,0,1,53,0,2,0,0,0,1,13,21,0,0,1,4,1
418,32120,0,0,0,0,62,1,7,4,0,0,0,8,47,0,22,1,0,0,2,1,0,0,1,0,0,1,7,134,64,0,0,22,1,0,2,0,0,1,0,2,6,751,0,0,0,0,0,0,0,0,3,1,0,0,0,6,6,0,0,0,0,5,12,0,13,8,318,0,0,67,1,0,0,0,0,0,0,55,0,0,0,0,2,1,0,0,0,0,0,1,20,0,4,0,1,0,1,13,16,0,0,0,0,2
433,NA,1,0,0,0,103,1,4,7,8,0,0,3,26,0,23,5,0,0,6,1,2,1,1,0,1,0,15,784,78,0,0,16,0,0,5,0,0,1,0,2,1,481,0,0,1,0,1,0,0,0,1,0,0,0,0,5,4,0,1,0,0,10,14,0,33,0,179,0,1,74,0,1,0,2,0,0,0,247,1,1,0,1,5,0,0,0,0,0,1,0,9,0,5,0,0,0,1,20,10,0,0,0,2,0
455,NA,1,0,0,2,116,2,3,3,0,1,0,5,43,0,23,10,0,1,6,1,2,0,0,1,0,0,15,85,144,0,0,10,1,1,4,0,0,0,0,4,3,611,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,1,0,8,8,1,20,0,211,0,4,67,0,0,0,1,0,0,0,191,0,2,0,3,4,0,0,2,0,0,1,0,15,0,12,0,0,0,1,15,16,0,1,0,5,0
