"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dryopteris.type","Equisetum","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium","Zea.mays"
100,53,0,0,0,2,0,5,7,128,0,0,0,4,2,22,0,0,0,0,0,0,0,0,0,16,5,0,1,0,4,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,1,1,0,1,3,0,13,1,0,106,0,4,11,5,17,0,0,0,0,10,3,2,0,0,0,1,0,3,0,2,2,0,10,6,0,0,0
110,61,0,0,0,2,0,2,8,68,0,0,0,3,3,4,0,0,2,0,0,0,0,0,8,13,1,0,0,0,1,0,2,1,0,0,0,8,0,0,0,0,1,0,0,1,0,2,0,0,1,1,9,0,0,136,0,17,0,3,16,1,0,0,0,0,3,0,1,0,0,5,0,0,1,1,2,2,15,6,0,0,0
120,69,0,0,0,7,0,4,2,62,0,0,0,8,5,5,0,2,1,0,0,0,0,1,1,10,22,0,0,0,4,5,4,3,7,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,771,0,10,3,2,11,0,0,0,0,0,3,2,0,0,0,2,0,1,0,6,1,0,10,3,0,0,0
130,77,0,0,0,2,0,4,10,107,0,0,2,4,7,5,0,0,1,0,0,0,0,0,0,11,19,0,1,0,3,0,1,2,3,0,0,19,0,0,0,0,0,0,0,0,1,2,0,0,1,1,22,3,0,273,0,15,0,2,17,1,0,0,0,3,3,0,0,0,0,1,0,0,0,3,5,2,7,8,0,0,0
140,85,0,0,0,2,0,2,0,33,0,1,0,3,2,15,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,4,0,3,3,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,1,0,21,2,0,991,0,10,0,3,10,0,2,0,0,0,3,0,0,0,0,0,1,3,0,6,5,3,16,7,0,0,1
150,94,0,0,0,7,0,0,1,6,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,8,10,0,0,0,0,0,0,1,1,0,0,14,0,0,1,0,1,0,4,0,0,0,0,1,5,0,10,0,0,38,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,4,2,0,0,0
160,102,0,0,0,7,0,8,3,28,0,0,1,0,1,3,0,0,2,0,0,0,0,0,0,2,12,0,0,0,4,7,4,6,10,0,0,20,0,0,0,0,0,0,0,0,5,4,0,0,1,0,39,0,1,85,0,1,0,3,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,2,6,0,5,2,1,0,0
170,110,1,0,0,3,0,2,1,18,0,0,0,0,3,6,0,0,5,0,0,0,0,0,0,8,21,0,1,0,0,6,0,6,6,0,0,12,0,0,0,0,0,0,1,0,0,6,0,0,2,0,26,0,2,104,0,2,0,4,16,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,2,9,0,0,0,0
180,118,2,0,0,3,0,6,0,9,0,0,0,1,0,9,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,4,2,2,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,31,0,1,31,0,2,0,3,17,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,6,1,14,1,0,0,0
190,126,0,0,1,4,0,5,0,2,0,0,0,0,0,10,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,2,0,0,1,0,1,0,0,0,1,7,0,0,4,0,0,1,0,51,1,0,12,0,1,0,2,10,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,4,3,5,1,0,0,0
200,135,0,0,0,1,0,3,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,16,5,0,5,0,0,2,0,0,0,0,0,0,0,1,0,10,0,0,2,0,20,0,1,182,0,2,1,3,20,3,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,5,7,1,0,0,0
210,143,0,0,1,3,0,4,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,5,0,57,0,0,16,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,5,0,0,0,0
220,171,0,0,0,3,0,3,0,1,0,0,1,2,0,7,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,3,4,0,0,7,0,0,1,0,0,0,0,0,0,3,0,0,3,0,43,0,1,6,0,2,0,1,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,6,1,0,0,0
230,231,0,0,0,3,0,5,0,0,0,0,0,1,0,11,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,2,1,3,4,0,0,3,0,1,0,0,0,0,4,0,0,3,0,0,5,0,31,1,0,4,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,1,8,0,0,0,0
250,349,0,0,0,9,0,5,1,0,0,0,0,1,0,15,0,0,2,0,0,0,0,0,2,15,4,0,0,0,0,5,0,3,3,0,0,12,0,0,0,0,0,0,0,3,0,13,0,0,3,0,73,0,0,164,0,0,0,6,50,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,1,10,2,0,0,0
260,409,0,0,0,5,0,4,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,10,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,8,0,0,4,0,35,2,0,4,0,1,0,0,17,2,0,0,0,0,1,0,0,0,0,1,1,1,0,3,6,1,4,0,0,0,0
300,646,0,0,0,3,0,1,0,2,0,0,2,1,0,5,0,0,1,0,0,0,0,0,0,6,4,0,1,0,0,11,1,4,5,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,13,1,19,0,2,56,0,6,0,2,14,0,1,0,0,0,2,0,0,0,0,3,0,0,1,4,7,2,14,5,0,0,0
320,765,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,11,1,2,3,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,1,46,0,1,19,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
350,943,0,0,1,28,1,4,2,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,3,12,0,0,0,0,17,0,0,0,0,0,23,0,3,1,0,0,0,0,0,1,0,0,0,1,0,12,0,4,6,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,12,0,5,2,0,0,0
380,1121,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,18,2,4,6,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,5,0,37,0,0,31,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,3,0,0,0
400,1239,0,0,1,5,0,3,0,1,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,12,1,2,3,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,5,1,30,0,0,2,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,2,12,0,0,0,0
420,1358,0,0,2,23,0,4,0,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,3,1,0,0,1,0,0,20,0,2,0,0,0,17,0,1,0,0,0,0,0,0,2,0,0,0,1,0,54,0,0,9,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,21,1,0,0,0
480,1714,0,0,0,6,0,2,0,0,0,0,0,0,0,15,16,1,2,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0,1,0,0,13,0,0,2,0,0,0,0,0,2,0,0,0,9,0,21,0,2,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0
500,1828,0,0,0,7,0,0,0,0,0,0,1,0,0,10,18,0,3,0,0,0,0,0,0,0,8,0,0,0,0,17,2,5,7,0,0,5,0,2,0,0,0,1,0,0,2,1,0,0,0,1,46,0,0,50,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,8,3,0,0,0
520,1927,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,26,1,5,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,21,0,0,42,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,11,1,0,0,0
560,2126,0,0,0,6,0,6,0,0,0,0,1,0,0,15,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,26,1,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,4,2,21,0,0,33,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9,1,9,0,0,0,0
600,2325,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,1,1,0,0,0,0,2,0,1,4,0,0,0,0,31,0,3,0,0,0,26,0,1,1,0,0,0,0,0,1,0,0,0,2,0,11,0,0,8,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,12,0,0,0,0
620,2425,1,0,0,5,0,3,1,0,0,0,0,2,0,12,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,19,4,1,0,0,0,18,0,0,0,0,0,0,1,2,1,0,0,0,0,1,8,0,0,13,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,14,1,0,0,0
640,2524,0,0,1,6,0,3,0,0,1,0,0,1,0,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,20,1,2,3,0,0,9,0,0,0,0,0,0,0,1,3,1,0,0,4,0,20,0,0,243,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,9,1,0,0,0
660,2624,0,0,0,4,0,3,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,2,1,0,2,0,0,15,3,2,5,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31,0,1,49,0,0,1,2,13,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,6,0,11,1,1,0,0
680,2723,1,0,0,1,0,1,4,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,1,8,0,0,0,0,9,0,0,0,0,0,16,0,1,1,0,0,0,0,2,0,1,0,0,3,0,32,0,0,154,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,15,5,0,0,0
700,2823,0,0,0,21,0,0,0,2,0,0,0,2,0,20,0,0,5,0,0,0,0,0,3,6,2,0,1,0,0,27,5,1,0,0,0,9,0,0,4,0,0,0,0,0,4,3,0,0,0,0,45,0,0,44,0,1,0,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,6,0,7,0,0,1,0
720,2922,1,0,0,6,0,2,0,0,0,0,0,1,0,9,0,0,5,0,0,0,1,0,1,1,0,0,3,0,0,10,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,1,0,3,1,41,0,2,103,0,2,0,3,12,2,0,0,0,0,1,0,0,0,0,0,0,0,1,5,8,0,1,0,0,0,0
740,3022,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,9,1,1,2,0,0,6,0,0,0,0,0,0,0,0,6,4,1,0,2,0,61,0,1,102,0,0,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,0,0,0
760,3121,0,0,1,3,0,5,2,2,0,0,0,2,0,12,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,15,1,2,3,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,5,1,15,0,1,357,0,0,0,0,30,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,5,4,0,0,0
780,3221,0,0,0,4,0,8,2,0,0,0,1,2,0,16,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,12,3,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,1,334,0,0,0,1,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0
800,3320,0,0,0,7,0,2,1,0,0,0,0,3,1,25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,4,4,0,0,0,12,0,0,2,0,0,0,1,0,1,0,0,0,3,2,35,0,0,6,0,0,1,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0
840,3519,0,0,0,8,0,4,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,2,1,3,0,0,1,8,42,0,0,52,0,0,0,0,15,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,1,1,7,1,0,0,0
860,3619,0,0,0,7,0,6,1,1,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,9,1,5,6,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,3,0,21,0,0,47,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,9,0,1,0,0
880,3718,0,0,0,6,0,5,0,1,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,1,8,0,0,0,0,8,1,3,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,46,0,0,71,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,8,1,0,0,0
900,3796,0,0,0,11,0,3,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,15,3,0,1,0,0,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,30,0,0,194,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,7,23,1,0,0
920,3855,0,1,0,11,1,0,0,1,0,0,1,3,0,4,0,0,2,0,0,1,0,0,1,7,8,0,0,0,0,6,3,2,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,32,0,5,6,0,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,7,2,1,0,0
940,3915,0,0,0,2,0,3,0,3,0,0,0,1,0,3,1,0,4,0,0,0,0,0,1,1,4,0,0,0,0,16,1,4,5,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,5,0,28,0,3,17,0,1,1,1,22,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,1,0,0,0
960,3974,0,0,0,5,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5,3,5,8,0,0,8,0,1,0,0,0,0,0,0,3,1,0,0,6,0,38,0,0,4,0,0,0,2,20,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0
980,4033,0,0,0,10,0,2,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,1,15,6,0,0,0,0,4,0,3,3,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,38,0,1,54,0,1,1,2,17,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,3,0,5,3,0,0,0
1000,4093,0,0,0,10,0,1,0,0,0,0,0,5,0,4,0,0,0,0,1,0,0,0,1,15,39,0,0,0,0,2,1,2,3,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,2,0,36,0,2,160,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,0,0,0
1040,NA,0,0,0,12,0,1,0,0,0,0,0,1,0,9,0,0,3,0,0,0,0,0,2,2,27,0,0,0,0,2,1,0,1,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,21,0,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,10,2,3,1,0,0
1060,NA,0,0,0,12,0,0,0,4,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,13,9,0,2,0,0,2,2,4,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,20,0,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,3,2,0,0,0
1080,NA,0,2,2,16,0,3,0,2,0,0,1,2,0,22,0,0,7,0,0,0,0,0,0,1,6,0,0,0,0,19,3,3,6,0,0,8,0,0,2,0,0,0,0,0,6,1,0,0,7,1,60,0,0,237,0,0,0,3,26,1,0,0,0,2,3,0,0,0,0,2,0,0,0,7,4,0,12,0,0,0,0
