"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Thalictrum","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Acer.rubrum","Acer.spicatum","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Larix","Acer.pensylvanicum","Acer.saccharinum","Corylus.cornuta","Elaeagnus.commutata","Rosaceae","Juniperus.communis.Thuja.occidentalis.type","Taxus","Amaranthaceae","Caryophyllaceae","Onagraceae","Myrica.gale","Shepherdia.canadensis","Viburnum","cf..Diapensia.lapponica","Fabaceae","Ranunculaceae.undiff."
250,2981,0,0.0332409972299169,0.00277008310249307,0,0.174515235457064,0.00831024930747922,0.191135734072022,0.038781163434903,0.00554016620498615,0,0,0.00277008310249307,0.0554016620498615,0,0,0.038781163434903,0,0.0138504155124654,0.0249307479224377,0,0.00277008310249307,0,0.0277008310249307,0.00554016620498615,0.0554016620498615,0.03601108033241,0.277008310249307,0.00277008310249307,0,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3279,0.00628930817610063,0.0251572327044025,0,0.00838574423480084,0.209643605870021,0.00838574423480084,0.167714884696017,0.039832285115304,0.00628930817610063,0,0,0.00838574423480084,0.0440251572327044,0,0.00209643605870021,0.0482180293501048,0.00209643605870021,0.0146750524109015,0.0335429769392034,0.0125786163522013,0.00209643605870021,0,0.0461215932914046,0.00419287211740042,0.0712788259958071,0.0566037735849057,0.174004192872117,0.00209643605870021,0,0,0,0.00209643605870021,0,0,0,0,0.00419287211740042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3548,0.00178890876565295,0.0232558139534884,0.00178890876565295,0.0071556350626118,0.220035778175313,0,0.196779964221825,0.0500894454382826,0.00178890876565295,0,0.00178890876565295,0.00894454382826476,0.071556350626118,0,0.0125223613595707,0.0483005366726297,0,0.0071556350626118,0.0286225402504472,0,0.0125223613595707,0.00178890876565295,0.035778175313059,0.0035778175313059,0.0930232558139535,0.0304114490161002,0.130590339892665,0.00178890876565295,0,0,0.00178890876565295,0,0,0,0,0.00178890876565295,0,0.00536672629695885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3701,0,0.0179028132992327,0,0,0.260869565217391,0.00767263427109974,0.19693094629156,0.0332480818414322,0.00255754475703325,0,0,0.00767263427109974,0.0741687979539642,0,0,0.0358056265984655,0,0.0179028132992327,0.040920716112532,0.00767263427109974,0,0,0.0255754475703325,0.0051150895140665,0.0537084398976982,0.127877237851662,0.071611253196931,0.00767263427109974,0,0,0.00255754475703325,0,0,0,0,0.00255754475703325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3854,0.00228310502283105,0.0388127853881279,0,0,0.191780821917808,0,0.134703196347032,0.0730593607305936,0.00228310502283105,0,0,0.00684931506849315,0.0821917808219178,0,0,0.118721461187215,0.00228310502283105,0.00684931506849315,0.0547945205479452,0.00228310502283105,0,0.00228310502283105,0.0365296803652968,0.0114155251141553,0.105022831050228,0.0547945205479452,0.0547945205479452,0.00684931506849315,0.00228310502283105,0,0.00228310502283105,0.0045662100456621,0,0,0,0,0,0,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4007,0,0.0243445692883895,0,0,0.243445692883895,0.00187265917602996,0.140449438202247,0.0468164794007491,0.00374531835205993,0,0,0.00561797752808989,0.0561797752808989,0,0,0.157303370786517,0,0.00561797752808989,0.048689138576779,0.00749063670411985,0.00187265917602996,0,0.0299625468164794,0.0131086142322097,0.0823970037453183,0.0805243445692884,0.0468164794007491,0.00187265917602996,0,0,0,0.00187265917602996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4160,0,0.0190677966101695,0,0.00423728813559322,0.275423728813559,0.00211864406779661,0.144067796610169,0.0572033898305085,0.0127118644067797,0.00211864406779661,0.00423728813559322,0.00423728813559322,0.0423728813559322,0,0.00211864406779661,0.135593220338983,0,0.0275423728813559,0.0423728813559322,0.00423728813559322,0.00211864406779661,0,0.048728813559322,0.00635593220338983,0.0889830508474576,0.038135593220339,0.0211864406779661,0,0,0,0.00211864406779661,0,0,0,0,0.00211864406779661,0,0.00635593220338983,0.00211864406779661,0,0,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0
425,4312,0,0.0225988700564972,0.00564971751412429,0,0.288135593220339,0.00847457627118644,0.169491525423729,0.0734463276836158,0.0225988700564972,0,0,0.00282485875706215,0.0310734463276836,0,0,0.146892655367232,0.00282485875706215,0.0112994350282486,0.0480225988700565,0.00564971751412429,0.00282485875706215,0,0.0423728813559322,0.00282485875706215,0.0593220338983051,0.0225988700564972,0.0282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4465,0,0.0127272727272727,0.00363636363636364,0,0.316363636363636,0,0.192727272727273,0.0418181818181818,0.0181818181818182,0,0.00545454545454545,0.00545454545454545,0.0309090909090909,0,0.00363636363636364,0.0872727272727273,0,0.0218181818181818,0.0654545454545455,0.0109090909090909,0.00545454545454545,0,0.0272727272727273,0.00727272727272727,0.0509090909090909,0.0163636363636364,0.0690909090909091,0.00363636363636364,0,0,0.00181818181818182,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,4618,0,0.0123456790123457,0,0,0.294238683127572,0.00205761316872428,0.172839506172839,0.0617283950617284,0.0102880658436214,0,0,0.00205761316872428,0.0432098765432099,0,0.00205761316872428,0.0473251028806584,0.00205761316872428,0.0123456790123457,0.0596707818930041,0.00205761316872428,0.00411522633744856,0,0.0432098765432099,0.00411522633744856,0.0864197530864197,0.037037037037037,0.0925925925925926,0.00205761316872428,0,0,0,0,0,0,0,0.00205761316872428,0.00205761316872428,0,0.00205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
