"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Herbs.undiff.","Ilex","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shepherdia","Shrubs.undiff.","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
90,7884,0,0,1,0,0,1,0,1,0,6,0,8,0,0,0,0,4,0,5,0,1,0,11,7,0,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,12,0,0,16,0,0,0,0,0,0,204,0,2,33,0,3,0,0,0,0,0,10,0,0,10,0,1,1
95,8521,1,2,1,0,0,1,0,0,0,9,0,2,0,0,0,0,5,0,5,0,0,1,16,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,16,0,0,15,0,1,0,0,0,2,208,0,1,24,0,5,0,0,0,0,0,13,0,0,5,0,1,1
100,9158,3,2,0,1,0,0,0,1,0,8,0,2,0,0,0,0,3,0,2,0,0,0,19,6,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,32,0,0,7,0,0,0,0,0,0,227,0,0,49,0,4,0,0,0,0,0,8,0,0,12,0,2,0
105,9795,4,0,1,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,2,0,26,8,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,5,0,46,0,1,8,0,0,0,0,0,3,164,0,2,49,0,3,1,0,0,0,0,5,0,0,7,0,6,0
110,10432,9,0,4,9,0,1,0,0,0,6,0,4,0,0,0,1,2,0,0,0,0,0,11,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,7,8,90,0,0,8,0,0,0,0,0,2,103,0,0,9,0,4,2,0,0,0,0,5,0,0,9,0,1,0
115,11069,8,1,1,5,0,0,0,1,0,3,0,8,0,0,0,0,1,0,0,0,2,0,26,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,115,0,0,5,0,0,1,1,0,0,79,0,1,0,0,1,0,0,0,0,0,2,0,0,7,0,2,0
120,11706,16,0,2,13,0,0,0,1,0,6,0,7,0,0,0,1,1,0,0,0,3,0,38,27,0,2,0,1,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,10,22,10,128,0,0,6,0,0,0,1,0,4,68,0,0,0,0,4,7,0,0,0,0,1,1,0,6,2,1,2
125,12240,24,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,14,6,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,31,12,158,0,0,0,0,1,2,0,0,3,26,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0
130,12774,21,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,191,0,0,3,0,0,2,0,0,1,10,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1
140,13551,16,0,2,12,0,1,1,0,0,8,0,1,0,0,0,0,2,0,0,0,0,0,32,2,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,32,113,0,0,8,0,0,4,0,3,3,25,0,0,1,0,1,5,0,0,0,0,0,0,0,0,87,1,1
150,13649,17,0,0,31,0,1,1,2,0,10,0,11,0,0,0,0,0,0,0,0,4,1,27,6,0,1,0,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,10,35,82,0,0,22,0,0,0,0,0,0,26,0,0,0,0,1,1,2,0,0,0,0,0,0,0,6,2,2
160,13746,12,0,0,42,0,1,0,1,0,21,0,12,2,0,0,1,0,0,0,1,4,1,40,4,0,0,0,1,0,1,13,0,2,0,0,0,4,0,1,1,0,0,0,0,0,0,3,34,73,0,0,25,0,0,0,0,1,2,13,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0
180,13941,15,0,0,59,0,1,2,0,0,9,0,10,2,1,0,0,0,0,0,0,3,0,17,6,0,0,0,1,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,45,87,0,0,16,0,0,1,0,3,1,10,0,0,0,1,0,1,7,0,0,0,0,0,0,0,6,0,0
200,14136,27,0,0,35,0,0,1,0,0,10,0,5,2,0,0,0,0,0,0,0,1,0,17,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,58,83,0,0,24,0,0,0,0,9,1,11,0,0,0,0,3,1,5,0,0,0,3,0,0,0,1,0,1
220,14331,16,0,0,31,0,0,2,0,1,10,0,4,1,0,0,0,0,0,0,0,0,0,22,1,0,0,0,3,0,0,8,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,67,90,0,0,24,0,0,1,0,6,2,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,1
240,14525,37,0,0,35,0,1,0,0,0,12,0,8,3,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,62,81,0,0,20,0,0,0,0,5,1,10,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0
260,14720,22,0,0,45,0,1,0,0,0,10,0,4,1,0,0,0,0,0,0,0,0,0,33,3,0,0,0,1,0,0,9,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,58,71,0,0,21,0,0,1,0,4,3,6,0,0,0,0,1,3,4,1,1,0,2,2,0,0,1,0,1
280,14915,10,0,0,53,0,0,0,0,0,6,0,8,2,0,0,1,0,0,0,0,1,1,29,2,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,47,83,0,0,34,0,0,0,0,3,1,9,0,0,0,0,1,3,4,0,0,0,3,0,0,0,3,0,0
300,15110,28,0,0,42,0,0,0,0,2,3,0,5,2,0,0,1,0,0,0,0,1,0,19,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,81,85,0,0,14,0,0,0,0,4,1,5,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0
320,15305,15,0,0,48,0,0,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,82,0,0,6,0,0,1,0,1,1,5,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,2
340,15500,33,0,0,12,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1,18,5,0,0,0,1,0,0,17,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,96,85,0,0,20,0,0,0,0,2,0,3,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,3
360,15695,19,0,0,7,0,1,0,1,0,7,0,2,0,0,0,0,0,0,0,0,1,1,27,1,0,0,0,0,0,0,24,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,5,133,58,0,0,20,0,0,0,0,1,1,4,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1
380,15889,68,0,0,7,0,0,0,0,0,2,0,3,0,0,0,1,3,0,0,0,0,2,18,1,0,0,1,2,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,126,42,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
390,15987,20,0,0,7,0,0,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0,0,41,2,0,2,0,3,0,0,40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,125,46,0,0,20,1,0,0,0,1,0,8,1,0,0,1,0,3,3,0,0,0,2,1,0,0,0,0,0
400,16084,1,0,0,9,0,1,0,1,1,7,0,9,0,0,0,0,0,1,0,0,0,2,59,1,0,0,0,1,0,0,66,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,102,45,0,0,28,0,0,0,0,0,2,9,0,0,0,0,0,1,13,0,0,0,1,1,0,0,0,0,2
420,16242,2,0,0,5,0,0,0,1,0,6,1,4,0,0,0,0,1,0,0,0,0,1,34,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,161,46,0,0,18,2,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3
440,16386,1,0,0,1,0,0,0,1,2,8,0,7,0,3,0,0,0,0,0,0,0,0,50,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139,45,0,0,19,3,0,0,0,2,0,3,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
460,16531,4,0,0,1,0,0,0,1,0,4,0,9,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,1,0,0,24,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,3,149,41,0,0,20,3,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,1,0
480,16676,1,0,0,0,0,1,0,1,2,0,0,17,0,1,0,0,0,0,0,0,0,1,28,0,0,0,2,1,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,55,0,0,19,1,0,0,2,1,0,6,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,1,0
500,16821,1,0,1,3,0,0,0,2,1,2,0,5,0,2,0,0,2,0,0,0,0,2,36,0,0,0,0,1,0,0,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,135,49,0,0,31,0,0,0,0,0,0,10,0,0,0,0,0,1,6,0,0,0,1,4,0,0,0,0,4
520,16966,0,0,0,10,0,1,0,1,1,5,0,9,0,1,0,0,0,1,0,0,0,0,21,0,0,0,0,1,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,129,54,0,0,38,0,0,0,0,1,1,6,0,0,0,1,0,1,10,0,0,0,1,3,0,0,0,0,3
540,17110,1,0,0,2,0,0,0,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,50,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3
560,17255,0,0,0,3,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,168,46,0,0,27,0,0,0,0,4,0,3,0,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0
580,17400,2,0,0,4,0,0,0,0,5,2,0,4,0,2,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,146,75,0,0,21,0,0,0,0,1,0,3,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,1,0
600,17545,1,0,0,3,0,2,0,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,18,1,1,0,1,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,60,0,0,20,0,0,0,0,0,0,8,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1
620,17690,1,0,0,6,0,0,0,0,1,5,0,4,0,0,0,0,1,1,0,0,0,0,30,0,0,0,0,1,0,0,430,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,163,59,0,0,14,1,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1
640,17834,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,68,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1
660,17979,2,0,0,0,0,0,0,0,3,2,0,5,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,204,57,0,0,4,0,0,0,0,2,1,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1
680,18124,0,0,0,2,0,1,0,0,1,8,1,8,0,0,1,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,168,61,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,1,5,2,0,0,0,1,0,0,0,0,0
700,18269,0,0,0,5,0,0,0,0,4,4,0,8,0,0,0,0,0,1,0,0,0,0,17,1,0,0,1,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177,53,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,1,2,1,0,0,0,4,0,0,0,0,0
710,18341,0,0,0,1,1,0,0,0,3,4,0,7,0,0,0,0,0,1,1,0,0,1,16,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,164,77,0,0,7,0,0,0,0,1,0,7,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0
720,NA,0,0,0,0,0,0,0,0,7,8,0,28,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,115,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,2
740,NA,5,0,0,2,0,0,0,0,4,2,0,99,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,84,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,1
760,NA,3,0,0,0,0,2,0,0,2,3,0,15,0,0,0,0,1,1,0,0,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,100,141,0,0,10,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
780,NA,5,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,80,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
800,NA,4,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,161,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
